Region,Store ID,First Assigned Carrier,Fulfillment Type, Status, Trend,Directional Focus,Max_WM_WK_ID,Weeks on DPI,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
13,916,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202425,7,84.90%,63.80%,29.7,56.30%,83.70%,92.20%,96.60%
6,4416,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202425,7,88.00%,93.00%,14.8,81.20%,50.20%,97.50%,97.30%
6,504,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202425,5,91.70%,94.00%,12.5,94.80%,88.00%,90.20%,92.60%
6,5612,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,16,87.70%,90.00%,15.8,79.90%,79.80%,96.40%,94.10%
46,3771,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,44,92.90%,93.80%,16.4,99.60%,86.60%,90.20%,95.60%
59,4524,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,18,84.10%,84.40%,17.1,70.90%,87.20%,88.70%,89.70%
41,2628,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202425,3,88.40%,83.60%,17.1,89.00%,91.20%,87.50%,85.50%
41,3294,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,34,92.90%,90.30%,13.9,94.60%,94.80%,93.70%,87.90%
41,5417,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,11,81.10%,80.50%,17.6,49.90%,78.70%,87.20%,95.50%
19,4383,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,34,76.90%,96.40%,15.3,74.80%,65.90%,81.80%,84.00%
19,2080,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,45,90.30%,89.40%,12.7,91.00%,86.40%,88.10%,96.60%
19,2644,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,16,88.90%,60.30%,19.1,84.10%,87.30%,91.50%,93.90%
19,5376,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202425,3,73.10%,94.50%,10,76.80%,68.60%,67.00%,83.70%
19,5844,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,49,78.10%,84.10%,17.8,64.00%,72.10%,91.20%,91.00%
19,1923,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,48,85.80%,79.20%,15.9,81.30%,80.50%,92.00%,91.40%
19,2102,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202425,3,83.40%,91.00%,10.5,84.40%,73.70%,86.90%,88.80%
19,3453,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,21,85.50%,77.70%,17.4,78.90%,77.00%,94.40%,91.60%
19,1618,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,9,82.90%,87.90%,19.8,87.80%,88.60%,73.60%,82.00%
25,4531,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202425,9,89.00%,90.00%,15.1,84.90%,84.10%,93.00%,94.10%
25,2728,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,48,94.70%,92.90%,12.2,98.40%,89.50%,95.80%,96.10%
20,2063,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202425,4,84.50%,84.60%,15.3,75.40%,87.20%,84.30%,89.80%
20,1863,,Scheduled Delivery Standard,Active Monitoring,Recovering,Store Focus,202425,2,89.90%,93.40%,16.5,91.30%,89.10%,89.70%,89.60%
20,2362,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,40,80.90%,87.30%,12.5,68.70%,85.50%,86.90%,80.00%
20,4255,,Scheduled Delivery Standard,At Risk,Recovering,Store Focus,202425,9,91.10%,84.40%,17.8,92.10%,94.20%,84.70%,93.40%
20,2115,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,30,92.60%,90.90%,11.8,93.90%,96.80%,87.00%,91.80%
40,2600,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202425,9,90.70%,90.50%,12.5,88.50%,92.60%,88.20%,93.30%
40,5150,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,48,90.40%,93.00%,11.6,89.00%,87.80%,93.80%,91.80%
21,3502,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,13,85.70%,84.60%,13.9,90.20%,87.70%,79.70%,85.10%
21,5104,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,43,94.50%,89.10%,13.1,97.00%,93.90%,89.80%,97.70%
21,1510,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,42,89.40%,79.60%,16.6,96.20%,90.00%,85.10%,85.30%
21,3749,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,34,90.40%,72.20%,14.7,87.90%,83.70%,95.30%,95.10%
21,1728,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202425,6,93.90%,87.70%,26.4,87.90%,98.00%,98.30%,91.30%
21,2726,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,49,86.70%,90.90%,12.6,79.10%,90.80%,86.10%,90.50%
53,2417,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,10,77.30%,83.40%,11.2,87.10%,77.20%,64.60%,79.80%
53,6394,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,40,84.00%,83.80%,18.8,80.80%,83.60%,87.40%,84.10%
53,2510,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202425,8,84.30%,86.60%,8.2,62.00%,91.10%,84.60%,96.30%
14,2748,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202425,6,84.00%,96.00%,13,88.90%,85.50%,75.90%,82.70%
14,1101,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,21,94.10%,71.30%,14.8,97.80%,96.30%,86.90%,94.80%
14,990,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,10,86.30%,81.50%,18.9,89.60%,90.80%,85.80%,79.70%
14,919,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,17,84.50%,89.50%,15.9,93.30%,94.70%,86.30%,66.90%
14,1362,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202425,6,84.10%,93.50%,14.8,85.40%,87.00%,85.20%,79.20%
14,3075,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202425,1,84.60%,78.30%,14.8,87.40%,89.50%,86.70%,73.70%
14,3119,,Scheduled Delivery Standard,At Risk,Degrading,Store Focus,202425,5,85.10%,97.00%,12.6,87.10%,90.80%,82.80%,79.50%
14,3439,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,18,83.40%,77.60%,15.5,78.30%,88.40%,88.60%,77.60%
14,5872,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,7,78.50%,88.70%,15,88.00%,84.90%,62.10%,76.40%
14,4520,,Scheduled Delivery Standard,Active Monitoring,Degrading,Store Focus,202425,1,79.20%,63.50%,14.8,73.60%,76.00%,80.60%,87.20%
14,1201,,Scheduled Delivery Standard,Executive Review,Recovering,Store Focus,202425,17,89.90%,80.10%,16.6,91.00%,93.90%,91.40%,82.30%
3,1390,,Scheduled Delivery Standard,Executive Review,Degrading,Store Focus,202425,20,81.60%,84.90%,24,84.70%,82.50%,70.80%,85.80%
