Market Nbr,Facility,OKM Tracking ,OKM Delivery Date,OKM Install Date,Digital Lock Tracking,Carrier,Digital Lock Install Week,Digital Lock Installation Date,Total lock count,Length of install
323,1,,,,,,Live,8/31/22,,
323,4,,,,,,Live,9/1/22,,
347,10,,,,,,Live,12/12/24,,
335,19,,,,,,Live,1/16/25,,
411,26,,,,,,Live,12/9/24,,
336,29,,,,,,Live,1/20/25,,
407,35,,,,,,Live,12/10/24,,
345,41,,,,,,Live,1/8/25,,
322,54,,,,,,Live,1/25/22,,
334,59,,,,,,Live,1/9/25,,
334,79,,,,,,Live,1/24/22,,
359,80,,,,,,Live,1/23/25,,
357,86,,,,,,Live,8/30/22,,
145,94,,,,,,Live,10/15/24,,
323,100,,,,,,Live,8/31/22,,
324,124,,,,,,Live,8/27/24,,
324,126,,,,,,Live,8/28/24,,
503,140,,,,,,Live,12/16/24,,
321,141,,,,,,Live,12/11/24,,
322,144,,,,,,Live,2/24/22,,
311,154,,,,,,Live,1/7/25,,
359,159,,,,,,Live,1/22/25,,
503,163,,,,,,Live,12/17/24,,
357,179,,,,,,Live,1/10/25,,
335,188,,,,,,Live,1/17/25,,
329,190,,,,,,Live,1/15/25,,
153,192,,,,,,Live,12/16/24,,
60,194,,,,,,Live,12/13/24,,
360,195,,,,,,Live,1/24/25,,
351,210,,,,,,Live,12/10/24,,
53,217,,,,,,Live,11/4/24,,
360,234,,,,,,Live,10/29/24,,
50,266,,,,,,Live,10/10/23,,
153,272,,,,,,Live,6/13/23,,
87,292,,,,,,Live,9/10/24,,
135,307,,,,,,Live,1/29/25,,
411,342,,,,,,Live,11/5/24,,
68,351,,,,,,Live,9/1/22,,
322,359,,,,,,Live,4/14/25,,
406,372,,,,,,Live,12/6/24,,
127,376,,,,,,Live,9/3/24,,
411,378,,,,,,Live,11/4/24,,
66,384,,,,,,Live,10/11/24,,
87,404,,,,,,Live,9/13/24,,
66,408,,,,,,Live,11/13/24,,
47,427,,,,,,Live,11/8/24,,
253,431,,,,,,Live,1/14/25,,
127,448,,,,,,Live,9/5/24,,
66,449,,,,,,Live,10/8/24,,
127,450,,,,,,Live,9/6/24,,
359,451,,,,,,Live,1/21/25,,
52,467,,,,,,Live,10/11/23,,
49,471,,,,,,Live,10/8/24,,
83,475,,,,,,Live,9/13/24,,
411,484,,,,,,Live,1/8/25,,
505,500,,,,,,Live,9/5/22,,
38,511,,,,,,Live,10/17/24,,
18,515,,,,,,Live,12/13/24,,
66,521,,,,,,Live,10/17/24,,
61,529,,,,,,Live,9/24/24,,
134,539,,,,,,Live,1/9/25,,
353,544,,,,,,Live,12/9/24,,
62,546,,,,,,Live,9/18/24,,
407,557,,,,,,Live,1/7/25,,
418,559,,,,,,Live,1/14/25,,
360,560,,,,,,Live,12/2/24,,
55,565,,,,,,Live,10/10/23,,
345,576,,,,,,Live,1/6/25,,
362,577,,,,,,Live,1/9/25,,
414,581,,,,,,Live,1/28/25,,
256,589,,,,,,Live,12/9/24,,
48,590,,,,,,Live,10/23/24,,
406,592,,,,,,Live,12/13/24,,
29,605,,,,,,Live,12/6/24,,
41,616,,,,,,Live,10/16/24,,
344,622,,,,,,Live,12/6/24,,
33,628,,,,,,Live,10/15/24,,
38,630,,,,,,Live,1/20/25,,
35,631,,,,,,Live,11/7/24,,
36,632,,,,,,Live,10/8/24,,
38,634,,,,,,Live,10/25/24,,
29,635,,,,,,Live,12/10/24,,
42,638,,,,,,Live,10/4/24,,
35,640,,,,,,Live,2/5/25,,
35,641,,,,,,Live,1/17/25,,
415,646,,,,,,Live,11/4/24,,
66,651,,,,,,Live,10/10/24,,
406,652,,,,,,Live,12/5/24,,
153,688,,,,,,Live,1/7/25,,
152,695,,,,,,Live,1/10/25,,
29,728,,,,,,Live,12/11/24,,
59,744,,,,,,Live,8/30/22,,
19,745,,,,,,Live,10/29/24,,
414,748,,,,,,Live,1/10/25,,
414,749,,,,,,Live,11/12/24,,
415,750,,,,,,Live,1/21/25,,
415,753,,,,,,Live,1/22/25,,
30,754,,,,,,Live,12/17/24,,
101,767,,,,,,Live,11/4/24,,
65,768,,,,,,Live,9/20/24,,
64,772,,,,,,Live,9/9/24,,
433,776,,,,,,Live,1/14/25,,
19,787,,,,,,Live,11/6/24,,
583,789,,,,,,Live,10/12/23,,
340,805,,,,,,Live,10/23/24,,
387,806,,,,,,Live,12/10/24,,
426,810,,,,,,Live,1/27/25,,
90,817,,,,,,Live,11/7/24,,
15,818,,,,,,Live,11/5/24,,
385,824,,,,,,Live,9/11/24,,
