Store,County,State,City,Yes
100,Bentonville,AR,OKLAHOMA CITY,Yes
110,Winter Garden,FL,ORLANDO-DAYTONA BEACH,Yes
168,Owasso,OK,OKLAHOMA CITY,Yes
256,Glen Carbon,IL,ST LOUIS,Yes
260,Waxahachie,TX,DALLAS-FT WORTH,Yes
272,Franklin,TN,NASHVILLE,Yes
277,Moore,OK,OKLAHOMA CITY,Yes
284,Mansfield,TX,DALLAS-FT WORTH,Yes
297,Porter,TX,HOUSTON,Yes
359,Fayetteville,AR,OKLAHOMA CITY,Yes
389,Edmond,OK,OKLAHOMA CITY,Yes
537,Odessa,TX,SOUTH-WEST TEXAS,Yes
575,Woodstock,GA,ATLANTA,Yes
577,Olathe,KS,KANSAS CITY,Yes
590,Fort Worth,TX,DALLAS-FT WORTH,Yes
608,Midland,TX,SOUTH-WEST TEXAS,Yes
744,Humble,TX,HOUSTON,Yes
755,Amarillo,TX,SOUTH-WEST TEXAS,Yes
824,Albuquerque,NM,ALBUQUERQUE-TUCSON,Yes
844,Morris,IL,CHICAGO,Yes
892,Ankeny,IA,DES MOINES-CEDAR RAPIDS,Yes
905,Longmont,CO,DENVER,Yes
908,Orlando,FL,ORLANDO-DAYTONA BEACH,Yes
915,Stafford,TX,HOUSTON,Yes
937,Marietta,GA,ATLANTA,Yes
941,Valrico,FL,TAMPA-ST PETERSBURG,Yes
942,Ocoee,FL,ORLANDO-DAYTONA BEACH,Yes
943,Casselberry,FL,ORLANDO-DAYTONA BEACH,Yes
963,Weatherford,TX,DALLAS-FT WORTH,Yes
984,Castle Rock,CO,DENVER,Yes
988,Lutz,FL,TAMPA-ST PETERSBURG,Yes
1015,El Paso,TX,SOUTH-WEST TEXAS,Yes
1040,Houston,TX,HOUSTON,Yes
1117,Plano,TX,DALLAS-FT WORTH,Yes
1125,Normal,IL,CHAMPAIGN-PEORIA,Yes
1177,Manchester,MO,ST LOUIS,Yes
1178,Bedford,TX,DALLAS-FT WORTH,Yes
1216,Carrollton,TX,DALLAS-FT WORTH,Yes
1241,Davenport,IA,DES MOINES-CEDAR RAPIDS,Yes
1252,Highlands Ranch,CO,DENVER,Yes
1376,Hendersonville,TN,NASHVILLE,Yes
1387,Coral Springs,FL,MIAMI-FT LAUDERDALE,Yes
1400,Athens,GA,ATLANTA,Yes
1401,Naperville,IL,CHICAGO,Yes
1413,Crystal Lake,IL,CHICAGO,Yes
1420,Streamwood,IL,CHICAGO,Yes
1461,Rock Springs,WY,SALT LAKE-BOISE,Yes
1485,Gillette,WY,DENVER,Yes
1553,Bloomingdale,IL,CHICAGO,Yes
1554,Stockton,CA,SACRAMENTO,Yes
1556,Orland Hills,IL,CHICAGO,Yes
1565,Williston,ND,MINNEAPOLIS-ST PAUL,Yes
1584,Las Vegas,NV,LAS VEGAS,Yes
1588,Victorville,CA,LOS ANGELES,Yes
1597,Tulsa,OK,OKLAHOMA CITY,Yes
1626,Oklahoma City,OK,OKLAHOMA CITY,Yes
1633,Saint Cloud,MN,MINNEAPOLIS-ST PAUL,Yes
1660,Palmdale,CA,LOS ANGELES,Yes
1671,Papillion,NE,OMAHA-WICHITA,Yes
1686,Salt Lake City,UT,SALT LAKE-BOISE,Yes
1720,Snellville,GA,ATLANTA,Yes
1735,Wheeling,IL,CHICAGO,Yes
1753,Derry,NH,BOSTON,Yes
1764,Windsor Heights,IA,DES MOINES-CEDAR RAPIDS,Yes
1768,Orem,UT,SALT LAKE-BOISE,Yes
1788,Scarborough,ME,PORTLAND ME-BURLINGTON VT,Yes
1796,Amherst,NH,BOSTON,Yes
1801,Arlington,TX,DALLAS-FT WORTH,Yes
1810,Fishkill,NY,NEW YORK,Yes
1837,Humble,TX,HOUSTON,Yes
1845,Cooper City,FL,MIAMI-FT LAUDERDALE,Yes
1852,Woodbridge,VA,WASHINGTON DC,Yes
1875,Severn,MD,BALTIMORE,Yes
1902,Ammon,ID,SALT LAKE-BOISE,Yes
1912,Corona,CA,LOS ANGELES,Yes
1916,Coconut Creek,FL,MIAMI-FT LAUDERDALE,Yes
1938,Chicago,IL,CHICAGO,Yes
1940,Rensselaer,NY,ALBANY-SYRACUSE,Yes
1959,Middletown,NY,NEW YORK,Yes
1971,Rochester,MN,MINNEAPOLIS-ST PAUL,Yes
1988,Roseville,CA,SACRAMENTO,Yes
2002,Gilroy,CA,SAN FRAN-OAKLAND-SJ,Yes
2021,Raynham,MA,HARTFORD-PROVIDENCE,Yes
2025,Tracy,CA,SACRAMENTO,Yes
2056,Saratoga Springs,NY,ALBANY-SYRACUSE,Yes
2064,Milford,PA,NEW YORK,Yes
2065,Knoxville,TN,KNOXVILLE,Yes
2068,Levittown,PA,PHILADELPHIA,Yes
2075,Bend,OR,PORTLAND,Yes
2091,Doral,FL,MIAMI-FT LAUDERDALE,Yes
2101,Kennewick,WA,SPOKANE,Yes
