STORE NUMBER,Dept.,Category ,Category Description, SAP NUMBER,SAP Description, QUANTITY,Set Week,
4,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
5,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
7,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
9,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
10,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
11,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
12,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
16,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
19,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
21,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
22,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
23,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
24,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
25,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
26,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
28,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
29,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
31,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
35,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
37,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
41,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
42,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
46,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
52,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
54,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
58,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
59,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
61,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
66,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
69,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
70,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
72,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
75,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
79,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
80,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
85,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
86,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
87,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
89,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
93,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
94,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
95,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
96,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
98,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
100,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
101,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
103,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
104,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
105,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
108,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
110,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
112,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
113,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
115,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
119,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
120,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
124,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
125,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
126,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
129,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
130,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,3,14,
131,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
138,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
140,5,290,Netflix,100064702,SHELF 16X48 RS W/ FAST TRACK,2,14,
