Market,Club Number,PRIMARY TEAM,SECONDARY TEAM,TERTIARY TEAM
24,8247,ALABAMA,AUBURN,JOHN CARROLL CATHOLIC HIGH SCHOOL
24,4836,ALABAMA,AUBURN,OXFORD HIGH SCHOOL
24,8102,ALABAMA,AUBURN,N/A
24,4990,ALABAMA,AUBURN,N/A
24,4817,ALABAMA,AUBURN,LAWSON STATE COMMUNITY COLLEGE
29,8192,ALABAMA,AUBURN,N/A
24,4724,ALABAMA,AUBURN,N/A
23,8196,ALABAMA,AUBURN,FLORENCE HIGH SCHOOL
24,6435,ALABAMA,SHELTON STATE,N/A
23,4776,ALABAMA A&M,ALABAMA,OAKWOOD
23,8107,ALABAMA A&M,N/A,N/A
24,8106,ALABAMA STATE,TUSKEGEE,N/A
17,8271,ALCORN STATE,MISSISSIPPI STATE,TOUGALOO
4,6692,ARIZONA,ARIZONA CARDINALS,N/A
4,6604,ARIZONA CARDINALS,ARIZONA,N/A
4,6213,ARIZONA CARDINALS,ARIZONA STATE,N/A
4,6608,ARIZONA CARDINALS,ARIZONA STATE,N/A
4,6605,ARIZONA CARDINALS,ARIZONA STATE,N/A
4,4732,ARIZONA CARDINALS,ARIZONA STATE,N/A
6,6347,ARIZONA CARDINALS,FRESNO STATE,N/A
4,6606,ARIZONA CARDINALS,ARIZONA STATE,N/A
4,6205,ARIZONA CARDINALS,N/A,N/A
4,4830,ARIZONA CARDINALS,ARIZONA STATE,N/A
4,4955,ARIZONA CARDINALS,ARIZONA STATE,N/A
16,8104,ARKANSAS,ARKANSAS PINE BLUFF,N/A
16,6377,ARKANSAS,ARKANSAS STATE,N/A
16,4749,ARKANSAS,N/A,N/A
16,4969,ARKANSAS,N/A,BENTONVILLE HIGH SCHOOL
16,4808,ARKANSAS,N/A,N/A
16,8209,ARKANSAS,N/A,N/A
16,8134,ARKANSAS,N/A,N/A
16,4825,ARKANSAS,N/A,N/A
16,8266,ARKANSAS,N/A,N/A
28,8287,ATLANTA FALCONS,SPELMAN,N/A
28,6409,ATLANTA FALCONS,SPELMAN,CLARK ATLANTA
24,4989,AUBURN,ALABAMA,TUSKEGEE
4,4829,ARIZONA STATE,ARIZONA CARDINALS,N/A
4,4956,ARIZONA STATE,ARIZONA CARDINALS,N/A
38,8161,BALTIMORE RAVENS,PENN STATE,N/A
38,6650,BALTIMORE RAVENS,MORGAN STATE,N/A
38,4771,BALTIMORE RAVENS,BOWIE STATE,HOWARD
38,6651,BALTIMORE RAVENS,COPPIN STATE,N/A
38,6239,BALTIMORE RAVENS,MORGAN STATE,N/A
38,6383,BALTIMORE RAVENS,N/A,N/A
13,8286,BAYLOR,DALLAS COWBOYS,N/A
37,6366,BUFFALO BILLS,N/A,N/A
37,6539,BUFFALO BILLS,SYRACRUSE,LE MOYNE COLLEGE
37,6431,BUFFALO BILLS,N/A,N/A
37,6673,BUFFALO BILLS,BUFFALO,N/A
37,6406,BUFFALO BILLS,BUFFALO,N/A
3,6345,BYU,DENVER BRONCOS,N/A
3,6685,BYU,UTAH,N/A
30,6414,CAROLINA PANTHERS,N CAROLINA,N/A
30,8219,CAROLINA PANTHERS,JOHNSON C SMITH,N/A
30,6348,CAROLINA PANTHERS,CLEMSON,N/A
35,8129,CAROLINA PANTHERS,E CAROLINA,N/A
30,4797,CAROLINA PANTHERS,N/A,N/A
30,4950,CAROLINA PANTHERS,CLEMSON,N/A
35,6573,CAROLINA PANTHERS,N/A,N/A
35,4946,CAROLINA PANTHERS,N CAROLINA CENTRAL,N/A
34,4798,CAROLINA PANTHERS,WINSTON-SALEM STATE,BENNETT
36,4785,CENTRAL FLORIDA,BETHUNE-COOKMAN,N/A
