Store Number,Start (Night),End (Morning),
3843,7/19/2023,7/20/2023,
3443,7/19/2023,7/20/2023,
1797,7/19/2023,7/20/2023,
2056,7/19/2023,7/20/2023,
4474,7/19/2023,7/20/2023,
4191,7/19/2023,7/20/2023,
2360,7/20/2023,7/21/2023,
1715,7/20/2023,7/21/2023,
3562,7/20/2023,7/21/2023,
2711,7/20/2023,7/21/2023,
5726,7/20/2023,7/21/2023,
6354,7/20/2023,7/21/2023,
6582,7/24/2023,7/25/2023,
6365,7/24/2023,7/25/2023,
2941,7/25/2023,7/26/2023,
2850,7/25/2023,7/26/2023,
3159,7/25/2023,7/26/2023,
3114,7/25/2023,7/26/2023,
2146,7/25/2023,7/26/2023,
6394,7/25/2023,7/26/2023,
2230,7/25/2023,7/26/2023,
8252,7/25/2023,7/26/2023,
6315,7/25/2023,7/26/2023,
6813,7/25/2023,7/26/2023,
6371,7/25/2023,7/26/2023,
2731,7/26/2023,7/27/2023,
1650,7/26/2023,7/27/2023,
867,7/26/2023,7/27/2023,
1607,7/26/2023,7/27/2023,
6353,7/26/2023,7/27/2023,
8174,7/26/2023,7/27/2023,
5962,7/26/2023,7/27/2023,
1825,7/26/2023,7/27/2023,
3074,7/27/2023,7/28/2023,
2577,7/27/2023,7/28/2023,
3795,7/27/2023,7/28/2023,
2222,7/27/2023,7/28/2023,
2874,7/27/2023,7/28/2023,
5668,7/27/2023,7/28/2023,
7129,7/27/2023,7/28/2023,
2528,7/27/2023,7/28/2023,
6571,7/27/2023,7/28/2023,
6489,7/27/2023,7/28/2023,
7229,7/27/2023,7/28/2023,
5969,7/27/2023,7/28/2023,
5267,8/1/2023,8/2/2023,
3780,8/1/2023,8/2/2023,
3078,8/1/2023,8/2/2023,
3491,8/1/2023,8/2/2023,
2264,8/1/2023,8/2/2023,
5813,8/2/2023,8/3/2023,
2009,8/2/2023,8/3/2023,
2660,8/2/2023,8/3/2023,
2844,8/2/2023,8/3/2023,
2435,8/3/2023,8/4/2023,
2003,8/3/2023,8/4/2023,
2640,8/3/2023,8/4/2023,
1997,8/3/2023,8/4/2023,
1316,8/7/2023,8/8/2023,
2443,8/7/2023,8/8/2023,
2049,8/7/2023,8/8/2023,
8132,8/7/2023,8/8/2023,
6485,8/7/2023,8/8/2023,
1833,8/7/2023,8/8/2023,
1940,8/7/2023,8/8/2023,
2545,8/8/2023,8/9/2023,
4865,8/8/2023,8/9/2023,
1792,8/8/2023,8/9/2023,
8136,8/8/2023,8/9/2023,
8298,8/8/2023,8/9/2023,
4464,8/8/2023,8/9/2023,
2520,8/8/2023,8/9/2023,
5281,8/8/2023,8/9/2023,
2659,8/8/2023,8/9/2023,
762,8/8/2023,8/9/2023,
1366,8/9/2023,8/10/2023,
1769,8/9/2023,8/10/2023,
6517,8/9/2023,8/10/2023,
6388,8/9/2023,8/10/2023,
7349,8/9/2023,8/10/2023,
4936,8/9/2023,8/10/2023,
2633,8/9/2023,8/10/2023,
2901,8/9/2023,8/10/2023,
5100,8/9/2023,8/10/2023,
1267,8/10/2023,8/11/2023,
3872,8/10/2023,8/11/2023,
2664,8/10/2023,8/11/2023,
6380,8/10/2023,8/11/2023,
6384,8/10/2023,8/11/2023,
7362,8/10/2023,8/11/2023,
1948,8/10/2023,8/11/2023,
5111,8/10/2023,8/11/2023,
1788,8/10/2023,8/11/2023,
3731,8/14/2023,8/15/2023,
6375,8/14/2023,8/15/2023,
6349,8/14/2023,8/15/2023,
5715,8/14/2023,8/15/2023,
2852,8/14/2023,8/15/2023,
2497,8/14/2023,8/15/2023,
824,8/15/2023,8/16/2023,
1885,8/15/2023,8/16/2023,
6407,8/15/2023,8/16/2023,
6328,8/15/2023,8/16/2023,
7311,8/15/2023,8/16/2023,
8189,8/15/2023,8/16/2023,
1954,8/15/2023,8/16/2023,
2012,8/15/2023,8/16/2023,
4201,8/16/2023,8/17/2023,
1820,8/16/2023,8/17/2023,
6317,8/16/2023,8/17/2023,
6487,8/16/2023,8/17/2023,
7220,8/16/2023,8/17/2023,
6373,8/16/2023,8/17/2023,
3912,8/16/2023,8/17/2023,
2158,8/16/2023,8/17/2023,
4601,8/17/2023,8/18/2023,
2318,8/17/2023,8/18/2023,
6444,8/17/2023,8/18/2023,
6459,8/17/2023,8/18/2023,
6518,8/17/2023,8/18/2023,
2399,8/17/2023,8/18/2023,
1970,8/17/2023,8/18/2023,
1274,8/21/2023,8/22/2023,
1078,8/21/2023,8/22/2023,
1935,8/21/2023,8/22/2023,
6327,8/21/2023,8/22/2023,
4942,8/21/2023,8/22/2023,
4056,8/21/2023,8/22/2023,
3303,8/21/2023,8/22/2023,
3857,8/22/2023,8/23/2023,
1765,8/22/2023,8/23/2023,
4750,8/22/2023,8/23/2023,
8297,8/22/2023,8/23/2023,
2835,8/22/2023,8/23/2023,
1465,8/22/2023,8/23/2023,
802,8/23/2023,8/24/2023,
554,8/23/2023,8/24/2023,
2611,8/23/2023,8/24/2023,
6404,8/23/2023,8/24/2023,
6228,8/23/2023,8/24/2023,
5224,8/23/2023,8/24/2023,
3216,8/23/2023,8/24/2023,
830,8/24/2023,8/25/2023,
5379,8/24/2023,8/25/2023,
6302,8/24/2023,8/25/2023,
8184,8/24/2023,8/25/2023,
5226,8/24/2023,8/25/2023,
1406,8/24/2023,8/25/2023,
4846,8/28/2023,8/29/2023,
4840,8/28/2023,8/29/2023,
2807,8/29/2023,8/30/2023,
792,8/29/2023,8/30/2023,
473,8/29/2023,8/30/2023,
2650,8/29/2023,8/30/2023,
6322,8/29/2023,8/30/2023,
6321,8/29/2023,8/30/2023,
5490,8/29/2023,8/30/2023,
747,8/30/2023,8/31/2023,
482,8/30/2023,8/31/2023,
1823,8/30/2023,8/31/2023,
5290,8/30/2023,8/31/2023,
