Market,Region,Store Number,Percentage
18,2,515,102.46%
18,2,1070,68.49%
18,2,1122,57.57%
18,2,1403,70.91%
18,2,2513,125.00%
18,2,2753,54.10%
18,2,3485,97.06%
18,2,3874,81.63%
18,2,4616,69.89%
18,2,5786,77.70%
18,2,5812,39.32%
18,2,7185,75.97%
19,2,594,56.03%
19,2,745,65.42%
19,2,787,68.44%
19,2,3201,78.21%
19,2,3402,64.48%
19,2,3609,55.75%
19,2,5709,87.71%
20,2,855,113.04%
20,2,1047,64.48%
20,2,3118,83.58%
20,2,3401,68.50%
20,2,3709,109.10%
20,2,3710,104.67%
20,2,6998,111.24%
21,2,3,45.47%
21,2,510,78.71%
21,2,520,50.24%
21,2,780,77.90%
21,2,1111,52.61%
21,2,1121,59.71%
21,2,1363,90.58%
21,2,1400,89.55%
21,2,1701,72.34%
21,2,2811,86.56%
21,2,3627,88.93%
21,2,5482,70.63%
22,2,615,95.71%
22,2,722,110.78%
22,2,727,73.54%
22,2,856,77.75%
22,2,1488,111.69%
22,2,2732,62.96%
22,2,3205,98.98%
22,2,3741,78.79%
22,2,4409,49.87%
23,2,1184,61.07%
23,2,1373,34.76%
23,2,1720,34.46%
23,2,2584,82.67%
23,2,3067,69.42%
23,2,3188,86.69%
23,2,3621,125.00%
24,2,518,90.58%
24,2,878,52.31%
24,2,1314,84.55%
24,2,1578,100.53%
24,2,1766,71.63%
24,2,2154,71.48%
24,2,2941,86.26%
24,2,3462,70.43%
24,2,4185,70.06%
24,2,4436,76.84%
24,2,5814,71.95%
25,2,459,70.27%
25,2,548,73.88%
25,2,1340,99.46%
25,2,2475,35.17%
25,2,3388,61.91%
25,2,3389,38.79%
25,2,3786,62.01%
25,2,4472,91.52%
25,2,4558,56.79%
25,2,5252,51.05%
26,2,575,76.53%
26,2,618,101.20%
26,2,937,73.13%
26,2,1181,108.05%
26,2,1586,67.92%
26,2,3403,64.49%
26,2,3471,47.31%
26,2,3611,56.61%
26,2,3748,56.20%
26,2,5275,68.45%
26,2,5390,81.62%
30,2,754,92.72%
30,2,1024,70.34%
30,2,1143,26.33%
30,2,1227,125.00%
30,2,1293,74.96%
30,2,1658,76.54%
30,2,2754,107.48%
30,2,3570,125.00%
30,2,4144,102.55%
30,2,5735,125.00%
32,2,555,117.97%
32,2,758,67.93%
32,2,907,65.38%
32,2,1076,58.82%
32,2,1153,122.14%
32,2,1367,123.15%
32,2,2733,54.53%
32,2,2890,85.54%
32,2,3750,67.24%
32,2,7246,114.84%
Region Total,2,,77.90%
27,3,588,99.12%
27,3,843,125.00%
27,3,889,125.00%
27,3,899,112.02%
27,3,952,71.58%
27,3,1006,83.71%
27,3,1072,48.16%
27,3,2615,125.00%
27,3,5797,96.18%
27,3,7194,72.24%
27,3,7245,125.00%
28,3,556,98.82%
28,3,593,69.46%
28,3,639,125.00%
28,3,686,60.42%
28,3,836,68.52%
28,3,862,96.83%
28,3,864,82.33%
28,3,1018,80.50%
28,3,1061,96.67%
28,3,2630,62.04%
28,3,5392,45.33%
89,3,110,71.06%
89,3,705,120.43%
89,3,706,67.00%
89,3,713,67.84%
89,3,800,101.81%
89,3,942,74.34%
89,3,2695,67.47%
89,3,5299,49.76%
93,3,538,70.22%
93,3,551,77.42%
93,3,697,57.12%
93,3,960,56.75%
93,3,1081,55.99%
93,3,1283,77.22%
93,3,1297,73.37%
93,3,1847,55.02%
93,3,3877,104.90%
93,3,4368,40.80%
93,3,5326,48.86%
94,3,563,48.81%
94,3,579,63.68%
94,3,582,47.81%
94,3,613,77.89%
