Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
730,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202222,69.20%,54.18%,30.2,59.50%,50.00%,68.30%,82.30%
733,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202222,75.71%,88.51%,27.1,72.10%,86.90%,64.90%,77.10%
715,SPARK,Scheduled Standard Delivery,18,Executive Review,Recovering,Store Focus,202222,91.70%,87.22%,10.7,93.00%,93.90%,91.10%,89.10%
764,UBER,Scheduled Express Delivery ,2,Active Monitoring,Recovering,Store Focus,202222,91.49%,88.68%,14.5,100.00%,100.00%,84.20%,92.30%
764,UBER,Scheduled Standard Delivery,10,Executive Review,Degrading,Store Focus,202222,72.86%,63.95%,19,84.20%,68.10%,67.70%,77.60%
1481,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202222,72.06%,81.86%,18.8,81.10%,70.00%,75.80%,61.50%
1481,UBER,Scheduled Standard Delivery,38,Executive Review,Degrading,Store Focus,202222,60.52%,74.05%,23.3,76.50%,63.20%,59.80%,55.00%
4497,POINTPICKUP,Scheduled Standard Delivery,38,Executive Review,Degrading,Store Focus,202222,74.92%,69.89%,20,86.40%,66.40%,67.80%,77.40%
4497,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Store Focus,202222,82.63%,69.60%,16.7,85.70%,82.30%,75.40%,85.10%
5262,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202222,81.45%,72.76%,20.3,92.60%,83.30%,56.90%,93.40%
5262,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202222,85.03%,77.42%,15.5,94.70%,88.10%,60.00%,97.40%
990,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202222,79.30%,83.15%,19.6,77.80%,82.30%,69.70%,88.00%
990,UBER,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202222,79.86%,83.92%,20.2,80.00%,75.40%,77.20%,83.60%
1224,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202222,82.83%,73.50%,14.6,84.90%,82.00%,79.40%,84.40%
1224,UBER,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202222,83.28%,73.03%,19.6,89.00%,83.20%,80.00%,82.80%
3484,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202222,83.33%,88.16%,15.6,86.80%,88.40%,72.30%,84.10%
3484,UBER,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202222,77.52%,87.55%,23.1,87.90%,74.40%,66.80%,79.60%
3785,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202222,77.78%,69.88%,17,85.80%,79.00%,69.70%,75.60%
3785,UBER,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202222,80.20%,67.41%,23.9,85.30%,85.50%,73.80%,76.50%
818,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202222,84.71%,89.26%,10.1,92.50%,90.40%,84.40%,74.40%
919,UBER,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202222,78.37%,83.61%,13.7,78.60%,89.30%,82.80%,71.60%
944,SPARK,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,202222,93.84%,84.00%,12.4,99.40%,93.70%,93.60%,83.80%
944,UBER,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202222,75.99%,79.59%,17.7,70.60%,84.60%,88.70%,63.20%
1032,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202222,89.93%,75.58%,13.3,95.10%,96.30%,82.70%,88.30%
1362,DOORDASH,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202222,79.08%,93.65%,17,81.60%,86.30%,82.10%,70.40%
1362,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202222,82.84%,96.97%,10.7,93.80%,87.40%,73.90%,77.90%
3075,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202222,77.31%,74.66%,16.4,93.40%,92.80%,74.20%,64.20%
3075,UBER,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202222,71.72%,69.35%,22.6,93.50%,95.80%,71.40%,54.00%
3119,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202222,85.16%,93.61%,7.5,90.00%,90.20%,81.10%,80.80%
5845,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202222,78.83%,73.48%,15.4,96.60%,91.40%,79.10%,39.80%
5845,UBER,Scheduled Standard Delivery,9,Executive Review,Recovering,Store Focus,202222,65.99%,70.23%,25.6,93.00%,96.70%,67.30%,26.90%
5872,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202222,73.88%,90.51%,8.6,77.30%,78.60%,66.70%,74.70%
5872,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202222,82.62%,97.00%,7.3,84.50%,86.90%,83.80%,76.10%
