Store Nbr,Store Name,Shipper vs Non Shipper
1,"ROGERS, AR",Shipper
2,HARRISON AR,Shipper
3,COMMERCE GA,Shipper
4,SILOAM SPRINGS AR,Shipper
5,CONWAY AR,Shipper
7,NORTH LITTLE ROCK AR,Shipper
8,MORRILTON AR,Shipper
9,SIKESTON MO,Shipper
10,TAHLEQUAH OK,Shipper
11,MOUNTAIN HOME AR,Shipper
12,CLAREMORE OK,Shipper
13,CARTHAGE MO,Shipper
14,LEBANON MO,Shipper
15,WEST PLAINS MO,Shipper
16,VAN BUREN AR,Shipper
17,NEOSHO MO,Shipper
18,NEWPORT AR,Shipper
19,POPLAR BLUFF MO,Shipper
20,CLINTON MO,Shipper
21,ST ROBERT MO /WAYNESVILLE,Shipper
22,PRYOR OK,Shipper
23,RUSTON LA,Shipper
24,JACKSONVILLE AR,Shipper
25,MEXICO MO,Shipper
26,LEAVENWORTH KS,Shipper
27,SALEM MO,Shipper
28,MIAMI OK,Shipper
29,JEFFERSON CITY MO,Shipper
30,DEXTER MO,Shipper
31,POTEAU OK,Shipper
33,NASHVILLE AR,Shipper
34,NEVADA MO,Shipper
35,MANHATTAN KS,Shipper
36,PARAGOULD AR,Shipper
37,FARMINGTON MO,Shipper
38,IDABEL OK,Shipper
39,FORT SCOTT KS,Shipper
40,MOBERLY MO,Shipper
41,BARTLESVILLE OK,Shipper
42,COFFEYVILLE KS,Shipper
43,JUNCTION CITY KS,Shipper
45,JONESBORO AR,Shipper
46,BOLIVAR MO,Shipper
47,SALLISAW OK,Shipper
48,MONETT MO,Shipper
49,HUGO OK,Shipper
50,VINITA OK,Shipper
51,FULTON MO,Shipper
52,HOT SPRINGS AR,Shipper
54,SPRINGDALE AR,Shipper
55,BOONEVILLE AR,Shipper
56,AVA MO,Shipper
58,RUSSELLVILLE AR,Shipper
59,JOPLIN MO,Shipper
60,TROY MO,Shipper
61,WARRENSBURG MO,Shipper
62,BLYTHEVILLE AR,Shipper
63,WAGONER OK,Shipper
64,BROWNSVILLE TN,Shipper
65,SULLIVAN MO,Shipper
66,CLARKSVILLE AR,Shipper
67,MENA AR,Shipper
68,WYNNE AR,Shipper
69,FESTUS MO,Shipper
70,WEST MEMPHIS AR,Shipper
71,POCAHONTAS AR,Shipper
72,PITTSBURG KS,Shipper
73,SAPULPA OK,Shipper
74,OSCEOLA AR,Shipper
75,PINEVILLE LA,Shipper
76,BERRYVILLE AR,Shipper
77,TAYLOR TX,Shipper
78,MARSHFIELD MO,Shipper
79,WEST JOPLIN MO,Shipper
80,COLUMBIA MO,Shipper
81,STILWELL OK,Shipper
82,PERRYVILLE MO,Shipper
83,MAGNOLIA AR,Shipper
85,BENTON AR,Shipper
86,SPRINGFIELD MO,Shipper
87,MINDEN LA,Shipper
88,MOUNTAIN GROVE MO,Shipper
89,CAMDENTON MO,Shipper
90,GROVE OK,Shipper
91,FORREST CITY AR,Shipper
92,AURORA MO,Shipper
93,COVINGTON TN,Shipper
94,MILLINGTON TN,Shipper
95,DESLOGE MO,Shipper
96,HARRISONVILLE MO,Shipper
97,RIPLEY TN,Shipper
98,BASTROP LA,Shipper
99,UNION MO,Shipper
100,"BENTONVILLE, AR",Shipper
101,ROLLA MO,Shipper
102,STUTTGART AR,Shipper
103,SHAWNEE OK,Shipper
104,MILAN TN,Shipper
105,CORINTH MS,Shipper
106,FULTON KY,Shipper
107,MARTIN TN,Shipper
108,GUTHRIE OK,Shipper
109,CAMERON MO,Shipper
110,WINTER GARDEN FL,Shipper
111,CHANUTE KS,Shipper
112,STARKVILLE MS,Shipper
113,CHICKASHA OK,Shipper
114,BOONEVILLE MS,Shipper
115,"WEST POINT, MS",Shipper
118,AMORY MS,Shipper
119,BATESVILLE AR,Shipper
120,HUMBOLDT TN,Shipper
121,OKMULGEE OK,Shipper
122,JACKSON MO,Shipper
123,SEMINOLE OK,Shipper
124,LITTLE ROCK AR,Shipper
125,"FORT SMITH (S), AR",Shipper
126,LITTLE ROCK AR,Shipper
127,MALVERN AR,Shipper
128,"JONESBORO (W), AR",Shipper
129,ARDMORE OK,Shipper
130,MUSKOGEE OK,Shipper
131,MT PLEASANT TX,Shipper
132,KINGFISHER OK,Shipper
133,ASHDOWN AR,Shipper
134,ELK CITY OK,Shipper
135,CHILLICOTHE MO,Shipper
137,STILLWATER OK,Shipper
138,"SPRINGFIELD (NE), MO",Shipper
139,PURCELL OK,Shipper
140,LUFKIN TX,Shipper
141,"FORT SMITH, AR",Shipper
143,BENTON KY,Shipper
144,FAYETTEVILLE AR (WEST),Shipper
