Market ID,Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Max_WM_WK_ID,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
48,5,371,ROADIE,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202320,86.40%,97.70%,7.1,83.30%,88.90%,90.00%,84.60%
53,5,2427,ROADIE,Scheduled Express Delivery ,1,Active Monitoring,Degrading,Driver Supply Focus,202320,40.00%,98.30%,8,7.70%,14.30%,58.80%,81.80%
53,5,2427,ROADIE,Scheduled Standard Delivery,11,Executive Review,Recovering,Driver Supply Focus,202320,78.90%,95.00%,7.9,92.60%,75.00%,58.30%,66.70%
56,5,2086,SPARK,Scheduled Standard Delivery,32,Executive Review,Recovering,Driver Supply Focus,202320,95.20%,92.10%,9.8,98.40%,97.30%,95.50%,89.50%
345,44,823,POINTPICKUP,Scheduled Standard Delivery,7,At Risk,Recovering,Driver Supply Focus,202320,71.80%,90.30%,9.8,90.00%,74.50%,65.50%,57.90%
66,13,408,POINTPICKUP,Scheduled Standard Delivery,38,Executive Review,Recovering,Driver Supply Focus,202320,92.60%,92.60%,9.5,90.00%,88.90%,100.00%,100.00%
66,13,777,POINTPICKUP,Scheduled Standard Delivery,23,Executive Review,Recovering,Driver Supply Focus,202320,90.90%,96.60%,8.8,92.60%,100.00%,88.90%,84.20%
125,13,2706,ROADIE,Scheduled Standard Delivery,11,At Risk,Degrading,Driver Supply Focus,202320,92.40%,99.30%,9.2,87.00%,92.20%,94.30%,96.50%
129,13,485,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202320,91.50%,97.90%,6.5,95.50%,89.10%,91.10%,90.80%
131,13,401,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202320,74.40%,100.00%,7.2,70.80%,70.70%,81.80%,85.70%
132,13,533,POINTPICKUP,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202320,80.00%,90.90%,6,100.00%,50.00%,100.00%,
143,13,3528,ROADIE,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202320,74.70%,98.80%,6.7,79.30%,64.30%,76.20%,73.70%
503,13,163,POINTPICKUP,Scheduled Standard Delivery,28,Executive Review,Recovering,Driver Supply Focus,202320,90.90%,99.10%,9.6,95.60%,90.50%,90.80%,86.40%
503,13,364,SPARK,Scheduled Standard Delivery,10,At Risk,Recovering,Driver Supply Focus,202320,90.90%,94.40%,7.1,98.60%,86.00%,94.00%,83.60%
61,6,504,ROADIE,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202320,79.00%,94.30%,9.9,72.70%,84.10%,77.80%,83.00%
78,7,791,SPARK,Scheduled Standard Delivery,8,Active Monitoring,Recovering,Driver Supply Focus,202320,92.20%,99.10%,5.3,93.80%,91.60%,100.00%,80.30%
506,7,3107,ROADIE,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202320,68.30%,98.40%,5.1,50.00%,64.70%,86.40%,55.60%
251,41,1356,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202320,91.10%,98.60%,7.9,91.20%,88.70%,94.90%,89.40%
253,41,736,ROADIE,Scheduled Standard Delivery,9,Executive Review,Degrading,Driver Supply Focus,202320,71.30%,97.90%,6.8,63.60%,60.00%,84.60%,82.10%
197,19,5842,SPARK,Scheduled Standard Delivery,40,Executive Review,Degrading,Driver Supply Focus,202320,92.70%,92.50%,9.3,88.40%,94.80%,96.20%,91.70%
202,19,5411,SPARK,Scheduled Standard Delivery,15,Executive Review,Recovering,Driver Supply Focus,202320,85.80%,91.80%,7,92.90%,87.20%,81.10%,80.40%
202,19,5472,SPARK,Scheduled Standard Delivery,33,Executive Review,Degrading,Driver Supply Focus,202320,91.80%,97.90%,9.6,88.70%,93.90%,92.80%,92.00%
203,19,2618,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202320,87.00%,91.30%,9.6,85.70%,91.20%,83.10%,88.00%
203,19,5048,SPARK,Scheduled Standard Delivery,39,Executive Review,Degrading,Driver Supply Focus,202320,86.20%,89.10%,9.2,86.30%,91.20%,77.60%,89.30%
206,19,4424,ROADIE,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202320,86.20%,97.90%,9.3,86.90%,87.30%,88.20%,81.60%
206,19,4424,SPARK,Scheduled Standard Delivery,32,Executive Review,Degrading,Driver Supply Focus,202320,89.10%,98.40%,9.2,83.70%,90.30%,90.00%,92.50%
213,19,1445,UBER,Scheduled Standard Delivery,7,At Risk,Recovering,Driver Supply Focus,202320,82.70%,99.30%,6.3,90.00%,78.60%,73.50%,86.50%
268,25,3004,ROADIE,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202320,87.70%,96.80%,9.2,89.40%,76.30%,91.70%,94.80%
270,25,1211,SPARK,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202320,87.90%,95.50%,5.7,81.50%,85.20%,89.40%,97.00%
270,25,1531,POINTPICKUP,Scheduled Standard Delivery,28,Executive Review,Recovering,Driver Supply Focus,202320,93.00%,98.90%,8.5,98.00%,96.00%,87.70%,88.50%
273,25,5403,ROADIE,Scheduled Standard Delivery,33,Executive Review,Degrading,Driver Supply Focus,202320,88.00%,94.70%,8.7,75.00%,90.90%,90.90%,100.00%
208,20,2193,ROADIE,Scheduled Standard Delivery,7,Executive Review,Degrading,Driver Supply Focus,202320,70.10%,95.20%,7.1,84.40%,58.50%,69.00%,73.30%
209,20,5387,ROADIE,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202320,64.30%,100.00%,8.6,50.00%,60.00%,50.00%,80.00%
209,20,5387,SPARK,Scheduled Standard Delivery,38,Executive Review,Degrading,Driver Supply Focus,202320,83.30%,96.20%,7,88.80%,77.30%,77.30%,90.50%
216,20,3581,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202320,90.50%,98.80%,8.9,94.10%,89.60%,89.60%,88.30%
227,20,2603,ROADIE,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202320,62.50%,88.20%,4.3,60.00%,100.00%,57.10%,66.70%
227,20,2603,SPARK,Scheduled Standard Delivery,32,Executive Review,Degrading,Driver Supply Focus,202320,82.80%,97.50%,5.7,79.60%,87.10%,84.00%,79.70%
227,20,5040,ROADIE,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202320,67.80%,88.20%,7.8,68.90%,61.50%,64.90%,80.00%
227,20,5040,SPARK,Scheduled Standard Delivery,32,Executive Review,Degrading,Driver Supply Focus,202320,85.30%,88.20%,8.6,84.90%,82.50%,87.40%,86.50%
227,20,5088,SPARK,Scheduled Standard Delivery,34,Executive Review,Degrading,Driver Supply Focus,202320,88.40%,95.90%,8.2,88.70%,85.00%,86.70%,93.10%
258,20,1247,SPARK,Scheduled Standard Delivery,39,Executive Review,Degrading,Driver Supply Focus,202320,88.40%,94.50%,8.1,68.60%,91.50%,95.20%,99.60%
258,20,1505,POINTPICKUP,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202320,44.40%,100.00%,5.9,25.00%,20.00%,66.70%,66.70%
316,20,2576,POINTPICKUP,Scheduled Standard Delivery,7,At Risk,-,Driver Supply Focus,202320,22.20%,100.00%,8.8,,0.00%,0.00%,40.00%
316,20,2792,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202320,76.30%,100.00%,5.1,84.70%,60.50%,80.60%,83.70%
339,40,1021,SPARK,Scheduled Standard Delivery,12,Executive Review,Degrading,Driver Supply Focus,202320,91.40%,89.50%,9.8,89.20%,97.30%,88.70%,89.80%
361,40,96,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Degrading,Driver Supply Focus,202320,92.20%,98.60%,6.9,89.60%,91.30%,95.20%,93.10%
485,59,2442,SPARK,Scheduled Standard Delivery,37,Executive Review,Recovering,Driver Supply Focus,202320,92.20%,95.50%,6.8,92.50%,89.60%,93.80%,93.20%
196,53,2417,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202320,83.20%,93.00%,8.2,80.20%,85.10%,84.60%,82.70%
425,53,882,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202320,76.40%,97.30%,6.3,86.40%,78.90%,66.70%,71.40%
425,53,1657,ROADIE,Scheduled Standard Delivery,13,Executive Review,Degrading,Driver Supply Focus,202320,80.40%,89.80%,9.4,63.60%,73.90%,84.60%,96.20%
436,53,2421,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202320,81.60%,98.70%,5.4,88.50%,83.30%,64.50%,87.50%
436,53,5432,ROADIE,Scheduled Standard Delivery,7,At Risk,Recovering,Driver Supply Focus,202320,83.90%,100.00%,9.6,100.00%,100.00%,60.00%,50.00%
441,53,1274,ROADIE,Scheduled Standard Delivery,4,At Risk,Degrading,Driver Supply Focus,202320,77.00%,99.40%,5.7,84.00%,58.50%,79.50%,84.10%
444,53,1012,ROADIE,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202320,83.20%,94.40%,7.7,85.30%,81.30%,78.60%,88.00%
218,21,1564,POINTPICKUP,Scheduled Standard Delivery,45,Executive Review,Degrading,Driver Supply Focus,202320,89.60%,94.60%,9.3,84.50%,90.10%,91.00%,92.90%
221,21,1407,SPARK,Scheduled Standard Delivery,29,Executive Review,Recovering,Driver Supply Focus,202320,90.00%,91.20%,9.7,91.00%,86.60%,94.30%,87.90%
225,21,2447,UBER,Scheduled Express Delivery ,1,Active Monitoring,Degrading,Driver Supply Focus,202320,25.80%,100.00%,8.1,17.60%,5.90%,21.40%,64.30%
225,21,3749,ROADIE,Scheduled Standard Delivery,28,Executive Review,Degrading,Driver Supply Focus,202320,79.40%,93.90%,7.2,63.00%,91.30%,77.40%,93.80%
239,21,1729,ROADIE,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202320,42.60%,100.00%,6.2,42.90%,21.10%,60.90%,40.00%
239,21,1745,POINTPICKUP,Scheduled Standard Delivery,31,Executive Review,Recovering,Driver Supply Focus,202320,90.50%,96.80%,9.3,94.30%,93.80%,89.50%,84.30%
247,21,1425,SPARK,Scheduled Standard Delivery,11,At Risk,Recovering,Driver Supply Focus,202320,89.90%,94.50%,8.4,92.90%,95.10%,81.20%,89.40%
248,21,1570,POINTPICKUP,Scheduled Standard Delivery,6,At Risk,Recovering,Driver Supply Focus,202320,79.30%,96.60%,8,100.00%,100.00%,66.70%,50.00%
1,14,5174,POINTPICKUP,Scheduled Standard Delivery,27,Executive Review,Degrading,Driver Supply Focus,202320,83.80%,90.20%,8.4,87.50%,87.00%,90.50%,72.70%
3,14,5126,POINTPICKUP,Scheduled Standard Delivery,4,Active Monitoring,Degrading,Driver Supply Focus,202320,76.50%,100.00%,5.7,60.00%,92.90%,85.70%,50.00%
16,14,614,SPARK,Scheduled Standard Delivery,28,Executive Review,Degrading,Driver Supply Focus,202320,94.40%,91.30%,9.4,88.40%,96.40%,96.70%,96.70%
545,72,5653,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202320,85.10%,99.80%,5.7,87.50%,84.70%,81.90%,86.60%
89,3,959,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202320,81.50%,98.60%,6.9,86.40%,79.90%,82.10%,77.50%
121,12,366,UBER,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202320,61.50%,100.00%,5.5,57.10%,33.30%,85.70%,66.70%
121,12,583,POINTPICKUP,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202320,84.30%,99.40%,8.9,78.30%,91.70%,85.40%,83.30%
123,12,724,UBER,Scheduled Standard Delivery,9,At Risk,Recovering,Driver Supply Focus,202320,92.60%,100.00%,6.6,100.00%,100.00%,71.40%,100.00%
123,12,1159,SPARK,Scheduled Standard Delivery,44,Executive Review,Recovering,Driver Supply Focus,202320,88.80%,100.00%,4.5,96.00%,69.60%,92.50%,97.40%
123,12,2310,SPARK,Scheduled Standard Delivery,39,Executive Review,Degrading,Driver Supply Focus,202320,89.40%,90.20%,9.4,85.30%,90.30%,86.30%,96.10%
124,12,2496,UBER,Scheduled Standard Delivery,40,Executive Review,Recovering,Driver Supply Focus,202320,95.10%,95.60%,8.4,96.30%,97.10%,89.30%,97.10%
137,11,394,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202320,83.90%,98.70%,6.9,85.90%,89.20%,72.40%,89.20%
138,11,115,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202320,78.40%,100.00%,7,82.50%,87.50%,60.00%,75.00%
140,11,2939,ROADIE,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202320,86.50%,94.30%,8.7,93.30%,86.70%,78.60%,87.50%
140,11,3059,SPARK,Scheduled Standard Delivery,40,Executive Review,Degrading,Driver Supply Focus,202320,87.10%,96.40%,6.4,83.40%,87.90%,91.50%,86.30%
144,11,5196,ROADIE,Scheduled Express Delivery ,3,Active Monitoring,Degrading,Driver Supply Focus,202320,41.30%,96.60%,9.1,23.10%,20.00%,53.80%,70.00%
145,11,93,UBER,Scheduled Standard Delivery,9,At Risk,Recovering,Driver Supply Focus,202320,83.30%,100.00%,8.5,100.00%,100.00%,66.70%,66.70%
147,11,218,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202320,87.70%,99.20%,5.7,85.10%,86.60%,89.70%,89.70%
147,11,393,SPARK,Scheduled Standard Delivery,30,Executive Review,Recovering,Driver Supply Focus,202320,90.80%,97.80%,8.6,91.30%,89.60%,90.60%,92.00%
149,12,264,UBER,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202320,66.70%,95.00%,6.5,66.70%,66.70%,66.70%,66.70%
149,12,1226,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202320,80.10%,100.00%,5.8,80.70%,78.00%,84.40%,66.70%
149,12,3137,UBER,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202320,70.70%,93.00%,9.3,66.70%,53.80%,88.90%,76.90%
151,12,656,UBER,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202320,80.00%,97.40%,7.6,80.00%,66.70%,87.50%,84.60%
152,12,308,UBER,Scheduled Standard Delivery,10,At Risk,Recovering,Driver Supply Focus,202320,95.20%,100.00%,9.5,100.00%,100.00%,100.00%,85.70%
152,12,587,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202320,73.70%,95.80%,8.4,0.00%,100.00%,75.00%,66.70%
152,12,674,UBER,Scheduled Standard Delivery,11,At Risk,Recovering,Driver Supply Focus,202320,91.50%,97.40%,9,100.00%,95.00%,75.00%,94.40%
153,12,5616,ROADIE,Scheduled Standard Delivery,10,Executive Review,Degrading,Driver Supply Focus,202320,91.20%,97.80%,6.8,87.30%,90.80%,94.80%,92.10%
153,12,5616,SPARK,Scheduled Standard Delivery,32,Executive Review,Degrading,Driver Supply Focus,202320,82.10%,98.20%,7.5,80.70%,83.30%,81.90%,82.60%
498,59,3959,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Degrading,Driver Supply Focus,202320,90.70%,97.80%,5.2,87.40%,92.00%,88.80%,94.60%
566,59,4589,POINTPICKUP,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202320,86.20%,96.10%,6,93.30%,78.90%,87.50%,81.00%
