Store #,City,State,Walmart Responsibility?,Service Frequency,Walmart Contractor
63,Wagoner,Oklahoma,Walmart,1,Apex
64,Brownsville,Tennessee,Walmart,12,Apex
65,Sullivan,Missouri,Walmart,10,Apex
66,Clarksville,Arkansas,Walmart,10,Aqualis (New Restoration)
67,Mena,Arkansas,Walmart,10,Aqualis (New Restoration)
68,Wynne,Arkansas,Walmart,10,Aqualis (New Restoration)
69,Festus,Missouri,Walmart,1,Apex
70,West Memphis,Arkansas,Walmart,10,Aqualis (New Restoration)
71,Pocahontas,Arkansas,Walmart,10,Aqualis (New Restoration)
72,Pittsburg,Kansas,Walmart,1,Apex
73,Sapulpa,Oklahoma,Walmart,8,Apex
74,Osceola,Arkansas,Walmart,10,Aqualis (New Restoration)
75,Pineville,Louisiana,Walmart,12,Apex
76,Berryville,Arkansas,Walmart,1,Aqualis (New Restoration)
77,Taylor,Texas,Walmart,12,Apex
78,Marshfield,Missouri,Walmart,10,Apex
79,Joplin,Missouri,Walmart,4,Apex
80,Columbia,Missouri,No- Landlord,,n/a
81,Stilwell,Oklahoma,Walmart,6,Apex
82,Perryville,Missouri,Walmart,10,Apex
83,Magnolia,Arkansas,Walmart,12,Aqualis (New Restoration)
85,Benton,Arkansas,Walmart,10,Aqualis (New Restoration)
86,Springfield,Missouri,Walmart,10,Apex
87,Minden,Louisiana,Walmart,12,Apex
88,Mountain Grove,Missouri,Walmart,10,Apex
89,Camdenton,Missouri,Walmart,10,Apex
90,Grove,Oklahoma,Walmart,4,Apex
91,Forrest City,Arkansas,Walmart,12,Aqualis (New Restoration)
92,Aurora,Missouri,Walmart,10,Apex
93,Covington,Tennessee,Walmart,12,Apex
94,Millington,Tennessee,Walmart,12,Apex
95,Desloge,Missouri,Walmart,10,Apex
96,Harrisonville,Missouri,Walmart,10,Apex
97,Ripley,Tennessee,Walmart,12,Apex
98,Bastrop,Louisiana,Walmart,12,Apex
99,Union,Missouri,Walmart,10,Apex
