Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
15,Dept 05,Christmas Leg Lamp 12 Units,Full Endcap,1,45,
15,Dept 07,"Disney 8OZ. Holiday Bubbles, 72pcs",SDK,1,45,
15,Dept 07,"HOLIDAY LIGHT & SOUND Bubble Wand, 24pcs",SDK,1,45,
15,Dept 07,"KISSES Mini Pullback Die-Cast Vehicle, 120pcs",SDK,1,45,
15,Dept 08,"6 Qt Round Heated Pet Bowl, 40 units",Full Endcap,1,45,
15,Dept 08,Snoopy Snacks Holiday Dog Treat 15 units,SDK,1,45,
15,Dept 08,"VL Pine Bedding 141L, 50 units",Full Stack,1,45,
15,Dept 09,"Seat Warmer, 18pcs",SDK,1,45,
15,Dept 13,RENUZIT HALF PALLET Holiday Scents 588ct,Half Stack,1,45,
15,Dept 14,Holiday Time Foil ,Half Stack,1,45,
15,Dept 23,192PC MIDWEIGHT WINTER ASSORTED #1,Full Endcap,1,45,
15,Dept 23,"Men's Athletic Works 12-Pack Socks, 105pcs",Half Stack,1,45,
15,Dept 23,"Men's Wrangler Thermals, Socks,and Beanie, 576pcs",Full Stack,1,45,
15,Dept 24,48 PC MINUS ZERO BOYS BASE LAYER SET,4-way,1,45,
15,Dept 24,72 PC TEC ONE SKI JACKETS & SNOW BIBS,4-way,1,45,
15,Dept 24,"96 PC ICEBURG BOYS SNOW JKT, PUFFER & SHACKET",4-way,1,45,
15,Dept 24,98 PC REEBOK BOYS SNOW BIBS & SYSTEMS JKTS,4-way,1,45,
15,Dept 29,Kindly Women's Thermals - 155 units,Dump Bin,1,45,
15,Dept 31,360pc Ozark Trail Ski Acc - Full Pallet,Full Stack,1,45,
15,Dept 31,428pc Licensed Character Sets (multi price points),Half Stack,1,45,
15,Dept 33,72 PC HEAVYWEIGHT JACKET AND SNOW PANT,4-way,1,45,
15,Dept 33,72 PC TEC ONE QUILTED SNOW JACKET AND SNOW BIB,4-way,1,45,
15,Dept 33,96 PC TEC ONE 1/4 ZIP & LEGGING,4-way,1,45,
15,Dept 33,96PC WF COVERALL AND SNOWDAY SET,4-way,1,45,
15,Dept 33,96PC WF LUNA JACKET AND ASPENS CALLING JACKET,4-way,1,45,
15,Dept 34,48 Unit Heated Soft Shell Jacket and Vest,4-way,1,45,
15,Dept 34,48 Unit Women's Puffer Jacket Assorted,4-way,1,45,
15,Dept 34,48 Unit Women's Quilted Outerwear Vests,4-way,1,45,
15,Dept 34,Women's Soft Shell Jackets + Vest,4-way,1,45,
15,Dept 40,AS 18pc Effervescent,SDK,1,45,
15,Dept 40,Back Scratchers PDQ,Full Endcap,1,45,
15,Dept 40,EQ 91% Isopropyl Alcohol 32oz,PDQ,2,45,
15,Dept 40,EQ Antacid Chew,Full Endcap,1,45,
15,Dept 40,EQ CH IBU/APAP 8OZ,PDQ,1,45,
15,Dept 40,EQ Epsom Salt 8Lb,PDQ,1,45,
