Store Number,Item Description,Over Shipped Qty
126,WAL VEST PETE XL WMN BLU,80
126,WAL VEST PETE 2XL WMN BLU,81
130,WAL VEST PETE XL WMN BLU,88
130,WAL VEST PETE 2XL WMN BLU,89
175,WAL VEST PETE 2XL WMN BLU,12
175,WAL VEST PETE 2XL WMN BLU,120
249,WAL VEST PETE 2XL WMN BLU,141
393,WAL VEST PETE XL WMN BLU,21
393,WAL VEST PETE 2XL WMN BLU,20
637,WAL VEST PETE XL WMN BLU,52
648,WAL VEST PETE 2XL WMN BLU,82
658,WAL VEST PETE XS WMN BLU,103
658,WAL VEST PETE XL WMN BLU,105
658,WAL VEST PETE 2XL WMN BLU,104
659,WAL VEST PETE XL WMN BLU,93
659,WAL VEST PETE 2XL WMN BLU,94
767,WAL VEST PETE XS WMN BLU,19
767,WAL VEST PETE XS WMN BLU,68
767,WAL VEST PETE 2XL WMN BLU,28
767,WAL VEST PETE 2XL WMN BLU,58
768,WAL VEST PETE XS WMN BLU,25
768,WAL VEST PETE XS WMN BLU,51
768,WAL VEST PETE XL WMN BLU,77
768,WAL VEST PETE 2XL WMN BLU,35
768,WAL VEST PETE 2XL WMN BLU,40
923,WAL VEST PETE XL WMN BLU,55
923,WAL VEST PETE XL WMN BLU,60
1021,WAL VEST PETE XL WMN BLU,30
1021,WAL VEST PETE XL WMN BLU,49
1065,WAL VEST PETE XS WMN BLU,97
1065,WAL VEST PETE XL WMN BLU,15
1065,WAL VEST PETE XL WMN BLU,83
1065,WAL VEST PETE 2XL WMN BLU,99
1083,WAL VEST PETE XS WMN BLU,16
1083,WAL VEST PETE XL WMN BLU,15
1083,WAL VEST PETE 2XL WMN BLU,14
1085,WAL VEST PETE XL WMN BLU,95
1150,WAL VEST PETE 2XL WMN BLU,161
1163,WAL VEST PETE XS WMN BLU,69
1163,WAL VEST PETE XL WMN BLU,70
1163,WAL VEST PETE 2XL WMN BLU,71
1177,WAL VEST PETE XS WMN BLU,126
1177,WAL VEST PETE XL WMN BLU,127
1332,WAL VEST PETE XS WMN BLU,19
1332,WAL VEST PETE XL WMN BLU,18
1332,WAL VEST PETE 2XL WMN BLU,17
1396,WAL VEST PETE 2XL WMN BLU,116
1422,WAL VEST PETE XS WMN BLU,63
1422,WAL VEST PETE XL WMN BLU,64
1422,WAL VEST PETE 2XL WMN BLU,62
1440,WAL VEST PETE XS WMN BLU,112
1440,WAL VEST PETE 2XL WMN BLU,111
1452,WAL VEST PETE XS WMN BLU,53
1452,WAL VEST PETE XS WMN BLU,66
1452,WAL VEST PETE XL WMN BLU,120
1452,WAL VEST PETE 2XL WMN BLU,10
1452,WAL VEST PETE 2XL WMN BLU,111
1629,WAL VEST PETE 2XL WMN BLU,24
1629,WAL VEST PETE 2XL WMN BLU,141
1704,WAL VEST PETE XL WMN BLU,41
1754,WAL VEST PETE XL WMN BLU,63
1799,WAL VEST PETE 2XL WMN BLU,180
1807,WAL VEST PETE XL WMN BLU,78
1838,WAL VEST PETE 2XL WMN BLU,100
1854,WAL VEST PETE XL WMN BLU,25
1854,WAL VEST PETE XL WMN BLU,30
1894,WAL VEST PETE XL WMN BLU,15
1894,WAL VEST PETE XL WMN BLU,52
1894,WAL VEST PETE 2XL WMN BLU,68
1969,WAL VEST PETE 2XL WMN BLU,146
1984,WAL VEST PETE 2XL WMN BLU,169
2021,WAL VEST PETE XS WMN BLU,83
2021,WAL VEST PETE XL WMN BLU,85
2021,WAL VEST PETE 2XL WMN BLU,84
2048,WAL VEST PETE XS WMN BLU,53
2070,WAL VEST PETE 2XL WMN BLU,40
2081,WAL VEST PETE 2XL WMN BLU,150
