Store #,Coverage 
19,Will Receive Product
221,Will Receive Product
1009,Will Receive Product
1014,Will Receive Product
1221,Will Receive Product
1315,Will Receive Product
1585,Will Receive Product
1987,Will Receive Product
2294,Will Receive Product
2511,Will Receive Product
2616,Will Receive Product
2921,Will Receive Product
3208,Will Receive Product
3351,Will Receive Product
3366,Will Receive Product
3484,Will Receive Product
4068,Will Receive Product
5049,Will Receive Product
5167,Will Receive Product
4403,Will Receive Product
5396,Will Receive Product
3409,Will Receive Product
21,Will Receive Product
660,Will Receive Product
515,Will Receive Product
826,Will Receive Product
2126,Will Receive Product
1902,Will Receive Product
2473,Will Receive Product
2923,Will Receive Product
1956,Will Receive Product
1935,Will Receive Product
4451,Will Receive Product
2259,Will Receive Product
3780,Will Receive Product
3620,Will Receive Product
1977,Will Receive Product
842,Will Receive Product
2006,Will Receive Product
3290,Will Receive Product
2197,Will Receive Product
1001,Will Receive Product
2884,Will Receive Product
1995,Will Receive Product
5414,Will Receive Product
5027,Will Receive Product
2924,Will Receive Product
5241,Will Receive Product
4567,Will Receive Product
1872,Will Receive Product
2279,Will Receive Product
75,Will Receive Product
2537,Will Receive Product
1617,Will Receive Product
532,Will Receive Product
5051,Will Receive Product
531,Will Receive Product
1834,Will Receive Product
2051,Will Receive Product
2074,Will Receive Product
2314,Will Receive Product
2844,Will Receive Product
1959,Will Receive Product
2159,Will Receive Product
3511,Will Receive Product
2557,Will Receive Product
3802,Will Receive Product
5134,Will Receive Product
4660,Will Receive Product
1707,Will Receive Product
2243,Will Receive Product
4352,Will Receive Product
1716,Will Receive Product
2307,Will Receive Product
103,Will Receive Product
1564,Will Receive Product
5382,Will Receive Product
1532,Will Receive Product
2163,Will Receive Product
2892,Will Receive Product
1772,Will Receive Product
868,Will Receive Product
3241,Will Receive Product
953,Will Receive Product
2371,Will Receive Product
5430,Will Receive Product
1453,Will Receive Product
5137,Will Receive Product
2543,Will Receive Product
844,Will Receive Product
1757,Will Receive Product
1762,Will Receive Product
386,Will Receive Product
5686,Will Receive Product
1633,Will Receive Product
1588,Will Receive Product
1273,Will Receive Product
5186,Will Receive Product
3407,Will Receive Product
1280,Will Receive Product
2477,Will Receive Product
1844,Will Receive Product
3731,Will Receive Product
1160,Will Receive Product
2321,Will Receive Product
4243,Will Receive Product
1948,Will Receive Product
41,Store Not Serviced
1796,Store Not Serviced
2822,Store Not Serviced
1037,Store Not Serviced
1663,Store Not Serviced
2922,Store Not Serviced
2693,Store Not Serviced
5842,Store Not Serviced
599,Store Not Serviced
5883,Store Not Serviced
611,Store Not Serviced
4430,Store Not Serviced
2012,Store Not Serviced
1994,Store Not Serviced
2838,Store Not Serviced
5160,Store Not Serviced
3824,Store Not Serviced
2720,Store Not Serviced
1202,Store Not Serviced
1965,Store Not Serviced
2030,Store Not Serviced
1689,Store Not Serviced
2587,Store Not Serviced
2077,Store Not Serviced
2146,Store Not Serviced
4601,Store Not Serviced
2508,Store Not Serviced
1971,Store Not Serviced
231,Store Not Serviced
582,Store Not Serviced
2069,Store Not Serviced
1080,Store Not Serviced
1951,Store Not Serviced
3352,Store Not Serviced
5450,Store Not Serviced
2596,Store Not Serviced
2780,Store Not Serviced
1679,Store Not Serviced
966,Store Not Serviced
2007,Store Not Serviced
2865,Store Not Serviced
1036,Store Not Serviced
1087,Store Not Serviced
2075,Store Not Serviced
1869,Store Not Serviced
2265,Store Not Serviced
3730,Store Not Serviced
755,Store Not Serviced
905,Store Not Serviced
3722,Store Not Serviced
819,Store Not Serviced
5727,Store Not Serviced
2050,Store Not Serviced
5071,Store Not Serviced
4065,Store Not Serviced
1931,Store Not Serviced
744,Store Not Serviced
1034,Store Not Serviced
2554,Store Not Serviced
2330,Store Not Serviced
4356,Store Not Serviced
309,Store Not Serviced
4276,Store Not Serviced
1240,Store Not Serviced
2906,Store Not Serviced
2166,Store Not Serviced
838,Store Not Serviced
37,Store Not Serviced
2351,Store Not Serviced
1319,Store Not Serviced
2992,Store Not Serviced
3150,Store Not Serviced
3705,Store Not Serviced
129,Store Not Serviced
1746,Store Not Serviced
201,Store Not Serviced
935,Store Not Serviced
384,Store Not Serviced
415,Store Not Serviced
2476,Store Not Serviced
4295,Store Not Serviced
402,Store Not Serviced
2629,Store Not Serviced
5260,Store Not Serviced
3581,Store Not Serviced
3801,Store Not Serviced
981,Store Not Serviced
678,Store Not Serviced
5432,Store Not Serviced
1982,Store Not Serviced
5466,Store Not Serviced
60,Store Not Serviced
631,Store Not Serviced
3568,Store Not Serviced
2028,Store Not Serviced
505,Store Not Serviced
2652,Store Not Serviced
2853,Store Not Serviced
1775,Store Not Serviced
1328,Store Not Serviced
1863,Store Not Serviced
603,Store Not Serviced
3344,Store Not Serviced
1209,Store Not Serviced
1167,Store Not Serviced
862,Store Not Serviced
3332,Store Not Serviced
1936,Store Not Serviced
2755,Store Not Serviced
10,Store Not Serviced
3531,Store Not Serviced
2273,Store Not Serviced
130,Store Not Serviced
1097,Store Not Serviced
2361,Store Not Serviced
5192,Store Not Serviced
551,Store Not Serviced
2399,Store Not Serviced
313,Store Not Serviced
3495,Store Not Serviced
3633,Store Not Serviced
1116,Store Not Serviced
1358,Store Not Serviced
2619,Store Not Serviced
205,Store Not Serviced
689,Store Not Serviced
2386,Store Not Serviced
2101,Store Not Serviced
2261,Store Not Serviced
4590,Store Not Serviced
1430,Store Not Serviced
1836,Store Not Serviced
4370,Store Not Serviced
2932,Store Not Serviced
1030,Store Not Serviced
1536,Store Not Serviced
5443,Store Not Serviced
709,Store Not Serviced
1900,Store Not Serviced
3230,Store Not Serviced
95,Store Not Serviced
36,Store Not Serviced
3757,Store Not Serviced
4679,Store Not Serviced
539,Store Not Serviced
3514,Store Not Serviced
1968,Store Not Serviced
1079,Store Not Serviced
2323,Store Not Serviced
5136,Store Not Serviced
2438,Store Not Serviced
3465,Store Not Serviced
1905,Store Not Serviced
1259,Store Not Serviced
5105,Store Not Serviced
816,Store Not Serviced
5629,Store Not Serviced
5155,Store Not Serviced
383,Store Not Serviced
2453,Store Not Serviced
2370,Store Not Serviced
521,Store Not Serviced
1104,Store Not Serviced
428,Store Not Serviced
1917,Store Not Serviced
1554,Store Not Serviced
3460,Store Not Serviced
259,Store Not Serviced
634,Store Not Serviced
2668,Store Not Serviced
672,Store Not Serviced
4609,Store Not Serviced
489,Store Not Serviced
2482,Store Not Serviced
5649,Store Not Serviced
3017,Store Not Serviced
1060,Store Not Serviced
5048,Store Not Serviced
4734,Store Not Serviced
9,Store Not Serviced
517,Store Not Serviced
1815,Store Not Serviced
1979,Store Not Serviced
3547,Store Not Serviced
2469,Store Not Serviced
2366,Store Not Serviced
3527,Store Not Serviced
3429,Store Not Serviced
359,Store Not Serviced
5858,Store Not Serviced
3380,Store Not Serviced
3837,Store Not Serviced
1847,Store Not Serviced
5,Store Not Serviced
2911,Store Not Serviced
909,Store Not Serviced
2725,Store Not Serviced
2927,Store Not Serviced
5461,Store Not Serviced
4334,Store Not Serviced
3860,Store Not Serviced
1260,Store Not Serviced
1890,Store Not Serviced
5387,Store Not Serviced
887,Store Not Serviced
2136,Store Not Serviced
5424,Store Not Serviced
892,Store Not Serviced
1539,Store Not Serviced
853,Store Not Serviced
2144,Store Not Serviced
3570,Store Not Serviced
4232,Store Not Serviced
4317,Store Not Serviced
3533,Store Not Serviced
2306,Store Not Serviced
4239,Store Not Serviced
3585,Store Not Serviced
592,Store Not Serviced
219,Store Not Serviced
1760,Store Not Serviced
613,Store Not Serviced
1133,Store Not Serviced
3423,Store Not Serviced
319,Store Not Serviced
1120,Store Not Serviced
1733,Store Not Serviced
2095,Store Not Serviced
2529,Store Not Serviced
424,Store Not Serviced
929,Store Not Serviced
721,Store Not Serviced
2205,Store Not Serviced
284,Store Not Serviced
1490,Store Not Serviced
3486,Store Not Serviced
794,Store Not Serviced
2121,Store Not Serviced
2450,Store Not Serviced
5779,Store Not Serviced
3445,Store Not Serviced
3733,Store Not Serviced
4479,Store Not Serviced
1382,Store Not Serviced
5247,Store Not Serviced
556,Store Not Serviced
4476,Store Not Serviced
23,Store Not Serviced
1922,Store Not Serviced
1428,Store Not Serviced
1552,Store Not Serviced
2055,Store Not Serviced
5216,Store Not Serviced
5174,Store Not Serviced
2823,Store Not Serviced
1233,Store Not Serviced
3339,Store Not Serviced
4384,Store Not Serviced
719,Store Not Serviced
3712,Store Not Serviced
1961,Store Not Serviced
1317,Store Not Serviced
4284,Store Not Serviced
4309,Store Not Serviced
2310,Store Not Serviced
3537,Store Not Serviced
1702,Store Not Serviced
2155,Store Not Serviced
2846,Store Not Serviced
2678,Store Not Serviced
148,Store Not Serviced
2022,Store Not Serviced
3652,Store Not Serviced
1926,Store Not Serviced
3502,Store Not Serviced
823,Store Not Serviced
2547,Store Not Serviced
2615,Store Not Serviced
2768,Store Not Serviced
1910,Store Not Serviced
1662,Store Not Serviced
3549,Store Not Serviced
295,Store Not Serviced
1737,Store Not Serviced
1394,Store Not Serviced
5254,Store Not Serviced
2441,Store Not Serviced
4,Store Not Serviced
1767,Store Not Serviced
1943,Store Not Serviced
5764,Store Not Serviced
5499,Store Not Serviced
2156,Store Not Serviced
1749,Store Not Serviced
950,Store Not Serviced
5347,Store Not Serviced
3212,Store Not Serviced
3270,Store Not Serviced
361,Store Not Serviced
1466,Store Not Serviced
5079,Store Not Serviced
5113,Store Not Serviced
2719,Store Not Serviced
2418,Store Not Serviced
3835,Store Not Serviced
261,Store Not Serviced
1598,Store Not Serviced
640,Store Not Serviced
2592,Store Not Serviced
472,Store Not Serviced
3493,Store Not Serviced
1704,Store Not Serviced
2608,Store Not Serviced
5029,Store Not Serviced
5130,Store Not Serviced
3483,Store Not Serviced
942,Store Not Serviced
934,Store Not Serviced
3427,Store Not Serviced
1980,Store Not Serviced
1946,Store Not Serviced
