Store,Curr Total Baseline TL HC,Curr Total Budgeted TL HC,New Total Baseline TL HC,New Total Budgeted TL HC,Curr F&C TL Baseline HC,Curr F&C TL Budgeted HC,New F&C Baseline HC,New F&C Budgeted HC,Total Added Budgeted HC
607,12,9,12,9,2,2,2,2,0
893,12,9,12,9,2,2,2,2,0
760,12,12,12,12,2,2,2,2,0
339,12,12,12,12,2,2,2,2,0
837,12,12,12,12,2,2,2,2,0
841,12,12,12,12,2,2,2,2,0
230,12,12,12,12,2,2,2,2,0
482,12,12,12,12,2,2,2,2,0
209,12,12,12,12,2,2,2,2,0
116,12,12,12,12,2,2,2,2,0
957,12,12,12,12,2,2,2,2,0
210,12,12,12,12,2,2,2,2,0
320,14,14,14,14,2,2,2,2,0
1078,12,12,12,12,2,2,2,2,0
545,12,12,12,12,2,2,2,2,0
326,14,14,14,14,2,2,2,2,0
289,12,12,12,12,2,2,2,2,0
1550,12,12,12,12,2,2,2,2,0
792,12,12,12,12,2,2,2,2,0
895,12,12,12,12,2,2,2,2,0
478,12,12,12,12,2,2,2,2,0
136,12,12,12,12,2,2,2,2,0
274,12,12,12,12,2,2,2,2,0
411,12,12,12,12,2,2,2,2,0
352,17,17,17,17,2,2,2,2,0
385,19,19,19,19,2,2,2,2,0
44,12,12,12,12,2,2,2,2,0
1046,12,12,12,12,2,2,2,2,0
293,17,17,17,17,2,2,2,2,0
567,17,17,17,17,2,2,2,2,0
311,12,12,12,12,2,2,2,2,0
247,17,17,17,17,2,2,2,2,0
57,19,19,19,19,2,2,2,2,0
783,19,19,19,19,2,2,2,2,0
845,12,12,12,12,2,2,2,2,0
473,19,19,19,19,2,2,2,2,0
830,17,17,17,17,2,2,2,2,0
713,17,17,17,17,2,2,2,2,0
453,12,12,12,12,2,2,2,2,0
1067,17,17,17,17,2,2,2,2,0
446,17,17,17,17,2,2,2,2,0
871,14,14,14,14,2,2,2,2,0
1063,17,17,17,17,2,2,2,2,0
596,12,12,12,12,2,2,2,2,0
951,17,17,17,17,2,2,2,2,0
1701,17,17,17,17,2,2,2,2,0
480,17,17,17,17,2,2,2,2,0
503,17,17,17,17,2,2,2,2,0
283,17,17,17,17,2,2,2,2,0
232,17,17,17,17,2,2,2,2,0
977,17,17,17,17,2,2,2,2,0
996,17,17,17,17,2,2,2,2,0
176,17,17,17,17,2,2,2,2,0
1159,17,17,17,17,2,2,2,2,0
1546,17,17,17,17,2,2,2,2,0
626,17,18,17,18,2,2,2,2,0
1166,17,17,17,17,2,2,2,2,0
117,17,17,17,17,2,2,2,2,0
617,17,17,17,17,2,2,2,2,0
7238,20,20,20,20,2,2,2,2,0
1808,17,17,17,17,2,2,2,2,0
1471,17,17,17,17,2,2,2,2,0
133,19,19,19,19,2,2,2,2,0
2711,17,17,17,17,2,2,2,2,0
1919,17,18,17,18,2,2,2,2,0
2043,17,17,17,17,2,2,2,2,0
1990,19,19,19,19,2,2,2,2,0
2057,17,17,17,17,2,2,2,2,0
1189,17,17,17,17,2,2,2,2,0
2866,19,19,19,19,2,2,2,2,0
1323,19,19,19,19,2,2,2,2,0
1013,17,17,17,17,2,2,2,2,0
2899,17,17,17,17,2,2,2,2,0
5629,17,17,17,17,2,2,2,2,0
438,20,20,20,20,2,2,2,2,0
2020,17,17,17,17,2,2,2,2,0
693,17,17,17,17,2,2,2,2,0
418,19,19,19,19,2,2,2,2,0
552,17,17,17,17,2,2,2,2,0
7243,20,20,20,20,2,2,2,2,0
1751,17,17,17,17,2,2,2,2,0
178,19,19,19,19,2,2,2,2,0
524,19,19,19,19,2,2,2,2,0
1257,20,20,20,20,2,2,2,2,0
606,17,17,17,17,2,2,2,2,0
1119,17,17,17,17,2,2,2,2,0
696,17,17,17,17,2,2,2,2,0
2398,17,17,17,17,2,2,2,2,0
4471,20,20,20,20,2,2,2,2,0
898,18,19,18,19,2,2,2,2,0
1795,17,17,17,17,2,2,2,2,0
2659,17,17,17,17,2,2,2,2,0
2683,17,18,17,18,2,2,2,2,0
2254,17,17,17,17,2,2,2,2,0
5089,17,18,17,18,2,2,2,2,0
1816,17,17,17,17,2,2,2,2,0
3758,19,19,19,19,2,2,2,2,0
1895,18,18,18,18,2,2,2,2,0
3545,17,17,17,17,2,2,2,2,0
323,19,19,19,19,2,2,2,2,0
341,19,19,19,19,2,2,2,2,0
244,19,19,19,19,2,2,2,2,0
2867,19,19,19,19,2,2,2,2,0
132,19,19,19,19,2,2,2,2,0
1057,19,19,19,19,2,2,2,2,0
3322,19,19,19,19,2,2,2,2,0
1610,17,17,17,17,2,2,2,2,0
1489,17,17,17,17,2,2,2,2,0
986,17,17,17,17,2,2,2,2,0
1629,17,17,17,17,2,2,2,2,0
2009,18,18,18,18,2,2,2,2,0
1865,19,19,19,19,2,2,2,2,0
207,19,19,19,19,2,2,2,2,0
843,19,20,19,20,2,2,2,2,0
7246,19,19,19,19,2,2,2,2,0
74,19,19,19,19,2,2,2,2,0
1365,17,17,17,17,2,2,2,2,0
4457,19,19,19,19,2,2,2,2,0
2898,17,17,17,17,2,2,2,2,0
1562,18,19,18,19,2,2,2,2,0
2792,19,19,19,19,2,2,2,2,0
106,19,19,19,19,2,2,2,2,0
925,18,18,18,18,2,2,2,2,0
2885,17,17,17,17,2,2,2,2,0
7245,19,19,19,19,2,2,2,2,0
303,19,19,19,19,2,2,2,2,0
370,19,19,19,19,2,2,2,2,0
1325,18,18,18,18,2,2,2,2,0
7129,20,20,20,20,2,2,2,2,0
1506,19,19,19,19,2,2,2,2,0
2558,20,21,20,21,2,2,2,2,0
7249,19,19,19,19,2,2,2,2,0
2654,19,19,19,19,2,2,2,2,0
2090,18,18,18,18,2,2,2,2,0
2903,18,18,18,18,2,2,2,2,0
2710,17,17,17,17,2,2,2,2,0
4322,19,19,19,19,2,2,2,2,0
917,19,19,19,19,2,2,2,2,0
4569,19,19,19,19,2,2,2,2,0
2582,18,18,18,18,2,2,2,2,0
900,21,21,21,21,2,2,2,2,0
378,19,19,19,19,2,2,2,2,0
4554,21,21,21,21,2,2,2,2,0
1108,19,19,19,19,2,2,2,2,0
4428,19,19,19,19,2,2,2,2,0
1501,18,18,18,18,2,2,2,2,0
5044,19,19,19,19,2,2,2,2,0
1974,17,18,17,18,2,2,2,2,0
2562,21,21,21,21,2,2,2,2,0
2190,20,21,20,21,2,2,2,2,0
443,23,23,23,23,2,2,2,2,0
5381,18,18,18,18,2,2,2,2,0
2167,19,19,19,19,2,2,2,2,0
1451,19,19,19,19,2,2,2,2,0
1169,19,19,19,19,2,2,2,2,0
751,19,19,19,19,2,2,2,2,0
1069,19,19,19,19,2,2,2,2,0
798,19,19,19,19,2,2,2,2,0
3303,19,20,19,20,2,2,2,2,0
162,19,19,19,19,2,2,2,2,0
1452,18,20,18,20,2,2,2,2,0
1214,21,21,21,21,2,2,2,2,0
1972,20,21,20,21,2,2,2,2,0
1138,18,18,18,18,2,2,2,2,0
1110,19,19,19,19,2,2,2,2,0
3809,21,22,21,22,2,2,2,2,0
888,21,21,21,21,2,2,2,2,0
1838,18,19,18,19,2,2,2,2,0
373,20,20,20,20,2,2,2,2,0
647,19,19,19,19,2,2,2,2,0
1691,20,20,20,20,2,2,2,2,0
1336,18,18,18,18,2,2,2,2,0
5246,23,23,23,23,2,2,2,2,0
2422,20,20,20,20,2,2,2,2,0
2901,18,18,18,18,2,2,2,2,0
3177,21,21,21,21,2,3,2,3,0
1786,18,19,18,19,2,2,2,2,0
506,21,21,21,21,2,2,2,2,0
7247,19,19,19,19,2,2,2,2,0
1235,23,23,23,23,2,2,2,2,0
3549,18,18,18,18,2,2,2,2,0
873,18,18,18,18,2,2,2,2,0
3852,19,19,19,19,2,2,2,2,0
4606,19,19,19,19,2,2,2,2,0
956,18,18,18,18,2,2,2,2,0
344,23,23,23,23,2,2,2,2,0
1697,18,20,18,20,2,2,2,2,0
3563,18,18,18,18,2,2,2,2,0
3291,22,22,22,22,2,2,2,2,0
646,21,21,21,21,2,2,2,2,0
5170,21,21,21,21,2,3,2,3,0
1616,18,18,18,18,2,2,2,2,0
1475,19,19,19,19,2,2,2,2,0
2645,19,19,19,19,2,2,2,2,0
1766,21,21,21,21,2,2,2,2,0
2293,23,23,23,23,2,2,2,2,0
2236,18,19,18,19,2,2,2,2,0
169,19,19,19,19,2,2,2,2,0
3875,21,21,21,21,2,2,2,2,0
5874,18,18,18,18,2,2,2,2,0
5668,21,21,21,21,2,2,2,2,0
342,23,23,23,23,2,2,2,2,0
1639,19,19,19,19,2,2,2,2,0
1683,21,21,21,21,2,2,2,2,0
149,21,21,21,21,2,2,2,2,0
2161,20,21,20,21,2,2,2,2,0
1374,18,18,18,18,2,2,2,2,0
1274,21,21,21,21,2,2,2,2,0
425,21,21,21,21,2,2,2,2,0
2008,18,18,18,18,2,2,2,2,0
1603,21,21,21,21,2,2,2,2,0
