STORE #,Floral Fixture ,Split Bin Dividers,Banana Out Post 
1803,Complete ,No,Yes
290,Complete ,No,Yes
438,Complete ,No,Yes
443,Complete ,No,Yes
1257,Complete ,No,Yes
1435,Complete ,No,No
3170,Complete ,No,Yes
4103,Complete ,No,Yes
39,TBD,No,Yes
178,TBD,No,Yes
203,TBD,No,No
218,TBD,No,Yes
324,TBD,No,No
346,TBD,No,Yes
370,TBD,No,No
378,TBD,No,No
387,TBD,No,Yes
418,TBD,No,No
613,TBD,No,No
647,TBD,No,No
748,TBD,No,No
1389,TBD,No,No
1639,TBD,No,No
2178,TBD,No,No
2275,TBD,No,Yes
2369,TBD,No,Yes
2639,TBD,No,No
2654,TBD,No,No
2758,TBD,No,No
5411,TBD,No,Yes
98,TBD,No,Yes
106,TBD,No,Yes
167,TBD,No,Yes
303,TBD,No,Yes
323,TBD,No,Yes
409,TBD,No,Yes
485,TBD,No,Yes
550,TBD,No,Yes
843,TBD,No,No
1052,TBD,No,Yes
1057,TBD,No,Yes
1069,TBD,No,No
1100,TBD,No,No
1603,TBD,No,No
1675,TBD,No,No
2441,TBD,No,No
2705,TBD,No,No
2730,TBD,No,Yes
2792,TBD,No,No
2805,TBD,No,No
7238,TBD,No,No
7243,TBD,No,No
7245,TBD,No,No
7247,TBD,No,Yes
829,TBD,No,No
1154,TBD,No,Yes
1588,TBD,No,No
2130,TBD,No,No
2853,TBD,No,No
4471,TBD,No,No
5676,TBD,No,Yes
3781,No,No,Yes
2527,TBD,No,No
64,TBD,No,Yes
1499,TBD,Yes,Yes
5610,No,No,No
1,Complete ,No,Yes
4,Complete ,Yes,Yes
5,Complete ,Yes,Yes
21,Complete ,No,Yes
35,Complete ,Yes,Yes
43,Complete ,Yes,Yes
45,Complete ,Yes,Yes
48,Complete ,Yes,No
52,Complete ,Yes,Yes
54,Complete ,Yes,Yes
77,Complete ,Yes,Yes
80,Complete ,Yes,Yes
81,Complete ,Yes,Yes
100,Complete ,No,Yes
110,Yes,No,No
124,Complete ,Yes,No
549,Complete ,Yes,Yes
144,Complete ,Yes,Yes
148,Complete ,Yes,Yes
159,Complete ,Yes,Yes
162,Complete ,No,Yes
163,Complete ,No,Yes
165,Complete ,Yes,Yes
180,Complete ,Yes,Yes
185,Complete ,No,Yes
194,Complete ,Yes,No
202,Complete ,Yes,No
206,Complete ,No,No
211,Complete ,Yes,Yes
212,Complete ,Yes,Yes
217,Complete ,Yes,Yes
220,Complete ,Yes,No
221,Complete ,Yes,Yes
228,Complete ,Yes,No
240,Complete ,Yes,Yes
249,Complete ,Yes,Yes
259,Complete ,No,Yes
260,Complete ,Yes,No
265,Complete ,Yes,No
266,Complete ,Yes,No
269,Complete ,No,No
279,Complete ,No,Yes
280,Complete ,Yes,Yes
284,Complete ,No,Yes
285,Complete ,Yes,Yes
286,Complete ,Yes,Yes
131,Complete ,Yes,No
292,Complete ,No,Yes
297,Complete ,Yes,Yes
299,Complete ,Yes,Yes
322,Complete ,No,Yes
330,Complete ,Yes,Yes
332,Complete ,Yes,No
344,Complete ,No,Yes
351,Complete ,Yes,Yes
353,Complete ,Yes,Yes
359,Complete ,No,Yes
371,Complete ,Yes,No
372,Complete ,No,Yes
375,Complete ,Yes,No
381,Complete ,Yes,Yes
388,Complete ,Yes,Yes
392,Complete ,Yes,Yes
395,Complete ,Yes,Yes
397,Complete ,Yes,Yes
398,Complete ,Yes,Yes
399,Complete ,No,Yes
400,Complete ,Yes,Yes
404,Complete ,Yes,Yes
406,Complete ,No,No
408,Complete ,Yes,No
410,Complete ,Yes,Yes
412,Complete ,Yes,No
413,Complete ,Yes,Yes
417,Complete ,Yes,Yes
420,Complete ,Yes,No
421,Complete ,No,No
426,Complete ,No,Yes
427,Complete ,Yes,No
429,Complete ,Yes,Yes
430,Complete ,Yes,Yes
437,Complete ,Yes,No
608,Complete ,Yes,Yes
440,Complete ,No,Yes
442,Complete ,Yes,Yes
789,Complete ,Yes,No
447,Complete ,Yes,Yes
449,Complete ,Yes,Yes
452,Complete ,Yes,Yes
456,Complete ,Yes,Yes
458,Complete ,No,Yes
461,Complete ,Yes,Yes
462,Complete ,Yes,Yes
463,Complete ,Yes,Yes
464,Complete ,Yes,Yes
465,Complete ,No,Yes
467,Complete ,Yes,Yes
470,Complete ,Yes,Yes
471,Complete ,Yes,No
472,Complete ,Yes,Yes
475,Complete ,Yes,Yes
479,Complete ,No,Yes
490,Complete ,No,Yes
