DC NBR #,Biz Unit,Commodity,WK 38,WK 39,WK 40,WK 41,WK 42,WK 43,WK 44,WK 45,WK 46,WK 47
4154,Sam's,CHEESE ADVENT CAL,0,0,0,567,0,0,0,0,0,0
4154,Sam's,CRANBERRIES,0,0,0,147,0,0,0,0,0,0
4154,Sam's,CRANBERRY SAUCE,0,460,2773,3739,3023,0,0,0,0,0
4154,Sam's,PIES AND DESSERTS,3547,5175,2756,7795,11222,1285,1969,560,4057,192
4154,Sam's,PRIME RIB,0,0,362,0,0,0,0,0,0,0
4154,Sam's,TURKEY GRAVY,0,813,2438,3750,2666,0,0,0,0,0
4154,WALMART,EGGS COMMODITY,0,0,0,0,0,0,0,0,0,0
4154,WALMART,FROZEN PIES AND COOL WHIP,0,0,0,0,0,0,0,0,0,0
4154,WALMART,FROZEN ROLLS,0,0,0,0,0,0,0,0,0,0
4154,WALMART,GREENS,0,0,0,0,0,0,0,0,0,0
4154,WALMART,OIL AND SHORTENING,0,0,0,0,0,0,0,0,0,0
4154,WALMART,PIES AND DESSERTS,0,0,0,0,0,0,0,0,0,0
4154,WALMART,POTATOES,0,0,0,0,0,0,0,0,0,0
4154,WALMART,SWEET POTATOES,0,0,0,0,0,0,0,0,0,0
6042,Sam's,CHEESE ADVENT CAL,0,0,0,477,0,0,0,0,0,0
6042,Sam's,CHRISTMAS FOLIAGE,0,0,0,0,0,0,0,0,0,7809
6042,Sam's,CRANBERRIES,0,0,0,2107,0,0,0,0,0,0
6042,Sam's,CRANBERRY SAUCE,0,523,3168,4272,3458,0,0,0,0,0
6042,Sam's,HAM,2142,3215,3215,3930,4645,2713,4748,3430,2674,0
6042,Sam's,PIES AND DESSERTS,2760,5203,3139,9872,17612,1412,2539,1034,3732,168
6042,Sam's,PRIME RIB,0,0,290,0,341,0,363,0,0,0
6042,Sam's,THANKSGIVING FOLIAGE,0,0,0,0,6894,0,0,0,0,0
6042,Sam's,TURKEY,0,1117,4456,5779,11448,0,0,0,0,0
6042,Sam's,TURKEY GRAVY,0,999,3001,4619,3277,0,0,0,0,0
6042,WALMART,EGGS COMMODITY,14791,14694,16460,16264,20075,16832,16733,16964,18378,14170
6042,WALMART,FROZEN PIES AND COOL WHIP,1909,2593,5573,5492,12607,12182,1273,2414,4501,4832
6042,WALMART,FROZEN ROLLS,3246,3331,5957,4680,7057,6475,3370,3553,4316,4419
6042,WALMART,GREENS,597,548,656,699,1331,1395,552,585,691,553
6042,WALMART,OIL AND SHORTENING,8010,5695,7504,7787,11311,7796,5406,6073,6192,3982
6042,WALMART,PIES AND DESSERTS,1037,1368,1636,2182,5582,7409,906,981,1493,1524
6042,WALMART,POTATOES,6931,7229,8000,8907,13210,9197,6765,7378,8835,7062
6042,WALMART,SWEET POTATOES,668,745,993,1455,3000,1809,671,750,1080,885
6047,Sam's,CHEESE ADVENT CAL,0,0,0,336,0,0,0,0,0,0
6047,Sam's,CHRISTMAS FOLIAGE,0,0,0,0,0,0,0,0,0,4227
6047,Sam's,CRANBERRIES,0,0,0,931,0,0,0,0,0,0
6047,Sam's,CRANBERRY SAUCE,0,238,1419,1913,1548,0,0,0,0,0
6047,Sam's,HAM,976,1460,1460,1824,2030,1301,2269,1683,1260,0
6047,Sam's,PIES AND DESSERTS,2808,2688,1413,3801,4908,912,858,120,1596,0
6047,Sam's,PRIME RIB,0,0,230,0,64,0,303,0,0,0
6047,Sam's,THANKSGIVING FOLIAGE,0,0,0,0,3390,0,0,0,0,0
6047,Sam's,TURKEY,0,257,1023,2264,4034,0,0,0,0,0
6047,Sam's,TURKEY GRAVY,0,493,1487,2288,1625,0,0,0,0,0
6047,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6047,WALMART,EGGS COMMODITY,19063,19054,20791,20809,25385,20345,21235,21764,23877,17653
6047,WALMART,FROZEN PIES AND COOL WHIP,2778,3584,6617,6115,12801,8972,2578,3268,4896,4173
6047,WALMART,FROZEN ROLLS,4380,4271,6474,5604,7069,5411,4507,4968,5788,4992
6047,WALMART,GREENS,1092,1035,1150,1351,2836,2815,982,1080,1392,1273
6047,WALMART,OIL AND SHORTENING,11274,7109,8401,8773,11708,8064,7342,8135,7959,4980
6047,WALMART,PIES AND DESSERTS,2000,2601,3062,3529,7209,6580,1842,2059,2566,2084
6047,WALMART,POTATOES,5535,5785,6402,7468,11977,7792,5399,6049,7415,6061
6047,WALMART,SWEET POTATOES,976,1066,1377,2091,4799,2622,929,1063,1478,1203
6055,Sam's,CHEESE ADVENT CAL,0,0,0,432,0,0,0,0,0,0
6055,Sam's,CHRISTMAS FOLIAGE,0,0,0,0,0,0,0,0,0,5574
6055,Sam's,CRANBERRIES,0,0,0,2107,0,0,0,0,0,0
6055,Sam's,CRANBERRY SAUCE,0,470,2834,3821,3089,0,0,0,0,0
6055,Sam's,HAM,2178,3276,3276,3972,4700,2757,6338,3536,2681,0
6055,Sam's,PIES AND DESSERTS,2184,4406,2393,6754,11128,1715,2283,765,2995,118
6055,Sam's,PRIME RIB,0,0,322,0,264,0,408,0,0,0
6055,Sam's,THANKSGIVING FOLIAGE,0,0,0,0,4548,0,0,0,0,0
6055,Sam's,TURKEY,0,1128,4510,6856,10772,0,0,0,0,0
6055,Sam's,TURKEY GRAVY,0,983,2955,4551,3233,0,0,0,0,0
6055,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6055,WALMART,EGGS COMMODITY,19828,18812,20751,21400,26975,21192,21212,21791,24372,17973
6055,WALMART,FROZEN PIES AND COOL WHIP,1867,2575,5223,3948,8097,6820,1752,2181,3276,3085
6055,WALMART,FROZEN ROLLS,3185,3191,4465,4083,5502,4881,3563,3395,4242,3560
6055,WALMART,GREENS,1423,1374,1557,1886,5083,5742,1256,1429,2236,2522
6055,WALMART,OIL AND SHORTENING,11738,8871,11034,12187,18194,11638,8211,9342,9732,6063
6055,WALMART,PIES AND DESSERTS,1152,1343,1796,2325,5358,5402,917,1165,1851,1638
6055,WALMART,POTATOES,6205,6235,6701,7354,10598,7854,5704,6411,7488,6035
6055,WALMART,SWEET POTATOES,910,982,1266,1918,4253,2512,841,999,1412,1178
6056,Sam's,CHEESE ADVENT CAL,0,0,0,511,0,0,0,0,0,0
6056,Sam's,CHRISTMAS FOLIAGE,0,0,0,0,0,0,0,0,0,7992
6056,Sam's,CRANBERRIES,0,0,0,2156,0,0,0,0,0,0
6056,Sam's,CRANBERRY SAUCE,0,538,3226,4353,3523,0,0,0,0,0
6056,Sam's,HAM,1703,2557,2557,3163,3516,2146,3751,2933,1928,0
6056,Sam's,PIES AND DESSERTS,3703,6400,3824,13722,23811,2043,3084,1269,5022,198
6056,Sam's,PRIME RIB,0,0,278,0,225,0,296,0,0,0
6056,Sam's,THANKSGIVING FOLIAGE,0,0,0,0,6756,0,0,0,0,0
6056,Sam's,TURKEY,0,1202,4794,6154,12175,0,0,0,0,0
6056,Sam's,TURKEY GRAVY,0,1116,3361,5170,3675,0,0,0,0,0
6056,WALMART,CRANBERRIES,0,0,0,0,0,0,0,0,0,0
6056,WALMART,EGGS COMMODITY,14347,14168,15449,15612,19424,15783,15852,16151,17531,12911
6056,WALMART,FROZEN PIES AND COOL WHIP,1466,1981,3944,3334,7142,6442,1587,1872,2711,2513
6056,WALMART,FROZEN ROLLS,2504,2524,4211,3349,5020,4758,2724,2671,3118,2814
6056,WALMART,GREENS,772,731,844,1046,2367,2584,746,762,987,867
6056,WALMART,OIL AND SHORTENING,44,49,41,49,58,84,41,59,61,62
6056,WALMART,PIES AND DESSERTS,888,1183,1452,1913,5249,4602,1263,1211,1675,1458
6056,WALMART,POTATOES,5473,5703,6237,6837,10039,7349,5344,5901,6930,5495
6056,WALMART,SWEET POTATOES,751,807,1084,1623,3606,2178,763,851,1243,1029
6057,Sam's,CHEESE ADVENT CAL,0,0,0,336,0,0,0,0,0,0
6057,Sam's,CHRISTMAS FOLIAGE,0,0,0,0,0,0,0,0,0,2982
6057,Sam's,CRANBERRIES,0,0,0,1274,0,0,0,0,0,0
6057,Sam's,CRANBERRY SAUCE,0,280,1685,2277,1841,0,0,0,0,0
6057,Sam's,HAM,1667,2502,2502,3113,3564,2097,3670,2639,2083,0
6057,Sam's,PIES AND DESSERTS,1092,2468,1579,4895,8587,1683,1483,743,2107,74
