Store #,Exiting WSP Supplier,New WSP Supplier
1440,WAD,Premium
1456,WAD,Premium
1572,WAD,Premium
1573,WAD,Premium
1686,WAD,Premium
1699,WAD,Premium
1708,WAD,Premium
1768,WAD,Premium
1878,WAD,Premium
1888,WAD,Premium
1900,WAD,Premium
1902,WAD,Premium
1905,WAD,Premium
1995,WAD,Premium
2307,WAD,Premium
2511,WAD,Premium
2831,WAD,Premium
2921,WAD,Premium
3208,WAD,Premium
3232,WAD,Premium
3366,WAD,Premium
3454,WAD,Premium
3568,WAD,Premium
3589,WAD,Premium
3620,WAD,Premium
3789,WAD,Premium
3897,WAD,Premium
4068,WAD,Premium
4272,WAD,Premium
4438,WAD,Premium
5168,WAD,Premium
5233,WAD,Premium
5234,WAD,Premium
5270,WAD,Premium
5494,WAD,Premium
