Region,Store#,Staffing at store,Possession Actual,Construction Duration
35,631,3,10/5/2025,1 week
35,640,12,9/7/2025,2 weeks
35,641,14,1/4/2026,2 weeks
19,787,12,9/21/2025,1 week
385,850,12,8/24/2025,1 week
20,855,12,9/21/2025,1 week (3 working nights)
33,1037,14,8/31/2025,2 weeks
26,1181,3,7/20/2025,1 week (3 working nights)
83,1185,15,10/5/2025,1 week
25,1340,12,9/28/2025,2 weeks
221,1443,12,10/5/2025,1 week
249,1459,14,9/28/2025,2 weeks
482,1518,14,9/28/2025,3 weeks
482,1557,14,10/19/2025,1 week
26,1586,12,10/12/2025,1 week (3 working nights)
192,1619,12,8/24/2025,2 weeks
376,1689,12,9/14/2025,2 weeks
461,1747,14,9/7/2025,2 weeks
284,1860,14,9/14/2025,2 weeks
209,1863,14,9/7/2025,2 weeks
283,1985,14,9/15/2025,3 weeks
469,2070,15,9/28/2025,3 weeks
219,2098,3,9/28/2025,1 week
188,2152,14,9/7/2025,1 week
392,2189,12,9/21/2025,2 weeks
209,2362,14,10/5/2025,2 weeks
282,2435,14,9/14/2025,1 week
454,2457,12,9/21/2025,2 weeks
457,2537,12,9/28/2025,2 weeks
476,2550,14,9/14/2025,2 weeks
284,2555,12,8/31/2025,1 week
453,2598,12,9/22/2025,2 weeks
217,2774,0,10/5/2025,1 week (3 working nights)
249,2787,14,8/24/2025,1 week
166,2830,14,9/14/2025,2 weeks
192,2859,14,10/5/2025,1 week
484,2886,12,9/7/2025,2 weeks
109,2946,14,10/19/2025,1 week
448,2951,12,9/28/2025,2 weeks
340,3061,12,10/5/2025,1 week
446,3180,12,10/5/2025,2 weeks
35,3192,12,1/11/2026,1 week
192,3280,12,10/5/2025,1 week
176,3292,14,9/21/2025,2 weeks
452,3352,12,9/7/2025,1 week
36,3367,14,10/19/2025,2 weeks
20,3401,0,9/28/2025,1 week (3 working nights)
455,3408,15,8/31/2025,2 weeks
221,3571,14,6/29/2025,1 week 
23,3621,12,9/28/2025,1 week
20,3710,12,10/5/2025,1 week
22,3741,12,9/7/2025,1 week
482,3781,14,9/7/2025,2 weeks
514,3794,12,8/17/2025,2 weeks
467,4137,12,9/14/2025,2 weeks
392,4239,15,10/5/2025,2 weeks
396,4557,12,9/28/2025,2 weeks
577,5077,12,10/19/2025,2 weeks
340,5150,14,8/31/2025,1 week
217,5185,14,10/12/2025,1 week
455,5192,12,10/12/2025,1 week
175,5201,12,9/7/2025,3 weeks
175,5281,14,10/19/2025,2 weeks
376,5334,12,10/12/2025,2 weeks
26,5390,5,7/13/2025,1 week
284,5436,14,9/21/2025,2 weeks 
477,5440,12,9/7/2025,2 weeks
249,5443,12,9/7/2025,1 week
176,5447,14,6/29/2025,2 weeks
380,5676,12,9/21/2025,2 weeks
448,5686,12,11/2/2025,2 weeks
339,5927,12,8/31/2025,1 week
585,5957,12,10/5/2025,1 week 
20,6998,12,9/7/2025,1 week
