Tienda,Panecillos 12ct (unidades),3lb Ensalada de Papa (6/4lb),Postre,Pepsi (cajas),7up (cajas),Panecillos 6ct (unidades),1lb Ensalada de Papa (6/4lb),Tarta de Crema Mandul (cajas)
2423,732,91,81,62,15,39,2,5
5803,414,52,46,35,9,22,1,3
2449,472,59,52,40,10,25,1,3
5802,270,34,30,23,6,14,1,2
2240,224,28,25,19,5,12,1,1
2026,397,50,44,33,8,21,1,3
5793,356,45,40,30,8,19,1,2
2721,359,45,40,30,8,19,1,2
2346,482,60,54,41,10,25,1,3
3693,370,46,41,31,8,19,1,2
3716,363,45,40,31,8,19,1,2
1854,280,35,31,24,6,15,1,2
2302,412,51,46,35,9,22,1,3
