BUs/Divisions,Start Time,End Time,Session,Location/Room
EAST,March 1st 7 am,March 1st 8 am,LISTENING SESSION,TRINITY BALLROOM - ANATOLE HILTON HOTEL
NEIGHBORHOOD MARKET,March 1st 7 am,March 1st 8 am,BREAKFAST,TRINITY EXHIBIT HALL - ANATOLE HOTEL
NORTH,March 1st 7 am,March 1st 8 am,LISTENING SESSION,CORONADO BALLROOM - ANATOLE HILTON HOTEL
SOUTHEAST,March 1st 7 am,March 1st 8 am,LISTENING SESSION,CORTEZ BALLROOM - ANATOLE HILTON HOTEL
SOUTHWEST,March 1st 7 am,March 1st 8 am,BREAKFAST,TRINITY EXHIBIT HALL - ANATOLE HOTEL
WEST,March 1st 7 am,March 1st 8 am,BREAKFAST,TRINITY EXHIBIT HALL - ANATOLE HOTEL
EAST,March 1st 8:15 am,March 1st 9:15 am,BREAKFAST,TRINITY EXHIBIT HALL - ANATOLE HOTEL
NEIGHBORHOOD MARKET,March 1st 8:15 am,March 1st 9:15 am,LISTENING SESSION,CORTEZ BALLROOM - ANATOLE HILTON HOTEL
NORTH,March 1st 8:15 am,March 1st 9:15 am,BREAKFAST,TRINITY EXHIBIT HALL - ANATOLE HOTEL
SOUTHEAST,March 1st 8:15 am,March 1st 9:15 am,BREAKFAST,TRINITY EXHIBIT HALL - ANATOLE HOTEL
SOUTHWEST,March 1st 8:15 am,March 1st 9:15 am,LISTENING SESSION,TRINITY BALLROOM - ANATOLE HILTON HOTEL
WEST,March 1st 8:15 am,March 1st 9:15 am,LISTENING SESSION,CORONADO BALLROOM - ANATOLE HILTON HOTEL
