Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
744,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202233,89.55%,93.73%,14.5,90.30%,92.50%,90.90%,84.50%
849,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202233,84.66%,93.83%,10.4,88.60%,86.00%,84.60%,78.40%
1103,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202233,88.49%,98.52%,9.8,86.60%,92.30%,89.40%,86.00%
1837,SPARK,Scheduled Express Delivery ,1,Active Monitoring,Recovering,Store Focus,202233,86.32%,92.97%,12.2,97.30%,87.50%,80.70%,80.00%
1837,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202233,84.80%,96.15%,10.4,77.40%,89.70%,85.20%,87.00%
4298,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202233,84.05%,95.01%,9.7,85.40%,89.50%,83.10%,78.00%
6579,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202233,90.36%,94.52%,12.5,91.70%,90.80%,91.70%,87.20%
194,SPARK,Scheduled Standard Delivery,39,Executive Review,Degrading,Store Focus,202233,89.10%,89.97%,14.6,88.70%,84.60%,89.90%,92.80%
1137,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202233,86.23%,96.73%,12,78.20%,92.10%,87.00%,88.40%
3298,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202233,90.30%,96.89%,10.8,87.30%,93.40%,91.30%,89.20%
504,SPARK,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202233,88.09%,89.95%,12.2,87.00%,82.80%,88.40%,94.60%
