Store #,Store Name,City,State,Associated Signage
1,"ROGERS, AR",ROGERS,AR,Bilingual
2,HARRISON AR,HARRISON,AR,English
3,COMMERCE GA,COMMERCE,GA,English
4,SILOAM SPRINGS AR,SILOAM SPRINGS,AR,Bilingual
5,CONWAY AR,CONWAY,AR,English
7,NORTH LITTLE ROCK AR,SHERWOOD,AR,English
8,MORRILTON AR,MORRILTON,AR,English
9,SIKESTON MO,SIKESTON,MO,English
10,TAHLEQUAH OK,TAHLEQUAH,OK,English
11,MOUNTAIN HOME AR,MOUNTAIN HOME,AR,English
12,CLAREMORE OK,CLAREMORE,OK,English
13,CARTHAGE MO,CARTHAGE,MO,Bilingual
14,LEBANON MO,LEBANON,MO,English
15,WEST PLAINS MO,WEST PLAINS,MO,English
16,VAN BUREN AR,VAN BUREN,AR,English
17,NEOSHO MO,NEOSHO,MO,English
18,NEWPORT AR,NEWPORT,AR,English
19,POPLAR BLUFF MO,POPLAR BLUFF,MO,English
20,CLINTON MO,CLINTON,MO,English
21,ST ROBERT MO /WAYNESVILLE,SAINT ROBERT,MO,English
22,PRYOR OK,PRYOR,OK,English
23,RUSTON LA,RUSTON,LA,English
24,JACKSONVILLE AR,JACKSONVILLE,AR,English
25,MEXICO MO,MEXICO,MO,English
26,LEAVENWORTH KS,LEAVENWORTH,KS,English
27,SALEM MO,SALEM,MO,English
28,MIAMI OK,MIAMI,OK,English
29,JEFFERSON CITY MO,JEFFERSON CITY,MO,English
30,DEXTER MO,DEXTER,MO,English
31,POTEAU OK,POTEAU,OK,English
32,BRANSON MO,BRANSON,MO,English
33,NASHVILLE AR,NASHVILLE,AR,English
34,NEVADA MO,NEVADA,MO,English
35,MANHATTAN KS,MANHATTAN,KS,English
36,PARAGOULD AR,PARAGOULD,AR,English
37,FARMINGTON MO,FARMINGTON,MO,English
38,IDABEL OK,IDABEL,OK,English
39,FORT SCOTT KS,FORT SCOTT,KS,English
40,MOBERLY MO,MOBERLY,MO,English
41,BARTLESVILLE OK,BARTLESVILLE,OK,English
42,COFFEYVILLE KS,COFFEYVILLE,KS,English
43,JUNCTION CITY KS,JUNCTION CITY,KS,English
44,ELDON MO,ELDON,MO,English
45,JONESBORO AR,JONESBORO,AR,English
46,BOLIVAR MO,BOLIVAR,MO,English
47,SALLISAW OK,SALLISAW,OK,English
48,MONETT MO,MONETT,MO,Bilingual
49,HUGO OK,HUGO,OK,English
50,VINITA OK,VINITA,OK,English
51,FULTON MO,FULTON,MO,English
52,HOT SPRINGS AR,HOT SPRINGS,AR,English
54,SPRINGDALE AR,SPRINGDALE,AR,Bilingual
55,BOONEVILLE AR,BOONEVILLE,AR,English
56,AVA MO,AVA,MO,English
57,WALNUT RIDGE AR,WALNUT RIDGE,AR,English
58,RUSSELLVILLE AR,RUSSELLVILLE,AR,English
59,JOPLIN MO,JOPLIN,MO,English
60,TROY MO,TROY,MO,English
61,WARRENSBURG MO,WARRENSBURG,MO,English
62,BLYTHEVILLE AR,BLYTHEVILLE,AR,English
63,WAGONER OK,WAGONER,OK,English
64,BROWNSVILLE TN,BROWNSVILLE,TN,English
65,SULLIVAN MO,SULLIVAN,MO,English
66,CLARKSVILLE AR,CLARKSVILLE,AR,Bilingual
67,MENA AR,MENA,AR,English
68,WYNNE AR,WYNNE,AR,English
69,FESTUS MO,FESTUS,MO,English
70,WEST MEMPHIS AR,WEST MEMPHIS,AR,English
71,POCAHONTAS AR,POCAHONTAS,AR,English
72,PITTSBURG KS,PITTSBURG,KS,English
73,SAPULPA OK,SAPULPA,OK,English
74,OSCEOLA AR,OSCEOLA,AR,English
75,PINEVILLE LA,PINEVILLE,LA,English
76,BERRYVILLE AR,BERRYVILLE,AR,Bilingual
77,TAYLOR TX,TAYLOR,TX,Bilingual
78,MARSHFIELD MO,MARSHFIELD,MO,English
79,WEST JOPLIN MO,JOPLIN,MO,English
80,COLUMBIA MO,COLUMBIA,MO,English
81,STILWELL OK,STILWELL,OK,English
82,PERRYVILLE MO,PERRYVILLE,MO,English
83,MAGNOLIA AR,MAGNOLIA,AR,English
85,BENTON AR,BENTON,AR,English
86,SPRINGFIELD MO,SPRINGFIELD,MO,English
87,MINDEN LA,MINDEN,LA,English
88,MOUNTAIN GROVE MO,MOUNTAIN GROVE,MO,English
89,CAMDENTON MO,CAMDENTON,MO,English
90,GROVE OK,GROVE,OK,English
91,FORREST CITY AR,FORREST CITY,AR,English
92,AURORA MO,AURORA,MO,English
93,COVINGTON TN,COVINGTON,TN,English
94,MILLINGTON TN,MILLINGTON,TN,English
95,DESLOGE MO,DESLOGE,MO,English
96,HARRISONVILLE MO,HARRISONVILLE,MO,English
97,RIPLEY TN,RIPLEY,TN,English
98,BASTROP LA,BASTROP,LA,English
99,UNION MO,UNION,MO,English
100,"BENTONVILLE, AR",BENTONVILLE,AR,English
101,ROLLA MO,ROLLA,MO,English
102,STUTTGART AR,STUTTGART,AR,English
103,SHAWNEE OK,SHAWNEE,OK,English
104,MILAN TN,MILAN,TN,English
105,CORINTH MS,CORINTH,MS,English
106,FULTON KY,FULTON,KY,English
107,MARTIN TN,MARTIN,TN,English
108,GUTHRIE OK,GUTHRIE,OK,English
109,CAMERON MO,CAMERON,MO,English
110,WINTER GARDEN FL,WINTER GARDEN,FL,Bilingual
111,CHANUTE KS,CHANUTE,KS,English
112,STARKVILLE MS,STARKVILLE,MS,English
113,CHICKASHA OK,CHICKASHA,OK,English
114,BOONEVILLE MS,BOONEVILLE,MS,English
115,"WEST POINT, MS",WEST POINT,MS,English
116,VIVIAN LA,VIVIAN,LA,English
117,BROKEN BOW OK,BROKEN BOW,OK,English
118,AMORY MS,AMORY,MS,English
119,BATESVILLE AR,BATESVILLE,AR,English
120,HUMBOLDT TN,HUMBOLDT,TN,English
121,OKMULGEE OK,OKMULGEE,OK,English
122,JACKSON MO,JACKSON,MO,English
123,SEMINOLE OK,SEMINOLE,OK,English
124,LITTLE ROCK AR,LITTLE ROCK,AR,Bilingual
125,"FORT SMITH (S), AR",FORT SMITH,AR,English
126,LITTLE ROCK AR,LITTLE ROCK,AR,English
127,MALVERN AR,MALVERN,AR,English
128,"JONESBORO (W), AR",JONESBORO,AR,English
129,ARDMORE OK,ARDMORE,OK,English
130,MUSKOGEE OK,MUSKOGEE,OK,English
131,MT PLEASANT TX,MOUNT PLEASANT,TX,Bilingual
132,KINGFISHER OK,KINGFISHER,OK,English
133,ASHDOWN AR,ASHDOWN,AR,English
134,ELK CITY OK,ELK CITY,OK,English
135,CHILLICOTHE MO,CHILLICOTHE,MO,English
136,BLACKWELL OK EF,BLACKWELL,OK,English
137,STILLWATER OK,STILLWATER,OK,English
138,"SPRINGFIELD (NE), MO",SPRINGFIELD,MO,English
139,PURCELL OK,PURCELL,OK,English
140,LUFKIN TX,LUFKIN,TX,Bilingual
141,"FORT SMITH, AR",FORT SMITH,AR,English
143,BENTON KY,BENTON,KY,English
144,FAYETTEVILLE AR (WEST),FAYETTEVILLE,AR,English
145,BOWLING GREEN MO,BOWLING GREEN,MO,English
146,GILMER TX,GILMER,TX,English
147,DENISON TX,DENISON,TX,English
148,PARIS TX,PARIS,TX,English
149,"JONESBORO, LA",JONESBORO,LA,English
150,WOODWARD OK,WOODWARD,OK,English
151,MCALESTER OK,MCALESTER,OK,English
152,DESOTO MO,DE SOTO,MO,English
153,NEW ALBANY MS,NEW ALBANY,MS,English
154,ABINGDON VA,ABINGDON,VA,English
155,SENATOBIA MS,SENATOBIA,MS,English
157,SEARCY AR,SEARCY,AR,English
158,BONHAM TX,BONHAM,TX,English
159,COLUMBIA MO,COLUMBIA,MO,English
160,ASH FLAT AR,ASH FLAT,AR,English
161,HUNTINGDON TN,HUNTINGDON,TN,English
162,"ANADARKO, OK",ANADARKO,OK,English
163,NACOGDOCHES TX,NACOGDOCHES,TX,Bilingual
164,PONTOTOC MS,PONTOTOC,MS,English
165,HENDERSON TX,HENDERSON,TX,Bilingual
166,HOUSTON MO,HOUSTON,MO,English
167,CROSSETT AR,CROSSETT,AR,English
168,OWASSO OK,OWASSO,OK,English
169,LONOKE AR,LONOKE,AR,English
170,NATCHITOCHES LA,NATCHITOCHES,LA,English
171,"CAMDEN, AR",CAMDEN,AR,English
172,WASHINGTON MO,WASHINGTON,MO,English
173,POTOSI MO,POTOSI,MO,English
174,ROCKLEDGE FL,COCOA,FL,English
175,COLLIERVILLE TN,COLLIERVILLE,TN,English
176,RIPLEY MS,RIPLEY,MS,English
177,"PARIS, TN",PARIS,TN,English
178,"ALVA, OK",ALVA,OK,English
179,"SPRINGFIELD, MO",SPRINGFIELD,MO,English
180,JACKSONVILLE TX,JACKSONVILLE,TX,Bilingual
181,NEW BOSTON TX,NEW BOSTON,TX,English
182,GREENVILLE MS,GREENVILLE,MS,English
183,LOUISVILLE MS,LOUISVILLE,MS,English
184,BLUE SPRINGS MO,BLUE SPRINGS,MO,English
185,GAINESVILLE TX,GAINESVILLE,TX,Bilingual
186,EL DORADO KS,EL DORADO,KS,English
188,CAPE GIRARDEAU MO,CAPE GIRARDEAU,MO,English
189,KIRKSVILLE MO,KIRKSVILLE,MO,English
190,KENNETT MO,KENNETT,MO,English
192,COLUMBIA TN,COLUMBIA,TN,English
194,BAYTOWN TX,BAYTOWN,TX,Bilingual
195,EXCELSIOR SPRINGS MO,EXCELSIOR SPRINGS,MO,English
196,CARBONDALE IL,CARBONDALE,IL,English
197,MACOMB IL,MACOMB,IL,English
198,SALEM IL,SALEM,IL,English
199,LINCOLN IL,LINCOLN,IL,English
200,JACKSONVILLE IL,JACKSONVILLE,IL,English
201,BELLEVILLE IL,BELLEVILLE,IL,English
202,FRISCO CUSTER & 121 TX,FRISCO,TX,English
203,BROOKFIELD MO,BROOKFIELD,MO,English
204,PRINCETON KY,PRINCETON,KY,English
205,PHILADELPHIA MS,PHILADELPHIA,MS,English
206,MCKINNEY TX,MCKINNEY,TX,Bilingual
207,CLEVELAND OK,CLEVELAND,OK,English
209,OZARK AR,OZARK,AR,English
210,HOLDENVILLE OK,HOLDENVILLE,OK,English
211,HILLSBORO TX,HILLSBORO,TX,Bilingual
212,NORMAN OK,NORMAN,OK,English
213,LITCHFIELD IL,LITCHFIELD,IL,English
214,JASPER TX,JASPER,TX,English
216,MARION IL,MARION,IL,English
217,LEWISVILLE TX,LEWISVILLE,TX,Bilingual
218,SELMER TN,SELMER,TN,English
219,SEDALIA MO,SEDALIA,MO,English
220,BURLESON TX,BURLESON,TX,Bilingual
221,YUKON OK,YUKON,OK,English
222,SPARTA IL,SPARTA,IL,English
224,"MT. VERNON, IL.",MOUNT VERNON,IL,English
225,SULPHUR OK.,SULPHUR,OK,English
226,"ATLANTA, TX.",ATLANTA,TX,English
227,EL RENO OK.,EL RENO,OK,Bilingual
228,CLEBURNE TX.,CLEBURNE,TX,Bilingual
229,TRUMANN AR.,TRUMANN,AR,English
230,PARIS AR.,PARIS,AR,English
231,ADA OK.,ADA,OK,English
232,ATOKA OK.,ATOKA,OK,English
233,"ANNA, IL.",ANNA,IL,English
234,"KANSAS CITY, MO.",KANSAS CITY,MO,English
236,CROCKETT TX.,CROCKETT,TX,Bilingual
237,HARRISBURG IL.,HARRISBURG,IL,English
238,PULASKI TN.,PULASKI,TN,English
239,"KOSCIUSKO, MS.",KOSCIUSKO,MS,English
240,COMMERCE TX.,COMMERCE,TX,Bilingual
241,PLEASANT GROVE.,ROGERS,AR,English
242,PAOLA KS.,PAOLA,KS,English
243,WENTZVILLE MO.,WENTZVILLE,MO,English
244,WINNFIELD LA.,WINNFIELD,LA,English
245,CROWLEY TX.,CROWLEY,TX,English
246,SKIATOOK OK.,SKIATOOK,OK,English
247,HENRYETTA OK.,HENRYETTA,OK,English
248,MEXIA TX.,MEXIA,TX,Bilingual
249,CLEVELAND TX.,CLEVELAND,TX,Bilingual
250,WARSAW MO.,WARSAW,MO,English
251,MINEOLA TX.,MINEOLA,TX,English
252,"DU QUOIN, IL.",DU QUOIN,IL,English
253,"JERSEYVILLE, IL.",JERSEYVILLE,IL,English
254,OLNEY IL.,OLNEY,IL,English
256,"GLEN CARBON, IL.",GLEN CARBON,IL,English
257,MORGANFIELD KY.,MORGANFIELD,KY,English
258,TUPELO MS.,TUPELO,MS,English
259,ROCKWALL TX.,ROCKWALL,TX,Bilingual
