Store #,Store Name,City,State,Associated Signage
260,WAXAHACHIE TX.,WAXAHACHIE,TX,Bilingual
261,HOT SPRINGS AR.,HOT SPRINGS,AR,English
262,BENTON IL /WEST CITY.,BENTON,IL,English
264,DICKSON TN,DICKSON,TN,English
265,"TERRELL, TX",TERRELL,TX,Bilingual
266,"SOUTHLAKE, TX",GRAPEVINE,TX,Bilingual
267,WEBB CITY MO,WEBB CITY,MO,English
268,SAVANNAH TN,SAVANNAH,TN,English
269,"LAWTON, OK",LAWTON,OK,English
271,BOWIE TX,BOWIE,TX,English
272,FRANKLIN TN,FRANKLIN,TN,English
273,FULTON MS,FULTON,MS,English
274,IUKA MS,IUKA,MS,English
275,LIVINGSTON TX,LIVINGSTON,TX,Bilingual
276,STIGLER OK,STIGLER,OK,English
277,MOORE OK,MOORE,OK,English
278,SHREVEPORT LA,SHREVEPORT,LA,English
279,DE QUEEN AR,DE QUEEN,AR,Bilingual
280,ROCKDALE TX,ROCKDALE,TX,Bilingual
281,HEBER SPRINGS AR.,HEBER SPGS,AR,English
282,FRANKLIN KY,FRANKLIN,KY,English
283,BRIDGE CITY TX,BRIDGE CITY,TX,Bilingual
284,MANSFIELD TX,MANSFIELD,TX,Bilingual
285,HUNTSVILLE TX,HUNTSVILLE,TX,Bilingual
286,ENNIS TX,ENNIS,TX,Bilingual
287,JASPER AL,JASPER,AL,English
288,WOODVILLE TX,WOODVILLE,TX,English
289,MCGEHEE AR EF,MCGEHEE,AR,English
290,GONZALES TX,GONZALES,TX,Bilingual
292,LOCKHART TX,LOCKHART,TX,Bilingual
293,NAVASOTA TX,NAVASOTA,TX,Bilingual
294,"CENTRAL CITY, KY",CENTRAL CITY,KY,English
295,EUREKA MO,EUREKA,MO,English
296,DARDANELLE AR,DARDANELLE,AR,Bilingual
297,PORTER TX,PORTER,TX,Bilingual
298,BOAZ AL,BOAZ,AL,Bilingual
299,BOWLING GREEN KY,BOWLING GREEN,KY,English
300,JACKSONVILLE AL,JACKSONVILLE,AL,English
301,GADSDEN AL,GADSDEN,AL,English
302,MURPHYSBORO IL,MURPHYSBORO,IL,English
303,HOLLY SPRINGS MS,HOLLY SPRINGS,MS,English
304,SPRINGFIELD TN,SPRINGFIELD,TN,English
305,CARTHAGE MS,CARTHAGE,MS,English
306,ARAB AL,ARAB,AL,English
307,W MONROE LA,WEST MONROE,LA,English
308,MANCHESTER TN,MANCHESTER,TN,English
309,ABBEVILLE LA,ABBEVILLE,LA,English
310,CROWLEY LA,CROWLEY,LA,English
311,FRANKLIN LA EF,FRANKLIN,LA,English
312,VILLE PLATTE LA,VILLE PLATTE,LA,English
313,HIGH RIDGE MO,HIGH RIDGE,MO,English
314,FAYETTEVILLE TN,FAYETTEVILLE,TN,English
315,ONEONTA AL,ONEONTA,AL,English
316,ATTALLA AL,ATTALLA,AL,English
317,VANDALIA IL,VANDALIA,IL,English
318,ARKADELPHIA AR,ARKADELPHIA,AR,English
319,"RAYMORE,MO",RAYMORE,MO,English
320,MARLIN TX EF,MARLIN,TX,Bilingual
321,BRENHAM TX,BRENHAM,TX,Bilingual
322,BRYAN TX,BRYAN,TX,Bilingual
323,MANSFIELD LA,MANSFIELD,LA,English
324,BRISTOW OK,BRISTOW,OK,English
325,RICHMOND MO,RICHMOND,MO,English
326,HIGGINSVILLE MO,HIGGINSVILLE,MO,English
328,"WATERLOO, IL",WATERLOO,IL,English
329,ANNISTON AL,ANNISTON,AL,English
330,VICTORIA TX,VICTORIA,TX,Bilingual
331,SULPHUR LA,SULPHUR,LA,English
332,HUNTSVILLE AL,HUNTSVILLE,AL,English
333,BEAVER DAM KY,BEAVER DAM,KY,English
334,CARLINVILLE IL,CARLINVILLE,IL,English
335,JACKSON TN,JACKSON,TN,English
336,SHERIDAN AR,SHERIDAN,AR,English
337,FREDERICKTOWN MO,FREDERICKTOWN,MO,English
338,LAMAR MO,LAMAR,MO,English
339,FORDYCE AR,FORDYCE,AR,English
340,CHECOTAH OK,CHECOTAH,OK,English
341,MARYSVILLE KS,MARYSVILLE,KS,English
342,HIAWATHA KS,HIAWATHA,KS,English
343,TAYLORVILLE IL,TAYLORVILLE,IL,English
344,EL CAMPO TX,EL CAMPO,TX,Bilingual
345,PALESTINE TX,PALESTINE,TX,Bilingual
346,AUGUSTA KS,AUGUSTA,KS,English
347,INDIANOLA MS,INDIANOLA,MS,English
348,MONTICELLO AR,MONTICELLO,AR,English
350,YORK NE,YORK,NE,English
351,TOMBALL TX,TOMBALL,TX,Bilingual
352,CHESTER IL,CHESTER,IL,English
353,GRAHAM TX,GRAHAM,TX,Bilingual
354,OWENSVILLE MO,OWENSVILLE,MO,English
355,OPELIKA AL,OPELIKA,AL,English
356,AUBURN AL,AUBURN,AL,English
357,VERSAILLES MO,VERSAILLES,MO,English
358,ALMA AR,ALMA,AR,English
359,"FAYETTEVILLE, AR",FAYETTEVILLE,AR,Bilingual
360,CUSHING OK,CUSHING,OK,English
361,COLLINSVILLE IL,COLLINSVILLE,IL,Bilingual
362,WINFIELD AL,WINFIELD,AL,English
363,"MARSHALL, MO",MARSHALL,MO,English
364,CENTER TX,CENTER,TX,Bilingual
365,"PEARL, MS",PEARL,MS,English
366,MADISONVILLE TN,MADISONVILLE,TN,English
368,"PARSONS, KS",PARSONS,KS,English
369,WINFIELD KS,WINFIELD,KS,English
370,WELLINGTON KS,WELLINGTON,KS,English
371,GRANBURY TX,GRANBURY,TX,Bilingual
372,DODGE CITY KS,DODGE CITY,KS,Bilingual
373,HUNTSVILLE AR,HUNTSVILLE,AR,English
374,COWETA OK,COWETA,OK,English
375,HUNTSVILLE AL,HUNTSVILLE,AL,English
376,"BOSSIER CITY, LA",BOSSIER CITY,LA,English
377,SUMTER MCCRAYS SC,SUMTER,SC,English
378,HOLTON KS,HOLTON,KS,English
379,OZARK MO,OZARK,MO,English
381,COPPERAS COVE TX,COPPERAS COVE,TX,Bilingual
382,OTTAWA KS,OTTAWA,KS,English
383,SILSBEE TX,SILSBEE,TX,English
384,LUMBERTON TX,LUMBERTON,TX,English
385,CUERO TX,CUERO,TX,Bilingual
386,JENNINGS LA,JENNINGS,LA,English
387,CHANDLER OK,CHANDLER,OK,English
388,FT SMITH AR,FORT SMITH,AR,Bilingual
389,EDMOND OK,EDMOND,OK,English
390,WAVERLY TN,WAVERLY,TN,English
391,TUPELO MS,TUPELO,MS,English
392,WEATHERFORD OK,WEATHERFORD,OK,Bilingual
393,JACKSON TN/BEMIS,JACKSON,TN,English
394,MOULTON AL,MOULTON,AL,English
395,MISSION TX,MISSION,TX,Bilingual
396,ANDERSON SC,ANDERSON,SC,English
397,"MCALLEN, TX",MCALLEN,TX,Bilingual
398,LONGVIEW TX,LONGVIEW,TX,Bilingual
399,LONGVIEW TX,LONGVIEW,TX,Bilingual
400,CONROE TX,CONROE,TX,Bilingual
401,PLAQUEMINE LA,PLAQUEMINE,LA,English
402,BREAUX BRIDGE LA,BREAUX BRIDGE,LA,English
403,RUSSELVILLE AL,RUSSELLVILLE,AL,Bilingual
404,SAN MARCOS TX,SAN MARCOS,TX,Bilingual
405,LEESVILLE LA,LEESVILLE,LA,English
406,"SMYRNA, TN",SMYRNA,TN,English
407,KILLEEN TX,KILLEEN,TX,Bilingual
408,"PORT ARTHUR, TX",PORT ARTHUR,TX,Bilingual
409,HALEYVILLE AL,HALEYVILLE,AL,English
410,MURRAY KY,MURRAY,KY,English
411,HOUSTON MS EF,HOUSTON,MS,English
412,ATHENS TX,ATHENS,TX,Bilingual
413,PORT ISABEL TX,PORT ISABEL,TX,Bilingual
414,WICHITA FALLS TX,WICHITA FALLS,TX,Bilingual
415,ST MARTINVILLE LA,BROUSSARD,LA,English
416,MURFREESBORO S TN,MURFREESBORO,TN,English
417,SULPHUR SPRINGS TX,SULPHUR SPRINGS,TX,Bilingual
418,FAIRBURY NE,FAIRBURY,NE,English
419,PRATT KS,PRATT,KS,English
420,"WICHITA FALLS (N), TX",WICHITA FALLS,TX,Bilingual
421,DECATUR TX,DECATUR,TX,Bilingual
422,ROBINSON IL,ROBINSON,IL,English
423,PELHAM AL,ALABASTER,AL,English
424,CLANTON AL,CLANTON,AL,English
425,"BRENT, AL",BRENT,AL,English
426,THE COLONY TX,COLONY,TX,Bilingual
427,GREENVILLE TX,GREENVILLE,TX,Bilingual
428,ZACHARY LA,ZACHARY,LA,English
429,EDINBURG TX,EDINBURG,TX,Bilingual
430,MAYFIELD KY,MAYFIELD,KY,English
431,PADUCAH KY,PADUCAH,KY,English
432,TALLADEGA AL,TALLADEGA,AL,English
433,"HUNTSVILLE (N), AL",HUNTSVILLE,AL,English
434,"HUNTSVILLE, AL",HUNTSVILLE,AL,English
435,HIGHLAND IL,HIGHLAND,IL,English
436,CARLYLE IL,CARLYLE,IL,English
437,SEALY TX,SEALY,TX,Bilingual
438,BRECKENRIDGE TX,BRECKENRIDGE,TX,Bilingual
440,ROCKPORT TX /FULTON,ROCKPORT,TX,Bilingual
442,KINGSVILLE TX,KINGSVILLE,TX,Bilingual
443,HONDO TX,HONDO,TX,Bilingual
444,SPRINGFIELD MO,SPRINGFIELD,MO,English
445,LEITCHFIELD KY,LEITCHFIELD,KY,English
446,MADISONVILLE TX,MADISONVILLE,TX,Bilingual
447,DEL RIO TX,DEL RIO,TX,Bilingual
448,SHREVEPORT LA,SHREVEPORT,LA,English
449,GROVES TX,PORT ARTHUR,TX,Bilingual
450,SHREVEPORT LA,SHREVEPORT,LA,English
451,COLUMBIA MO,COLUMBIA,MO,English
452,MCALLEN TX,MCALLEN,TX,Bilingual
453,MALDEN MO,MALDEN,MO,English
454,FAIRFIELD IL,FAIRFIELD,IL,English
456,BROWNSVILLE TX,BROWNSVILLE,TX,Bilingual
457,VIDOR TX,VIDOR,TX,English
458,ARANSAS PASS TX,ARANSAS PASS,TX,Bilingual
459,COVINGTON GA,COVINGTON,GA,English
461,EAGLE PASS TX,EAGLE PASS,TX,Bilingual
462,ALVIN TX,ALVIN,TX,Bilingual
463,BEEVILLE TX,BEEVILLE,TX,Bilingual
464,CORPUS CHRISTI TX,CORPUS CHRISTI,TX,Bilingual
465,FLORESVILLE TX,FLORESVILLE,TX,Bilingual
466,BOLIVAR TN,BOLIVAR,TN,English
467,DENTON TX,DENTON,TX,Bilingual
468,TEXARKANA AR,TEXARKANA,AR,English
469,LAKE CHARLES LA,LAKE CHARLES,LA,English
470,CORPUS CHRISTI TX,CORPUS CHRISTI,TX,Bilingual
471,"LANCASTER, TX",LANCASTER,TX,Bilingual
472,"BROKEN ARROW, OK",BROKEN ARROW,OK,Bilingual
473,GIDDINGS TX,GIDDINGS,TX,Bilingual
475,ROUND ROCK TX,ROUND ROCK,TX,Bilingual
476,GATESVILLE TX,GATESVILLE,TX,Bilingual
477,SODDY-DAISY TN,SODDY DAISY,TN,English
478,PEARSALL TX,PEARSALL,TX,Bilingual
479,ALTUS OK,ALTUS,OK,Bilingual
480,PITTSFIELD IL,PITTSFIELD,IL,English
481,MATTOON IL,MATTOON,IL,English
482,W. COLUMBIA TX EF,WEST COLUMBIA,TX,Bilingual
483,PRATTVILLE AL,PRATTVILLE,AL,English
484,LAWRENCE KS,LAWRENCE,KS,English
485,DONALDSONVILLE LA,DONALDSONVILLE,LA,English
486,BONNER SPRINGS KS,BONNER SPRINGS,KS,English
488,QUINCY FL,QUINCY,FL,English
489,HAMMOND LA,HAMMOND,LA,English
490,"CORPUS CHRISTI, TX",CORPUS CHRISTI,TX,Bilingual
491,PADUCAH KY,PADUCAH,KY,English
492,VINCENNES IN,VINCENNES,IN,English
493,"PARIS, KY",PARIS,KY,English
494,"NEWNAN, GA",NEWNAN,GA,English
495,COLUMBUS MS,COLUMBUS,MS,English
497,"SHELBYVILLE, KY",SHELBYVILLE,KY,English
498,JENA LA,JENA,LA,English
499,ENID OK,ENID,OK,English
500,EL PASO TX,EL PASO,TX,Bilingual
501,LAUREL MS,LAUREL,MS,Bilingual
502,GALLIANO LA,GALLIANO,LA,English
503,COLUMBUS TX,COLUMBUS,TX,Bilingual
504,GALVESTON TX,GALVESTON,TX,Bilingual
505,"DERIDDER, LA",DERIDDER,LA,English
506,FLORA IL,FLORA,IL,English
507,LAWRENCEBURG KY,LAWRENCEBURG,KY,English
508,KERRVILLE TX,KERRVILLE,TX,Bilingual
510,GAINESVILLE GA,GAINESVILLE,GA,Bilingual
511,SUMTER SC,SUMTER,SC,English
512,EL PASO TX,EL PASO,TX,Bilingual
513,BIG SPRINGS TX,BIG SPRING,TX,Bilingual
514,AIKEN SC,AIKEN,SC,English
515,MURPHY NC,MURPHY,NC,English
516,"GUN BARREL CITY, TX",GUN BARREL CITY,TX,English
517,MUSTANG OK,MUSTANG,OK,English
518,CANTON GA,CANTON,GA,Bilingual
519,HARRODSBURG KY,HARRODSBURG,KY,English
520,WINDER GA,WINDER,GA,English
521,MOSS BLUFF LA,LAKE CHARLES,LA,English
522,CROSBY TX,CROSBY,TX,Bilingual
523,CARTHAGE TX,CARTHAGE,TX,Bilingual
524,KENEDY TX,KENEDY,TX,Bilingual
525,SANFORD SR 46A FL,LAKE MARY,FL,Bilingual
526,"LOUISVILLE (NE), KY",LOUISVILLE,KY,English
527,ANGLETON TX,ANGLETON,TX,Bilingual
528,"BRADENTON, FL",BRADEN RIVER,FL,Bilingual
529,TEXAS CITY TX,LA MARQUE,TX,Bilingual
530,"EL DORADO, AR",EL DORADO,AR,English
531,LAFAYETTE LA (W),LAFAYETTE,LA,English
532,GONZALES LA,GONZALES,LA,English
533,NEW IBERIA LA,NEW IBERIA,LA,English
535,ABILENE TX (S),ABILENE,TX,Bilingual
536,ABILENE TX (N),ABILENE,TX,Bilingual
537,ODESSA TX,ODESSA,TX,Bilingual
538,GAINESVILLE FL,GAINESVILLE,FL,English
539,ALEXANDRIA LA,ALEXANDRIA,LA,English
540,MORGAN CITY LA,MORGAN CITY,LA,English
541,COVINGTON LA,COVINGTON,LA,English
542,HOUMA LA,HOUMA,LA,English
543,OPELOUSAS LA,OPELOUSAS,LA,English
544,"DEL CITY (MWC), OK",DEL CITY,OK,English
545,MANCHESTER KY,MANCHESTER,KY,English
546,"RICHMOND, TX",RICHMOND,TX,Bilingual
547,"PLANT CITY, FL",PLANT CITY,FL,Bilingual
548,LAWRENCEVILLE GA,LAWRENCEVILLE,GA,Bilingual
549,HOBBS NM,HOBBS,NM,Bilingual
550,LAWRENCEVILLE IL,LAWRENCEVILLE,IL,English
551,PALATKA FL,PALATKA,FL,English
552,WHITESBURG KY,WHITESBURG,KY,English
553,SLIDELL LA,SLIDELL,LA,English
554,LAREDO TX,LAREDO,TX,Bilingual
555,DUBLIN GA,DUBLIN,GA,English
556,WAYCROSS GA,WAYCROSS,GA,English
557,EMPORIA KS,EMPORIA,KS,Bilingual
558,SALINA KS,SALINA,KS,English
559,MUSCATINE IA,MUSCATINE,IA,Bilingual
560,ST JOSEPH MO,SAINT JOSEPH,MO,English
561,EASTLAND TX,EASTLAND,TX,Bilingual
562,LEEDS AL,LEEDS,AL,English
563,ORANGE CITY FL,ORANGE CITY,FL,Bilingual
564,"OKLAHOMA CITY(W), OK",OKLAHOMA CITY,OK,Bilingual
565,CORSICANA TX,CORSICANA,TX,Bilingual
566,BOONVILLE IN,BOONVILLE,IN,English
567,CALDWELL TX,CALDWELL,TX,Bilingual
568,CARTHAGE TN,CARTHAGE,TN,English
569,COLUMBIA KY,COLUMBIA,KY,English
