Store Number,Store Signing Type
1,swipe up
2,swipe up
3,legacy
4,swipe up
5,swipe up
7,swipe up
8,swipe up
9,legacy
10,swipe up
11,swipe up
12,legacy
13,swipe up
14,swipe up
15,swipe up
16,swipe up
17,swipe up
18,swipe up
19,legacy
20,swipe up
21,swipe up
22,legacy
23,swipe up
24,swipe up
25,swipe up
26,swipe up
27,swipe up
28,swipe up
29,swipe up
30,swipe up
31,swipe up
32,swipe up
33,legacy
34,legacy
35,swipe up
36,legacy
37,swipe up
38,legacy
39,swipe up
40,legacy
41,legacy
42,legacy
43,swipe up
44,swipe up
45,swipe up
46,swipe up
47,swipe up
48,swipe up
49,swipe up
50,legacy
51,swipe up
52,swipe up
54,swipe up
55,swipe up
56,swipe up
57,swipe up
58,swipe up
59,swipe up
60,swipe up
61,legacy
62,swipe up
63,legacy
64,swipe up
65,swipe up
66,swipe up
67,swipe up
68,legacy
69,swipe up
70,swipe up
71,swipe up
72,swipe up
73,legacy
74,legacy
75,legacy
76,swipe up
77,swipe up
78,swipe up
79,swipe up
80,swipe up
81,swipe up
82,swipe up
83,legacy
85,swipe up
86,swipe up
87,legacy
88,swipe up
89,swipe up
90,swipe up
91,swipe up
92,swipe up
93,swipe up
94,swipe up
95,swipe up
96,swipe up
97,swipe up
98,legacy
99,swipe up
100,swipe up
101,swipe up
102,swipe up
103,legacy
104,swipe up
105,legacy
106,swipe up
107,legacy
108,swipe up
109,swipe up
110,swipe up
111,legacy
112,swipe up
113,swipe up
114,swipe up
115,swipe up
116,legacy
117,swipe up
118,swipe up
119,swipe up
120,swipe up
121,legacy
122,swipe up
123,legacy
124,swipe up
125,swipe up
126,swipe up
127,swipe up
128,swipe up
129,swipe up
130,swipe up
131,swipe up
132,swipe up
133,legacy
134,swipe up
135,swipe up
136,swipe up
137,swipe up
138,swipe up
139,swipe up
140,swipe up
141,swipe up
143,swipe up
144,swipe up
145,swipe up
146,legacy
147,swipe up
148,swipe up
149,legacy
150,legacy
151,swipe up
152,swipe up
153,swipe up
154,swipe up
155,swipe up
157,swipe up
158,legacy
159,swipe up
160,swipe up
161,legacy
162,swipe up
163,legacy
164,swipe up
165,legacy
166,swipe up
167,swipe up
168,legacy
169,swipe up
170,legacy
171,swipe up
172,swipe up
173,swipe up
174,legacy
175,swipe up
176,legacy
177,swipe up
178,legacy
179,swipe up
180,legacy
181,legacy
182,swipe up
183,legacy
184,swipe up
185,swipe up
186,swipe up
188,swipe up
189,legacy
190,swipe up
192,swipe up
194,legacy
195,swipe up
196,legacy
197,swipe up
198,swipe up
199,legacy
200,swipe up
201,swipe up
202,swipe up
203,swipe up
204,legacy
205,swipe up
206,swipe up
207,legacy
209,swipe up
210,swipe up
211,legacy
212,swipe up
213,swipe up
214,legacy
216,swipe up
217,swipe up
218,swipe up
219,legacy
220,swipe up
221,swipe up
222,swipe up
224,legacy
225,swipe up
226,swipe up
227,swipe up
228,swipe up
229,swipe up
230,swipe up
231,legacy
232,legacy
233,swipe up
234,swipe up
236,swipe up
237,swipe up
238,swipe up
239,legacy
240,legacy
242,legacy
243,swipe up
244,swipe up
246,swipe up
247,swipe up
248,swipe up
249,legacy
250,swipe up
251,swipe up
252,swipe up
253,legacy
254,swipe up
256,swipe up
257,swipe up
258,legacy
259,swipe up
260,swipe up
261,swipe up
262,swipe up
264,legacy
265,swipe up
266,swipe up
267,swipe up
268,legacy
269,swipe up
271,swipe up
272,swipe up
273,legacy
274,legacy
275,swipe up
276,swipe up
277,swipe up
278,legacy
279,swipe up
280,swipe up
281,swipe up
282,swipe up
283,swipe up
284,swipe up
285,swipe up
286,legacy
287,legacy
288,swipe up
289,swipe up
290,swipe up
292,swipe up
293,swipe up
294,swipe up
295,swipe up
296,swipe up
297,swipe up
298,swipe up
299,swipe up
300,swipe up
301,legacy
302,legacy
303,legacy
304,swipe up
305,legacy
306,swipe up
307,swipe up
308,legacy
309,swipe up
310,legacy
311,swipe up
312,swipe up
313,swipe up
314,legacy
315,swipe up
316,legacy
317,swipe up
318,swipe up
319,swipe up
320,swipe up
321,legacy
322,legacy
323,legacy
324,swipe up
325,legacy
326,swipe up
328,swipe up
329,swipe up
330,legacy
331,swipe up
332,legacy
333,legacy
334,swipe up
335,legacy
336,swipe up
337,swipe up
338,swipe up
339,swipe up
340,swipe up
341,legacy
342,swipe up
343,swipe up
344,swipe up
345,swipe up
346,legacy
347,legacy
348,swipe up
350,swipe up
351,legacy
352,swipe up
353,legacy
354,swipe up
355,swipe up
356,swipe up
357,swipe up
358,swipe up
359,swipe up
360,legacy
361,swipe up
362,swipe up
363,swipe up
364,swipe up
365,swipe up
366,swipe up
368,swipe up
369,legacy
370,legacy
371,swipe up
372,legacy
373,swipe up
374,legacy
375,swipe up
376,swipe up
377,legacy
378,swipe up
379,swipe up
381,swipe up
382,swipe up
383,swipe up
384,swipe up
385,swipe up
386,legacy
387,swipe up
388,swipe up
389,swipe up
390,swipe up
391,legacy
392,swipe up
393,legacy
394,swipe up
395,swipe up
396,swipe up
397,swipe up
398,swipe up
399,legacy
400,swipe up
401,swipe up
402,swipe up
403,swipe up
404,swipe up
405,swipe up
406,legacy
407,swipe up
408,swipe up
409,swipe up
410,swipe up
411,swipe up
412,swipe up
413,swipe up
414,swipe up
415,legacy
416,swipe up
417,swipe up
418,legacy
419,legacy
420,swipe up
421,swipe up
422,legacy
423,swipe up
424,legacy
425,legacy
426,swipe up
427,swipe up
428,swipe up
429,legacy
430,swipe up
431,legacy
432,legacy
433,swipe up
434,legacy
435,swipe up
436,swipe up
437,swipe up
438,swipe up
440,legacy
442,swipe up
443,swipe up
444,swipe up
445,swipe up
446,swipe up
447,legacy
448,swipe up
449,swipe up
450,swipe up
451,swipe up
452,legacy
453,swipe up
454,swipe up
456,swipe up
457,legacy
458,swipe up
459,swipe up
461,legacy
462,swipe up
463,swipe up
464,swipe up
465,swipe up
466,legacy
467,swipe up
468,swipe up
469,legacy
470,legacy
471,swipe up
472,legacy
473,swipe up
475,swipe up
476,legacy
477,swipe up
478,swipe up
479,swipe up
480,swipe up
481,legacy
482,swipe up
483,swipe up
484,swipe up
485,swipe up
486,legacy
488,swipe up
489,legacy
490,legacy
491,swipe up
492,legacy
493,swipe up
494,swipe up
495,swipe up
497,swipe up
498,swipe up
499,legacy
500,swipe up
501,legacy
502,swipe up
503,swipe up
504,swipe up
505,swipe up
506,legacy
507,swipe up
508,legacy
510,swipe up
511,swipe up
512,swipe up
513,legacy
514,legacy
515,swipe up
516,legacy
517,swipe up
518,swipe up
519,swipe up
520,swipe up
521,legacy
522,swipe up
523,legacy
524,legacy
525,swipe up
526,swipe up
527,legacy
528,legacy
529,legacy
530,swipe up
531,legacy
532,swipe up
533,swipe up
535,swipe up
536,swipe up
537,swipe up
538,swipe up
539,swipe up
540,legacy
541,legacy
542,swipe up
543,swipe up
544,swipe up
545,swipe up
546,swipe up
547,swipe up
548,swipe up
549,swipe up
550,legacy
551,swipe up
552,swipe up
553,swipe up
554,swipe up
555,swipe up
556,swipe up
557,legacy
558,swipe up
559,legacy
560,legacy
561,swipe up
562,legacy
563,legacy
564,swipe up
565,legacy
566,swipe up
567,swipe up
568,swipe up
569,swipe up
571,swipe up
572,swipe up
573,swipe up
574,legacy
575,legacy
576,swipe up
577,swipe up
578,swipe up
579,swipe up
580,swipe up
581,swipe up
582,swipe up
583,swipe up
584,legacy
585,legacy
586,legacy
587,swipe up
588,legacy
589,swipe up
590,swipe up
591,legacy
592,legacy
593,legacy
594,swipe up
595,legacy
596,swipe up
598,swipe up
599,swipe up
600,swipe up
601,legacy
602,legacy
603,legacy
604,swipe up
605,legacy
606,swipe up
607,legacy
608,swipe up
609,swipe up
610,legacy
611,legacy
612,swipe up
613,legacy
614,legacy
615,swipe up
616,swipe up
617,swipe up
618,swipe up
619,swipe up
620,swipe up
621,legacy
622,swipe up
623,swipe up
624,swipe up
625,legacy
626,swipe up
627,legacy
628,swipe up
629,legacy
630,swipe up
631,swipe up
632,legacy
633,legacy
634,legacy
635,legacy
636,swipe up
637,swipe up
638,swipe up
639,swipe up
640,swipe up
641,swipe up
642,legacy
643,swipe up
644,swipe up
645,swipe up
646,legacy
647,swipe up
648,swipe up
649,legacy
651,swipe up
652,swipe up
653,legacy
655,swipe up
656,legacy
657,swipe up
658,swipe up
659,swipe up
660,legacy
661,swipe up
662,legacy
663,swipe up
664,legacy
665,swipe up
666,swipe up
667,swipe up
668,legacy
669,swipe up
670,legacy
671,legacy
672,swipe up
673,swipe up
674,swipe up
675,swipe up
676,swipe up
677,legacy
678,legacy
680,legacy
681,swipe up
682,legacy
683,legacy
684,legacy
685,swipe up
686,swipe up
687,legacy
688,swipe up
689,swipe up
690,swipe up
691,swipe up
692,swipe up
693,swipe up
694,swipe up
695,swipe up
696,swipe up
697,swipe up
698,swipe up
699,swipe up
700,swipe up
701,swipe up
702,swipe up
703,swipe up
705,swipe up
706,swipe up
707,swipe up
708,legacy
709,swipe up
710,swipe up
711,swipe up
712,swipe up
713,swipe up
714,swipe up
715,swipe up
716,legacy
718,swipe up
719,swipe up
720,swipe up
721,legacy
722,swipe up
723,swipe up
724,swipe up
725,swipe up
726,swipe up
727,swipe up
728,swipe up
729,swipe up
730,swipe up
731,swipe up
733,swipe up
734,swipe up
735,swipe up
736,swipe up
737,swipe up
738,swipe up
739,swipe up
740,swipe up
741,swipe up
742,swipe up
743,legacy
744,swipe up
745,swipe up
746,legacy
748,swipe up
749,swipe up
750,legacy
751,swipe up
752,swipe up
753,swipe up
754,swipe up
755,swipe up
756,swipe up
757,legacy
758,swipe up
759,swipe up
760,swipe up
761,swipe up
762,swipe up
764,swipe up
765,swipe up
766,legacy
767,swipe up
768,swipe up
769,swipe up
770,legacy
771,swipe up
772,swipe up
773,swipe up
774,swipe up
775,swipe up
776,swipe up
777,swipe up
778,swipe up
779,swipe up
780,swipe up
781,swipe up
782,swipe up
783,swipe up
784,legacy
785,legacy
786,swipe up
787,swipe up
788,swipe up
789,swipe up
790,legacy
791,legacy
792,swipe up
793,swipe up
794,legacy
795,swipe up
796,swipe up
797,swipe up
798,swipe up
799,legacy
800,swipe up
801,swipe up
802,swipe up
803,legacy
804,swipe up
805,swipe up
806,swipe up
807,swipe up
808,swipe up
809,legacy
810,legacy
811,swipe up
812,swipe up
813,swipe up
814,legacy
815,swipe up
816,swipe up
817,swipe up
818,swipe up
819,swipe up
820,legacy
821,swipe up
822,swipe up
823,legacy
824,swipe up
825,swipe up
826,legacy
827,swipe up
828,swipe up
829,swipe up
830,swipe up
833,swipe up
834,swipe up
835,swipe up
836,swipe up
837,swipe up
838,legacy
839,swipe up
840,swipe up
841,swipe up
842,swipe up
843,legacy
844,swipe up
845,swipe up
846,swipe up
847,swipe up
848,swipe up
849,legacy
850,swipe up
851,swipe up
852,swipe up
853,legacy
854,legacy
855,swipe up
856,swipe up
857,swipe up
858,legacy
859,swipe up
860,swipe up
861,swipe up
862,legacy
863,swipe up
864,legacy
865,legacy
866,swipe up
867,swipe up
868,swipe up
869,legacy
870,swipe up
871,swipe up
872,swipe up
873,legacy
874,swipe up
875,swipe up
876,legacy
877,swipe up
878,swipe up
879,swipe up
880,swipe up
881,legacy
882,swipe up
884,legacy
885,swipe up
886,swipe up
887,legacy
888,swipe up
889,legacy
890,swipe up
891,swipe up
892,swipe up
893,swipe up
894,legacy
895,swipe up
896,swipe up
897,legacy
898,swipe up
899,swipe up
900,legacy
901,swipe up
902,swipe up
903,swipe up
904,swipe up
905,legacy
906,swipe up
907,swipe up
908,swipe up
909,legacy
910,swipe up
911,swipe up
912,swipe up
913,swipe up
914,swipe up
915,swipe up
916,swipe up
917,legacy
918,legacy
919,swipe up
920,swipe up
921,legacy
922,legacy
923,swipe up
924,swipe up
925,swipe up
927,legacy
928,legacy
929,legacy
930,swipe up
931,legacy
932,swipe up
933,swipe up
934,legacy
935,legacy
936,swipe up
937,swipe up
938,swipe up
939,legacy
940,swipe up
941,swipe up
942,swipe up
943,swipe up
944,swipe up
945,swipe up
947,swipe up
948,legacy
950,swipe up
951,swipe up
952,swipe up
953,legacy
954,swipe up
955,swipe up
956,legacy
957,swipe up
958,legacy
959,swipe up
960,legacy
961,legacy
962,swipe up
963,swipe up
964,swipe up
965,swipe up
966,swipe up
967,swipe up
968,swipe up
969,swipe up
970,legacy
971,swipe up
972,swipe up
973,legacy
974,swipe up
975,legacy
976,legacy
977,swipe up
978,legacy
979,legacy
980,legacy
981,legacy
982,swipe up
984,legacy
985,swipe up
986,legacy
987,swipe up
988,swipe up
989,legacy
990,legacy
991,swipe up
992,swipe up
993,legacy
994,swipe up
995,swipe up
996,swipe up
998,legacy
999,swipe up
1000,swipe up
1001,legacy
1002,legacy
1003,swipe up
1004,swipe up
1005,swipe up
1006,legacy
1007,swipe up
1008,swipe up
1009,swipe up
1010,legacy
1011,legacy
1012,swipe up
1013,swipe up
1014,swipe up
1015,swipe up
1016,legacy
1017,swipe up
1018,legacy
1019,legacy
1020,legacy
1021,swipe up
1022,swipe up
1023,swipe up
1024,legacy
1025,legacy
1026,legacy
1027,swipe up
1028,legacy
1029,legacy
1030,legacy
1032,swipe up
1033,swipe up
1034,swipe up
1035,swipe up
1036,legacy
1037,swipe up
1038,swipe up
1039,legacy
1040,swipe up
1041,legacy
1042,swipe up
1043,swipe up
1044,swipe up
1045,swipe up
1046,swipe up
1047,swipe up
1048,swipe up
1051,swipe up
1052,swipe up
1053,swipe up
1054,legacy
1055,swipe up
1056,legacy
1057,swipe up
1058,swipe up
1059,legacy
1060,legacy
1061,legacy
1062,swipe up
1063,swipe up
1064,swipe up
1065,swipe up
1066,swipe up
1067,swipe up
1068,legacy
1069,swipe up
1070,swipe up
1071,swipe up
1072,swipe up
1073,swipe up
1074,swipe up
1075,legacy
1076,legacy
1077,legacy
1078,swipe up
1079,legacy
1080,swipe up
1081,swipe up
1082,swipe up
1083,swipe up
1084,swipe up
1085,legacy
1086,swipe up
1087,legacy
1088,swipe up
1089,swipe up
1090,swipe up
1091,swipe up
1093,swipe up
1094,swipe up
1095,swipe up
1096,legacy
1097,legacy
1098,legacy
1099,swipe up
1100,swipe up
1101,swipe up
1102,swipe up
1103,swipe up
1104,swipe up
1105,swipe up
1106,swipe up
1107,swipe up
1108,swipe up
1109,legacy
1110,swipe up
1111,swipe up
1112,legacy
1113,swipe up
1114,legacy
1115,swipe up
1116,swipe up
1117,swipe up
1118,swipe up
1119,swipe up
1120,swipe up
1121,swipe up
1122,swipe up
1123,legacy
1124,swipe up
1125,swipe up
1126,swipe up
1128,legacy
1129,swipe up
1130,legacy
1131,legacy
1132,legacy
1133,legacy
1134,swipe up
1135,swipe up
1136,swipe up
1137,swipe up
1138,swipe up
1139,swipe up
1140,swipe up
1141,swipe up
1142,swipe up
1143,legacy
1144,swipe up
1146,swipe up
1147,swipe up
1148,swipe up
1149,legacy
1150,swipe up
1151,swipe up
1152,swipe up
1153,swipe up
1154,swipe up
1155,swipe up
1156,swipe up
1157,swipe up
1158,legacy
1159,legacy
1160,legacy
1161,swipe up
1162,swipe up
1163,swipe up
1164,swipe up
1165,swipe up
1166,legacy
1167,swipe up
1168,legacy
1169,swipe up
1170,swipe up
1171,swipe up
1172,swipe up
1173,swipe up
1174,swipe up
1175,swipe up
1176,swipe up
1177,swipe up
1178,swipe up
1179,swipe up
1180,swipe up
1181,swipe up
1182,legacy
1183,swipe up
1184,swipe up
1185,swipe up
1186,swipe up
1187,swipe up
1188,legacy
1189,legacy
1190,swipe up
1191,legacy
1192,swipe up
1193,swipe up
1194,legacy
1195,legacy
1196,swipe up
1197,swipe up
1198,swipe up
1199,legacy
1200,legacy
1201,swipe up
1202,swipe up
1203,swipe up
1204,swipe up
1205,swipe up
1206,swipe up
1207,swipe up
1209,legacy
1210,swipe up
1211,swipe up
1212,legacy
1213,swipe up
1214,swipe up
1215,swipe up
1216,swipe up
1217,swipe up
1218,legacy
1219,swipe up
1220,swipe up
1221,legacy
1222,swipe up
1223,swipe up
1224,swipe up
1225,swipe up
1226,swipe up
1227,legacy
1228,swipe up
1229,swipe up
1230,swipe up
1231,legacy
1232,legacy
1233,swipe up
1234,legacy
1235,legacy
1236,swipe up
1237,swipe up
1238,legacy
1239,swipe up
1240,legacy
1241,swipe up
1242,legacy
1243,legacy
1244,swipe up
1245,swipe up
1247,swipe up
1248,swipe up
1249,swipe up
1252,swipe up
1253,swipe up
1254,legacy
1255,legacy
1256,swipe up
1257,legacy
1259,swipe up
1260,legacy
1261,swipe up
1263,swipe up
1264,swipe up
1265,swipe up
1266,swipe up
1267,swipe up
1268,legacy
1270,legacy
1271,swipe up
1272,swipe up
1273,legacy
1274,swipe up
1275,legacy
1276,swipe up
1277,swipe up
1279,legacy
1280,legacy
1281,legacy
1282,swipe up
1283,swipe up
1284,swipe up
1285,legacy
1286,legacy
1287,legacy
1288,swipe up
1289,swipe up
1290,legacy
1291,swipe up
1292,swipe up
1293,legacy
1294,swipe up
1295,swipe up
1296,legacy
1297,legacy
1298,swipe up
1299,legacy
1300,legacy
1301,legacy
1302,swipe up
1303,swipe up
1304,legacy
1305,swipe up
1306,swipe up
1307,swipe up
1308,legacy
1309,swipe up
1310,swipe up
1311,swipe up
1312,legacy
1313,legacy
1314,swipe up
1315,legacy
1316,swipe up
1317,swipe up
1318,swipe up
1319,legacy
1320,swipe up
1321,swipe up
1322,legacy
1323,legacy
1324,swipe up
1325,legacy
1326,legacy
1327,swipe up
1328,swipe up
1329,swipe up
1330,swipe up
1331,swipe up
1332,swipe up
1333,swipe up
1334,legacy
1335,swipe up
1336,legacy
1337,swipe up
1338,swipe up
1339,legacy
1340,swipe up
1341,swipe up
1342,swipe up
1344,swipe up
1345,legacy
1346,legacy
1347,swipe up
1348,legacy
1349,legacy
1350,swipe up
1351,legacy
1352,swipe up
1353,swipe up
1354,swipe up
1355,legacy
1356,legacy
1357,legacy
1358,swipe up
1359,legacy
1360,legacy
1361,swipe up
1362,swipe up
1363,swipe up
1364,legacy
1365,legacy
1366,swipe up
1367,swipe up
1368,legacy
1369,legacy
