2686,0,0,0
7635,0,6,6
5935,19,4,23
1660,26,4,30
1235,11,8,19
1607,20,16,36
1940,20,8,28
1973,15,16,31
2607,8,8,16
296,8,10,18
3209,12,16,28
3356,4,10,14
3411,4,12,16
3603,3,12,15
3619,4,10,14
3628,3,12,15
3848,16,16,32
3876,12,16,28
418,8,6,14
438,6,4,10
4530,3,12,15
4692,4,12,16
4757,3,12,15
5134,30,4,34
5147,32,4,36
5738,4,10,14
7301,11,16,27
7342,3,12,15
1057,8,6,14
1389,9,8,17
1408,12,16,28
1724,8,16,24
1784,28,4,32
1797,18,8,26
183,8,6,14
2005,24,8,32
207,8,8,16
2211,12,16,28
2279,20,8,28
2431,4,13,17
2548,12,16,28
2695,20,16,36
2805,8,8,16
2940,3,12,15
3159,30,4,34
3286,11,16,27
3308,14,16,30
3340,4,12,16
3566,26,4,30
372,18,16,34
3740,2,14,16
3899,3,12,15
422,8,16,24
4471,5,6,11
4479,14,16,30
5165,12,16,28
5258,4,10,14
5285,18,16,34
5317,26,4,30
5382,13,8,21
5481,13,8,21
5755,4,9,13
5769,4,9,13
628,23,4,27
7205,4,12,16
7209,4,12,16
7238,6,6,12
7246,6,6,12
1287,15,16,31
1760,10,12,22
178,6,8,14
1935,20,16,36
1967,18,8,26
2117,10,16,26
2166,24,8,32
242,9,16,25
2453,10,16,26
2617,9,16,25
2757,14,16,30
2876,3,15,18
2908,8,8,16
3118,12,12,24
3339,17,8,25
3429,11,16,27
3745,3,12,15
3760,9,16,25
3806,8,16,24
3810,10,16,26
3843,10,16,26
3880,3,9,12
4169,3,12,15
466,9,8,17
506,8,6,14
5215,19,8,27
5287,11,16,27
5369,15,16,31
5393,3,11,14
5831,3,10,13
5898,11,16,27
5981,3,11,14
642,10,16,26
708,14,16,30
7296,3,11,14
881,18,16,34
900,8,8,16
1061,8,6,14
107,11,16,27
1131,10,8,18
1188,17,8,25
1221,20,16,36
1966,12,16,28
2053,8,8,16
2107,10,16,26
2122,13,7,20
2439,24,8,32
2519,16,16,32
2654,8,8,16
2731,4,12,16
3177,8,8,16
3183,3,12,15
3274,18,16,34
3504,3,12,15
3727,3,12,15
3736,3,12,15
4174,4,12,16
4503,28,4,32
5148,2,14,16
523,9,8,17
5304,4,12,16
5355,9,16,25
5632,9,8,17
651,24,8,32
6548,4,7,11
884,15,16,31
975,14,16,30
998,3,12,15
1789,15,16,31
1001,17,16,33
1364,22,16,38
1376,18,16,34
2477,12,16,28
2875,3,12,15
3139,4,12,16
3872,16,16,32
4111,12,16,28
4303,22,4,26
6098,4,12,16
677,18,16,34
7636,0,10,10
1243,16,16,32
1273,18,16,34
1451,8,6,14
18,10,8,18
1879,14,8,22
2856,8,7,15
286,14,16,30
2983,5,12,17
3191,8,8,16
3709,12,16,28
4506,15,16,31
4849,11,16,27
486,8,16,24
5093,4,12,16
5107,4,12,16
5325,16,8,24
5628,11,8,19
5713,9,16,25
5888,8,8,16
591,8,16,24
629,10,16,26
6967,3,9,12
1114,8,6,14
1143,8,16,24
1200,28,4,32
1819,12,16,28
1999,10,16,26
2522,18,16,34
3409,14,16,30
4168,9,16,25
4365,16,8,24
4569,8,6,14
5451,4,12,16
5793,16,16,32
5859,12,8,20
5982,6,3,9
603,13,16,29
7099,3,12,15
788,8,8,16
843,5,8,13
1589,16,4,20
2240,14,8,22
3404,16,16,32
341,6,9,15
3436,16,8,24
3568,18,16,34
3809,8,6,14
5701,11,16,27
7199,10,16,26
917,7,8,15
1029,9,8,17
1227,15,16,31
1231,28,4,32
1270,20,16,36
1675,10,16,26
1725,12,16,28
1758,11,16,27
1807,17,8,25
1961,12,16,28
1968,22,8,30
2631,14,16,30
27,10,8,18
2893,9,16,25
3304,13,16,29
3342,13,16,29
3391,13,16,29
4148,2,14,16
4210,4,8,12
4377,9,6,15
4747,5,8,13
5751,14,8,22
5842,12,16,28
586,18,16,34
7,14,16,30
700,17,8,25
7004,3,12,15
1060,16,16,32
1151,16,16,32
1279,16,16,32
1280,24,8,32
1336,6,6,12
1391,28,4,32
1634,18,16,34
1667,9,16,25
1762,17,16,33
1873,13,16,29
1965,19,16,35
2078,16,16,32
2155,14,8,22
2282,22,8,30
2491,20,8,28
2664,8,8,16
2809,9,16,25
2919,4,12,16
3055,12,16,28
3296,26,8,34
3381,8,6,14
346,10,8,18
3693,13,16,29
370,8,16,24
373,8,6,14
3867,18,16,34
406,13,16,29
461,18,16,34
472,20,16,36
5028,24,8,32
585,14,16,30
611,18,16,34
621,9,16,25
7011,0,1,1
803,11,8,19
849,24,8,32
876,9,16,25
935,24,8,32
953,16,16,32
970,13,16,29
973,18,16,34
1404,11,16,27
1453,16,16,32
1531,14,16,30
1614,13,8,21
1624,17,4,21
1765,13,16,29
1905,10,16,26
1980,11,16,27
2131,20,8,28
2176,12,16,28
2213,22,8,30
2223,15,16,31
2277,10,8,18
2386,12,16,28
2441,13,16,29
2443,12,16,28
2467,5,12,17
3163,24,4,28
3420,12,10,22
3531,20,16,36
3720,18,4,22
3723,4,10,14
4295,9,16,25
447,16,16,32
4639,9,16,25
5145,9,16,25
529,18,16,34
5808,9,16,25
5857,14,8,22
5976,11,16,27
670,18,16,34
685,18,16,34
6932,10,16,26
698,18,16,34
750,5,12,17
853,16,16,32
858,8,6,14
1707,16,16,32
1014,18,16,34
1075,18,16,34
1435,8,16,24
146,10,8,18
1511,16,16,32
1516,10,16,26
1548,12,8,20
1681,12,8,20
1779,10,8,18
1798,9,16,25
181,8,16,24
1906,6,8,14
1958,6,16,22
2238,22,8,30
2352,18,16,34
239,8,8,16
2634,9,16,25
2735,20,4,24
2930,4,12,16
2939,9,16,25
3042,3,12,15
305,8,8,16
310,9,16,25
3123,4,9,13
3208,18,16,34
3307,10,16,26
3338,4,12,16
355,18,16,34
3634,10,16,26
3752,4,12,16
3761,10,16,26
3768,7,16,23
4112,16,16,32
4355,9,8,17
4371,4,12,16
4378,10,16,26
4381,22,16,38
4439,11,8,19
5663,3,11,14
7098,3,12,15
7329,4,12,16
989,16,16,32
5609,0,0,0
1552,18,8,26
1865,9,8,17
2263,15,8,23
4635,10,16,26
931,14,16,30
1146,20,16,36
1285,16,16,32
129,16,16,32
1307,20,8,28
1313,16,8,24
1363,12,16,28
1400,18,16,34
1416,8,16,24
1421,14,16,30
1450,12,16,28
1458,18,16,34
1497,16,8,24
1536,20,16,36
1565,20,16,36
1574,26,4,30
1584,28,4,32
1650,10,8,18
1674,30,4,34
1733,14,16,30
1739,20,16,36
1882,12,8,20
1883,13,16,29
1915,14,16,30
192,16,16,32
2069,18,8,26
2081,10,16,26
21,10,16,26
2119,18,7,25
2233,18,16,34
2257,19,8,27
2359,14,16,30
2385,20,4,24
2482,30,4,34
2506,8,16,24
2575,14,16,30
2592,22,4,26
2734,14,16,30
2905,10,4,14
2950,28,4,32
3352,22,4,26
3408,28,4,32
3423,13,8,21
3465,24,8,32
3587,15,8,23
361,17,8,25
3658,16,8,24
3847,12,16,28
4161,22,8,30
4226,8,8,16
436,6,10,16
4404,11,16,27
4451,22,16,38
4528,4,8,12
459,13,16,29
470,14,16,30
476,8,16,24
5159,16,16,32
5219,10,8,18
5227,6,16,22
5242,18,16,34
5314,4,12,16
