Market ID,Region,Store # ,Market ID,Region,Store # ,First Carrier Assigned,Fulfillment Type,Weeks With Status,Status,Trend,Directional Focus ,Max_WM_WK_ID,OTD*,Avg. OTP*,Avg. Dwell_Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
146,41,97,146,41,97,UBER,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202221,56.25%,93.90%,10.3,62.50%,28.60%,66.70%,55.90%
146,41,104,146,41,106,POINTPICKUP,Scheduled Express Delivery ,9,Executive Review,Degrading,Driver Supply Focus,202221,80.77%,93.75%,8,66.70%,71.40%,100.00%,87.50%
146,41,335,146,41,335,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,-,Store Focus,202221,75.76%,82.35%,19,,,57.10%,80.80%
146,41,335,152,41,671,POINTPICKUP,Scheduled Standard Delivery,6,At Risk,-,Store Focus,202221,66.67%,69.44%,20.1,,,75.00%,62.50%
152,41,587,152,41,671,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202221,87.80%,79.39%,15.5,85.90%,83.80%,91.20%,89.90%
242,41,497,242,41,1053,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202221,90.56%,90.55%,7.8,94.00%,87.00%,88.60%,92.80%
242,41,3294,242,41,3294,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202221,87.51%,80.83%,10.9,87.60%,80.80%,89.50%,93.00%
242,41,3610,242,41,4450,SPARK,Scheduled Standard Delivery,17,Executive Review,Recovering,Store Focus,202221,84.60%,66.26%,15.2,98.80%,88.70%,68.50%,77.70%
242,41,4450,242,41,7290,UBER,Scheduled Standard Delivery,24,Executive Review,Degrading,Store Focus,202221,75.63%,85.07%,14.3,85.20%,59.50%,79.30%,90.50%
242,41,5418,253,41,143,POINTPICKUP,Scheduled Express Delivery ,12,Executive Review,Degrading,Driver Supply Focus,202221,82.46%,98.73%,6.5,85.70%,83.30%,71.40%,88.20%
242,41,6931,253,41,491,POINTPICKUP,Scheduled Standard Delivery,19,Executive Review,Degrading,Driver Supply Focus,202221,93.77%,93.68%,8.9,66.70%,95.00%,95.70%,92.50%
242,41,6931,253,41,655,POINTPICKUP,Scheduled Express Delivery ,2,Active Monitoring,Recovering,Driver Supply Focus,202221,90.00%,95.37%,7.9,90.00%,92.60%,90.00%,87.00%
242,41,7290,254,41,299,POINTPICKUP,Scheduled Standard Delivery,17,Executive Review,Degrading,Store Focus,202221,84.23%,84.48%,13.2,86.40%,81.50%,81.30%,87.70%
253,41,410,257,41,689,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202221,79.82%,78.42%,13.1,82.40%,72.40%,88.20%,81.30%
253,41,431,257,41,825,DOORDASH,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202221,85.57%,95.10%,5.9,77.80%,96.80%,76.90%,92.30%
253,41,491,258,41,1113,DOORDASH,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202221,87.18%,84.42%,15.1,88.00%,84.00%,88.40%,88.20%
253,41,655,258,41,1259,DOORDASH,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202221,77.09%,75.73%,16.6,75.80%,75.70%,74.10%,86.50%
253,41,3362,259,41,591,POINTPICKUP,Scheduled Express Delivery ,9,Executive Review,Recovering,Driver Supply Focus,202221,75.00%,97.30%,4.7,100.00%,85.70%,66.70%,50.00%
254,41,694,259,41,1426,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202221,74.40%,79.01%,16.7,90.50%,88.50%,44.10%,72.20%
256,41,709,259,41,3894,DOORDASH,Scheduled Standard Delivery,6,At Risk,Degrading,Store Focus,202221,79.27%,61.96%,16.8,84.30%,58.30%,94.80%,84.60%
256,41,709,259,41,3894,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202221,87.83%,64.60%,14.3,92.80%,77.30%,92.10%,89.00%
256,41,1165,260,41,1210,POINTPICKUP,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202221,85.15%,69.15%,15.9,79.70%,88.50%,85.30%,85.10%
256,41,4118,494,59,4524,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202221,86.43%,91.55%,9.2,93.10%,79.90%,81.10%,91.20%
256,41,4118,1,14,853,POINTPICKUP,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202221,50.00%,55.08%,37.1,55.40%,11.80%,55.90%,52.90%
257,41,299,1,14,853,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202221,62.82%,60.91%,24.4,71.10%,26.20%,65.60%,60.80%
257,41,299,1,14,866,POINTPICKUP,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202221,73.78%,69.38%,25.6,72.00%,63.00%,78.90%,100.00%
257,41,5236,1,14,991,POINTPICKUP,Scheduled Standard Delivery,26,Executive Review,Degrading,Store Focus,202221,88.56%,92.15%,12.5,88.50%,92.30%,83.80%,91.40%
258,41,1113,1,14,991,SPARK,Scheduled Standard Delivery,6,At Risk,Recovering,Store Focus,202221,90.39%,92.59%,11.1,92.70%,90.90%,87.70%,88.20%
258,41,1505,1,14,1212,POINTPICKUP,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202221,89.61%,83.28%,14.1,89.00%,89.00%,89.00%,91.90%
259,41,591,1,14,2748,DOORDASH,Scheduled Standard Delivery,20,Executive Review,Degrading,Store Focus,202221,46.67%,38.78%,41.3,23.10%,33.30%,57.90%,56.80%
259,41,2638,1,14,2748,SPARK,Scheduled Standard Delivery,15,Executive Review,Degrading,Store Focus,202221,61.73%,61.88%,17.6,73.20%,64.30%,54.30%,57.40%
260,41,1210,1,14,4333,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202221,69.82%,61.54%,25.8,74.90%,69.60%,65.60%,61.00%
260,41,1210,2,14,1158,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202221,78.90%,85.76%,15.2,89.80%,67.70%,78.80%,79.50%
260,41,2628,2,14,1711,DOORDASH,Scheduled Standard Delivery,20,Executive Review,Degrading,Store Focus,202221,63.37%,50.36%,36.9,62.90%,47.70%,72.20%,72.20%
260,41,2783,2,14,1711,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202221,67.39%,56.15%,25.2,63.50%,58.30%,72.40%,81.00%
260,41,3894,3,14,301,POINTPICKUP,Scheduled Standard Delivery,5,At Risk,Recovering,Store Focus,202221,87.30%,89.08%,13.5,95.90%,77.80%,90.10%,88.00%
260,41,3894,3,14,2713,POINTPICKUP,Scheduled Standard Delivery,34,Executive Review,Degrading,Store Focus,202221,69.57%,69.49%,26.5,70.60%,69.20%,63.60%,80.00%
494,59,5452,3,14,2713,SPARK,Scheduled Standard Delivery,27,Executive Review,Degrading,Store Focus,202221,67.70%,67.67%,26,79.20%,70.30%,48.50%,75.60%
1,14,853,10,14,733,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202221,78.21%,88.82%,25.8,86.90%,64.90%,77.10%,81.50%
1,14,866,11,14,715,SPARK,Scheduled Standard Delivery,18,Executive Review,Recovering,Store Focus,202221,91.80%,84.49%,11.2,93.90%,91.10%,89.10%,94.90%
1,14,991,11,14,764,UBER,Scheduled Express Delivery ,2,Active Monitoring,Recovering,Store Focus,202221,92.31%,84.48%,14.4,100.00%,84.20%,92.30%,100.00%
1,14,1212,11,14,764,UBER,Scheduled Standard Delivery,9,Executive Review,Degrading,Store Focus,202221,73.67%,64.94%,18.4,68.10%,67.70%,77.60%,87.10%
1,14,2748,13,14,1481,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,202221,69.34%,82.85%,18.9,70.00%,75.80%,61.50%,70.50%
2,14,1158,13,14,1481,UBER,Scheduled Standard Delivery,37,Executive Review,Degrading,Store Focus,202221,61.00%,76.13%,23.7,63.20%,59.80%,55.00%,71.20%
2,14,1711,13,14,4497,POINTPICKUP,Scheduled Express Delivery ,5,At Risk,Recovering,Store Focus,202221,92.31%,76.10%,18.4,96.90%,97.60%,90.00%,76.50%
3,14,300,13,14,4497,POINTPICKUP,Scheduled Standard Delivery,37,Executive Review,Degrading,Store Focus,202221,71.39%,69.03%,24.5,66.40%,67.80%,77.40%,74.90%
3,14,2713,13,14,4497,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,202221,80.05%,70.82%,18,82.30%,75.40%,85.10%,77.50%
3,14,2713,13,14,5262,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202221,80.38%,70.35%,21.1,83.30%,56.90%,93.40%,100.00%
8,14,483,13,14,5262,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202221,82.01%,74.46%,17,88.10%,60.00%,97.40%,84.10%
8,14,930,14,14,990,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202221,82.06%,83.85%,20.1,82.30%,69.70%,88.00%,90.40%
10,14,355,14,14,990,UBER,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202221,81.65%,84.05%,21,75.40%,77.20%,83.60%,85.80%
11,14,764,14,14,1224,SPARK,Scheduled Standard Delivery,4,At Risk,Degrading,Store Focus,202221,83.88%,74.96%,14.4,82.00%,79.40%,84.40%,89.90%
11,14,2306,14,14,1224,UBER,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202221,83.74%,75.59%,20.1,83.20%,80.00%,82.80%,87.60%
13,14,1229,14,14,3484,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202221,81.79%,84.39%,16.2,88.40%,72.30%,84.10%,80.80%
13,14,1481,14,14,3484,UBER,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Store Focus,202221,75.91%,83.32%,23.6,74.40%,66.80%,79.60%,81.20%
13,14,2111,14,14,3785,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202221,73.27%,63.69%,19.6,79.00%,69.70%,75.60%,68.90%
13,14,3271,14,14,3785,UBER,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202221,76.38%,61.04%,26.1,85.50%,73.80%,76.50%,69.90%
13,14,4497,15,14,818,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202221,79.87%,78.35%,12.2,90.50%,84.40%,74.40%,74.10%
13,14,5262,15,14,919,UBER,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Store Focus,202221,79.21%,84.39%,14.7,89.30%,82.80%,71.60%,80.80%
14,14,1224,15,14,944,SPARK,Scheduled Standard Delivery,4,At Risk,Recovering,Store Focus,202221,89.86%,79.89%,13.4,93.70%,93.60%,83.80%,84.70%
14,14,1224,15,14,944,UBER,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202221,78.75%,73.42%,18.3,84.60%,88.70%,63.20%,80.40%
138,14,981,15,14,1032,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202221,88.50%,69.92%,14.3,96.30%,82.70%,88.30%,88.10%
544,72,3184,15,14,1362,DOORDASH,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202221,81.07%,94.98%,17.2,86.30%,82.10%,70.40%,86.00%
544,72,4504,15,14,1362,SPARK,Scheduled Standard Delivery,5,At Risk,Degrading,Store Focus,202221,78.34%,97.35%,10.4,87.40%,73.90%,77.90%,76.00%
544,72,4580,15,14,3075,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202221,77.20%,72.40%,17.3,92.80%,74.20%,64.20%,83.30%
544,72,5100,15,14,3075,UBER,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202221,74.59%,71.88%,23.1,95.80%,71.40%,54.00%,84.10%
544,72,5248,15,14,3119,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202221,77.11%,88.57%,8.7,90.20%,81.10%,80.80%,63.10%
544,72,5256,15,14,5845,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Store Focus,202221,76.74%,64.86%,16,91.40%,79.10%,39.80%,85.30%
545,72,4657,15,14,5845,UBER,Scheduled Standard Delivery,9,Executive Review,Recovering,Store Focus,202221,65.05%,64.89%,25.1,96.70%,67.30%,26.90%,74.80%
545,72,5740,15,14,5872,DOORDASH,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202221,76.57%,91.53%,9.1,78.60%,66.70%,74.70%,84.70%
545,72,5744,15,14,5872,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202221,83.59%,96.55%,7.2,86.90%,83.80%,76.10%,87.50%
44,5,3285,544,72,4504,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Store Focus,202221,83.14%,84.86%,12.5,89.20%,74.30%,85.10%,82.60%
44,5,3631,545,72,5623,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202221,82.43%,82.91%,10.3,79.60%,79.10%,85.20%,86.70%
44,5,5147,545,72,5740,SPARK,Scheduled Standard Delivery,22,Executive Review,Degrading,Store Focus,202221,87.28%,80.19%,13.3,86.30%,88.70%,89.70%,83.10%
48,5,228,545,72,5744,POINTPICKUP,Scheduled Standard Delivery,15,Executive Review,Recovering,Store Focus,202221,91.12%,83.86%,11.9,90.00%,85.00%,96.30%,88.90%
48,5,353,44,5,1801,SPARK,Scheduled Standard Delivery,12,Executive Review,Recovering,Store Focus,202221,84.35%,73.66%,18.8,92.80%,72.00%,83.20%,89.30%
48,5,371,44,5,5147,SPARK,Scheduled Standard Delivery,39,Executive Review,Degrading,Store Focus,202221,86.08%,87.55%,13.7,89.60%,77.00%,86.30%,91.50%
48,5,590,45,5,3764,UBER,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202221,62.50%,93.26%,9.9,60.60%,68.40%,76.50%,36.40%
49,5,471,46,5,572,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202221,92.39%,90.45%,9.8,94.20%,92.40%,93.40%,89.00%
49,5,896,49,5,471,SPARK,Scheduled Standard Delivery,21,Executive Review,Degrading,Store Focus,202221,81.82%,79.96%,17.4,83.40%,70.40%,87.20%,90.90%
49,5,3014,49,5,3014,SPARK,Scheduled Standard Delivery,39,Executive Review,Recovering,Store Focus,202221,91.76%,96.54%,12.9,94.60%,88.00%,88.70%,96.10%
49,5,3432,49,5,4503,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Recovering,Store Focus,202221,73.35%,65.70%,23.7,94.50%,48.90%,90.40%,59.90%
49,5,5288,49,5,5810,SPARK,Scheduled Standard Delivery,26,Executive Review,Recovering,Store Focus,202221,89.42%,95.58%,12.4,91.60%,82.80%,88.70%,95.30%
49,5,5810,50,5,2649,SPARK,Scheduled Standard Delivery,11,Executive Review,Degrading,Store Focus,202221,86.05%,84.83%,15.5,87.30%,82.80%,86.50%,87.90%
51,5,2918,52,5,2427,SPARK,Scheduled Standard Delivery,17,Executive Review,Degrading,Store Focus,202221,67.46%,69.76%,23,71.80%,43.00%,72.10%,82.40%
52,5,2427,53,5,426,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Store Focus,202221,86.70%,76.24%,10,84.60%,79.50%,90.40%,93.20%
55,5,1118,53,5,2105,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Store Focus,202221,85.70%,68.57%,22.8,94.60%,79.20%,82.60%,86.40%
