Store List,FDD Support,HVDC Support
1698,6096,6096
1749,6096,6096
1753, No Change,6096
1762,6096,6096
1785,6096,7030
1788,6096,6096
1796,6096,7030
1797, No Change,6096
1856, No Change,6096
1866,6096,6096
1868,6096,No Change
1873,7030,7030
1891,7030,No Change
1906,6096,6096
1907,6096,No Change
1918, No Change,6096
1919, No Change,6096
1924, No Change,6096
1930,6096,7030
1932, No Change,6096
1939, No Change,No Change
1954,6096,6096
1964,7030,7030
1967,7030,No Change
1970,6096,7030
1974, No Change,6096
1975,6096,7030
1980,7030,7030
1984,7030,No Change
2012,7030,7030
2013, No Change,6096
2021,6096,6096
2022,7030,No Change
2046,6096,6096
2047, No Change,6096
2055,6096,7030
2057,No Change,6096
2095,6096,6096
2103,6096,6096
2118,7030,7030
2122,6096,6096
2128, No Change,6096
2130,6096,6096
2138,6096,6096
2139,6096,6096
2140,6096,6096
2142,6096,7030
2143, No Change,6096
2153,6096,6096
2155,7030,7030
2157,6096,6096
2158, No Change,7030
2170,6096,No Change
2174,7030,No Change
2178, No Change,6096
2180, No Change,7030
2183,6096,6096
2184, No Change,6096
2200, No Change,No Change
2202,6096,6096
2222,6096,7030
2224,6096,No Change
2225,7030,6096
2227, No Change,6096
2228,6096,No Change
2232,7030,No Change
2261,7030,7030
2267,7030,6096
2283,7030,7030
2299,7030,No Change
2329,6096,6096
2330,6096,6096
2331,7030,No Change
2332,6096,6096
2336,6096,6096
2341,6096,6096
2366,6096,6096
2369,6096,7030
2373,7030,6096
2386,7030,No Change
2398,6096,6096
2399,6096,7030
2530,6096,No Change
2629,6096,7030
2634,6096,6096
2639,6096,6096
2640,6096,6096
2659,6096,7030
2660, No Change,7030
2681, No Change,6096
2682, No Change,6096
2683, No Change,No Change
2719,6096,No Change
2747,7030,7030
2758,6096,6096
2797,7030,No Change
2854,7030,No Change
2885,7030,7030
2897,6096,No Change
2898,6096,No Change
2900,6096,No Change
2901,6096,No Change
2902,6096,6096
2903,6096,6096
2904,6096,6096
2953,6096,6096
2964,7030,7030
2965,6096,No Change
3114,6096,7030
3200,6096,6096
3269, No Change,6096
3301,7030,6096
3409,7030,7030
3491,No Change,7030
3535, No Change,6096
3545,6096,No Change
3549,6096,No Change
3560,6096,6096
3561,No Change,6096
3803, No Change,No Change
4156,6096,6096
4387,7030,7030
4389,6096,6096
5076, No Change,6096
5278,7030,No Change
5294, No Change,No Change
5448,6096,6096
5777,7030,7030
