Store Nbr,Store Location,Store Type Descr,Go Forward Trait,Go Forward Trait Desc,Mod Communication,Digital Signage for HD Storage
2855,"SHAWNEE, KS",BASE STR Supercenter,223560,004W TREC V2 36,Hart Endcap MOD CAT 545/550,
2857,"KANSAS CITY (NW), MO",BASE STR Supercenter,223560,004W TREC V2 36,Hart Endcap MOD CAT 545/550,
2861,GARDEN CITY ID,BASE STR Supercenter,405411,004W TREC ALT 24,Hart Endcap MOD CAT 545/550,
2862,"MERIDIAN, ID",BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2864,"SAN ANTONIO, TX",BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2865,"SPOKANE (W), WA",BASE STR Wal-Mart,130427,004W TREC BSE 24,Hart Endcap MOD CAT 545/550,
2867,LANSING MI,BASE STR Wal-Mart,223560,004W TREC V2 36,Hart Endcap MOD CAT 545/550,
2869,"LANSING (W), MI",BASE STR Supercenter,223558,004W TREC V2 24,Hart Endcap MOD CAT 545/550,
2871,CINNAMINSON NJ,BASE STR Supercenter,249946,004W TREC LPP 36,Hart Endcap MOD CAT 545/550,
2872,VAN BUREN TOWNSHIP MI,BASE STR Supercenter,405412,004W TREC ALT 36,Hart Endcap MOD CAT 545/550,
2873,"TROY, MI",BASE STR Supercenter,130427,004W TREC BSE 24,Hart Endcap MOD CAT 545/550,
2874,"GLENVILLE, NY",BASE STR Supercenter,130427,004W TREC BSE 24,Hart Endcap MOD CAT 545/550,
2881,"KISSIMMEE (E), FL",BASE STR Supercenter,223560,004W TREC V2 36,Hart Endcap MOD CAT 545/550,
2882,"MAPLE GROVE, MN",BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2883,PLANO (N) TX,BASE STR Supercenter,130427,004W TREC BSE 24,Hart Endcap MOD CAT 545/550,
2884,"LAS VEGAS, NV",BASE STR Supercenter,405412,004W TREC ALT 36,Hart Endcap MOD CAT 545/550,
2885,"NEWPORT, RI",BASE STR Wal-Mart,130427,004W TREC BSE 24,Hart Endcap MOD CAT 545/550,
2886,PICO RIVERA CA,BASE STR Supercenter,249946,004W TREC LPP 36,Hart Endcap MOD CAT 545/550,
2889,"CLINTON, IA",BASE STR Supercenter,74077,004W TREC BSE 36,Hart Endcap MOD CAT 545/550,
2890,MACON (N) GA,BASE STR Supercenter,223560,004W TREC V2 36,Hart Endcap MOD CAT 545/550,
