Store Nbr,Store Location,Store Type Descr,Go Forward Trait,Go Forward Trait Desc,Mod Communication,Digital Signage for HD Storage
1,"ROGERS, AR",BASE STR Supercenter,520562,03206036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
2,HARRISON AR,BASE STR Supercenter,520554,02806036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
3,COMMERCE GA,BASE STR Supercenter,54892,032W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
4,SILOAM SPRINGS AR,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
5,CONWAY AR,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
7,NORTH LITTLE ROCK AR,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
8,MORRILTON AR,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
9,SIKESTON MO,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
10,TAHLEQUAH OK,BASE STR Supercenter,54892,032W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
11,MOUNTAIN HOME AR,BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
12,CLAREMORE OK,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
13,CARTHAGE MO,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
14,LEBANON MO,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
15,WEST PLAINS MO,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
16,VAN BUREN AR,BASE STR Supercenter,520554,02806036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
17,NEOSHO MO,BASE STR Supercenter,520562,03206036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
18,NEWPORT AR,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
19,POPLAR BLUFF MO,BASE STR Supercenter,520551,03206024WRAPLSTC,Heavy Duty Storage MOD CAT 520,NO
21,ST ROBERT MO /WAYNESVILLE,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
22,PRYOR OK,BASE STR Supercenter,520557,03206024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
23,RUSTON LA,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
24,JACKSONVILLE AR,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
25,MEXICO MO,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
26,LEAVENWORTH KS,BASE STR Supercenter,520551,03206024WRAPLSTC,Heavy Duty Storage MOD CAT 520,NO
27,SALEM MO,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
28,MIAMI OK,BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
29,JEFFERSON CITY MO,BASE STR Supercenter,520554,02806036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
30,DEXTER MO,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
31,POTEAU OK,BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
32,BRANSON MO,BASE STR Wal-Mart,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
33,NASHVILLE AR,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
34,NEVADA MO,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
35,MANHATTAN KS,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
36,PARAGOULD AR,BASE STR Supercenter,520551,03206024WRAPLSTC,Heavy Duty Storage MOD CAT 520,NO
37,FARMINGTON MO,BASE STR Supercenter,520551,03206024WRAPLSTC,Heavy Duty Storage MOD CAT 520,NO
38,IDABEL OK,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
39,FORT SCOTT KS,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
40,MOBERLY MO,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
42,COFFEYVILLE KS,BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
43,JUNCTION CITY KS,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
45,JONESBORO AR,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
46,BOLIVAR MO,BASE STR Supercenter,520557,03206024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
47,SALLISAW OK,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
48,MONETT MO,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
49,HUGO OK,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
50,VINITA OK,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
52,HOT SPRINGS AR,BASE STR Supercenter,520557,03206024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
54,SPRINGDALE AR,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
55,BOONEVILLE AR,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
56,AVA MO,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
57,WALNUT RIDGE AR,BASE STR Wal-Mart,60464,020W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
58,RUSSELLVILLE AR,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
59,JOPLIN MO,BASE STR Supercenter,54892,032W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
60,TROY MO,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
61,WARRENSBURG MO,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
62,BLYTHEVILLE AR,BASE STR Supercenter,520562,03206036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
65,SULLIVAN MO,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
66,CLARKSVILLE AR,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
67,MENA AR,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
68,WYNNE AR,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
69,FESTUS MO,BASE STR Supercenter,520550,03206036WRAPLSTC,Heavy Duty Storage MOD CAT 520,NO
70,WEST MEMPHIS AR,BASE STR Supercenter,54892,032W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
71,POCAHONTAS AR,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
72,PITTSBURG KS,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
73,SAPULPA OK,BASE STR Supercenter,520554,02806036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
75,PINEVILLE LA,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
76,BERRYVILLE AR,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
77,TAYLOR TX,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
78,MARSHFIELD MO,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
79,WEST JOPLIN MO,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
80,COLUMBIA MO,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
81,STILWELL OK,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
82,PERRYVILLE MO,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
83,MAGNOLIA AR,BASE STR Supercenter,54892,032W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
85,BENTON AR,BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
86,SPRINGFIELD MO,BASE STR Supercenter,520554,02806036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
87,MINDEN LA,BASE STR Supercenter,520550,03206036WRAPLSTC,Heavy Duty Storage MOD CAT 520,NO
88,MOUNTAIN GROVE MO,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
89,CAMDENTON MO,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
90,GROVE OK,BASE STR Supercenter,520554,02806036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
91,FORREST CITY AR,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
92,AURORA MO,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
93,COVINGTON TN,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
94,MILLINGTON TN,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
95,DESLOGE MO,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
96,HARRISONVILLE MO,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
97,RIPLEY TN,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
99,UNION MO,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
100,"BENTONVILLE, AR",BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,YES
101,ROLLA MO,BASE STR Supercenter,520563,03206024WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
102,STUTTGART AR,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
103,SHAWNEE OK,BASE STR Supercenter,520561,02806024WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
104,MILAN TN,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
105,CORINTH MS,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
106,FULTON KY,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
108,GUTHRIE OK,BASE STR Supercenter,520554,02806036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
110,WINTER GARDEN FL,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
111,CHANUTE KS,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
112,STARKVILLE MS,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
117,BROKEN BOW OK,BASE STR Wal-Mart,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
118,AMORY MS,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
119,BATESVILLE AR,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
120,HUMBOLDT TN,BASE STR Supercenter,46779,020W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
121,OKMULGEE OK,BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
122,JACKSON MO,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
124,LITTLE ROCK AR,BASE STR Supercenter,520562,03206036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
125,"FORT SMITH (S), AR",BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
126,LITTLE ROCK AR,BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
127,MALVERN AR,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
128,"JONESBORO (W), AR",BASE STR Supercenter,520560,02806036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
129,ARDMORE OK,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
130,MUSKOGEE OK,BASE STR Supercenter,520562,03206036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
131,MT PLEASANT TX,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
132,KINGFISHER OK,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
134,ELK CITY OK,BASE STR Supercenter,54892,032W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
135,CHILLICOTHE MO,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
137,STILLWATER OK,BASE STR Supercenter,520557,03206024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
138,"SPRINGFIELD (NE), MO",BASE STR Supercenter,520562,03206036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
139,PURCELL OK,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
140,LUFKIN TX,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
141,"FORT SMITH, AR",BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
143,BENTON KY,BASE STR Supercenter,520551,03206024WRAPLSTC,Heavy Duty Storage MOD CAT 520,NO
144,FAYETTEVILLE AR (WEST),BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
145,BOWLING GREEN MO,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
146,GILMER TX,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
147,DENISON TX,BASE STR Supercenter,520554,02806036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
148,PARIS TX,BASE STR Supercenter,54892,032W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
149,"JONESBORO, LA",BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
150,WOODWARD OK,BASE STR Supercenter,520563,03206024WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
151,MCALESTER OK,BASE STR Supercenter,54892,032W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
152,DESOTO MO,BASE STR Supercenter,520560,02806036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
154,ABINGDON VA,BASE STR Supercenter,520560,02806036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
155,SENATOBIA MS,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
157,SEARCY AR,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
158,BONHAM TX,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
159,COLUMBIA MO,BASE STR Supercenter,520562,03206036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
160,ASH FLAT AR,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
162,"ANADARKO, OK",BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
163,NACOGDOCHES TX,BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
164,PONTOTOC MS,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
165,HENDERSON TX,BASE STR Supercenter,54892,032W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
166,HOUSTON MO,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
168,OWASSO OK,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
169,LONOKE AR,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
170,NATCHITOCHES LA,BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
171,"CAMDEN, AR",BASE STR Supercenter,54892,032W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
172,WASHINGTON MO,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
173,POTOSI MO,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
174,ROCKLEDGE FL,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
175,COLLIERVILLE TN,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
177,"PARIS, TN",BASE STR Supercenter,520562,03206036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
179,"SPRINGFIELD, MO",BASE STR Supercenter,520561,02806024WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
180,JACKSONVILLE TX,BASE STR Supercenter,520554,02806036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
182,GREENVILLE MS,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
184,BLUE SPRINGS MO,BASE STR Supercenter,520550,03206036WRAPLSTC,Heavy Duty Storage MOD CAT 520,NO
185,GAINESVILLE TX,BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
186,EL DORADO KS,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
188,CAPE GIRARDEAU MO,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
189,KIRKSVILLE MO,BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
190,KENNETT MO,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
192,COLUMBIA TN,BASE STR Supercenter,520562,03206036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
194,BAYTOWN TX,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
195,EXCELSIOR SPRINGS MO,BASE STR Supercenter,46779,020W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
196,CARBONDALE IL,BASE STR Supercenter,520560,02806036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
197,MACOMB IL,BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
198,SALEM IL,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
199,LINCOLN IL,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
201,BELLEVILLE IL,BASE STR Supercenter,520551,03206024WRAPLSTC,Heavy Duty Storage MOD CAT 520,NO
202,FRISCO CUSTER & 121 TX,BASE STR Supercenter,520554,02806036WRASTEEL,Heavy Duty Storage MOD CAT 520,YES
203,BROOKFIELD MO,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
204,PRINCETON KY,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
205,PHILADELPHIA MS,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
206,MCKINNEY TX,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
212,NORMAN OK,BASE STR Supercenter,54892,032W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
213,LITCHFIELD IL,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
214,JASPER TX,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
216,MARION IL,BASE STR Supercenter,520562,03206036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
217,LEWISVILLE TX,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
218,SELMER TN,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
219,SEDALIA MO,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
220,BURLESON TX,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,YES
222,SPARTA IL,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
224,"MT. VERNON, IL.",BASE STR Supercenter,520563,03206024WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
225,SULPHUR OK.,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
227,EL RENO OK.,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
228,CLEBURNE TX.,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,YES
231,ADA OK.,BASE STR Supercenter,520551,03206024WRAPLSTC,Heavy Duty Storage MOD CAT 520,NO
233,"ANNA, IL.",BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
234,"KANSAS CITY, MO.",BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
236,CROCKETT TX.,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
238,PULASKI TN.,BASE STR Supercenter,41351,028W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
240,COMMERCE TX.,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
243,WENTZVILLE MO.,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
244,WINNFIELD LA.,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
248,MEXIA TX.,BASE STR Supercenter,520560,02806036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
249,CLEVELAND TX.,BASE STR Supercenter,520550,03206036WRAPLSTC,Heavy Duty Storage MOD CAT 520,NO
250,WARSAW MO.,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
251,MINEOLA TX.,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
252,"DU QUOIN, IL.",BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
253,"JERSEYVILLE, IL.",BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
256,"GLEN CARBON, IL.",BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
257,MORGANFIELD KY.,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
258,TUPELO MS.,BASE STR Supercenter,520562,03206036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
259,ROCKWALL TX.,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
260,WAXAHACHIE TX.,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
261,HOT SPRINGS AR.,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
262,BENTON IL /WEST CITY.,BASE STR Supercenter,520561,02806024WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
264,DICKSON TN,BASE STR Supercenter,520562,03206036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
265,"TERRELL, TX",BASE STR Supercenter,520561,02806024WRAWIRE,Heavy Duty Storage MOD CAT 520,YES
266,"SOUTHLAKE, TX",BASE STR Supercenter,60464,020W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,YES
267,WEBB CITY MO,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
268,SAVANNAH TN,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
269,"LAWTON, OK",BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
271,BOWIE TX,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
272,FRANKLIN TN,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,YES
273,FULTON MS,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
275,LIVINGSTON TX,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
276,STIGLER OK,BASE STR Supercenter,520554,02806036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
277,MOORE OK,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
278,SHREVEPORT LA,BASE STR Supercenter,520551,03206024WRAPLSTC,Heavy Duty Storage MOD CAT 520,NO
279,DE QUEEN AR,BASE STR Supercenter,60534,024W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
280,ROCKDALE TX,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
281,HEBER SPRINGS AR.,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
282,FRANKLIN KY,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
284,MANSFIELD TX,BASE STR Supercenter,520560,02806036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
285,HUNTSVILLE TX,BASE STR Supercenter,54867,032W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
286,ENNIS TX,BASE STR Supercenter,520556,03206036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
287,JASPER AL,BASE STR Supercenter,520551,03206024WRAPLSTC,Heavy Duty Storage MOD CAT 520,NO
288,WOODVILLE TX,BASE STR Supercenter,41273,028W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
289,MCGEHEE AR EF,BASE STR Wal-Mart,60464,020W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
290,GONZALES TX,BASE STR Supercenter,520555,02806024WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
292,LOCKHART TX,BASE STR Supercenter,520554,02806036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
295,EUREKA MO,BASE STR Supercenter,60535,024W HDSTR TR 36,Heavy Duty Storage MOD CAT 520,NO
