Region,Store,Format,BU,City,St
61,5981,Small,O - NHM BU,CARMICHAEL,CA
59,6172,Small,O - NHM BU,KANSAS CITY,KS
59,6174,Small,O - NHM BU,SUMMERVILLE,SC
53,6394,Large,E - NORTH BU,BROWN DEER,WI
46,6480,Large,B - SOUTHWEST BU,CHANDLER,AZ
59,6500,Small,O - NHM BU,INDEPENDENCE,MO
12,6878,Large,A - SOUTHEAST BU,HAZEL GREEN,AL
26,6879,Large,F - EAST BU,FAYETTEVILLE,NC
72,6937,Small,O - NHM BU,PORT CHARLOTTE,FL
72,6941,Small,O - NHM BU,CAPE CORAL,FL
12,6964,Large,A - SOUTHEAST BU,HORN LAKE,MS
5,7156,Large,B - SOUTHWEST BU,HEWITT,TX
64,7232,Small,O - NHM BU,DESOTO,TX
72,7299,Small,O - NHM BU,PORT ST LUCIE,FL
