Store Number,NSW2 CONSOLE - QTY,NSW2 MARIO KART WLD - QTY,Total Estimated Preorder QTY,# of Associates Needed  for Dispense
1,28,57,85,1
2,3,23,26,1
3,16,34,50,1
4,13,37,50,1
5,17,39,56,1
7,13,35,48,1
8,9,14,23,1
9,3,11,14,1
10,4,19,23,1
11,5,26,31,1
12,16,38,54,1
13,4,17,21,1
14,4,24,28,1
15,2,9,11,1
16,7,28,35,1
17,6,19,25,1
18,2,2,4,1
19,4,24,28,1
20,2,11,13,1
21,12,29,41,1
22,4,18,22,1
23,4,10,14,1
24,8,18,26,1
25,6,10,16,1
26,15,42,57,1
27,2,3,5,1
28,4,8,12,1
29,15,40,55,1
30,9,11,20,1
31,1,7,8,1
32,2,12,14,1
33,2,4,6,1
34,4,10,14,1
35,19,50,69,1
36,11,30,41,1
37,8,19,27,1
38,2,4,6,1
39,2,8,10,1
40,2,23,25,1
41,16,41,57,1
42,1,5,6,1
43,17,31,48,1
44,3,3,6,1
45,18,41,59,1
46,5,14,19,1
47,4,8,12,1
48,5,6,11,1
49,0,6,6,1
50,1,4,5,1
51,8,18,26,1
52,10,23,33,1
54,13,29,42,1
55,2,0,2,1
56,3,7,10,1
57,0,0,0,0
58,11,40,51,1
59,17,43,60,1
60,10,24,34,1
61,14,35,49,1
62,4,7,11,1
63,1,7,8,1
64,2,6,8,1
65,5,11,16,1
66,5,8,13,1
67,3,8,11,1
68,2,5,7,1
69,22,52,74,1
70,7,18,25,1
71,2,7,9,1
72,5,27,32,1
73,8,22,30,1
74,1,6,7,1
75,11,23,34,1
76,4,8,12,1
77,12,25,37,1
78,6,22,28,1
79,12,27,39,1
80,12,30,42,1
81,2,3,5,1
82,11,20,31,1
83,0,11,11,1
85,14,34,48,1
86,15,34,49,1
87,2,10,12,1
88,2,9,11,1
89,6,12,18,1
90,2,14,16,1
91,0,3,3,1
92,3,8,11,1
93,6,15,21,1
94,14,29,43,1
95,6,17,23,1
96,15,27,42,1
97,3,9,12,1
98,3,7,10,1
99,9,24,33,1
100,37,107,144,2
101,9,35,44,1
102,0,1,1,1
103,9,37,46,1
104,9,23,32,1
105,12,24,36,1
106,2,4,6,1
107,8,12,20,1
108,9,21,30,1
109,4,15,19,1
110,31,68,99,2
111,3,5,8,1
112,9,21,30,1
113,7,12,19,1
114,7,10,17,1
115,0,4,4,1
116,0,0,0,0
117,2,5,7,1
118,2,6,8,1
119,5,20,25,1
120,9,20,29,1
121,3,7,10,1
122,10,18,28,1
123,2,3,5,1
124,10,19,29,1
125,13,37,50,1
126,11,15,26,1
127,4,7,11,1
128,14,24,38,1
129,3,16,19,1
130,6,26,32,1
131,3,19,22,1
132,1,3,4,1
133,0,4,4,1
134,3,3,6,1
135,0,5,5,1
136,2,7,9,1
137,14,26,40,1
138,14,32,46,1
139,4,9,13,1
140,8,38,46,1
141,16,38,54,1
143,11,17,28,1
144,20,48,68,1
145,0,5,5,1
146,9,10,19,1
147,9,23,32,1
148,1,16,17,1
149,1,6,7,1
150,2,10,12,1
151,1,14,15,1
152,14,27,41,1
153,3,10,13,1
154,14,38,52,2
155,3,6,9,1
157,12,29,41,1
158,5,13,18,1
159,14,32,46,1
160,3,5,8,1
161,3,10,13,1
162,0,0,0,0
163,1,19,20,1
164,4,10,14,1
165,4,9,13,1
166,2,10,12,1
167,2,6,8,1
168,21,50,71,1
169,1,7,8,1
170,2,11,13,1
171,1,9,10,1
172,18,38,56,1
173,4,10,14,1
174,17,36,53,1
175,9,27,36,1
176,1,6,7,1
177,6,24,30,1
178,4,7,11,1
179,16,36,52,1
180,3,13,16,1
181,4,7,11,1
182,1,4,5,1
183,0,1,1,1
184,23,54,77,2
185,12,22,34,1
186,6,16,22,1
188,18,43,61,1
189,3,14,17,1
190,8,22,30,1
192,17,43,60,1
194,19,43,62,1
195,12,28,40,1
196,9,34,43,1
197,7,20,27,1
198,4,9,13,1
199,4,15,19,1
200,12,32,44,1
201,16,45,61,1
202,6,27,33,1
203,4,5,9,1
204,9,17,26,1
205,2,11,13,1
206,10,43,53,1
207,3,6,9,1
209,0,0,0,0
210,4,0,4,1
211,6,8,14,1
212,16,42,58,1
213,12,22,34,1
214,3,6,9,1
216,10,41,51,1
217,13,36,49,1
218,4,8,12,1
219,15,34,49,1
220,17,45,62,1
221,18,45,63,2
222,6,14,20,1
224,8,16,24,1
225,2,7,9,1
226,0,4,4,1
227,9,10,19,1
228,14,33,47,1
229,2,10,12,1
230,0,0,0,0
231,11,23,34,1
232,0,4,4,1
233,2,14,16,1
234,18,54,72,1
236,2,6,8,1
237,10,20,30,1
238,3,12,15,1
239,2,5,7,1
240,5,13,18,1
242,3,18,21,1
243,20,41,61,1
244,1,4,5,1
246,4,12,16,1
247,3,3,6,1
248,3,13,16,1
249,14,29,43,1
250,1,7,8,1
251,6,18,24,1
252,4,14,18,1
253,8,27,35,1
254,3,11,14,1
256,26,59,85,2
257,4,13,17,1
258,5,32,37,1
259,15,33,48,1
260,15,31,46,1
261,8,15,23,1
262,10,27,37,1
264,16,44,60,1
265,14,24,38,1
266,13,37,50,1
267,8,25,33,1
268,4,17,21,1
269,14,31,45,1
271,1,4,5,1
272,23,57,80,2
273,1,12,13,1
274,0,0,0,0
275,4,20,24,1
276,3,9,12,1
277,20,44,64,1
278,13,28,41,1
279,2,4,6,1
280,2,9,11,1
281,1,4,5,1
282,10,24,34,1
283,4,14,18,1
284,22,40,62,2
285,14,29,43,1
286,8,23,31,1
287,3,25,28,1
288,1,7,8,1
289,0,0,0,0
290,3,9,12,1
292,9,25,34,1
293,4,7,11,1
294,7,21,28,1
295,11,35,46,1
296,4,12,16,1
297,19,47,66,1
298,6,16,22,1
299,20,49,69,1
300,6,13,19,1
301,7,31,38,1
302,6,17,23,1
303,1,3,4,1
304,8,36,44,1
305,1,3,4,1
306,10,27,37,1
307,14,27,41,1
308,8,28,36,1
309,9,23,32,1
310,3,9,12,1
311,1,2,3,1
312,2,8,10,1
313,14,34,48,1
314,4,19,23,1
315,5,21,26,1
316,3,21,24,1
317,8,10,18,1
318,3,9,12,1
319,15,42,57,1
320,0,0,0,0
321,5,23,28,1
