Store Number,Banner Desc,Market,Region,Week,Day,Remodel
6173,WM Supercenter,1,14,31,45902,No
114,WM Supercenter,4,11,31,45902,No
5197,WM Supercenter,5,12,31,45902,No
2534,WM Supercenter,7,14,31,45902,No
3271,WM Supercenter,13,14,31,45902,No
7247,WM Supercenter,14,14,31,45902,No
3119,WM Supercenter,15,14,31,45902,No
5786,WM Supercenter,18,2,31,45902,No
4472,WM Supercenter,25,2,31,45902,No
7245,WM Supercenter,27,3,31,45902,No
862,WM Supercenter,28,3,31,45902,No
4556,WM Supercenter,29,4,31,45902,No
4506,WM Supercenter,41,4,31,45902,No
4237,WM Supercenter,42,4,31,45902,No
371,WM Supercenter,48,5,31,45902,No
5810,WM Supercenter,49,5,31,45902,No
202,WM Supercenter,51,5,31,45902,No
6963,WM Supercenter,52,5,31,45902,No
1118,WM Supercenter,55,5,31,45902,No
5612,WM Supercenter,63,6,31,45902,No
4111,WM Supercenter,65,6,31,45902,No
6930,WM Supercenter,67,6,31,45902,No
3384,WM Supercenter,70,7,31,45902,No
897,WM Supercenter,73,7,31,45902,No
1249,WM Supercenter,74,7,31,45902,No
5245,WM Supercenter,77,7,31,45902,No
5898,WM Supercenter,78,6,31,45902,No
5809,WM Supercenter,80,6,31,45902,No
4194,WM Supercenter,84,6,31,45902,No
3106,WM Supercenter,86,7,31,45902,No
5455,WM Supercenter,92,9,31,45902,No
3207,WM Supercenter,94,3,31,45902,No
4262,WM Supercenter,95,3,31,45902,No
4520,WM Supercenter,97,14,31,45902,No
3417,WM Supercenter,105,9,31,45902,No
5882,WM Supercenter,108,9,31,45902,No
6397,WM Supercenter,110,9,31,45902,No
3370,WM Supercenter,115,9,31,45902,No
6190,WM Supercenter,118,9,31,45902,No
3660,WM Supercenter,120,12,31,45902,No
3167,WM Supercenter,125,13,31,45902,No
3616,WM Supercenter,128,13,31,45902,No
761,WM Supercenter,129,13,31,45902,No
2132,WM Supercenter,131,13,31,45902,No
1107,WM Supercenter,134,13,31,45902,No
1100,WM Supercenter,137,11,31,45902,No
3059,WM Supercenter,140,11,31,45902,No
738,WM Supercenter,147,11,31,45902,No
7020,WM Supercenter,153,12,31,45902,No
1891,WM Supercenter,162,17,31,45902,No
3212,WM Supercenter,165,22,31,45902,No
5891,WM Supercenter,166,22,31,45902,No
4687,WM Supercenter,167,22,31,45902,No
2365,WM Supercenter,174,17,31,45902,No
3078,WM Supercenter,175,17,31,45902,No
4403,WM Supercenter,187,16,31,45902,No
2152,WM Supercenter,188,16,31,45902,No
2159,WM Supercenter,194,76,31,45902,No
4597,WM Supercenter,195,76,31,45902,No
1771,WM Supercenter,202,19,31,45902,No
3447,WM Supercenter,219,21,31,45902,No
3749,WM Supercenter,221,21,31,45902,No
5355,WM Supercenter,222,21,31,45902,No
4609,WM Supercenter,225,21,31,45902,No
3738,WM Supercenter,227,20,31,45902,No
5236,WM Supercenter,254,41,31,45902,No
2783,WM Supercenter,260,41,31,45902,No
4049,WM Supercenter,266,25,31,45902,No
222,WM Supercenter,271,41,31,45902,No
1395,WM Supercenter,272,25,31,45902,No
1093,WM Supercenter,273,25,31,45902,No
609,WM Supercenter,275,25,31,45902,No
3459,WM Supercenter,278,25,31,45902,No
4511,WM Supercenter,279,25,31,45902,No
3843,WM Supercenter,285,22,31,45902,No
4476,WM Supercenter,290,75,31,45902,No
4638,WM Supercenter,291,75,31,45902,No
3182,WM Supercenter,296,26,31,45902,No
4065,WM Supercenter,300,4,31,45902,No
5879,WM Supercenter,306,26,31,45902,No
6789,WM Supercenter,308,26,31,45902,No
2548,WM Supercenter,316,20,31,45902,No
76,WM Supercenter,322,42,31,45902,No
348,WM Supercenter,327,42,31,45902,No
2702,WM Supercenter,333,40,31,45902,No
7249,WM Supercenter,334,42,31,45902,No
576,WM Supercenter,345,44,31,45902,No
1148,WM Supercenter,349,44,31,45902,No
185,WM Supercenter,350,44,31,45902,No
992,WM Supercenter,356,44,31,45902,No
4252,WM Supercenter,364,58,31,45902,No
1364,WM Supercenter,365,58,31,45902,No
5369,WM Supercenter,368,46,31,45902,No
3751,WM Supercenter,373,46,31,45902,No
3428,WM Supercenter,375,46,31,45902,No
3177,WM Supercenter,378,54,31,45902,No
1659,WM Supercenter,379,54,31,45902,No
2607,WM Supercenter,383,47,31,45902,No
5492,WM Supercenter,384,46,31,45902,No
