Store,Scheduled Removal,18D_Removal,36D_Removal
167,8/3/2023,,2
196,8/1/2023,,2
216,8/1/2023,,2
237,8/1/2023,,2
289,8/3/2023,,2
347,8/2/2023,,2
348,8/3/2023,,2
443,8/2/2023,,2
554,8/2/2023,,2
636,8/2/2023,,2
699,8/1/2023,,2
707,8/2/2023,,2
716,8/1/2023,,2
782,8/2/2023,,2
796,8/2/2023,1,3
1235,8/1/2023,,2
1387,8/3/2023,,4
1530,8/2/2023,,2
2963,8/3/2023,,3
3060,8/1/2023,,2
3518,8/3/2023,,2
3616,8/1/2023,,3
3623,8/3/2023,,2
4102,8/1/2023,,2
4380,8/3/2023,,1
4498,8/3/2023,,1
5325,8/3/2023,,2
5713,8/3/2023,,2
