Market,Store,Store Type,Launch Date ,Harness Delivery Date ,,,,
2,1711,SUP,8/9/2023,8/2/2023,,,,
3,2713,SUP,8/9/2023,8/2/2023,,,,
9,3143,WNM,8/9/2023,8/2/2023,,,,
9,4324,WNM,7/12/2023,7/5/2023,,,,
9,5304,WNM,7/12/2023,7/5/2023,,,,
9,5725,WNM,8/9/2023,8/2/2023,,,,
13,1229,SUP,8/9/2023,8/2/2023,,,,
13,1481,SUP,7/12/2023,7/5/2023,,,,
13,4497,SUP,8/9/2023,8/2/2023,,,,
13,5262,SUP,8/9/2023,8/2/2023,,,,
16,3461,SUP,7/26/2023,7/19/2023,,,,
16,5363,SUP,7/26/2023,7/19/2023,,,,
19,745,SUP,7/26/2023,7/19/2023,,,,
19,3201,SUP,7/26/2023,7/19/2023,,,,
19,3401,SUP,7/26/2023,7/19/2023,,,,
19,3402,SUP,7/12/2023,7/5/2023,,,,
19,3609,SUP,7/12/2023,7/5/2023,,,,
19,3709,SUP,7/26/2023,7/19/2023,,,,
20,1184,SUP,7/12/2023,7/5/2023,,,,
20,2475,SUP,7/26/2023,7/19/2023,,,,
20,3067,SUP,7/26/2023,7/19/2023,,,,
20,3118,SUP,7/26/2023,7/19/2023,,,,
20,3188,SUP,7/12/2023,7/5/2023,,,,
20,4472,SUP,7/26/2023,7/19/2023,,,,
22,594,SUP,7/26/2023,7/19/2023,,,,
22,787,SUP,7/26/2023,7/19/2023,,,,
22,1047,SUP,7/26/2023,7/19/2023,,,,
22,1488,SUP,7/26/2023,7/19/2023,,,,
23,1181,SUP,7/26/2023,7/19/2023,,,,
23,1578,SUP,7/26/2023,7/19/2023,,,,
23,2360,SUP,7/26/2023,7/19/2023,,,,
23,3205,SUP,7/12/2023,7/5/2023,,,,
23,3621,SUP,7/26/2023,7/19/2023,,,,
23,3741,SUP,7/26/2023,7/19/2023,,,,
23,5390,SUP,7/26/2023,7/19/2023,,,,
24,575,SUP,7/26/2023,7/19/2023,,,,
24,878,SUP,7/26/2023,7/19/2023,,,,
24,1314,SUP,7/26/2023,7/19/2023,,,,
24,1373,SUP,7/26/2023,7/19/2023,,,,
24,2154,SUP,7/26/2023,7/19/2023,,,,
24,2941,SUP,7/26/2023,7/19/2023,,,,
24,3462,SUP,7/26/2023,7/19/2023,,,,
24,4185,SUP,7/26/2023,7/19/2023,,,,
24,4436,SUP,7/26/2023,7/19/2023,,,,
24,7185,SUP,7/26/2023,7/19/2023,,,,
25,548,SUP,7/26/2023,7/19/2023,,,,
25,1720,SUP,7/12/2023,7/5/2023,,,,
25,3388,SUP,7/12/2023,7/5/2023,,,,
25,3389,SUP,7/26/2023,7/19/2023,,,,
25,3786,SUP,7/26/2023,7/19/2023,,,,
25,4558,SUP,7/26/2023,7/19/2023,,,,
25,5252,SUP,7/26/2023,7/19/2023,,,,
26,618,SUP,7/26/2023,7/19/2023,,,,
