Region,Start Time,End Time,Code,Session,Location/Room,BU,Notes
5,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting  ,Mile High BR 1&2,Southwest,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
6,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting  ,Mile High BR 1&2,Southwest,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
13,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting  ,Mile High BR 1&2,Southwest,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
44,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting  ,Mile High BR 1&2,Southwest,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
46,8/10/2022 8:00,8/10/2022 12:00,LM1,Leadership Meeting  ,Mile High BR 1&2,Southwest,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
,8/10/2022 13:00,8/10/2022 17:00,TP1,Transportation Leadership Meeting,RM601, ,
5,8/10/2022 17:30,8/10/2022 19:00,,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,Southwest,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
6,8/10/2022 17:30,8/10/2022 19:00,,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,Southwest,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
13,8/10/2022 17:30,8/10/2022 19:00,,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,Southwest,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
44,8/10/2022 17:30,8/10/2022 19:00,,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,Southwest,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
46,8/10/2022 17:30,8/10/2022 19:00,,Leadership Networking Reception,Hyatt Regency Hotel - Capitol BR Regency Hotel,Southwest,"Attendees are BU Leads, RGMS, Market Managers, Operations Coordinators, AP and People BU Leaders, Supply Chain DVPs, Last Mile leadership and select Home Office Support leaders."
5,8/11/2022 7:30,8/11/2022 9:00,GS1,General Session,Exhibit Hall A,Southwest,
6,8/11/2022 7:30,8/11/2022 9:00,GS1,General Session,Exhibit Hall A,Southwest,
13,8/11/2022 7:30,8/11/2022 9:00,GS1,General Session,Exhibit Hall A,Southwest,
44,8/11/2022 7:30,8/11/2022 9:00,GS1,General Session,Exhibit Hall A,Southwest,
46,8/11/2022 7:30,8/11/2022 9:00,GS1,General Session,Exhibit Hall A,Southwest,
5,8/11/2022 9:30,8/11/2022 10:30,LS1,Listening Session,Four Seasons BR 1,Southwest,
6,8/11/2022 9:30,8/11/2022 10:30,LS1,Listening Session,Four Seasons BR 2&3,Southwest,
13,8/11/2022 9:30,8/11/2022 10:30,LS1,Listening Session,RM 708/710/712,Southwest,
44,8/11/2022 9:30,8/11/2022 10:30,LS1,Listening Session,RM 708/710/712,Southwest,
46,8/11/2022 9:30,8/11/2022 10:30,LS1,Listening Session,Four Seasons BR 4,Southwest,
5,8/11/2022 10:45,8/11/2022 11:45,E22,End 2 End ,Mile High BR 1&2,Southwest,
6,8/11/2022 10:45,8/11/2022 11:45,E22,End 2 End ,Mile High BR 1&2,Southwest,
13,8/11/2022 10:45,8/11/2022 11:45,E22,End 2 End ,Mile High BR 1&2,Southwest,
44,8/11/2022 10:45,8/11/2022 11:45,E22,End 2 End ,Mile High BR 1&2,Southwest,
46,8/11/2022 10:45,8/11/2022 11:45,E22,End 2 End ,Mile High BR 1&2,Southwest,
5,8/11/2022 12:00,8/11/2022 13:00,MF4,Home/Hardlines,Exhibit Hall E,Southwest,
6,8/11/2022 12:00,8/11/2022 13:00,MF4,Home/Hardlines,Exhibit Hall E,Southwest,
13,8/11/2022 12:00,8/11/2022 13:00,MF3,Apparel,Exhibit Hall E,Southwest,
44,8/11/2022 12:00,8/11/2022 13:00,MF3,Apparel,Exhibit Hall E,Southwest,
46,8/11/2022 12:00,8/11/2022 13:00,MF3,Apparel,Exhibit Hall E,Southwest,
,8/11/2022 13:15,8/11/2022 14:15,TP2,Transportation Breakout,RM601,Transportation,
