Division,Region,Market,Facility,Bucket
M,47,411,26,General Increase
E,40,333,32,General Increase
B,44,47,38,General Increase
E,40,339,60,General Increase
A,12,329,70,General Increase
A,12,145,94,General Increase
E,40,361,96,General Increase
B,44,47,117,General Increase
E,40,339,145,General Increase
A,12,144,175,General Increase
E,25,278,197,General Increase
E,25,341,201,General Increase
E,25,272,224,General Increase
E,40,360,234,General Increase
B,44,410,242,General Increase
E,40,339,243,General Increase
E,25,341,256,General Increase
A,12,153,272,General Increase
E,40,340,295,General Increase
A,12,149,304,General Increase
E,40,335,313,General Increase
E,40,361,319,General Increase
E,25,341,328,General Increase
M,47,433,350,General Increase
E,25,341,361,General Increase
M,47,411,378,General Increase
B,44,410,382,General Increase
A,12,153,406,General Increase
A,12,151,416,General Increase
E,40,362,486,General Increase
E,41,260,493,General Increase
A,3,16,494,General Increase
E,41,242,497,General Increase
E,41,260,507,General Increase
B,46,73,513,General Increase
E,41,260,519,General Increase
B,6,84,524,General Increase
O,72,549,525,General Increase
E,41,242,526,General Increase
A,9,115,528,General Increase
B,46,73,537,General Increase
B,46,71,549,General Increase
M,47,407,558,General Increase
M,52,418,559,General Increase
A,3,94,563,General Increase
E,41,260,571,General Increase
E,40,361,573,General Increase
E,40,362,577,General Increase
A,3,94,582,General Increase
E,41,260,584,General Increase
F,4,42,585,General Increase
E,41,256,589,General Increase
E,41,259,591,General Increase
B,46,70,600,General Increase
F,4,29,605,General Increase
F,4,29,606,General Increase
B,46,73,608,General Increase
E,25,275,609,General Increase
A,3,94,613,General Increase
B,46,73,626,General Increase
F,4,36,628,General Increase
F,4,36,632,General Increase
F,4,29,635,General Increase
M,47,433,645,General Increase
M,52,415,646,General Increase
E,40,339,648,General Increase
M,47,406,652,General Increase
A,12,153,659,General Increase
E,41,152,671,General Increase
A,12,149,673,General Increase
E,41,152,674,General Increase
A,12,151,682,General Increase
A,12,153,688,General Increase
E,41,260,692,General Increase
A,12,149,695,General Increase
E,41,259,702,General Increase
A,12,153,710,General Increase
E,41,257,719,General Increase
E,41,260,720,General Increase
A,9,118,721,General Increase
F,4,29,728,General Increase
E,25,341,747,General Increase
M,52,414,749,General Increase
M,52,415,750,General Increase
M,52,413,751,General Increase
M,52,415,753,General Increase
A,9,115,769,General Increase
M,47,433,774,General Increase
M,47,432,776,General Increase
A,9,118,778,General Increase
M,52,418,784,General Increase
M,52,418,797,General Increase
E,53,263,802,General Increase
E,40,340,805,General Increase
M,52,426,810,General Increase
A,9,118,811,General Increase
A,9,90,817,General Increase
A,14,15,818,General Increase
E,41,257,825,General Increase
E,25,251,828,General Increase
E,25,279,830,General Increase
A,3,28,836,General Increase
M,52,415,841,General Increase
A,12,144,848,General Increase
A,3,94,857,General Increase
A,3,94,860,General Increase
B,46,387,868,General Increase
B,46,375,873,General Increase
F,26,309,877,General Increase
M,47,433,885,General Increase
M,52,426,886,General Increase
A,9,91,890,General Increase
E,25,279,891,General Increase
M,52,414,892,General Increase
B,46,73,897,General Increase
B,46,73,898,General Increase
M,54,379,905,General Increase
A,9,90,908,General Increase
E,53,442,910,General Increase
M,54,388,921,General Increase
E,25,243,922,General Increase
M,54,378,924,General Increase
A,3,98,928,General Increase
E,53,263,933,General Increase
A,9,91,943,General Increase
F,4,304,948,General Increase
A,12,145,950,General Increase
M,54,378,953,General Increase
A,9,91,955,General Increase
A,3,98,977,General Increase
M,54,378,980,General Increase
M,54,391,984,General Increase
M,52,418,985,General Increase
M,54,388,986,General Increase
O,59,485,998,General Increase
A,9,115,1004,General Increase
M,52,426,1005,General Increase
M,54,378,1008,General Increase
F,4,29,1011,General Increase
E,40,361,1014,General Increase
E,40,339,1021,General Increase
E,20,311,1023,General Increase
F,4,306,1027,General Increase
F,4,38,1030,General Increase
