Region,Store#,Staffing at store,Construction Duration,Possession Actual
35,631,3,1 week,10/5/2025
35,640,12,2 weeks,9/7/2025
35,641,14,2 weeks,1/4/2026
19,787,12,1 week,9/21/2025
385,850,12,1 week,8/24/2025
20,855,12,1 week (3 working nights),9/21/2025
33,1037,14,2 weeks,8/31/2025
26,1181,3,1 week (3 working nights),7/20/2025
83,1185,15,1 week,10/5/2025
25,1340,12,2 weeks,9/28/2025
221,1443,12,1 week,10/5/2025
249,1459,14,2 weeks,9/28/2025
482,1518,14,3 weeks,9/28/2025
482,1557,14,1 week,10/19/2025
26,1586,12,1 week (3 working nights),10/12/2025
192,1619,12,2 weeks,8/24/2025
376,1689,12,2 weeks,9/14/2025
461,1747,14,2 weeks,9/7/2025
284,1860,14,2 weeks,9/14/2025
209,1863,14,2 weeks,9/7/2025
283,1985,14,3 weeks,9/15/2025
469,2070,15,3 weeks,9/28/2025
219,2098,3,1 week,9/28/2025
188,2152,14,1 week,9/7/2025
392,2189,12,2 weeks,9/21/2025
209,2362,14,2 weeks,10/5/2025
282,2435,14,1 week,9/14/2025
454,2457,12,2 weeks,9/21/2025
457,2537,12,2 weeks,9/28/2025
476,2550,14,2 weeks,9/14/2025
284,2555,12,1 week,8/31/2025
453,2598,12,2 weeks,9/22/2025
217,2774,0,1 week (3 working nights),10/5/2025
249,2787,14,1 week,8/24/2025
166,2830,14,2 weeks,9/14/2025
192,2859,14,1 week,10/5/2025
484,2886,12,2 weeks,9/7/2025
109,2946,14,1 week,10/19/2025
448,2951,12,2 weeks,9/28/2025
340,3061,12,1 week,10/5/2025
446,3180,12,2 weeks,10/5/2025
35,3192,12,1 week,1/11/2026
192,3280,12,1 week,10/5/2025
176,3292,14,2 weeks,9/21/2025
452,3352,12,1 week,9/7/2025
36,3367,14,2 weeks,10/19/2025
20,3401,0,1 week (3 working nights),9/28/2025
455,3408,15,2 weeks,8/31/2025
221,3571,14,1 week ,6/29/2025
23,3621,12,1 week,9/28/2025
20,3710,12,1 week,10/5/2025
22,3741,12,1 week,9/7/2025
482,3781,14,2 weeks,9/7/2025
514,3794,12,2 weeks,8/17/2025
467,4137,12,2 weeks,9/14/2025
392,4239,15,2 weeks,10/5/2025
396,4557,12,2 weeks,9/28/2025
577,5077,12,2 weeks,10/19/2025
340,5150,14,1 week,8/31/2025
217,5185,14,1 week,10/12/2025
455,5192,12,1 week,10/12/2025
175,5201,12,3 weeks,9/7/2025
175,5281,14,2 weeks,10/19/2025
376,5334,12,2 weeks,10/12/2025
26,5390,5,1 week,7/13/2025
284,5436,14,2 weeks ,9/21/2025
477,5440,12,2 weeks,9/7/2025
249,5443,12,1 week,9/7/2025
176,5447,14,2 weeks,6/29/2025
380,5676,12,2 weeks,9/21/2025
448,5686,12,2 weeks,11/2/2025
339,5927,12,1 week,8/31/2025
585,5957,12,1 week ,10/5/2025
20,6998,12,1 week,9/7/2025
