Store,Kit Type,Estimated Delivery,Actual Delivery,Status/Notes,Carrier,Tracking Number
2637,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Rist,9682018
2583,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Rist,9682020
2916,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Rist,9682019
5293,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Rist,9681954
3420,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Rist,9682021
2286,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Rist,9682022
5202,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Rist,9682004
5295,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Rist,9681953
2906,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Rist,9682006
8331,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Rist,9681955
1830,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Rist,9682025
1705,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Rist,9682008
5498,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Rist,9682029
2093,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Rist,9682031
4597,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Rist,9681988
1731,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Rist,9681952
1813,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Rist,9681976
3221,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Rist,9681967
3480,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Fedex,4611663335
1302,FY24 D18 Annual Event Legacy Kit w/Transition,10/25/2023,10/16/2023,Delivered,Fedex,4611663254
1437,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Fedex,4611663346
3379,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Fedex,4611663372
1328,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Fedex,4611663313
5637,FY24 D18 Annual Event Legacy Kit w/Transition,10/25/2023,10/16/2023,Delivered,Fedex,4611663265
1859,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Fedex,4611663383
1555,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Fedex,4611663350
1915,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Fedex,4611663361
729,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357506
7290,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357332
1053,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357340
1675,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357134
497,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357499
760,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357126
1165,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357481
4118,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357259
5417,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357465
5418,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357473
6931,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357449
589,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357457
526,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357233
4450,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357241
1170,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357374
3294,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357069
571,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357051
519,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357043
507,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357077
1139,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357225
1140,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357358
1210,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357366
493,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357150
702,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357316
1190,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357324
692,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357019
719,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357027
825,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357035
2628,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357431
3894,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357548
2783,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357291
720,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357308
1259,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356889
1113,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357142
1048,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357522
1743,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357530
1189,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356938
545,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357514
739,FY24 D18 Annual Event Legacy Kit w/Transition,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356821
1961,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356920
2968,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357283
2967,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357100
591,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357118
584,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357192
1510,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357001
1569,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357209
1426,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357217
2638,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357168
4461,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357176
1233,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357423
693,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357267
1505,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357275
2548,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357085
696,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357415
1247,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357093
552,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357382
491,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357407
431,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356839
143,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357390
106,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356772
430,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357598
410,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357605
5236,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357613
299,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357556
282,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356847
711,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356855
2654,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356863
653,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356764
3362,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356780
736,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356798
701,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357580
3363,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357621
333,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356996
294,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356988
655,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357564
694,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357572
257,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356970
204,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357184
689,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357712
1234,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356962
709,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357738
665,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357746
569,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356954
445,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357754
2250,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356946
2447,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357647
1521,FY24 D18 Annual Event Legacy Kit w/Transition,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356813
3749,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357639
1443,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356912
4609,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356871
1331,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357697
1410,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357704
1463,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357663
3783,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357671
1495,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357689
2124,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357655
5104,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723355766
1504,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723355774
1503,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723355782
2429,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,Dayton Freight,723357720
3641,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356904
1368,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,Dayton Freight,723356897
1168,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688863
501,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688864
1260,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688865
887,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688866
970,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688867
969,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688868
1088,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688869
2715,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688870
1346,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688871
5079,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688872
3528,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688874
1066,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688875
816,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688876
1025,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688877
495,FY24 D18 Annual Event Legacy Kit w/Transition,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688878
112,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688879
115,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688880
989,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688881
2913,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688882
909,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688883
2706,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688884
1342,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688885
961,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688886
911,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688887
1353,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688889
5022,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688892
1016,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688893
485,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688895
542,FY24 Annual Event Swipe Up,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688896
540,FY24 D18 Annual Event Legacy Kit,10/25/2023,10/16/2023,Delivered,AAA Cooper,57688898
