Store,Affected
1,YES
3,YES
4,YES
5,YES
11,YES
12,YES
13,YES
16,YES
17,YES
20,YES
21,YES
22,YES
23,YES
33,YES
34,YES
35,YES
36,YES
37,YES
41,YES
43,YES
48,YES
52,YES
54,YES
55,YES
58,YES
61,YES
62,YES
65,YES
66,YES
69,YES
72,YES
76,YES
77,YES
85,YES
89,YES
90,YES
96,YES
97,YES
100,YES
103,YES
104,YES
105,YES
108,YES
110,YES
112,YES
120,YES
123,YES
124,YES
125,YES
126,YES
130,YES
131,YES
134,YES
137,YES
138,YES
140,YES
141,YES
144,YES
147,YES
148,YES
151,YES
153,YES
157,YES
158,YES
163,YES
165,YES
168,YES
180,YES
184,YES
185,YES
186,YES
188,YES
192,YES
194,YES
196,YES
199,YES
202,YES
206,YES
211,YES
212,YES
214,YES
217,YES
218,YES
219,YES
220,YES
221,YES
228,YES
234,YES
238,YES
248,YES
251,YES
256,YES
259,YES
260,YES
261,YES
265,YES
266,YES
267,YES
268,YES
269,YES
271,YES
272,YES
275,YES
277,YES
279,YES
280,YES
284,YES
286,YES
287,YES
290,YES
292,YES
298,YES
299,YES
301,YES
304,YES
305,YES
306,YES
308,YES
314,YES
315,YES
319,YES
321,YES
322,YES
330,YES
332,YES
335,YES
340,YES
344,YES
345,YES
350,YES
351,YES
353,YES
355,YES
359,YES
361,YES
363,YES
364,YES
371,YES
372,YES
375,YES
376,YES
379,YES
381,YES
384,YES
386,YES
387,YES
388,YES
389,YES
391,YES
392,YES
393,YES
395,YES
396,YES
397,YES
398,YES
400,YES
403,YES
404,YES
405,YES
406,YES
407,YES
408,YES
412,YES
413,YES
416,YES
417,YES
420,YES
424,YES
426,YES
427,YES
429,YES
430,YES
437,YES
442,YES
443,YES
447,YES
448,YES
450,YES
452,YES
456,YES
457,YES
461,YES
462,YES
463,YES
464,YES
465,YES
467,YES
468,YES
469,YES
471,YES
472,YES
475,YES
479,YES
483,YES
484,YES
488,YES
489,YES
490,YES
494,YES
497,YES
499,YES
500,YES
502,YES
504,YES
508,YES
510,YES
511,YES
512,YES
513,YES
516,YES
517,YES
518,YES
520,YES
522,YES
524,YES
527,YES
528,YES
530,YES
531,YES
532,YES
533,YES
537,YES
540,YES
541,YES
543,YES
546,YES
547,YES
548,YES
549,YES
551,YES
553,YES
555,YES
556,YES
557,YES
560,YES
563,YES
564,YES
565,YES
571,YES
572,YES
573,YES
574,YES
575,YES
576,YES
577,YES
578,YES
580,YES
581,YES
584,YES
585,YES
586,YES
589,YES
590,YES
593,YES
595,YES
598,YES
600,YES
601,YES
608,YES
610,YES
611,YES
623,YES
624,YES
628,YES
633,YES
634,YES
637,YES
638,YES
639,YES
640,YES
644,YES
645,YES
648,YES
651,YES
652,YES
656,YES
657,YES
658,YES
660,YES
661,YES
666,YES
668,YES
669,YES
670,YES
672,YES
673,YES
674,YES
675,YES
681,YES
682,YES
683,YES
684,YES
685,YES
688,YES
689,YES
691,YES
692,YES
695,YES
697,YES
698,YES
699,YES
702,YES
703,YES
705,YES
706,YES
710,YES
711,YES
712,YES
715,YES
718,YES
719,YES
721,YES
722,YES
725,YES
726,YES
727,YES
728,YES
734,YES
739,YES
741,YES
743,YES
744,YES
745,YES
749,YES
752,YES
754,YES
758,YES
759,YES
762,YES
764,YES
767,YES
768,YES
769,YES
770,YES
771,YES
772,YES
773,YES
774,YES
775,YES
777,YES
779,YES
780,YES
782,YES
787,YES
789,YES
791,YES
793,YES
794,YES
796,YES
797,YES
799,YES
800,YES
805,YES
806,YES
807,YES
809,YES
810,YES
811,YES
812,YES
813,YES
814,YES
817,YES
819,YES
821,YES
822,YES
823,YES
827,YES
828,YES
836,YES
842,YES
846,YES
848,YES
849,YES
850,YES
851,YES
854,YES
855,YES
856,YES
857,YES
859,YES
861,YES
862,YES
867,YES
868,YES
869,YES
870,YES
872,YES
878,YES
880,YES
881,YES
885,YES
886,YES
887,YES
890,YES
892,YES
896,YES
897,YES
901,YES
904,YES
906,YES
908,YES
909,YES
911,YES
912,YES
913,YES
914,YES
915,YES
918,YES
919,YES
922,YES
923,YES
924,YES
927,YES
928,YES
929,YES
934,YES
935,YES
937,YES
938,YES
940,YES
941,YES
942,YES
943,YES
945,YES
947,YES
948,YES
952,YES
953,YES
955,YES
958,YES
960,YES
961,YES
963,YES
964,YES
966,YES
967,YES
968,YES
969,YES
972,YES
973,YES
974,YES
975,YES
980,YES
987,YES
988,YES
989,YES
990,YES
991,YES
992,YES
994,YES
999,YES
1000,YES
1001,YES
1003,YES
1004,YES
1012,YES
1014,YES
1015,YES
1019,YES
1020,YES
1022,YES
1023,YES
1030,YES
1033,YES
1034,YES
1035,YES
1036,YES
1037,YES
1039,YES
1040,YES
1041,YES
1042,YES
1044,YES
1047,YES
1051,YES
1055,YES
1056,YES
1058,YES
1059,YES
1060,YES
1061,YES
1062,YES
1064,YES
1065,YES
1066,YES
1070,YES
1072,YES
1073,YES
1075,YES
1077,YES
1081,YES
1082,YES
1083,YES
1085,YES
1086,YES
1088,YES
1090,YES
1091,YES
1093,YES
1098,YES
1099,YES
1103,YES
1104,YES
1105,YES
1111,YES
1116,YES
1117,YES
1118,YES
1120,YES
1122,YES
1123,YES
1125,YES
1129,YES
1132,YES
1133,YES
1134,YES
1135,YES
1136,YES
1137,YES
1140,YES
1141,YES
1148,YES
1150,YES
1151,YES
1152,YES
1154,YES
1155,YES
1156,YES
1162,YES
1165,YES
1167,YES
1172,YES
1173,YES
1177,YES
1178,YES
1179,YES
1181,YES
1182,YES
1184,YES
1185,YES
1186,YES
1195,YES
1198,YES
1199,YES
1200,YES
1201,YES
1202,YES
1203,YES
1204,YES
1206,YES
1207,YES
1209,YES
1210,YES
1212,YES
1215,YES
1216,YES
1217,YES
1218,YES
1219,YES
1220,YES
1223,YES
1224,YES
1228,YES
1231,YES
1232,YES
1233,YES
1236,YES
1237,YES
1238,YES
1242,YES
1245,YES
1248,YES
1249,YES
1252,YES
1253,YES
1256,YES
1260,YES
1261,YES
1265,YES
1266,YES
1267,YES
1270,YES
1273,YES
1274,YES
1276,YES
1279,YES
1280,YES
1284,YES
1285,YES
1286,YES
1287,YES
1293,YES
1295,YES
1296,YES
1297,YES
1298,YES
1299,YES
1301,YES
1303,YES
1304,YES
1307,YES
1312,YES
1313,YES
1314,YES
1315,YES
1321,YES
1322,YES
1324,YES
1326,YES
1328,YES
1329,YES
1332,YES
1337,YES
1339,YES
1340,YES
1342,YES
1345,YES
1346,YES
1348,YES
1350,YES
1351,YES
1353,YES
1354,YES
1355,YES
1359,YES
1361,YES
1362,YES
1367,YES
1371,YES
1372,YES
1373,YES
1377,YES
1378,YES
1379,YES
1380,YES
1381,YES
1384,YES
1387,YES
1390,YES
1392,YES
1394,YES
1396,YES
1398,YES
1400,YES
1401,YES
1403,YES
1405,YES
1406,YES
1408,YES
1409,YES
1412,YES
1413,YES
1414,YES
1419,YES
1420,YES
1421,YES
1424,YES
1428,YES
1433,YES
1434,YES
1436,YES
1437,YES
1442,YES
1443,YES
1444,YES
1445,YES
1447,YES
1448,YES
1449,YES
1452,YES
1454,YES
1455,YES
1456,YES
1457,YES
1458,YES
1459,YES
1460,YES
1461,YES
1464,YES
1465,YES
1469,YES
1470,YES
1474,YES
1479,YES
1485,YES
1486,YES
1488,YES
1490,YES
1491,YES
1492,YES
1494,YES
1499,YES
1504,YES
1505,YES
1507,YES
1508,YES
1511,YES
1512,YES
1513,YES
1516,YES
1518,YES
1520,YES
1521,YES
1523,YES
1524,YES
1526,YES
1527,YES
1529,YES
1531,YES
1532,YES
1535,YES
1538,YES
1543,YES
1545,YES
1547,YES
1549,YES
1551,YES
1553,YES
1554,YES
1555,YES
1560,YES
1563,YES
1565,YES
1566,YES
1567,YES
1568,YES
1574,YES
1578,YES
1579,YES
1580,YES
1581,YES
1584,YES
1586,YES
1588,YES
1589,YES
1590,YES
1591,YES
1593,YES
1594,YES
1596,YES
1597,YES
1600,YES
1601,YES
1604,YES
1605,YES
1606,YES
1607,YES
1612,YES
1613,YES
1614,YES
1619,YES
1622,YES
1623,YES
1625,YES
1626,YES
1634,YES
1636,YES
1637,YES
1643,YES
1645,YES
1651,YES
1654,YES
1657,YES
1663,YES
1664,YES
1666,YES
1668,YES
1669,YES
1671,YES
1672,YES
1674,YES
1677,YES
1679,YES
1680,YES
1681,YES
1682,YES
1685,YES
1688,YES
1689,YES
1692,YES
1694,YES
1695,YES
1696,YES
1698,YES
1712,YES
1714,YES
1718,YES
1720,YES
1722,YES
1723,YES
1726,YES
1735,YES
1736,YES
1737,YES
1740,YES
1741,YES
1744,YES
1745,YES
1746,YES
1747,YES
1753,YES
1759,YES
1761,YES
1762,YES
1767,YES
1770,YES
1771,YES
1773,YES
1775,YES
1777,YES
1780,YES
1784,YES
1789,YES
1793,YES
1794,YES
1796,YES
1797,YES
1799,YES
1800,YES
1801,YES
1803,YES
1805,YES
1807,YES
1809,YES
1811,YES
1812,YES
1813,YES
1814,YES
1815,YES
1817,YES
1825,YES
1826,YES
1828,YES
1832,YES
1833,YES
1834,YES
1835,YES
1837,YES
1839,YES
1840,YES
1841,YES
1842,YES
1845,YES
1846,YES
1847,YES
1848,YES
1849,YES
1850,YES
1851,YES
1852,YES
1853,YES
1856,YES
1859,YES
1862,YES
1864,YES
1868,YES
1870,YES
1871,YES
1873,YES
1874,YES
1878,YES
1879,YES
1881,YES
1884,YES
1885,YES
1886,YES
1889,YES
1890,YES
1891,YES
1892,YES
1894,YES
1899,YES
1900,YES
1901,YES
1902,YES
1903,YES
1904,YES
1905,YES
1907,YES
1908,YES
1912,YES
1914,YES
1915,YES
1916,YES
1926,YES
1932,YES
1935,YES
1938,YES
1940,YES
1943,YES
1945,YES
1947,YES
1949,YES
1951,YES
1952,YES
1953,YES
1954,YES
1955,YES
1956,YES
1957,YES
1959,YES
1960,YES
1962,YES
1964,YES
1965,YES
1967,YES
1968,YES
1970,YES
1971,YES
1973,YES
1977,YES
1978,YES
1981,YES
1983,YES
1984,YES
1985,YES
1986,YES
1991,YES
1993,YES
1996,YES
1998,YES
1999,YES
2001,YES
2002,YES
2003,YES
2004,YES
2007,YES
2010,YES
2012,YES
2016,YES
2019,YES
2021,YES
2022,YES
2023,YES
2025,YES
2027,YES
2028,YES
2032,YES
2037,YES
2038,YES
2040,YES
2047,YES
2048,YES
2053,YES
2055,YES
2058,YES
2064,YES
2065,YES
2066,YES
2068,YES
2069,YES
2070,YES
2071,YES
2073,YES
2074,YES
2081,YES
2082,YES
2086,YES
2087,YES
2088,YES
2091,YES
2093,YES
2094,YES
2097,YES
2098,YES
2101,YES
2103,YES
2104,YES
2105,YES
2106,YES
2108,YES
2110,YES
2111,YES
2113,YES
2115,YES
2116,YES
2117,YES
2119,YES
2120,YES
2121,YES
2122,YES
2125,YES
2127,YES
2131,YES
2132,YES
2133,YES
2134,YES
2137,YES
2141,YES
2145,YES
2151,YES
2153,YES
2154,YES
2155,YES
2157,YES
2158,YES
2159,YES
2166,YES
2176,YES
2181,YES
2183,YES
2188,YES
2189,YES
2191,YES
2192,YES
2195,YES
2198,YES
2201,YES
2204,YES
2210,YES
2211,YES
2214,YES
2222,YES
2223,YES
2225,YES
2233,YES
2237,YES
2239,YES
2241,YES
2242,YES
2243,YES
2247,YES
2249,YES
2251,YES
2252,YES
2255,YES
2256,YES
2257,YES
2265,YES
2269,YES
2270,YES
2271,YES
2272,YES
2276,YES
2277,YES
2278,YES
2283,YES
2284,YES
2285,YES
2287,YES
2292,YES
2294,YES
2295,YES
2299,YES
2300,YES
2306,YES
2309,YES
2312,YES
2313,YES
2316,YES
2318,YES
2323,YES
2325,YES
2334,YES
2336,YES
