DC Number,Type,Date,Application,Summary,Status,CRQ,Cell
2364,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358524,"Cell010, Cell011"
2364,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
2364,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
2364,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
2364,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358494,"Cell010, Cell011"
2971,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes ,Planned,CHG3358524,"Cell010, Cell011"
2971,Enhancement,7/24/2025,Atlas Moves,"Rollout Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Planned,CHG3358475,"Cell010, Cell011"
2971,Bug Fix,7/24/2025,Atlas Moves,Rollout Bugfixes and Snyk fixes,Planned,CHG3358494,"Cell010, Cell011"
2971,Enhancement,7/23/2025,Order Processing/ Order Filling,"OP deployments Enable Billing of POS Jump Water Trailers Rollout , Cel011",Deployed,CHG3356163,Cell010
2971,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
3,Enhancement,7/23/2025,Shore,New version of Shore Install,Deployed,CHG3269841,Cell003
3,Enhancement,7/23/2025,Shore,New version of Shore Install,Deployed,CHG3269841,Cell003
3010,Bug Fix,7/23/2025,Atlas Moves,Rollout Performance screen and bug fixes,Deployed,CHG3353343,"Cell010, Cell011, Cell012"
3010,Enhancement,7/24/2025,Countit,GDC Walmart SDK for Azure Cosmos Pilot,Planned,CHG3339095,Cell012
3010,Enhancement,7/22/2025,Atlas Moves,"Pilot Location Tag Fix in Orchestrator, Locations Sync and Snyk Fixes ",Deployed,CHG3348394,Cell012
