Store,City,State,Zip,NDP Store,NDP Launch Date,NDP Launch Month,Baby
158,Bonham,TX,75418,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
265,Terrell,TX,75160,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
427,Greenville,TX,75402,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
516,Mabank,TX,75156,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
565,Corsicana,TX,75110,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
2427,Dallas,TX,75243,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
3044,Fort Worth,TX,76105,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
3433,Red Oak,TX,75154,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
4215,Quinlan,TX,75474,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
4627,Denton,TX,76201,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
5672,Allen,TX,75002,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
5823,Dallas,TX,75231,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
371,Granbury,TX,76048,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
827,Canton,TX,75103,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
2926,Plano,TX,75023,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
2978,Fort Worth,TX,76133,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
2996,Dallas,TX,75287,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
3274,North Richland Hills,TX,76182,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
896,Grand Prairie,TX,75052,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
1117,Plano,TX,75023,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, March 31, 2023",March,Yes
4,Siloam Springs,AR,72761,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
194,Baytown,TX,77521,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
297,Porter,TX,77365,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
462,Alvin,TX,77511,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
522,Crosby,TX,77532,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
529,La Marque,TX,77568,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
546,Richmond,TX,77469,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
744,Humble,TX,77346,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
752,Pasadena,TX,77505,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
808,Lake Jackson,TX,77566,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
849,Spring,TX,77373,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
967,Spring Hill,FL,34606,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
1062,Friendswood,TX,77546,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
1085,Port Richey,FL,34668,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
1137,Houston,TX,77015,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
1186,Liberty,TX,77575,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
3213,Conroe,TX,77384,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
3226,Katy,TX,77494,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
3248,La Habra,CA,90631,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
3390,Spring,TX,77382,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
3463,Brandon,FL,33511,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
3523,Santa Clarita,CA,91350,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
4298,Humble,TX,77396,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
4512,Katy,TX,77449,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
5045,Tomball,TX,77375,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
5287,Spring,TX,77379,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
5388,League City,TX,77573,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
6579,New Caney,TX,77357,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
4171,Garden Grove,CA,92841,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
5954,West Covina,CA,91791,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
1,Rogers,AR,72756,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
100,Bentonville,AR,72712,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
359,Fayetteville,AR,72703,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
504,Galveston,TX,77551,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
547,Plant City,FL,33566,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
706,Zephyrhills,FL,33541,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
988,Lutz,FL,33549,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
994,New Port Richey,FL,34655,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
1040,Houston,TX,77095,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
1213,Brooksville,FL,34613,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
1390,Pinellas Park,FL,33781,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
1513,Palm Harbor,FL,34684,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
1536,Saint Petersburg,FL,33708,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
2218,Foothill Ranch,CA,92610,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
2251,Hacienda Heights,CA,91745,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
2740,Tampa,FL,33647,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
2796,Oldsmar,FL,34677,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
3418,Wesley Chapel,FL,33543,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
3526,Brooksville,FL,34601,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
4538,Katy,TX,77449,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
4690,Saint Petersburg,FL,33713,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
5036,Tampa,FL,33625,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
5162,Valencia,CA,91355,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
5260,Rogers,AR,72758,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
5261,Pineville,MO,64856,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
5266,Hudson,FL,34667,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
1941,Glendora,CA,91740,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
2292,Covina,CA,91722,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
2526,Porter Ranch,CA,91326,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
2948,Santa Fe Springs,CA,90670,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
5641,La Habra,CA,90631,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
5930,Anaheim,CA,92801,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
54,Springdale,AR,72764,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
144,Fayetteville,AR,72704,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
1203,Wimauma,FL,33598,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
4108,Springdale,AR,72762,Congratulations! Your store will have in-store events for September Baby Days.,"Thursday, May 4, 2023",May,Yes
1680,Miami,FL,33196,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, August 18, 2023",August,Yes
2151,Fort Lauderdale,FL,33323,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, August 18, 2023",August,Yes
2946,Fort Lauderdale,FL,33312,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, August 18, 2023",August,Yes
4161,Miami,FL,33174,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, August 18, 2023",August,Yes
5854,Miami,FL,33155,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, August 18, 2023",August,Yes
5911,Boynton Beach,FL,33435,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, August 18, 2023",August,Yes
5912,Miami,FL,33189,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, August 18, 2023",August,Yes
5932,Hollywood,FL,33027,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, August 18, 2023",August,Yes
5871,Orlando,FL,32839,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, August 18, 2023",August,Yes
5894,Oviedo,FL,32765,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, August 18, 2023",August,Yes
856,Bremen,GA,30110,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, August 18, 2023",August,Yes
2732,Villa Rica,GA,30180,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, August 18, 2023",August,Yes
2751,Englewood,CO,80110,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, August 18, 2023",August,Yes
3067,Norcross,GA,30093,Congratulations! Your store will have in-store events for September Baby Days.,"Friday, August 18, 2023",August,Yes
