Store ,NSW2 Console QTY,NSW2 Mario Kart World QTY,NSW2 Pro Controller ,Total Estimated Preorder,Associates Needed
1,26,57,22,105,1
2,3,22,2,27,1
3,14,32,4,50,1
4,11,36,5,52,1
5,15,38,13,66,1
7,12,35,4,51,1
8,8,14,2,24,1
9,3,11,2,16,1
10,4,17,2,23,1
11,5,26,9,40,1
12,16,36,5,57,1
13,4,15,2,21,1
14,3,20,1,24,1
15,2,8,2,12,1
16,7,26,3,36,1
17,6,18,4,28,1
18,2,2,,4,1
19,4,24,4,32,1
20,2,10,,12,1
21,12,27,4,43,1
22,2,17,1,20,1
23,3,9,2,14,1
24,8,18,,26,1
25,6,10,2,18,1
26,14,42,7,63,1
27,2,3,,5,1
28,3,8,1,12,1
29,14,40,15,69,1
30,9,11,2,22,1
31,1,6,1,8,1
32,2,11,3,16,1
33,1,4,,5,1
34,4,9,,13,1
35,18,47,14,79,1
36,11,30,2,43,1
37,8,17,3,28,1
38,2,4,2,8,1
39,2,8,,10,1
40,2,23,4,29,1
41,15,40,7,62,1
42,1,5,1,7,1
43,16,31,3,50,1
44,3,3,1,7,1
45,18,36,10,64,1
46,5,14,3,22,1
47,4,7,1,12,1
48,4,6,1,11,1
49,,5,1,6,1
50,1,4,1,6,1
51,7,18,2,27,1
52,10,23,5,38,1
54,12,27,7,46,1
55,1,,,1,1
56,3,7,3,13,1
58,11,40,4,55,1
59,16,42,2,60,1
60,9,23,8,40,1
61,13,34,7,54,1
62,4,7,,11,1
63,1,7,1,9,1
64,1,6,1,8,1
65,5,11,,16,1
66,5,8,,13,1
67,3,7,2,12,1
68,2,5,1,8,1
69,22,50,9,81,1
70,7,18,2,27,1
71,1,7,2,10,1
72,5,27,3,35,1
73,8,21,3,32,1
74,1,6,,7,1
75,11,22,6,39,1
76,4,7,1,12,1
77,12,25,10,47,1
78,6,22,1,29,1
79,12,27,2,41,1
80,11,30,10,51,1
81,2,3,,5,1
82,10,20,9,39,1
83,,11,2,13,1
85,13,34,11,58,1
86,15,33,4,52,1
87,1,10,2,13,1
88,2,9,2,13,1
89,6,12,1,19,1
90,2,13,4,19,1
91,,3,1,4,1
92,2,8,1,11,1
93,6,14,10,30,1
94,14,28,2,44,1
95,5,17,,22,1
96,15,26,2,43,1
97,3,9,,12,1
98,3,7,,10,1
99,8,24,3,35,1
100,35,104,41,180,2
101,9,33,3,45,1
102,,1,,1,1
103,9,36,6,51,1
104,8,21,1,30,1
105,12,23,7,42,1
106,2,4,2,8,1
107,8,12,2,22,1
108,9,21,7,37,1
109,4,15,1,20,1
110,31,67,15,113,2
111,3,5,2,10,1
112,9,20,5,34,1
113,7,12,1,20,1
114,7,10,1,18,1
115,,4,,4,1
117,2,5,,7,1
118,2,5,,7,1
119,5,20,3,28,1
120,7,20,3,30,1
121,2,7,1,10,1
122,10,18,7,35,1
123,1,3,1,5,1
124,9,18,1,28,1
125,13,36,7,56,1
126,8,15,4,27,1
127,4,7,,11,1
128,14,24,4,42,1
129,3,14,5,22,1
130,5,24,6,35,1
131,3,18,4,25,1
132,1,3,,4,1
133,,4,,4,1
134,3,3,,6,1
135,,5,2,7,1
136,2,6,2,10,1
137,13,26,7,46,1
138,13,31,10,54,1
139,4,9,2,15,1
140,7,38,,45,1
141,15,38,7,60,1
143,11,16,1,28,1
144,20,46,20,86,1
145,,5,1,6,1
146,8,10,6,24,1
147,8,23,3,34,1
148,1,16,,17,1
149,1,6,,7,1
150,2,9,3,14,1
151,1,14,2,17,1
152,14,27,4,45,1
153,3,10,2,15,1
154,14,38,10,62,2
155,2,6,1,9,1
157,11,27,,38,1
158,5,12,3,20,1
159,14,31,7,52,1
160,3,5,1,9,1
161,3,10,2,15,1
163,1,19,2,22,1
164,3,10,,13,1
165,2,9,2,13,1
166,1,10,1,12,1
167,2,6,2,10,1
168,21,49,11,81,1
169,1,5,,6,1
170,2,10,,12,1
171,1,8,,9,1
172,18,36,5,59,1
173,4,10,3,17,1
174,16,35,11,62,1
175,8,26,7,41,1
176,1,6,,7,1
177,6,24,5,35,1
178,4,7,1,12,1
179,16,35,7,58,1
180,2,13,1,16,1
181,4,7,1,12,1
182,1,4,1,6,1
183,,1,,1,1
