Store,Date,Reg,0.01,0.05,0.1,0.25
5316,6/13/2024,95,1,0,0,1
5316,6/13/2024,98,0,1,1,1
5823,6/13/2024,17,audit,,,
5823,6/13/2024,19,audit,,,
5823,6/13/2024,21,audit,,,
5823,6/13/2024,23,audit,,,
5823,6/13/2024,58,audit,,,
5823,6/13/2024,61,audit,,,
5823,6/13/2024,63,audit,,,
5823,6/13/2024,77,audit,,,
5823,6/13/2024,79,audit,,,
5823,6/13/2024,80,audit,,,
7601,6/13/2024,3,audit,,,
7601,6/13/2024,4,audit,,,
7601,6/13/2024,5,audit,,,
7601,6/13/2024,8,audit,,,
7601,6/13/2024,92,audit,,,
8861,6/13/2024,1,audit,,,
