StoreNumber,Item #,Item Description,Hot PLU, New Retails  ,
3289,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3289,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3289,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3289,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3293,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3293,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3293,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3293,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3293,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3293,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3293,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3293,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3293,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3293,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3294,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3294,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3294,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3294,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3294,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3294,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3294,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3294,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3294,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3294,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3295,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3295,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3295,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3295,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3295,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3295,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3295,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3295,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3295,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3295,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3296,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3296,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3296,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3296,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3296,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3296,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3296,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3296,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3296,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3296,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3297,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3297,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3297,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3297,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3297,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3297,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3297,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3297,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3297,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3297,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3298,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3298,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3298,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3298,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3298,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3298,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3298,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3298,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3298,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3298,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3300,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3300,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3300,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3300,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3300,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3300,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3300,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3300,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3300,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3300,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3302,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3302,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3302,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3302,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3302,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3302,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3302,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3302,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3302,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3302,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3303,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3303,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3303,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3303,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3303,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
