StoreNumber,Item #,Item Description,Hot PLU, New Retails  ,
3339,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3339,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3339,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3340,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3340,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3340,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3340,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3340,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3340,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3340,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3340,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3340,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3340,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3341,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3341,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3341,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3341,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3341,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3341,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3341,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3341,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3341,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3341,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3342,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3342,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3342,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3342,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3342,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3342,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3342,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3342,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3342,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3342,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3344,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3344,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3344,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3344,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3344,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3344,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3344,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3344,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3344,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3344,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3347,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3347,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3347,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3347,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
3347,596705093,3PC TENDER MEAL 1S,62853, $4.97 ,
3347,596705094,3PC TENDER MEAL 2S,62854, $5.47 ,
3347,576142448,8PC FRIED CHICKEN MEAL,62182, $12.97 ,
3347,596716288,12PC CHKN TENDER MEAL,62860, $19.47 ,
3347,596716289,24PC BONELESS CHICKEN WING MEAL,62861, $17.47 ,
3347,596716318,48PC FRIED CHICKEN,62888, $54.97 ,
3348,576142436,16PC CHICKEN TENDER,62169, $17.84 ,
3348,596716292,2PC CHICKEN TENDERS,62865, $2.67 ,
3348,596716293,4PC CHICKEN TENDERS,62866, $5.37 ,
3348,596716294,8PC CHICKEN TENDERS,62867, $10.37 ,
