Store,City,State,Toolkit Link,"Phase I
Possession Date ","Phase I 
Ceremony Date","Phase II
Possession Date","Phase II
MFC Go Live",MFC Contact
100,BENTONVILLE,AR,Click here to view the toolkit,N/A,N/A,1/25/2021,4/17/2023,Raul Chio
3267,OMAHA,NE,Click here to view the toolkit,3/1/2021,6/18/2021,6/27/2021,TBD,Melvin Burns
5092,LEWISVILLE,TX,Click here to view the toolkit,8/31/2020,Nov-20,6/27/2021,6/25/2023,Raul Chio
517,MUSTANG,OK,Click here to view the toolkit,N/A ,N/A,8/23/2021,7/30/2023,Sebastian Gomilla
125,FORT SMITH,AR,Click here to view the toolkit, 6/14/2021,10/1/2021,8/23/2021,7/30/2023,Mark Richardson
3295,BROKEN ARROW,OK,Click here to view the toolkit,10/18/2021,N/A,N/A,7/30/2023,Sebastian Gomilla
277,MOORE,OK,Click here to view the toolkit, 8/16/2021,11/19/2021,11/28/2021,7/30/2023,Sebastian Gomilla
3258,EUGENE,OR,Click here to view the toolkit,8/9/2021 ,11/12/2021,2/21/2022 ,10/29/2023,Melvin Burns
2932,KNOXVILLE,TN,Click here to view the toolkit,10/4/2021,N/A,N/A,7/30/2023,Mark Richardson
3226,KATY,TX,Click here to view the toolkit,11/18/2021,N/A, N/A,9/11/2023,Sebastian Gomilla
1413,CRYSTAL LAKE,IL,Click here to view the toolkit,8/9/2021 ,11/12/2021,11/21/2021,4/22/2024,Melvin Burns
3278,LINCOLN,NE,Click here to view the toolkit, 8/16/2021 ,11/19/2021,4/17/2022 ,9/13/2023,Melvin Burns
2740,TAMPA,FL,Click here to view the toolkit,8/16/2021 ,1/7/2022,3/13/2022,10/1/2023,Mark Richardson
266,GRAPEVINE,TX,Click here to view the toolkit,8/2/2021,11/19/2021,4/18/2022,8/30/2022,Samer Daher 
3284,ARLINGTON,TX,Click here to view the toolkit,8/30/2021,12/3/2021,5/16/2022,10/22/2022,Samer Daher
5837,ROGERS (PINNACLE),AR,Click here to view the toolkit,N/A ,N/A, 5/24/2021,TBD,Raul Chio
1439,WASHINGTON,UT,Click here to view the toolkit, 8/16/2021,12/172021,4/25/2022,1/13/2024,Sebastian Gomilla
2125,LAKEWOOD,CO ,Click here to view the toolkit,1/3/2022,6/3/2022,6/6/2022,12/20/2023,Melvin Burns
5236,BOWLING GREEN,KY,Click here to view the toolkit, 1/31/2022,5/6/2022,5/9/2022,9/17/2023,Melvin Burns
144,FAYETTEVILLE,AR,Click here to view the toolkit,N/A,N/A,3/20/2022,2/4/2024,Mark Richardson
3207,SANFORD,FL,Click here to view the toolkit,1/24/2022,4/29/2022,5/2/2022,12/2/2023,Mark Richardson
1148,WICHITA FALLS,TX,Click here to view the toolkit,N/A ,N/A,1/31/2022,10/8/2023,Sebastian Gomilla
3722,KENT,OH,Click here to view the toolkit, 8/9/2021,11/12/2021,6/20/2022,5/6/2024,Melvin Burns
444,SPRINGFIELD,MO,Click here to view the toolkit, N/A,N/A,4/4/2022,3/12/2024,Mark Richardson
4621,JACKSONVILLE,FL,Click here to view the toolkit,N/A,N/A,11/15/2022,TBD,Mark Richardson
987,FORT MYERS,FL,Click here to view the toolkit,3/21/2022,6/24/2022,6/27/2022,5/18/2024,Mark Richardson
3837,ROCKTON,IL,Click here to view the toolkit,6/14/2021,9/17/2021,9/26/2021,5/6/2024,Melvin Burns
3763,EL PASO,TX,Click here to view the toolkit,N/A,N/A, 07/25/2022,4/27/2024,Sebastian Gomilla
5288,SEAGOVILLE,TX,Click here to view the toolkit,N/A,N/A, 05/08/2022,8/1/2024,Sebastian Gomilla
2511,AMERICAN FORK,UT,Click here to view the toolkit,2/22/2021,7/2/2021,FY24-TBD,TBD,Kristen Knight
5348,MONTGOMERY (C),AL,Click here to view the toolkit,4/19/2021,8/20/2021,FY24-TBD,TBD,Kristen Knight
4436,ALPHARETTA (NE),GA,Click here to view the toolkit,5/3/2021,9/3/2021,FY24-TBD,TBD,Kristen Knight
5251,CHATTANOOGA,TN,Click here to view the toolkit,6/14/2021,10/29/2021,FY24-TBD,TBD,Kristen Knight
4358,OMAHA,NE,Click here to view the toolkit,6/21/2021,10/1/2021,FY24-TBD,7/30/2023,Kristen Knight
3710,DECATUR (W),GA,Click here to view the toolkit,7/26/2021,11/19/2021,FY24-TBD,TBD,Kristen Knight
1129,AUSTIN,TX,Click here to view the toolkit,8/2/2021,11/5/2021,FY24-TBD,TBD,Kristen Knight
1504,MIAMISBURG,OH,Click here to view the toolkit,8/30/2021,12/10/2021,FY24-TBD,TBD,Kristen Knight
3050,BEAVERTON,OR,Click here to view the toolkit,7/12/2021,10/15/2021,FY24-TBD,TBD,Kristen Knight
2907,MIAMI GARDENS,FL,Click here to view the toolkit,8/16/2021,12/17/2021,FY24-TBD,1/31/2023,Kristen Knight
1177,MANCHESTER,MO,Click here to view the toolkit,6/28/2021,11/19/2021,FY24-TBD,TBD,Kristen Knight
451,COLUMBIA,MO,Click here to view the toolkit,5/3/2021,8/6/2021,FY24-TBD,TBD,Kristen Knight
2783,LEXINGTON,KY,Click here to view the toolkit,5/31/2021,9/17/2021,FY24-TBD,TBD,Kristen Knight
5041,BONNEY LAKE,WA,Click here to view the toolkit,3/14/2022,6/17/2022,FY24-TBD,TBD,Kristen Knight
4405,AURORA (NE),IL,Click here to view the toolkit,1/3/2022,4/8/2022,FY24-TBD,TBD,Kristen Knight
3510,PEARLAND,TX,Click here to view the toolkit,2/14/2022,5/20/2022,FY24-TBD,TBD,Kristen Knight
2861,GARDEN CITY,ID,Click here to view the toolkit,11/29/2021,3/25/2022,FY24-TBD,TBD,Kristen Knight
2996,DALLAS,TX,Click here to view the toolkit,3/14/2022,6/17/2022,FY24-TBD,TBD,Kristen Knight
3620,RIVERTON,UT,Click here to view the toolkit,6/28/2021,10/1/2021,FY24-TBD,TBD,Kristen Knight
937,MARIETTA,GA,Click here to view the toolkit,8/2/2021,11/19/2021,FY24-TBD,TBD,Kristen Knight
1219,JACKSONVILLE,FL,Click here to view the toolkit,5/17/2021,10/8/2021,FY24-TBD,TBD,Kristen Knight
5479,PFLUGERVILLE,TX,Click here to view the toolkit,6/14/2021,9/17/2021,FY24-TBD,TBD,Kristen Knight
831,ALBUQUERQUE (ZUNI),NM,Click here to view the toolkit,7/5/2021,10/22/2021,FY24-TBD,TBD,Kristen Knight
