Market,Store,Launch Date 
322,54,7/8/2025
323,100,7/8/2025
322,144,7/8/2025
92,174,7/10/2025
361,184,7/8/2025
60,194,7/8/2025
341,201,7/8/2025
51,202,7/8/2025
52,206,7/8/2025
353,212,7/8/2025
53,217,7/8/2025
48,220,7/8/2025
48,228,7/8/2025
360,234,7/8/2025
341,256,7/8/2025
50,266,6/24/2025
153,272,7/8/2025
353,277,7/8/2025
49,284,7/8/2025
59,297,7/8/2025
361,319,7/8/2025
68,351,7/8/2025
322,359,7/8/2025
341,361,7/8/2025
48,371,7/8/2025
352,389,7/8/2025
39,396,7/10/2025
151,406,7/8/2025
53,426,6/24/2025
52,467,7/8/2025
49,471,7/8/2025
356,472,7/8/2025
83,475,7/8/2025
505,500,7/10/2025
505,512,7/10/2025
242,526,7/10/2025
115,528,7/10/2025
61,529,7/8/2025
128,541,7/8/2025
353,544,7/8/2025
62,546,7/8/2025
25,548,7/10/2025
125,553,7/8/2025
94,563,7/10/2025
344,564,7/8/2025
361,573,7/8/2025
26,575,7/10/2025
345,576,7/8/2025
362,577,7/8/2025
116,580,7/10/2025
42,585,7/10/2025
256,589,7/10/2025
48,590,7/8/2025
406,592,7/8/2025
19,594,7/10/2025
68,602,7/8/2025
94,613,7/10/2025
26,618,7/10/2025
344,622,7/8/2025
118,623,7/10/2025
35,631,7/10/2025
39,644,7/10/2025
339,648,7/8/2025
92,649,7/10/2025
153,659,7/8/2025
151,682,7/8/2025
153,688,7/8/2025
152,695,7/8/2025
67,703,7/8/2025
89,705,7/10/2025
152,710,7/8/2025
116,725,7/10/2025
121,741,7/10/2025
353,743,7/8/2025
59,744,7/8/2025
19,745,7/10/2025
63,752,7/8/2025
87,765,7/8/2025
65,768,7/8/2025
115,769,7/10/2025
64,772,7/8/2025
114,779,7/10/2025
19,787,7/10/2025
583,789,7/8/2025
89,800,7/10/2025
340,805,7/8/2025
50,807,7/8/2025
90,817,7/10/2025
105,819,7/10/2025
251,828,7/10/2025
130,839,7/8/2025
144,848,7/8/2025
59,849,7/8/2025
94,857,7/10/2025
116,859,7/10/2025
94,860,7/10/2025
62,872,7/8/2025
24,878,7/10/2025
50,880,7/8/2025
91,890,7/10/2025
356,894,7/8/2025
49,896,7/8/2025
379,905,7/10/2025
90,908,7/10/2025
125,909,7/8/2025
128,911,7/8/2025
62,915,7/8/2025
482,923,7/10/2025
92,931,7/10/2025
130,935,7/8/2025
26,937,7/10/2025
479,940,7/8/2025
114,941,7/10/2025
89,942,7/10/2025
91,943,7/10/2025
145,950,7/8/2025
378,953,7/10/2025
91,955,7/10/2025
48,963,7/8/2025
505,964,7/10/2025
104,967,7/10/2025
116,968,7/10/2025
479,972,7/8/2025
104,988,7/10/2025
128,989,7/8/2025
356,992,7/8/2025
104,994,7/10/2025
485,998,7/8/2025
86,999,7/8/2025
115,1004,7/10/2025
361,1014,7/8/2025
505,1015,7/10/2025
306,1027,7/10/2025
65,1040,7/8/2025
20,1047,7/10/2025
583,1055,6/24/2025
63,1062,7/8/2025
92,1068,7/10/2025
94,1079,7/10/2025
98,1082,7/10/2025
101,1083,7/10/2025
104,1085,7/10/2025
107,1087,7/10/2025
101,1090,7/10/2025
361,1094,7/8/2025
304,1096,7/10/2025
409,1099,7/8/2025
130,1102,7/8/2025
59,1103,7/8/2025
51,1117,7/8/2025
55,1118,7/8/2025
360,1120,7/8/2025
82,1129,7/8/2025
39,1130,7/10/2025
298,1132,7/10/2025
131,1136,7/8/2025
60,1137,7/8/2025
362,1151,7/8/2025
306,1156,7/10/2025
339,1161,7/8/2025
125,1163,7/8/2025
435,1167,7/8/2025
256,1170,7/10/2025
115,1171,7/10/2025
98,1172,7/10/2025
98,1173,7/10/2025
340,1177,7/8/2025
50,1178,7/8/2025
26,1181,7/10/2025
94,1182,7/10/2025
23,1184,7/10/2025
83,1185,7/8/2025
296,1191,7/10/2025
121,1194,7/10/2025
506,1198,7/8/2025
391,1200,7/10/2025
130,1206,7/8/2025
305,1209,7/10/2025
95,1213,7/10/2025
53,1216,7/8/2025
101,1219,7/10/2025
90,1220,7/10/2025
409,1221,7/8/2025
101,1225,7/10/2025
269,1228,7/8/2025
