regionNbr,UserID,Region Rank
2,J0N018M,1
3,S0Z02NM,1
4,FSBELLA,1
5,MRO0010,1
6,V0A0039,1
7,M0A02QZ,1
9,R0A02X2,1
11,ABBRAND,1
12,MNBETAN,1
13,MVTRAN,1
14,MES007T,1
16,AMF00C7,1
17,M0Q00AC,1
19,TWL000T,1
20,SLB00SH,1
21,KMCHAPM,1
22,JJFELES,1
25,K0F0214,1
26,TML0071,1
29,D0A05TI,1
40,JSH009M,1
41,JDD00B2,1
42,DDR0044,1
44,JMW00P3,1
46,C0B0REW,1
47,MSR002E,1
52,E0Y00KW,1
53,LDFERGU,1
54,M0H0EBQ,1
56,RJCALVO,1
57,C0P0HBF,1
58,O0R0071,1
59,DFREITE,1
60,MGR004F,1
61,BAHEARD,1
64,E0V0358,1
72,KJJ003L,1
75,ADD00AE,1
76,G0P01KP,1
