Store,,OCT,73,YTD,74,OCT,75,YTD,76,OCT,77,YTD,78,OCT,79,YTD,80,OCT,81,YTD,82,OCT,83,YTD,84,OCT,85,YTD,86,OCT,87,YTD,88,OCT,89,YTD,90,OCT,91,YTD,92
4194,,6.01%,,8.22%,,19.32%,,31.36%,G,6.71%,,14.35%,,24.41%,,52.88%,G,33,G,154,,34.81%,,31.33%,,3,,19,,34.18%,,38.99%,,0:40:42,,0:41:35,,768/2576,,381/2576,G
Total,B,-1.01%,R,3.87%,,4.24%,R,8.45%,R,-5.43%,R,0.02%,R,2.09%,R,11.49%,,0.44,,0.28,,38.73%,,37.00%,,0.04,R,0.05,R,43.78%,,38.65%,R,0:44:22,,0:44:39,,367/394,R,356/394,R
321,,2.65%,,10.91%,G,20.31%,,28.28%,G,19.35%,,16.18%,,15.96%,,18.55%,,28,G,251,G,30.65%,,40.20%,,3,,40,,77.40%,,54.55%,,0:46:24,,0:49:27,,818/2576,,335/2576,G
322,,3.48%,,6.99%,,17.96%,,7.91%,,2.24%,,-0.92%,,18.52%,,10.87%,,33,G,123,,29.88%,,33.29%,,4,,10,R,36.91%,,37.88%,,0:36:43,,0:38:54,,1001/2576,,1686/2576,
473,,9.01%,,4.64%,,14.42%,,11.89%,,7.17%,,15.57%,,11.11%,,1.49%,R,4,,70,,24.09%,R,32.69%,,0,R,4,R,80.00%,,54.91%,,0:35:16,G,0:34:21,G,1008/2576,,1586/2576,
1042,,14.45%,G,7.81%,,26.44%,,5.69%,R,15.91%,,-5.06%,R,31.92%,,12.64%,,7,,22,R,40.23%,,41.88%,,3,,11,R,25.36%,R,22.85%,R,1:11:09,R,1:16:53,R,577/2576,,2055/2576,
1150,,6.46%,,5.23%,,49.57%,G,11.71%,,50.00%,G,7.37%,,22.36%,,15.82%,,4,,28,R,29.88%,,36.53%,,0,R,4,R,25.93%,R,38.53%,,0:41:10,,0:41:51,,449/2576,G,1612/2576,
4183,,2.61%,,9.22%,G,15.12%,,11.95%,,4.46%,,5.45%,,31.87%,,15.64%,,7,,23,R,23.75%,R,25.91%,R,0,R,3,R,82.50%,G,54.04%,,0:47:06,,0:52:48,,1256/2576,,1510/2576,
Total,B,6.85%,G,7.54%,G,24.82%,G,11.53%,R,16.48%,,4.14%,,22.71%,,12.80%,,0.45,,0.32,,31.78%,,36.55%,,0.05,R,0.04,R,46.57%,,39.22%,R,0:48:38,,0:50:41,,59/394,G,273/394,
292,,4.47%,,8.38%,,25.52%,,17.63%,,2.88%,,9.17%,,46.42%,G,25.76%,,1,R,26,R,44.59%,G,49.00%,G,0,R,2,R,46.39%,,34.41%,,0:50:19,,1:06:28,R,877/2576,,1121/2576,
404,,10.39%,G,5.51%,,18.10%,,1.84%,R,-2.10%,,-12.71%,R,58.77%,G,19.97%,,14,,30,R,32.17%,,42.35%,,5,,24,,23.64%,R,19.57%,R,1:38:13,R,1:29:40,R,1021/2576,,2205/2576,R
765,,-0.43%,,7.35%,,13.91%,,31.36%,G,10.90%,,17.53%,G,38.01%,G,45.82%,G,10,,98,,32.46%,,35.82%,,10,G,276,G,33.77%,,49.11%,,0:44:46,,0:37:31,,1216/2576,,207/2576,G
865,,8.51%,,10.37%,G,14.25%,,9.50%,,0.79%,,-6.51%,R,31.73%,,32.22%,G,26,G,70,,36.44%,,39.65%,,2,,14,R,45.75%,,35.52%,,1:03:55,R,1:14:07,R,1095/2576,,1613/2576,
1347,,0.00%,,9.44%,G,6.11%,,18.33%,,-7.52%,R,7.75%,,15.50%,,24.52%,,22,,198,,51.58%,G,56.89%,G,2,,25,,45.79%,,45.83%,,0:39:23,,0:35:23,G,1625/2576,,549/2576,
1803,,4.34%,,-0.84%,R,17.37%,,10.32%,,1.08%,,4.91%,,65.34%,G,9.91%,,2,R,24,R,38.49%,,37.61%,,3,,59,,41.58%,,61.83%,,1:08:49,R,1:04:59,R,1195/2576,,2107/2576,R
2769,,8.17%,,2.57%,,34.27%,G,5.83%,R,3.33%,,-0.87%,,63.83%,G,15.63%,,11,,266,G,41.13%,,41.80%,,12,G,97,G,65.80%,,67.05%,,1:08:35,R,1:10:53,R,467/2576,G,1916/2576,
3391,,2.36%,,6.05%,,11.69%,,-0.30%,R,-2.51%,,-13.40%,R,30.11%,,14.05%,,2,R,33,,39.88%,,45.43%,,5,,58,,31.20%,R,44.19%,,0:50:20,,0:53:14,,1453/2576,,1979/2576,
4055,,5.39%,,13.00%,G,9.69%,,29.27%,G,-5.73%,R,13.60%,,27.42%,,40.32%,G,16,,246,G,48.42%,G,45.13%,,14,G,169,G,17.41%,R,33.20%,,1:00:44,,0:49:10,,1364/2576,,167/2576,G
4115,,9.03%,,10.11%,G,37.19%,G,34.26%,G,22.57%,,9.49%,,22.82%,,43.41%,G,16,,295,G,40.20%,,52.53%,G,9,G,97,G,98.99%,G,74.44%,,1:02:11,,1:04:49,R,258/2576,G,190/2576,G
Total,B,5.45%,,7.38%,,17.30%,,13.85%,,0.98%,R,1.03%,,37.43%,G,26.01%,G,0.39,,0.47,,40.15%,G,44.98%,G,0.2,,0.3,,42.61%,,43.08%,,1:01:55,R,1:00:56,,140/394,,205/394,
&nbsp;,B,6.19%,G,7.50%,G,18.39%,,14.63%,R,9.38%,,6.14%,,22.77%,,15.97%,,0.55,,0.45,,33.42%,,37.35%,,0.19,,0.23,,47.91%,,42.11%,R,0:57:02,R,0:55:15,,Jul-34,,20/34,
600,,2.56%,,4.86%,,20.46%,,21.60%,,11.59%,,8.69%,,7.89%,,8.83%,,42,G,103,,39.91%,,51.21%,G,13,G,41,,74.06%,,40.39%,,0:29:01,G,0:35:11,G,663/2576,,858/2576,
755,,10.66%,G,13.05%,G,13.55%,,41.58%,G,6.56%,,19.50%,G,29.93%,,76.24%,G,12,,75,,30.89%,,37.49%,,0,R,54,,92.67%,G,94.57%,G,0:29:21,G,0:27:25,G,710/2576,,25/2576,G
793,,7.38%,,6.00%,,27.97%,,25.46%,,7.02%,,12.73%,,6.19%,,7.57%,,22,,161,,48.22%,G,48.39%,G,1,R,75,,73.14%,,36.94%,,0:35:44,G,0:31:49,G,525/2576,,579/2576,
812,,15.28%,G,9.53%,G,35.58%,G,21.04%,,29.38%,G,11.90%,,16.98%,,16.95%,,9,,242,G,28.67%,,34.88%,,2,,175,G,57.17%,,46.76%,,1:10:01,R,0:58:35,,481/2576,G,661/2576,
822,,6.56%,,6.83%,,12.33%,,15.69%,,1.18%,,5.07%,,8.40%,,7.59%,,10,,60,,23.00%,R,25.16%,R,2,,14,R,83.46%,G,77.62%,,0:42:22,,0:35:08,G,1244/2576,,1248/2576,
900,,14.82%,G,15.41%,G,24.25%,,32.39%,G,17.10%,,16.82%,G,36.40%,G,32.68%,G,1,R,61,,30.62%,,39.07%,,3,,55,,48.31%,,33.39%,,0:28:26,G,0:25:18,G,329/2576,G,117/2576,G
1516,,19.89%,G,10.30%,G,23.05%,,28.34%,G,10.67%,,15.44%,,27.23%,,18.56%,,17,,98,,35.21%,,36.44%,,6,,70,,52.92%,,53.94%,,0:39:38,,0:36:26,G,302/2576,G,286/2576,G
3383,,2.46%,,-0.47%,R,32.05%,G,14.14%,,54.75%,G,16.15%,,6.69%,,1.16%,R,22,,221,G,36.50%,,37.28%,,7,,109,G,58.94%,,33.82%,,0:41:44,,0:51:48,,545/2576,,1733/2576,
3384,,9.91%,G,9.41%,G,40.17%,G,27.22%,,15.00%,,19.42%,G,33.73%,G,10.70%,,9,,71,,40.25%,,37.94%,,5,,24,,83.18%,G,60.84%,,0:54:28,,0:47:20,,240/2576,G,553/2576,
5216,,6.89%,,3.64%,,16.86%,,13.81%,,8.89%,,1.49%,,1.21%,,3.24%,R,20,,183,,42.22%,,46.87%,G,6,,68,,80.54%,,72.31%,,0:38:45,,0:33:42,G,764/2576,,1329/2576,
Total,B,9.30%,G,7.46%,G,23.71%,G,23.07%,G,13.75%,,11.29%,G,16.91%,,14.69%,,0.53,,0.47,,35.28%,,39.17%,,0.15,,0.25,,69.56%,G,54.01%,,0:40:27,G,0:37:54,G,21/394,G,38/394,G
549,,22.28%,G,25.27%,G,9.35%,,37.22%,G,17.39%,,16.79%,G,1.75%,,28.55%,G,2,R,264,G,21.67%,R,30.66%,,2,,171,G,44.09%,,57.27%,,0:59:37,,0:55:30,,1352/2576,,144/2576,G
821,,-100.00%,0,-16.22%,0,-100.00%,0,-12.18%,0,-100.00%,0,-25.22%,0,-100.00%,0,-9.58%,0,0,0,103,0,,0,30.44%,0,0,0,39,0,,0,15.33%,0,N/A,0,0:48:24,0,N/A,0,N/A,0
861,,9.14%,,1.56%,,24.41%,,20.17%,,45.70%,G,23.19%,G,17.36%,,-2.57%,R,11,,188,,52.82%,G,60.68%,G,14,G,144,G,51.76%,,70.40%,,1:03:52,R,0:56:21,,470/2576,G,1147/2576,
927,,8.85%,,4.07%,,12.00%,,18.88%,,3.85%,,14.75%,,2.44%,,6.43%,,2,R,86,,40.11%,,44.81%,,28,G,443,G,56.96%,,55.19%,,0:28:42,G,0:29:55,G,954/2576,,863/2576,
945,,1.22%,,2.37%,,9.04%,,18.83%,,31.96%,G,28.91%,G,-5.92%,R,2.40%,R,1,R,32,,37.41%,,41.27%,,0,R,7,R,29.72%,R,29.08%,R,0:49:15,,0:44:46,,1741/2576,,1486/2576,
1051,,10.65%,G,8.86%,,16.59%,,21.57%,,13.03%,,13.75%,,-1.65%,R,9.52%,,16,,264,G,30.20%,,48.46%,G,17,G,270,G,95.30%,G,96.65%,G,0:33:32,G,0:32:09,G,638/2576,,315/2576,G
3826,,6.43%,,10.80%,G,33.19%,G,46.57%,G,30.73%,G,46.68%,G,2.49%,,21.94%,,28,G,140,,38.65%,,42.81%,,15,G,200,G,69.84%,,42.52%,,0:27:22,G,0:23:42,G,245/2576,G,31/2576,G
4299,,3.77%,,14.96%,G,-7.32%,R,47.66%,G,-23.10%,R,33.46%,G,-3.61%,R,29.61%,G,12,,301,G,61.83%,G,67.48%,G,20,G,307,G,104.22%,G,104.22%,G,0:47:09,,0:52:09,,1830/2576,,15/2576,G
6898,,1.05%,,5.32%,,15.62%,,25.08%,,20.15%,,17.69%,G,2.03%,,22.40%,,1,R,21,R,61.59%,G,57.12%,G,2,,32,,30.79%,R,32.90%,,0:58:11,,0:46:14,,1456/2576,,708/2576,
Total,B,-2.74%,G,7.41%,G,3.98%,,25.06%,G,4.42%,,16.12%,G,-9.15%,R,11.73%,,0.29,,0.59,,42.45%,G,46.58%,G,0.4,G,0.72,G,62.28%,,56.00%,,0:46:09,,0:42:57,G,106/394,,6/394,G
513,,-3.67%,R,2.74%,,-0.95%,R,10.24%,,-8.46%,R,1.57%,,-2.20%,R,9.23%,,17,,170,,47.16%,G,47.59%,G,9,G,99,G,99.55%,G,102.43%,G,0:54:24,,0:49:17,,2092/2576,R,1601/2576,
537,,20.86%,G,21.92%,G,38.85%,G,52.37%,G,24.33%,G,32.11%,G,22.83%,,49.35%,G,24,,69,,25.76%,,32.43%,,15,G,37,,37.85%,,22.69%,R,1:22:32,R,1:13:57,R,356/2576,G,277/2576,G
608,,18.50%,G,16.52%,G,27.21%,,27.20%,,19.46%,,17.25%,G,39.29%,G,25.25%,,17,,308,G,42.84%,G,45.38%,,6,,109,G,71.49%,,97.21%,G,0:53:38,,0:55:55,,204/2576,G,145/2576,G
2891,,12.64%,G,21.20%,G,21.58%,,22.55%,,12.27%,,10.06%,,19.80%,,23.15%,,87,G,674,G,34.63%,,38.70%,,7,,69,,84.77%,G,80.28%,G,0:43:24,,0:49:15,,333/2576,G,306/2576,G
3645,,11.95%,G,17.43%,G,11.97%,,21.48%,,3.79%,,7.50%,,10.67%,,18.85%,,0,R,30,R,29.99%,,30.99%,,1,R,7,R,51.27%,,50.51%,,1:08:15,R,1:01:05,,1443/2576,,890/2576,
Total,B,12.70%,G,16.88%,G,19.81%,,25.41%,G,12.17%,,14.06%,G,17.03%,,24.37%,G,0.94,G,0.92,G,35.24%,,38.58%,,0.25,,0.24,,68.51%,G,69.35%,G,0:57:54,,0:57:44,,45/394,G,18/394,G
535,,4.90%,,3.65%,,1.73%,,20.68%,,-12.98%,R,-1.19%,,2.76%,,30.75%,G,7,,113,,35.94%,,49.12%,G,3,,50,,85.57%,G,68.22%,,0:50:46,,0:50:13,,1797/2576,,982/2576,
536,,3.97%,,-0.57%,R,9.63%,,-5.88%,R,-3.09%,,-23.05%,R,16.47%,,2.78%,R,5,,76,,36.11%,,38.15%,,0,R,15,R,39.43%,,43.84%,,1:15:25,R,1:10:21,R,1798/2576,,2514/2576,R
601,,16.43%,G,6.65%,,12.74%,,16.67%,,2.50%,,-1.20%,,37.56%,G,23.52%,,2,R,30,R,51.32%,G,56.63%,G,1,R,8,R,89.14%,G,80.28%,G,0:45:44,,0:46:32,,723/2576,,1090/2576,
1249,,9.12%,,5.84%,,21.16%,,16.43%,,0.33%,,-9.48%,R,15.53%,,19.34%,,11,,53,,40.66%,,40.05%,,5,,32,,56.72%,,64.30%,,0:58:25,,1:13:05,R,840/2576,,1500/2576,
7281,,18.08%,G,16.16%,G,17.44%,,48.61%,G,9.25%,,37.99%,G,6.44%,,34.68%,G,21,,259,G,46.98%,G,46.52%,G,13,G,131,G,93.49%,G,62.32%,,0:32:37,G,0:35:51,G,362/2576,G,Oct-76,G
Total,B,9.32%,G,5.01%,,10.53%,,14.99%,,-2.70%,R,-3.85%,R,14.55%,,18.34%,,0.3,,0.39,,40.62%,G,45.21%,G,0.14,,0.17,,67.18%,,61.37%,,0:53:41,,0:54:22,,216/394,,235/394,
290,,-1.55%,,8.09%,,38.21%,G,19.21%,,25.90%,G,18.19%,G,17.48%,,6.78%,,8,,44,,35.29%,,40.85%,,12,G,46,,59.17%,,42.46%,,0:43:05,,0:47:24,,683/2576,,910/2576,
757,,-7.27%,R,8.08%,,9.26%,,17.98%,,0.89%,,7.41%,,-8.97%,R,25.48%,,22,,42,,43.43%,G,46.05%,,19,G,52,,78.03%,,47.30%,,0:40:52,,0:52:34,,1744/2576,,856/2576,
901,,0.62%,,1.81%,,11.81%,,3.08%,R,-3.50%,,-4.29%,R,13.68%,,0.26%,R,20,,87,,46.99%,G,49.29%,G,10,G,18,,52.68%,,50.20%,,1:05:32,R,1:02:10,,1553/2576,,2313/2576,R
1313,,9.40%,G,2.92%,,4.97%,,-3.36%,R,-12.80%,R,-10.61%,R,49.49%,G,18.72%,,15,,58,,22.97%,R,21.22%,R,13,G,61,,40.00%,,29.18%,R,1:16:37,R,1:22:35,R,1558/2576,,2362/2576,R
3112,,-1.76%,,6.85%,,18.49%,,19.43%,,3.14%,,5.36%,,1.84%,,27.70%,G,40,G,148,,25.34%,,31.90%,,9,G,24,,55.66%,,47.23%,,0:41:46,,0:49:06,,1382/2576,,935/2576,
3279,,3.66%,,12.00%,G,20.43%,,35.98%,G,1.77%,,19.16%,G,32.24%,,24.18%,,11,,326,G,34.83%,,37.45%,,3,,91,,48.01%,,41.82%,,0:53:47,,0:51:27,,1024/2576,,181/2576,G
4103,,9.11%,,11.04%,G,17.68%,,16.17%,,2.75%,,2.04%,,26.27%,,21.70%,,24,,57,,27.02%,,31.69%,,2,,11,R,40.68%,,49.46%,,0:48:00,,1:05:57,R,897/2576,,1243/2576,
5144,,-0.27%,,7.48%,,13.27%,,4.74%,R,13.98%,,-5.25%,R,7.20%,,10.35%,,10,,92,,28.98%,,42.37%,,12,G,99,G,77.03%,,83.22%,G,0:52:15,,0:56:14,,1409/2576,,1668/2576,
5245,,11.77%,G,10.09%,G,60.87%,G,41.90%,G,46.22%,G,22.55%,G,13.66%,,27.14%,G,61,G,803,G,27.89%,,23.75%,R,26,G,84,,49.46%,,40.84%,,1:10:58,R,1:21:22,R,261/2576,G,351/2576,G
Total,B,2.88%,,7.30%,,19.84%,,15.68%,,6.04%,,4.54%,,17.70%,,17.37%,,0.76,,0.67,,32.65%,,34.76%,,0.38,G,0.2,,53.26%,,45.48%,,0:57:32,,1:02:56,R,139/394,,186/394,
440,,-0.55%,,9.28%,G,5.85%,,17.67%,,4.77%,,4.26%,,-8.44%,R,21.44%,,19,,196,,56.98%,G,64.78%,G,2,,24,,112.29%,G,59.05%,,0:54:59,,0:49:42,,1771/2576,,756/2576,
442,,2.16%,,5.12%,,11.88%,,11.12%,,5.58%,,-3.93%,,-1.33%,R,18.43%,,26,G,201,,40.32%,,43.24%,,2,,12,R,78.76%,,57.89%,,0:46:43,,0:49:20,,1385/2576,,1580/2576,
458,,2.41%,,13.95%,G,8.11%,,17.77%,,-0.57%,,7.69%,,9.26%,,16.99%,,23,,123,,36.74%,,44.80%,,18,G,60,,46.09%,,32.33%,R,0:54:45,,0:53:31,,1585/2576,,755/2576,
464,,-0.69%,,8.38%,,16.81%,,14.11%,,6.35%,,6.60%,,-2.20%,R,10.04%,,96,G,309,G,40.20%,,44.66%,,53,G,257,G,49.39%,,39.19%,,0:51:41,,1:00:21,,1331/2576,,1112/2576,
470,,-1.20%,,4.37%,,21.18%,,23.97%,,7.59%,,7.71%,,19.43%,,27.56%,G,40,G,135,,43.25%,G,54.15%,G,3,,91,,84.52%,G,64.96%,,0:45:05,,0:47:05,,907/2576,,633/2576,
791,,0.77%,,8.11%,,12.05%,,12.79%,,3.26%,,2.29%,,23.94%,,18.31%,,10,,131,,35.45%,,40.30%,,3,,30,,40.00%,,42.33%,,0:28:55,G,0:32:56,G,1248/2576,,1057/2576,
1494,,0.92%,,3.25%,,1.19%,,1.43%,R,-9.94%,R,-13.93%,R,10.61%,,20.38%,,50,G,188,,29.91%,,39.28%,,6,,138,G,82.19%,G,80.59%,G,1:41:48,R,1:27:59,R,1996/2576,,2030/2576,
5460,,5.95%,,11.46%,G,30.76%,G,35.82%,G,37.47%,G,21.07%,G,14.35%,,25.50%,,5,,298,G,35.36%,,41.12%,,4,,64,,73.00%,,64.08%,,1:18:36,R,1:11:35,R,702/2576,,212/2576,G
Total,B,0.91%,,7.82%,G,12.90%,,15.71%,,5.11%,,3.08%,,7.50%,,19.23%,,1.08,G,0.72,,39.64%,,46.73%,G,0.37,G,0.31,,69.26%,G,54.18%,,0:55:27,,0:55:24,,252/394,,123/394,
395,,20.94%,G,26.20%,G,18.28%,,11.23%,,22.73%,,-2.45%,,14.04%,,16.39%,,38,G,179,,32.83%,,40.10%,,26,G,527,G,24.19%,R,19.77%,R,1:02:07,,1:11:02,R,628/2576,,1257/2576,
397,,12.16%,G,1.25%,,41.20%,G,10.92%,,54.53%,G,4.81%,,18.14%,,19.06%,,76,G,253,G,25.80%,,27.67%,R,5,,66,,5.97%,R,6.23%,R,0:58:19,,0:54:34,,350/2576,G,1867/2576,
429,,7.53%,,6.57%,,5.21%,,24.66%,,10.28%,,11.04%,,14.20%,,21.19%,,31,G,541,G,45.43%,G,46.25%,G,53,G,535,G,37.56%,,36.91%,,0:40:32,,0:37:15,G,1041/2576,,394/2576,G
452,,6.52%,,6.74%,,6.93%,,11.10%,,-8.25%,R,-3.70%,,24.95%,,11.70%,,8,,61,,22.71%,R,38.39%,,37,G,346,G,42.51%,,42.01%,,1:09:34,R,1:15:32,R,1644/2576,,1710/2576,
1958,,8.10%,,8.85%,,8.84%,,16.84%,,-8.46%,R,1.28%,,11.76%,,22.28%,,4,,24,R,51.20%,G,57.33%,G,10,G,74,,35.36%,,39.71%,,0:44:49,,0:47:41,,1299/2576,,930/2576,
3320,,6.89%,,10.47%,G,23.67%,,19.97%,,5.66%,,1.63%,,18.44%,,12.70%,,303,G,1405,G,31.43%,,34.60%,,26,G,316,G,62.71%,,34.45%,,0:51:54,,0:53:57,,636/2576,,799/2576,
3567,,13.59%,G,19.97%,G,17.64%,,15.88%,,-3.86%,,3.71%,,50.45%,G,25.91%,G,46,G,191,,39.58%,,34.03%,,25,G,149,G,22.36%,R,24.12%,R,0:59:33,,1:25:10,R,719/2576,,959/2576,
3886,,3.16%,,-0.01%,R,5.76%,,4.51%,R,-10.80%,R,-3.13%,,29.23%,,4.12%,,1,R,152,,35.52%,,37.67%,,8,,66,,44.84%,,28.70%,R,1:11:46,R,1:07:52,R,1836/2576,,2329/2576,R
4508,,11.69%,G,18.66%,G,7.24%,,6.08%,R,-0.21%,,3.75%,,-4.65%,R,2.61%,R,16,,340,G,48.34%,G,48.81%,G,13,G,215,G,66.74%,,59.82%,,0:52:28,,0:49:53,,1263/2576,,1219/2576,
5165,,0.04%,,4.56%,,-9.52%,R,-1.79%,R,-10.36%,R,-5.24%,R,4.10%,,3.80%,R,1,R,130,,35.66%,,35.15%,,6,,138,G,38.53%,,36.05%,,1:03:10,,1:07:48,R,2359/2576,R,2240/2576,R
5809,,4.77%,,10.51%,G,6.79%,,12.25%,,-7.43%,R,-3.32%,,-14.19%,R,18.19%,,24,,107,,35.34%,,33.72%,,29,G,232,G,29.70%,R,14.31%,R,1:05:16,R,1:09:02,R,1849/2576,,1406/2576,
Total,B,8.56%,G,10.48%,G,10.25%,,11.52%,R,1.94%,R,0.73%,,13.86%,,13.66%,,1.61,G,1.13,G,36.75%,,40.46%,,0.7,G,0.89,G,39.04%,R,32.61%,R,0:58:14,,1:01:23,R,210/394,,231/394,
381,,1.13%,,7.58%,,15.38%,,27.09%,,5.65%,,5.64%,,15.32%,,29.88%,G,7,,93,,38.00%,,50.49%,G,2,,29,,75.76%,,68.95%,,0:41:21,,0:45:52,,1176/2576,,481/2576,G
407,,11.56%,G,6.15%,,25.31%,,20.31%,,0.23%,,-5.59%,R,43.49%,G,26.93%,G,37,G,622,G,37.29%,,43.45%,,11,G,356,G,58.94%,,74.24%,,0:52:22,,0:58:44,,434/2576,G,809/2576,
476,,3.20%,,2.78%,,-10.45%,R,2.08%,R,-7.75%,R,-7.17%,R,-9.73%,R,4.63%,,26,G,115,,48.52%,G,54.74%,G,0,R,15,R,70.62%,,66.44%,,0:34:26,G,0:37:33,,1939/2576,,2021/2576,
781,,3.83%,,1.34%,,5.26%,,7.59%,,-6.67%,R,-6.47%,R,-7.13%,R,5.17%,,5,,57,,44.52%,G,44.39%,,2,,22,,100.00%,G,96.82%,G,0:56:53,,1:08:38,R,1804/2576,,2212/2576,R
813,,4.74%,,3.79%,,15.01%,,23.53%,,-7.69%,R,-3.35%,,-1.04%,R,16.29%,,52,G,528,G,45.45%,G,47.82%,G,1,R,34,,77.27%,,70.11%,,0:34:52,G,0:32:27,G,1122/2576,,774/2576,
1232,,8.38%,,5.85%,,20.44%,,32.93%,G,-1.62%,,10.76%,,11.03%,,17.83%,,105,G,1087,G,51.22%,G,56.81%,G,63,G,403,G,106.10%,G,96.08%,G,0:24:19,G,0:24:30,G,363/2576,G,142/2576,G
1303,,10.94%,G,5.05%,,10.40%,,13.66%,,4.43%,,-3.26%,,29.98%,,16.59%,,7,,194,,44.64%,G,49.83%,G,5,,269,G,80.21%,,91.80%,G,0:51:06,,1:01:45,,869/2576,,1283/2576,
3319,,12.82%,G,7.38%,,26.40%,,34.30%,G,7.77%,,6.03%,,11.36%,,15.28%,,203,G,2015,G,44.90%,G,53.04%,G,145,G,1374,G,103.13%,G,84.04%,G,0:36:56,,0:47:51,,182/2576,G,272/2576,G
6286,,-2.86%,,2.99%,,-14.22%,R,9.83%,,-17.14%,R,-11.29%,R,1.77%,,21.26%,,34,G,240,G,28.42%,,44.65%,,0,R,38,,52.71%,,62.39%,,1:11:58,R,1:06:24,R,2476/2576,R,1832/2576,
Total,B,6.44%,,4.80%,,11.59%,,19.62%,,-1.54%,R,-1.51%,R,11.67%,,16.93%,,1.71,G,2.02,G,42.44%,G,49.40%,G,0.82,G,1.03,G,81.00%,G,79.70%,G,0:46:15,,0:51:01,,138/394,,102/394,
999,,0.65%,,3.34%,,17.50%,,14.17%,,1.68%,,2.90%,,4.49%,,14.75%,,52,G,296,G,31.25%,,34.83%,,7,,97,G,42.97%,,38.73%,,1:01:03,,0:58:25,,1472/2576,,1568/2576,
1235,,5.07%,,7.06%,,14.31%,,10.41%,,1.94%,,-0.55%,,-18.82%,R,22.35%,,56,G,139,,32.85%,,37.44%,,7,,22,,87.92%,G,31.84%,R,0:35:30,G,0:35:15,G,1092/2576,,1326/2576,
2239,,2.31%,,6.93%,,12.44%,,7.58%,,-5.17%,R,-1.67%,,19.37%,,14.45%,,21,,110,,29.24%,,32.55%,,19,G,144,G,42.69%,,42.99%,,1:06:30,R,0:58:42,,1552/2576,,1703/2576,
2599,,7.77%,,6.19%,,30.46%,G,24.63%,,25.35%,G,18.09%,G,30.95%,,18.02%,,3,,145,,37.86%,,37.18%,,1,R,25,,55.36%,,54.58%,,1:11:16,R,1:20:15,R,640/2576,,850/2576,
3058,,15.54%,G,11.96%,G,26.63%,,18.83%,,10.82%,,8.42%,,104.12%,G,39.88%,G,19,,466,G,39.91%,,41.28%,,20,G,360,G,51.59%,,50.06%,,0:55:13,,0:51:16,,252/2576,G,462/2576,G
3106,,-0.11%,,5.25%,,10.50%,,9.87%,,3.00%,,3.93%,,1.14%,,24.41%,,6,,50,,23.31%,R,31.26%,,4,,52,,62.08%,,47.77%,,1:16:57,R,1:03:54,,1964/2576,,1712/2576,
3888,,4.85%,,0.76%,R,5.76%,,-0.37%,R,19.31%,,-4.13%,R,-0.38%,,2.80%,R,29,G,162,,30.43%,,44.26%,,14,G,64,,35.16%,,19.19%,R,0:57:44,,0:55:13,,1530/2576,,2312/2576,R
4102,,7.95%,,12.01%,G,35.08%,G,25.18%,,-0.38%,,12.57%,,76.63%,G,23.32%,,23,,125,,45.85%,G,54.22%,G,5,,21,,40.31%,,45.08%,,0:37:15,,0:36:51,G,270/2576,G,297/2576,G
5145,,-0.93%,,-1.45%,R,-6.51%,R,0.58%,R,-7.17%,R,-2.57%,,-13.50%,R,1.75%,R,9,,262,G,27.08%,,33.07%,,0,R,76,,19.76%,R,34.18%,,1:16:50,R,1:02:37,,2501/2576,R,2405/2576,R
Total,B,4.41%,,5.37%,,14.29%,,10.75%,R,4.93%,,3.11%,,17.57%,,16.17%,,0.78,,0.71,,33.08%,,38.06%,,0.28,,0.35,G,45.67%,,40.26%,R,1:02:10,R,0:57:12,,201/394,,269/394,
443,,9.99%,G,9.12%,G,45.10%,G,33.23%,G,20.28%,,16.81%,G,31.00%,,17.04%,,6,,54,,50.00%,G,50.24%,G,8,,30,,100.00%,G,46.74%,,0:45:52,,0:45:21,,106/2576,G,370/2576,G
447,,6.25%,,12.72%,G,4.15%,,12.45%,,8.04%,,1.52%,,-13.72%,R,12.67%,,59,G,446,G,58.60%,G,59.02%,G,50,G,426,G,62.04%,,44.30%,,0:56:58,,0:59:17,,1436/2576,,983/2576,
461,,17.60%,G,21.22%,G,24.53%,,30.30%,G,-1.61%,,3.23%,,28.54%,,32.72%,G,109,G,507,G,24.71%,R,23.95%,R,10,G,115,G,47.21%,,39.25%,,0:49:21,,1:04:57,R,526/2576,,454/2576,G
554,,15.50%,G,23.41%,G,0.65%,R,6.91%,R,-12.14%,R,-5.80%,R,23.80%,,31.33%,G,10,,126,,24.78%,R,24.85%,R,3,,69,,4.33%,R,3.47%,R,1:05:34,R,1:12:16,R,1736/2576,,1563/2576,
782,,-0.82%,,0.18%,R,-7.33%,R,11.10%,,16.87%,,1.92%,,2.30%,,8.43%,,9,,128,,34.24%,,39.57%,,3,,55,,40.84%,,30.43%,R,1:05:58,R,1:05:52,R,2176/2576,R,2083/2576,R
3518,,13.32%,G,16.52%,G,23.08%,,22.92%,,5.82%,,3.41%,,30.64%,,21.65%,,45,G,446,G,26.86%,,31.04%,,17,G,186,G,37.70%,,35.82%,,1:05:08,R,1:14:06,R,638/2576,,659/2576,
