Store,,OCT,73,YTD,74,OCT,75,YTD,76,OCT,77,YTD,78,OCT,79,YTD,80,OCT,81,YTD,82,OCT,83,YTD,84,OCT,85,YTD,86,OCT,87,YTD,88,OCT,89,YTD,90,OCT,91,YTD,92
2811,,8.29%,,7.80%,,11.57%,,19.93%,,-2.45%,,-0.69%,,30.17%,,32.16%,G,0,R,17,R,19.65%,R,26.41%,R,0,R,7,R,36.42%,,38.29%,,0:41:39,,0:39:08,,1389/2576,,1045/2576,
3627,,12.91%,G,5.74%,,7.77%,,11.52%,,-0.67%,,-1.02%,,29.10%,,17.55%,,0,R,78,,25.90%,,30.61%,,2,,76,,21.70%,R,29.33%,R,0:29:29,G,0:28:34,G,1204/2576,,1400/2576,
5482,,-0.85%,,2.00%,,3.43%,,1.23%,R,22.72%,,-3.92%,,-1.67%,R,4.15%,,13,,109,,23.23%,R,29.38%,,8,,35,,35.98%,,30.14%,R,0:36:27,G,0:44:22,,1760/2576,,2281/2576,R
Total,B,6.70%,G,4.14%,,12.28%,,12.13%,R,8.59%,,-0.58%,R,19.62%,,15.82%,,0.16,R,0.29,,25.03%,R,28.08%,R,0.1,,0.21,,51.43%,,52.24%,,0:35:07,G,0:35:46,G,164/394,,283/394,
594,,-1.95%,,0.27%,R,12.08%,,-2.00%,R,8.76%,,-20.37%,R,48.91%,G,17.12%,,3,,108,,33.94%,,36.40%,,4,,32,,42.75%,,37.03%,,0:44:50,,0:40:34,,1406/2576,,2242/2576,R
722,,6.31%,,8.45%,,18.24%,,41.46%,G,26.29%,G,41.94%,G,8.11%,,15.06%,,43,G,450,G,45.31%,G,36.24%,,27,G,105,G,55.41%,,59.35%,,1:16:43,R,1:03:46,,814/2576,,308/2576,G
727,,7.53%,,10.05%,G,34.54%,G,43.69%,G,32.18%,G,29.04%,G,46.83%,G,30.10%,G,8,,180,,20.00%,R,32.81%,,3,,51,,34.59%,,51.83%,,0:31:43,G,0:34:13,G,299/2576,G,90/2576,G
787,,-8.22%,R,-1.12%,R,0.89%,R,4.74%,R,10.92%,,2.40%,,-19.47%,R,-2.43%,R,8,,47,,38.00%,,46.31%,G,1,R,4,R,39.92%,,37.89%,,0:42:32,,0:44:02,,2211/2576,R,2305/2576,R
855,,-7.98%,R,-7.21%,R,-6.00%,R,-1.82%,R,2.89%,,-0.13%,,-10.98%,R,-7.61%,R,15,,62,,37.23%,,33.16%,,1,R,12,R,30.09%,R,36.61%,,0:41:59,,0:57:18,,2360/2576,R,2522/2576,R
856,,-4.46%,R,2.10%,,7.24%,,13.31%,,6.68%,,7.24%,,1.83%,,3.19%,R,10,,152,,34.83%,,40.78%,,32,G,249,G,39.64%,,50.30%,,0:47:33,,0:51:01,,1874/2576,,1653/2576,
1488,,12.74%,G,5.83%,,48.89%,G,32.46%,G,69.23%,G,24.94%,G,34.45%,G,26.65%,G,23,,118,,27.86%,,38.42%,,1,R,19,,50.25%,,38.75%,,0:50:04,,0:46:59,,194/2576,G,514/2576,G
2732,,2.63%,,0.18%,R,14.89%,,11.86%,,17.76%,,8.35%,,8.97%,,11.50%,,12,,145,,36.88%,,38.52%,,4,,20,,55.40%,,47.68%,,0:48:43,,0:50:03,,1157/2576,,1840/2576,
4409,,-4.39%,R,0.55%,R,-5.54%,R,1.71%,R,-1.68%,,-9.16%,R,-5.95%,R,3.04%,R,3,,119,,28.48%,,28.89%,R,0,R,80,,77.53%,,71.57%,,1:15:16,R,1:23:55,R,2475/2576,R,2400/2576,R
Total,B,-0.10%,,1.94%,R,11.33%,,13.96%,,16.23%,,6.81%,,6.06%,R,7.81%,,0.45,,0.56,,35.56%,,37.70%,,0.26,,0.23,,47.15%,,47.66%,,0:49:16,,0:50:48,,270/394,,314/394,
1578,,-5.32%,R,4.86%,,-8.06%,R,22.21%,,-3.60%,,18.56%,G,16.95%,,32.48%,G,3,,189,,26.12%,,32.14%,,1,R,46,,17.17%,R,13.05%,R,0:54:16,,0:50:11,,2428/2576,R,814/2576,
3205,,-1.02%,,10.66%,G,6.75%,,45.21%,G,7.18%,,46.96%,G,52.20%,G,37.19%,G,0,R,6,R,29.55%,,40.55%,,1,R,20,,26.03%,R,25.85%,R,0:51:23,,0:50:35,,1840/2576,,295/2576,G
5390,,-2.92%,R,3.93%,,-3.75%,R,2.69%,R,-9.75%,R,-11.96%,R,15.85%,,13.97%,,15,,387,G,27.04%,,33.57%,,1,R,40,,46.70%,,35.49%,,1:06:37,R,1:02:26,,2364/2576,R,2143/2576,R
Total,B,-3.07%,R,6.39%,,-2.60%,R,18.69%,,-3.52%,R,8.95%,,24.83%,,25.87%,G,0.19,R,0.71,,27.46%,,35.26%,,0.03,R,0.13,,30.91%,R,25.65%,R,0:57:55,,0:54:48,,383/394,R,121/394,
575,,3.75%,,5.48%,,7.65%,,11.93%,,20.89%,,3.52%,,-22.17%,R,-1.68%,R,10,,82,,33.33%,,43.53%,,6,,53,,40.45%,,32.45%,R,0:45:05,,0:50:34,,1521/2576,,1716/2576,
878,,2.54%,,7.26%,,-5.05%,R,-6.11%,R,-25.93%,R,-22.11%,R,80.09%,G,27.62%,G,6,,52,,15.63%,R,24.66%,R,4,,33,,5.77%,R,3.60%,R,0:43:42,,0:43:30,,1976/2576,,1968/2576,
1314,,7.14%,,7.93%,,9.02%,,14.22%,,1.75%,,-4.64%,R,16.72%,,19.86%,,4,,128,,17.19%,R,29.27%,,4,,114,G,37.25%,,13.45%,R,0:45:11,,0:37:37,,1431/2576,,1177/2576,
1373,,26.30%,G,25.54%,G,14.92%,,32.11%,G,13.93%,,19.40%,G,40.57%,G,33.95%,G,32,G,306,G,37.13%,,47.30%,G,5,,58,,42.12%,,50.08%,,0:47:00,,0:45:00,,497/2576,G,71/2576,G
2154,,25.12%,G,17.31%,G,64.81%,G,55.18%,G,32.69%,G,50.89%,G,119.82%,G,65.89%,G,0,R,16,R,24.83%,R,21.90%,R,1,R,19,,51.04%,,33.29%,,0:59:44,,0:52:04,,250/2576,G,250/2576,G
2941,,27.42%,G,8.36%,,83.42%,G,32.62%,G,65.09%,G,14.17%,,142.48%,G,44.82%,G,9,,68,,29.65%,,27.92%,R,3,,21,,84.64%,G,43.31%,,0:32:20,G,0:35:47,G,Nov-76,G,363/2576,G
3462,,18.97%,G,10.11%,G,43.61%,G,17.99%,,71.30%,G,12.51%,,85.92%,G,37.29%,G,4,,29,R,18.94%,R,23.04%,R,1,R,11,R,18.64%,R,17.11%,R,0:40:46,,0:42:33,,195/2576,G,895/2576,
4436,,24.32%,G,12.12%,G,45.29%,G,27.42%,,19.64%,,16.19%,,86.06%,G,25.44%,,0,R,0,R,24.43%,R,26.01%,R,2,,10,R,27.69%,R,25.21%,R,0:32:09,G,0:46:38,,176/2576,G,628/2576,
7185,,0.81%,,0.41%,R,-6.95%,R,5.48%,R,-14.86%,R,-5.51%,R,5.60%,,5.66%,,0,R,22,R,32.05%,,35.11%,,0,R,13,R,55.66%,,74.00%,,0:51:42,,0:57:52,,2334/2576,R,2341/2576,R
Total,B,15.16%,G,11.52%,G,23.80%,G,21.70%,,17.35%,,10.51%,,50.85%,G,29.70%,G,0.23,,0.29,,25.97%,R,31.26%,,0.09,,0.14,,39.87%,R,33.56%,R,0:46:44,,0:46:16,,39/394,G,59/394,G
459,,-0.96%,,2.92%,,-52.41%,R,-15.77%,R,-75.36%,R,-30.01%,R,-22.66%,R,0.17%,R,0,R,2,R,27.61%,,31.73%,,1,R,12,R,45.92%,,36.36%,,1:29:10,R,1:09:41,R,2553/2576,R,2528/2576,R
520,,13.91%,G,8.72%,,21.35%,,15.79%,,8.75%,,6.01%,,38.32%,G,17.25%,,7,,80,,31.76%,,30.08%,,5,,36,,62.84%,,59.82%,,0:47:33,,1:03:39,,502/2576,G,1204/2576,
548,,11.33%,G,11.14%,G,45.64%,G,35.00%,G,31.02%,G,16.25%,,53.16%,G,30.04%,G,25,,200,,22.34%,R,26.52%,R,2,,67,,54.23%,,44.16%,,1:10:04,R,1:07:06,R,324/2576,G,375/2576,G
780,,3.14%,,12.30%,G,23.73%,,24.41%,,23.08%,,9.79%,,-4.10%,R,16.97%,,9,,138,,39.80%,,56.00%,G,3,,98,G,97.04%,G,72.85%,,0:37:00,,0:35:51,G,727/2576,,218/2576,G
1720,,4.58%,,10.06%,G,30.92%,G,26.01%,,31.41%,G,12.44%,,20.71%,,29.28%,G,21,,242,G,46.81%,G,46.93%,G,2,,42,,66.18%,,65.63%,,0:45:18,,0:54:13,,397/2576,G,350/2576,G
3388,,2.16%,,5.83%,,45.03%,G,19.36%,,75.29%,G,-0.86%,,21.90%,,23.38%,,16,,193,,37.96%,,41.84%,,1,R,45,,64.26%,,48.73%,,0:57:06,,0:54:45,,548/2576,,1043/2576,
3389,,9.52%,G,5.35%,,18.62%,,11.48%,,-0.34%,,-3.29%,,0.55%,,6.82%,,9,,122,,50.27%,G,40.87%,,0,R,10,R,34.51%,,47.17%,,0:36:28,G,0:39:04,,976/2576,,1667/2576,
3786,,2.74%,,13.59%,G,14.84%,,34.21%,G,18.47%,,8.53%,,14.00%,,38.37%,G,2,R,12,R,30.30%,,40.35%,,1,R,6,R,79.80%,,62.54%,,1:11:24,R,1:12:31,R,1402/2576,,516/2576,G
5252,,-1.30%,,1.82%,,15.21%,,18.92%,,17.72%,,9.89%,,27.24%,,18.44%,,78,G,403,G,44.87%,G,48.43%,G,20,G,200,G,98.53%,G,98.52%,G,0:41:47,,0:42:56,,793/2576,,827/2576,
Total,B,4.86%,,7.61%,G,15.17%,,17.98%,,9.02%,,3.84%,,15.19%,,19.60%,,0.6,,0.57,,36.06%,,39.44%,,0.13,,0.21,,66.16%,,58.21%,,0:51:14,,0:54:27,,143/394,,103/394,
518,,6.02%,,10.55%,G,21.21%,,26.96%,,28.69%,G,17.05%,G,9.78%,,20.27%,,11,,163,,37.35%,,44.34%,,4,,48,,104.98%,G,100.12%,G,0:39:45,,0:43:32,,533/2576,,199/2576,G
615,,13.50%,G,10.83%,G,11.67%,,24.30%,,3.47%,,11.41%,,38.73%,G,31.79%,G,14,,173,,34.35%,,43.42%,,5,,129,G,59.73%,,58.91%,,0:47:07,,0:42:33,,797/2576,,244/2576,G
937,,35.27%,G,3.79%,,479.84%,G,11.29%,,,,-6.37%,R,226.45%,G,49.95%,G,3,,37,,23.04%,R,32.39%,,1,R,10,R,0.51%,R,7.31%,R,0:53:42,,0:55:36,,339/2576,G,1919/2576,
1586,,19.00%,G,22.31%,G,18.62%,,47.88%,G,15.61%,,30.86%,G,44.24%,G,55.32%,G,3,,350,G,20.63%,R,28.40%,R,2,,108,G,50.19%,,55.63%,,0:43:59,,0:48:12,,592/2576,,45/2576,G
3403,,9.88%,G,15.79%,G,36.18%,G,54.87%,G,32.22%,G,37.55%,G,43.86%,G,59.84%,G,130,G,730,G,34.63%,,40.19%,,15,G,250,G,71.59%,,78.19%,,0:27:25,G,0:37:09,G,44/2576,G,Jun-76,G
5275,,4.89%,,11.43%,G,33.15%,G,48.04%,G,29.01%,G,26.29%,G,31.36%,,40.83%,G,21,,145,,30.92%,,35.31%,,5,,39,,33.07%,,32.67%,,0:39:27,,0:39:09,,383/2576,G,99/2576,G
Total,B,12.46%,G,12.62%,G,30.71%,G,36.33%,G,27.88%,G,21.37%,G,40.56%,G,39.92%,G,0.98,G,0.98,G,31.29%,,38.65%,,0.17,,0.36,G,60.31%,,64.30%,,0:40:34,G,0:43:08,,5/394,G,2/394,G
1024,,1.29%,,1.48%,,15.85%,,12.65%,,6.67%,,-4.76%,R,18.04%,,8.62%,,9,,49,,11.38%,R,15.25%,R,0,R,0,R,34.13%,,43.76%,,0:48:29,,0:44:10,,1517/2576,,2113/2576,R
1143,,-2.42%,,-2.73%,R,2.38%,,-3.91%,R,-0.32%,,-9.50%,R,9.45%,,-4.39%,R,2,R,12,R,23.64%,R,23.08%,R,1,R,19,,8.64%,R,7.70%,R,0:46:33,,0:56:24,,2245/2576,R,2562/2576,R
1227,,0.44%,,1.82%,,-3.38%,R,7.07%,R,-7.14%,R,-8.76%,R,10.88%,,18.50%,,3,,38,,24.41%,R,27.09%,R,0,R,31,,3.33%,R,2.15%,R,1:24:20,R,1:30:43,R,2429/2576,R,2334/2576,R
3570,,7.04%,,1.13%,,29.77%,G,21.35%,,39.34%,G,20.95%,G,28.11%,,15.73%,,9,,83,,23.38%,R,34.02%,,2,,44,,51.44%,,41.87%,,0:52:32,,0:44:44,,573/2576,,1144/2576,
Total,B,1.71%,,0.67%,R,9.27%,,9.12%,R,10.75%,,0.27%,R,15.16%,,11.53%,,0.19,R,0.17,R,21.36%,R,25.19%,R,0.02,R,0.09,R,20.09%,R,18.83%,R,0:58:13,,1:00:32,,336/394,R,390/394,R
555,,3.61%,,2.06%,,3.73%,,14.43%,,19.82%,,10.55%,,2.81%,,11.81%,,0,R,6,R,22.95%,R,21.71%,R,0,R,4,R,32.26%,,37.21%,,0:43:49,,0:36:07,G,1851/2576,,1758/2576,
758,,-3.87%,R,3.32%,,-14.07%,R,10.64%,,2.63%,,5.23%,,-9.80%,R,12.33%,,2,R,4,R,22.55%,R,37.58%,,3,,25,,58.15%,,77.24%,,0:48:52,,0:51:16,,2427/2576,R,1806/2576,
1076,,-0.87%,,-0.47%,R,-4.68%,R,2.29%,R,-0.26%,,-0.15%,,-8.90%,R,-0.99%,R,13,,156,,64.65%,G,61.28%,G,1,R,38,,40.00%,,21.87%,R,0:40:20,,0:40:57,,2119/2576,R,2210/2576,R
1153,,-3.63%,R,-6.94%,R,2.19%,,-18.82%,R,-0.76%,,-27.17%,R,-5.26%,R,-21.19%,R,4,,131,,36.11%,,30.64%,,2,,8,R,55.56%,,21.82%,R,0:34:59,G,0:36:29,G,2087/2576,R,2515/2576,R
1367,,0.78%,,2.00%,,10.93%,,10.65%,,5.55%,,1.25%,,8.61%,,18.95%,,1,R,13,R,49.42%,G,45.14%,,0,R,16,,43.12%,,39.26%,,1:01:54,,1:00:24,,1781/2576,,1995/2576,
2733,,3.74%,,8.94%,G,4.20%,,21.78%,,2.48%,,17.25%,G,-3.96%,R,13.24%,,1,R,26,R,28.46%,,34.39%,,0,R,11,R,80.52%,,70.62%,,0:55:07,,0:50:02,,1974/2576,,795/2576,
