Store,BU,Region,Market,City,State
5087,East,4,37,North Myrtle Beach,SC
5278,East,16,154,Chicopee,MA
2629,East,16,156,Whitinsville,MA
5777,East,17,162,Brooklyn,CT
2299,East,17,163,Cromwell,CT
5295,East,17,172,Farmingdale,NY
2284,East,17,173,Naugatuck,CT
3469,East,17,175,Linden,NJ
2208,East,17,226,Sayre,PA
2577,East,75,281,Cockeysville,MD
1875,East,75,282,Severn,MD
3802,East,75,284,Middletown,DE
2412,East,75,293,Ellicott City,MD
2850,East,75,293,Hampstead,MD
5254,East,26,297,Wake Forest,NC
2912,North,19,197,Taylor,MI
5844,North,19,206,Livonia,MI
1885,North,20,229,Butler,PA
3223,North,20,229,Beaver Falls,PA
2817,North,19,238,Lansing,IL
1003,North,25,262,Plano,IL
4529,North,25,266,New Lenox,IL
3891,North,25,269,Waukegan,IL
172,North,40,336,Washington,MO
1188,North,40,339,Bridgeton,MO
5313,North,40,339,Lake Saint Louis,MO
5150,North,40,340,Maplewood,MO
3061,North,40,340,Shrewsbury,MO
1071,North,25,341,Wood River,IL
4590,North,40,361,Lees Summit,MO
2748,Southeaast,14,1,Gulf Shores,AL
4333,Southeaast,14,1,Fairhope,AL
4581,Southeaast,14,1,Mobile,AL
2713,Southeaast,14,3,Birmingham,AL
1201,Southeaast,14,3,Gardendale,AL
5197,Southeaast,12,5,Owens Cross Roads,AL
604,Southeaast,14,7,Dothan,AL
722,Southeaast,2,22,Carrollton,GA
631,Southeaast,2,35,Easley,SC
705,Southeaast,9,89,Mount Dora,FL
5299,Southeaast,9,89,Clermont,FL
661,Southeaast,12,137,Athens,AL
5703,Southeaast,12,137,Madison,AL
495,Southeaast,14,138,Columbus,MS
112,Southeaast,14,138,Starkville,MS
1218,Southwest,46,366,Casa Grande,AZ
1240,Southwest,46,367,Sierra Vista,AZ
3771,Southwest,46,371,Phoenix,AZ
5987,Southwest,5,583,Royse City,TX
5123,West,47,391,Colorado Springs,CO
1896,West,47,391,Colorado Springs,CO
3351,West,57,394,Las Vegas,NV
1878,West,56,400,Rexburg,ID
3897,West,56,400,Twin Falls,ID
4438,West,54,403,Saratoga Springs,UT
1545,West,52,412,Grand Forks,ND
2764,West,52,414,Altoona,IA
5748,West,52,414,Grimes,IA
2882,West,52,422,Maple Grove,MN
1861,West,52,422,Oak Park Heights,MN
1633,West,52,424,Sartell,MN
4352,West,54,427,Fargo,ND
3872,West,54,430,Rapid City,SD
1604,West,54,430,Rapid City,SD
1385,East,4,305,Gastonia,NC
2175,North,40,333,Branson West,MO
3118,Southeaast,2,20,Decatur,GA
3103,Southwest,44,409,Goddard,KS
5435,West,56,451,San Jose,CA
431,North,41,253,Paducah,KY
485,Southwest,13,129,Donaldsonville,LA
912,Southwest,13,125,New Orleans,LA
1014,North,40,361,Independence,MO
1129,Southwest,5,82,Austin,TX
1170,North,41,256,Louisville,KY
1207,Southeast,14,15,Callaway,FL
1388,North,21,248,Kendallville,IN
1566,North,21,247,Goshen,IN
1669,North,53,438,Eau Claire,WI
1670,East,22,168,Wyomissing,PA
1744,East,17,192,Webster,NY
1770,North,20,229,Cranberry Township,PA
1852,East,75,291,Woodbridge,VA
1994,East,17,187,Plattsburgh,NY
2088,East,17,195,Batavia,NY
2107,East,17,195,Lockport,NY
2142,East,16,184,Salem,NH
2198,West,52,423,Bloomington,MN
2199,North,20,216,Saint Clairsville,OH
2247,East,26,299,Cary,NC
2316,North,20,214,North Olmsted,OH
2370,East,17,188,Troy,NY
2371,East,17,163,Wallingford,CT
2436,East,75,293,Sykesville,MD
2756,East,75,280,Frederick,MD
2785,East,17,192,Victor,NY
2966,North,20,215,Wadsworth,OH
3035,East,75,283,Washington,DC
3119,Southeast,14,15,Panama City Beach,FL
3219,East,75,288,Williamsburg,VA
3443,East,17,577,Riverdale,NJ
3810,East,22,168,East Greenville,PA
3842,East,17,192,Macedon,NY
3886,Southwest,6,80,Edinburg,TX
4250,East,26,297,Morrisville,NC
5095,East,17,163,Hartford,CT
5402,North,25,267,Chicago,IL
5649,East,22,170,Warrington,PA
5927,North,40,340,Florissant,MO
5968,East,75,283,Washington,DC
5646,NHM,59,495,Chicago,IL
3110,NHM,59,495,Chicago,IL
3166,NHM,59,495,Chicago,IL
5645,NHM,59,495,Chicago,IL
2425,NHM,59,495,Collinsville,IL
3574,NHM,64,504,Allen,TX
5224,NHM,64,528,San Antonio,TX
5490,NHM,64,528,San Antonio,TX
5290,NHM,64,528,San Antonio,TX
5226,NHM,64,528,San Antonio,TX
4056,NHM,64,528,Converse,TX
2835,NHM,64,528,San Antonio,TX
3285,Southwest,5,44,Cedar Hill,TX
4509,Southwest,5,48,Benbrook,TX
5080,Southwest,5,50,Hurst,TX
2918,Southwest,5,51,Allen,TX
2973,Southwest,5,51,Murphy,TX
2463,Southwest,5,53,Frisco,TX
5092,Southwest,5,53,Lewisville,TX
940,Southwest,5,479,Westworth Village,TX
5247,Southwest,5,479,Roanoke,TX
5316,Southwest,5,479,Saginaw,TX
