Store ID,First Assigned Carrier,Fulfillment Type, Status, Trend,Directional Focus,Max_WM_WK_ID,Weeks on DPI,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
5959,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202426,20,89.80%,90.40%,9.9,91.00%,85.30%,85.60%,97.00%
567,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202426,49,72.50%,98.80%,5.6,84.20%,75.00%,79.20%,52.40%
2631,UBER,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202426,19,94.00%,95.30%,9.8,98.50%,98.30%,91.50%,85.70%
3476,UBER,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202426,49,91.30%,97.30%,9.5,91.50%,94.10%,90.40%,89.60%
1791,SPARK,Scheduled Standard Delivery,Active Monitoring,Degrading,Driver Supply Focus,202426,1,87.10%,97.80%,6.6,86.20%,87.50%,86.80%,87.90%
2540,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202426,5,93.70%,99.10%,9.5,96.30%,95.00%,89.00%,95.40%
2281,SPARK,Scheduled Standard Delivery,At Risk,Degrading,Driver Supply Focus,202426,5,84.90%,99.30%,9.3,89.10%,83.40%,82.30%,84.80%
44,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202426,49,91.80%,98.70%,4.1,100.00%,85.20%,90.90%,87.80%
3245,SPARK,Scheduled Standard Delivery,Executive Review,Degrading,Driver Supply Focus,202426,7,75.00%,94.80%,5.2,89.70%,74.10%,72.70%,48.40%
5653,SPARK,Scheduled Standard Delivery,At Risk,Recovering,Driver Supply Focus,202426,7,87.70%,98.30%,9.5,93.80%,92.80%,83.60%,82.80%
1694,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202426,3,86.10%,99.70%,8.4,93.10%,86.90%,84.50%,78.90%
2749,SPARK,Scheduled Standard Delivery,Executive Review,Recovering,Driver Supply Focus,202426,29,80.70%,94.00%,7.3,92.10%,86.90%,75.70%,65.60%
647,SPARK,Scheduled Standard Delivery,Active Monitoring,Recovering,Driver Supply Focus,202426,7,92.40%,99.20%,6.1,97.90%,87.80%,91.30%,92.50%
