Club,Region,Market,AVG slot increase per hour ,Status
6619,1,2,8,Current Unconstrained Club
6616,1,2,8,Current Unconstrained Club
6378,1,2,8,Current Unconstrained Club
4822,1,2,8,Current Unconstrained Club
6614,1,2,8,Current Unconstrained Club
4735,1,2,8,Current Unconstrained Club
6624,1,2,7,Current Unconstrained Club
6615,1,2,7,Current Unconstrained Club
6626,1,2,7,Current Unconstrained Club
6610,1,2,7,Current Unconstrained Club
6240,1,2,7,Current Unconstrained Club
6235,1,2,6,Current Unconstrained Club
6628,1,2,5,Current Unconstrained Club
6609,1,2,5,Current Unconstrained Club
6613,1,2,2,Hold for space
6617,1,2,2,Hold for space
6388,2,20,7,Current Unconstrained Club
6384,2,20,6,New Unconstrained Club
6487,2,20,6,Current Unconstrained Club
4942,2,20,6,New Unconstrained Club
6328,2,20,5,Current Unconstrained Club
6444,2,20,5,New Unconstrained Club
6331,2,20,5,Current Unconstrained Club
8184,2,20,5,Current Unconstrained Club
6464,2,20,5,Current Unconstrained Club
6339,2,20,5,Current Unconstrained Club
4840,2,20,4,Current Unconstrained Club
8297,2,20,3,Current Unconstrained Club
6358,2,20,2,Hold for space
6228,2,20,2,Current Unconstrained Club
6349,2,20,0,Hold for remodel completion
8168,3,21,6,New Unconstrained Club
6489,3,21,6,New Unconstrained Club
6485,3,21,6,Current Unconstrained Club
6304,3,21,6,New Unconstrained Club
8298,3,21,6,Current Unconstrained Club
8215,3,21,6,Current Unconstrained Club
4815,3,21,5,Current Unconstrained Club
8128,3,21,5,Current Unconstrained Club
6424,3,21,4,New Unconstrained Club
8197,3,21,4,New Unconstrained Club
8135,3,21,4,New Unconstrained Club
4926,3,21,3,New Unconstrained Club
6334,3,21,3,New Unconstrained Club
8169,3,21,3,Current Unconstrained Club
6437,3,21,2,Current Unconstrained Club
6325,3,21,2,Hold for space
8174,3,21,2,Hold for space
8123,3,22,7,Current Unconstrained Club
8136,3,22,6,New Unconstrained Club
6450,3,22,6,New Unconstrained Club
8133,3,22,6,New Unconstrained Club
6528,3,22,6,New Unconstrained Club
6517,3,22,5,New Unconstrained Club
8132,3,22,5,New Unconstrained Club
4876,3,22,5,Current Unconstrained Club
8276,3,22,5,Current Unconstrained Club
6380,3,22,5,New Unconstrained Club
8188,3,22,5,New Unconstrained Club
4992,3,22,4,Current Unconstrained Club
4908,3,22,4,New Unconstrained Club
8111,3,22,3,Current Unconstrained Club
4728,3,22,2,Current Unconstrained Club
4851,3,22,2,Hold for space
6512,3,23,6,New Unconstrained Club
8112,3,23,6,New Unconstrained Club
4740,3,23,6,New Unconstrained Club
6249,3,23,6,Current Unconstrained Club
6501,3,23,6,New Unconstrained Club
6260,3,23,5,New Unconstrained Club
8196,3,23,5,New Unconstrained Club
6507,3,23,5,New Unconstrained Club
8294,3,23,4,New Unconstrained Club
8292,3,23,4,Current Unconstrained Club
8257,3,23,3,Current Unconstrained Club
6256,3,23,3,Current Unconstrained Club
4776,3,23,3,Current Unconstrained Club
6329,3,23,2,Current Unconstrained Club
8107,3,23,2,Current Unconstrained Club
4930,3,23,2,Hold for space
8236,8,24,7,New Unconstrained Club
8119,8,24,6,New Unconstrained Club
8213,8,24,6,New Unconstrained Club
6361,8,24,5,Current Unconstrained Club
8102,8,24,5,New Unconstrained Club
4724,8,24,5,New Unconstrained Club
8247,8,24,4,New Unconstrained Club
4836,8,24,4,New Unconstrained Club
6509,8,24,3,New Unconstrained Club
4871,8,24,3,New Unconstrained Club
8106,8,24,3,Current Unconstrained Club
4817,8,24,3,Current Unconstrained Club
4990,8,24,2,Current Unconstrained Club
4989,8,24,1,Current Unconstrained Club
6435,8,24,1,Current Unconstrained Club
6313,2,25,5,Hold for space
6658,2,25,5,New Unconstrained Club
6315,2,25,5,Current Unconstrained Club
6661,2,25,5,New Unconstrained Club
6359,2,25,5,Current Unconstrained Club
6663,2,25,5,Current Unconstrained Club
6417,2,25,5,Current Unconstrained Club
6419,2,25,4,New Unconstrained Club
6562,2,25,4,Current Unconstrained Club
4781,2,25,4,New Unconstrained Club
6429,2,25,4,New Unconstrained Club
8291,2,25,4,Current Unconstrained Club
4982,2,25,3,New Unconstrained Club
4944,2,25,2,Hold for space
6319,2,25,2,Hold for space
6666,2,26,7,New Unconstrained Club
6662,2,26,6,New Unconstrained Club
6664,2,26,6,Current Unconstrained Club
6657,2,26,6,New Unconstrained Club
6659,2,26,5,New Unconstrained Club
6454,2,26,5,Current Unconstrained Club
4778,2,26,5,Current Unconstrained Club
6667,2,26,5,New Unconstrained Club
6660,2,26,4,New Unconstrained Club
4962,2,26,4,New Unconstrained Club
6412,2,26,2,Hold for space
8139,2,26,2,Hold for space
6572,2,27,8,Current Unconstrained Club
8256,2,27,7,New Unconstrained Club
8222,2,27,7,New Unconstrained Club
6308,2,27,6,Current Unconstrained Club
6326,2,27,6,Current Unconstrained Club
6457,2,27,5,New Unconstrained Club
6407,2,27,5,Current Unconstrained Club
8152,2,27,5,New Unconstrained Club
6373,2,27,5,New Unconstrained Club
6518,2,27,5,Current Unconstrained Club
4947,2,27,4,New Unconstrained Club
6375,2,27,4,New Unconstrained Club
6307,2,27,4,New Unconstrained Club
4963,2,27,4,New Unconstrained Club
6242,2,27,4,Current Unconstrained Club
6556,2,27,3,New Unconstrained Club
4780,8,28,7,New Unconstrained Club
4804,8,28,5,Current Unconstrained Club
8287,8,28,5,New Unconstrained Club
8158,8,28,5,Current Unconstrained Club
4789,8,28,5,New Unconstrained Club
8225,8,28,5,New Unconstrained Club
4802,8,28,5,Current Unconstrained Club
6409,8,28,5,Current Unconstrained Club
8211,8,28,5,New Unconstrained Club
6643,8,28,4,New Unconstrained Club
8166,8,28,4,New Unconstrained Club
6644,8,28,3,Current Unconstrained Club
8203,8,28,2,Current Unconstrained Club
4739,8,28,2,Hold for space
6646,8,28,1,Current Unconstrained Club
8194,8,28,1,Current Unconstrained Club
8115,8,29,6,Current Unconstrained Club
8116,8,29,6,New Unconstrained Club
8151,8,29,5,New Unconstrained Club
8252,8,29,5,Current Unconstrained Club
6363,8,29,5,New Unconstrained Club
4820,8,29,5,Current Unconstrained Club
8192,8,29,5,Current Unconstrained Club
6204,8,29,4,New Unconstrained Club
8253,8,29,4,Current Unconstrained Club
6506,8,29,4,New Unconstrained Club
6582,8,29,4,Current Unconstrained Club
8202,8,29,3,New Unconstrained Club
7658,8,29,2,Current Unconstrained Club
8120,8,29,2,Current Unconstrained Club
4879,8,29,2,Current Unconstrained Club
6257,1,3,8,Current Unconstrained Club
4983,1,3,7,Current Unconstrained Club
6261,1,3,7,Current Unconstrained Club
4974,1,3,6,Current Unconstrained Club
6682,1,3,6,Current Unconstrained Club
6684,1,3,6,Current Unconstrained Club
8177,1,3,5,Current Unconstrained Club
6685,1,3,5,Current Unconstrained Club
4718,1,3,5,Current Unconstrained Club
6382,1,3,5,Current Unconstrained Club
4786,1,3,4,Current Unconstrained Club
6686,1,3,3,Current Unconstrained Club
4730,1,3,3,Current Unconstrained Club
6683,1,3,2,Hold for space
8278,8,30,7,Current Unconstrained Club
6414,8,30,6,Current Unconstrained Club
6540,8,30,6,New Unconstrained Club
6348,8,30,6,New Unconstrained Club
6355,8,30,6,Current Unconstrained Club
6452,8,30,6,New Unconstrained Club
8142,8,30,6,Current Unconstrained Club
4797,8,30,5,Current Unconstrained Club
4901,8,30,5,Current Unconstrained Club
8219,8,30,5,New Unconstrained Club
6463,8,30,5,Current Unconstrained Club
4917,8,30,4,New Unconstrained Club
4950,8,30,4,Current Unconstrained Club
6236,8,30,3,Current Unconstrained Club
4801,8,31,8,Current Unconstrained Club
8155,8,31,7,New Unconstrained Club
6403,8,31,7,New Unconstrained Club
4852,8,31,7,New Unconstrained Club
6335,8,31,6,New Unconstrained Club
