Store Number,Affected
9,Yes
30,Yes
75,Yes
122,Yes
131,Yes
146,Yes
188,Yes
196,Yes
197,Yes
198,Yes
199,Yes
202,Yes
204,Yes
213,Yes
216,Yes
217,Yes
220,Yes
222,Yes
224,Yes
228,Yes
233,Yes
237,Yes
240,Yes
251,Yes
252,Yes
254,Yes
257,Yes
259,Yes
260,Yes
262,Yes
265,Yes
266,Yes
271,Yes
284,Yes
286,Yes
294,Yes
302,Yes
307,Yes
309,Yes
311,Yes
317,Yes
333,Yes
334,Yes
343,Yes
353,Yes
365,Yes
371,Yes
398,Yes
399,Yes
401,Yes
402,Yes
415,Yes
417,Yes
421,Yes
422,Yes
426,Yes
427,Yes
428,Yes
431,Yes
435,Yes
436,Yes
438,Yes
454,Yes
467,Yes
471,Yes
481,Yes
485,Yes
488,Yes
489,Yes
491,Yes
492,Yes
498,Yes
500,Yes
501,Yes
502,Yes
506,Yes
512,Yes
513,Yes
528,Yes
531,Yes
532,Yes
533,Yes
535,Yes
536,Yes
538,Yes
540,Yes
541,Yes
542,Yes
543,Yes
547,Yes
549,Yes
550,Yes
551,Yes
553,Yes
555,Yes
556,Yes
559,Yes
561,Yes
566,Yes
572,Yes
579,Yes
581,Yes
584,Yes
588,Yes
590,Yes
593,Yes
603,Yes
605,Yes
606,Yes
609,Yes
610,Yes
611,Yes
612,Yes
613,Yes
616,Yes
623,Yes
626,Yes
628,Yes
632,Yes
633,Yes
635,Yes
636,Yes
639,Yes
646,Yes
647,Yes
655,Yes
666,Yes
686,Yes
694,Yes
697,Yes
701,Yes
705,Yes
708,Yes
721,Yes
728,Yes
748,Yes
749,Yes
750,Yes
751,Yes
753,Yes
754,Yes
755,Yes
759,Yes
761,Yes
767,Yes
769,Yes
775,Yes
778,Yes
784,Yes
786,Yes
789,Yes
792,Yes
793,Yes
796,Yes
797,Yes
798,Yes
800,Yes
802,Yes
803,Yes
804,Yes
806,Yes
807,Yes
811,Yes
812,Yes
814,Yes
816,Yes
819,Yes
821,Yes
822,Yes
824,Yes
826,Yes
827,Yes
828,Yes
829,Yes
830,Yes
833,Yes
835,Yes
836,Yes
839,Yes
841,Yes
844,Yes
850,Yes
851,Yes
852,Yes
854,Yes
858,Yes
861,Yes
862,Yes
864,Yes
868,Yes
869,Yes
870,Yes
873,Yes
874,Yes
875,Yes
880,Yes
884,Yes
886,Yes
887,Yes
889,Yes
891,Yes
892,Yes
896,Yes
899,Yes
902,Yes
903,Yes
906,Yes
907,Yes
909,Yes
910,Yes
911,Yes
912,Yes
916,Yes
920,Yes
922,Yes
923,Yes
925,Yes
927,Yes
928,Yes
929,Yes
933,Yes
935,Yes
936,Yes
940,Yes
941,Yes
945,Yes
952,Yes
954,Yes
957,Yes
959,Yes
960,Yes
961,Yes
962,Yes
963,Yes
964,Yes
966,Yes
969,Yes
970,Yes
972,Yes
973,Yes
976,Yes
977,Yes
985,Yes
987,Yes
989,Yes
995,Yes
1002,Yes
1003,Yes
1004,Yes
1006,Yes
1011,Yes
1015,Yes
1016,Yes
1018,Yes
1022,Yes
1024,Yes
1025,Yes
1026,Yes
1028,Yes
1033,Yes
1037,Yes
1051,Yes
1055,Yes
1061,Yes
1072,Yes
1076,Yes
1077,Yes
1081,Yes
1082,Yes
1083,Yes
1087,Yes
1088,Yes
1090,Yes
1093,Yes
1102,Yes
1106,Yes
1109,Yes
1117,Yes
1118,Yes
1119,Yes
1125,Yes
1128,Yes
1136,Yes
1141,Yes
1142,Yes
1146,Yes
1153,Yes
1155,Yes
1157,Yes
1160,Yes
1162,Yes
1163,Yes
1167,Yes
1168,Yes
