Store,Dates,Reg,0.01,0.05,0.1,0.25,,,,,,,,,,,
54,5/16/2024,23,,,,,,,,,,,,,,,
54,5/16/2024,24,audit,,,,,,,,,,,,,,
54,5/16/2024,25,,,,,,,,,,,,,,,
54,5/16/2024,26,,,,,,,,,,,,,,,
54,5/16/2024,27,,,,,,,,,,,,,,,
54,5/16/2024,28,audit,,,,,,,,,,,,,,
54,5/16/2024,29,,,,,,,,,,,,,,,
54,5/16/2024,30,audit,,,,,,,,,,,,,,
54,5/16/2024,31,,,,,,,,,,,,,,,
54,5/16/2024,32,,,,,,,,,,,,,,,
54,5/16/2024,40,,,,,,,,,,,,,,,
54,5/16/2024,41,,,,,,,,,,,,,,,
54,5/16/2024,42,,,,,,,,,,,,,,,
54,5/16/2024,58,,,,,,,,,,,,,,,
54,5/16/2024,59,,,,,,,,,,,,,,,
54,5/16/2024,60,,,,,,,,,,,,,,,
54,5/16/2024,63,,,,,,,,,,,,,,,
54,5/16/2024,67,,,,,,,,,,,,,,,
54,5/16/2024,70,audit,,,,,,,,,,,,,,
54,5/16/2024,73,,,,,,,,,,,,,,,
54,5/16/2024,76,,,,,,,,,,,,,,,
54,5/16/2024,77,,,,,,,,,,,,,,,
54,5/16/2024,79,,,,,,,,,,,,,,,
54,5/16/2024,80,audit,,,,,,,,,,,,,,
54,5/16/2024,90,audit,,,,,,,,,,,,,,
54,5/16/2024,92,,,,,,,,,,,,,,,
54,5/16/2024,93,audit,,,,,,,,,,,,,,
54,5/16/2024,94,audit,,,,,,,,,,,,,,
54,5/16/2024,95,,,,,,,,,,,,,,,
54,5/16/2024,98,,,,,,,,,,,,,,,
471,5/16/2024,20,audit,,,,,,,,,,,,,,
471,5/16/2024,21,,,,,,,,,,,,,,,
471,5/16/2024,22,audit,,,,,,,,,,,,,,
471,5/16/2024,23,,,,,,,,,,,,,,,
471,5/16/2024,24,audit,,,,,,,,,,,,,,
471,5/16/2024,26,audit,,,,,,,,,,,,,,
471,5/16/2024,28,audit,,,,,,,,,,,,,,
471,5/16/2024,30,,,,,,,,,,,,,,,
471,5/16/2024,40,,,,,,,,,,,,,,,
471,5/16/2024,41,,,,,,,,,,,,,,,
471,5/16/2024,42,,,,,,,,,,,,,,,
471,5/16/2024,58,audit,,,,,,,,,,,,,,
471,5/16/2024,59,,,,,,,,,,,,,,,
471,5/16/2024,61,audit,,,,,,,,,,,,,,
471,5/16/2024,62,audit,,,,,,,,,,,,,,
471,5/16/2024,68,audit,,,,,,,,,,,,,,
471,5/16/2024,74,,,,,,,,,,,,,,,
471,5/16/2024,92,,,,,,,,,,,,,,,
471,5/16/2024,93,,,,,,,,,,,,,,,
471,5/16/2024,94,audit,,,,,,,,,,,,,,
471,5/16/2024,95,,,,,,,,,,,,,,,
471,5/16/2024,98,,,,,,,,,,,,,,,
488,5/16/2024,1,,,,,,,,,,,,,,,
488,5/16/2024,3,,,,,,,,,,,,,,,
488,5/16/2024,4,,,,,,,,,,,,,,,
488,5/16/2024,5,,,,,,,,,,,,,,,
488,5/16/2024,6,,,,,,,,,,,,,,,
488,5/16/2024,7,,,,,,,,,,,,,,,
488,5/16/2024,8,,,,,,,,,,,,,,,
488,5/16/2024,9,audit,,,,,,,,,,,,,,
488,5/16/2024,40,,,,,,,,,,,,,,,
488,5/16/2024,59,,,,,,,,,,,,,,,
488,5/16/2024,67,,,,,,,,,,,,,,,
488,5/16/2024,77,,,,,,,,,,,,,,,
488,5/16/2024,86,,,,,,,,,,,,,,,
488,5/16/2024,91,,,,,,,,,,,,,,,
488,5/16/2024,92,,,,,,,,,,,,,,,
880,5/16/2024,10,audit,,,,,,,,,,,,,,
880,5/16/2024,11,3,1,1,2,,,,,,,,,,,
880,5/16/2024,12,2,1,0,2,,,,,,,,,,,
880,5/16/2024,13,2,1,0,2,,,,,,,,,,,
880,5/16/2024,14,2,1,0,0,,,,,,,,,,,
880,5/16/2024,15,audit,,,,,,,,,,,,,,
880,5/16/2024,16,4,1,0,2,,,,,,,,,,,
880,5/16/2024,17,audit,,,,,,,,,,,,,,
880,5/16/2024,40,1,0,0,1,,,,,,,,,,,
880,5/16/2024,41,1,0,1,1,,,,,,,,,,,
880,5/16/2024,58,0,0,0,1,,,,,,,,,,,
880,5/16/2024,62,3,0,0,0,,,,,,,,,,,
880,5/16/2024,63,1,1,0,1,,,,,,,,,,,
880,5/16/2024,64,4,1,2,2,,,,,,,,,,,
880,5/16/2024,67,audit,,,,,,,,,,,,,,
880,5/16/2024,68,audit,,,,,,,,,,,,,,
880,5/16/2024,74,1,1,1,1,,,,,,,,,,,
880,5/16/2024,79,1,0,0,0,,,,,,,,,,,
880,5/16/2024,90,audit,,,,,,,,,,,,,,
880,5/16/2024,91,audit,,,,,,,,,,,,,,
880,5/16/2024,92,4,2,2,2,,,,,,,,,,,
880,5/16/2024,93,3,1,1,1,,,,,,,,,,,
880,5/16/2024,95,0,0,0,1,,,,,,,,,,,
880,5/16/2024,98,0,0,0,1,,,,,,,,,,,
1082,5/16/2024,15,,,,,,,,,,,,,,,
1082,5/16/2024,16,,,,,,,,,,,,,,,
1082,5/16/2024,17,,,,,,,,,,,,,,,
1082,5/16/2024,18,,,,,,,,,,,,,,,
1082,5/16/2024,19,,,,,,,,,,,,,,,
1082,5/16/2024,20,,,,,,,,,,,,,,,
1082,5/16/2024,21,,,,,,,,,,,,,,,
