Store,,JUL,73,YTD,74,JUL,75,YTD,76,JUL,77,YTD,78,JUL,79,YTD,80,L12 Mths,81,L12 Mths,82,JUL,83,YTD,84,JUL,85,YTD,86,JUL,87,YTD,88,JUL,89,YTD,90,JUL,91,YTD,92
515,,0.51%,R,2.01%,,-7.41%,,-0.16%,,1.79%,,7.58%,,-10.82%,,-3.84%,,4.56,,4.56,,96.20%,G,93.36%,G,3.35%,G,4.34%,G,115.50%,G,106.07%,G,0:25:00,G,0:25:20,G,1311/2578,,903/2578,
1070,,12.97%,,11.83%,G,3.84%,,6.24%,,-6.36%,,5.69%,,-2.12%,,-2.77%,,4.67,,4.67,,36.42%,,37.94%,,1.90%,,1.14%,,35.55%,,35.57%,,0:46:29,,0:41:29,,925/2578,,779/2578,
1122,,9.70%,,10.37%,G,2.57%,,10.32%,,13.69%,G,30.37%,G,-7.59%,,-2.00%,,4.54,,4.54,,31.28%,R,24.46%,R,0.00%,R,0.55%,,41.55%,,37.84%,,0:46:12,,0:46:58,,1139/2578,,697/2578,
2753,,9.14%,,5.05%,,31.25%,G,17.93%,G,20.58%,G,17.61%,,10.51%,G,-2.89%,,4.55,,4.55,,25.45%,R,25.67%,R,0.53%,,0.67%,,70.44%,,74.95%,G,0:42:13,,0:36:17,,413/2578,G,612/2578,
3485,,4.75%,,8.51%,,0.75%,,6.29%,,11.45%,,17.41%,,-14.46%,,-0.07%,G,4.94,G,4.94,G,44.95%,,29.20%,R,0.00%,R,0.00%,R,66.19%,,61.61%,,0:38:38,,0:39:26,,1207/2578,,771/2578,
3874,,2.11%,,9.59%,,-6.30%,,8.04%,,17.36%,G,23.71%,G,-20.30%,,-3.75%,,4.94,G,4.94,G,33.33%,R,35.19%,,0.00%,R,0.98%,,61.08%,,61.82%,,0:52:06,,0:45:43,,1793/2578,,623/2578,
4616,,3.99%,,3.22%,,-8.25%,,-6.20%,,0.33%,,4.39%,,-12.91%,,-11.96%,,4.80,G,4.80,G,29.65%,R,33.07%,R,2.63%,G,3.61%,G,86.01%,G,81.71%,G,0:49:37,,0:55:17,R,1694/2578,,1685/2578,
Total,B,5.64%,,7.17%,,0.16%,,5.12%,,6.47%,,14.01%,,-9.19%,,-3.86%,G,4.73,G,4.73,G,44.94%,,41.91%,,1.25%,,1.56%,,67.65%,G,64.02%,G,0:45:01,,0:43:20,,168/394,,80/394,
3201,,10.42%,,7.82%,,-6.12%,,-0.93%,,-3.43%,,-8.81%,R,-12.46%,,8.69%,G,4.63,,4.63,,45.55%,,47.47%,,5.33%,G,1.40%,,25.98%,,15.50%,R,0:29:41,G,0:27:50,G,1233/2578,,1053/2578,
3401,,-20.58%,R,-15.34%,R,-37.73%,R,-27.07%,R,-26.11%,R,-3.92%,,-51.61%,R,-45.25%,R,3.71,R,3.71,R,34.39%,,32.59%,R,0.00%,R,0.14%,R,22.46%,R,21.15%,R,0:57:46,R,0:56:59,R,2575/2578,R,2572/2578,R
3402,,7.58%,,6.51%,,-4.77%,,2.11%,,-7.44%,,-6.37%,R,-8.50%,,-4.57%,,4.00,R,4.00,R,62.82%,G,58.02%,G,3.02%,G,1.48%,,68.67%,,55.05%,,0:46:04,,0:59:33,R,1419/2578,,1309/2578,
3709,,-0.08%,R,8.97%,,-40.39%,R,3.01%,,-88.93%,R,-4.47%,,-16.13%,,-7.47%,,3.72,R,3.72,R,50.00%,,49.95%,,0.00%,R,1.18%,,60.10%,,58.02%,,0:17:53,G,0:22:43,G,2272/2578,R,894/2578,
Total,B,-0.11%,R,2.45%,,-22.84%,R,-4.85%,R,-36.80%,R,-5.64%,R,-22.07%,R,-14.50%,,3.91,R,3.91,R,51.53%,,49.48%,,2.45%,,1.06%,,52.23%,,44.33%,,0:45:13,,0:44:37,,380/394,R,345/394,R
1184,,-5.08%,R,7.41%,,13.41%,G,12.56%,,22.98%,G,20.15%,,-12.14%,,-5.34%,,4.31,,4.31,,59.08%,G,56.15%,G,7.65%,G,3.06%,G,29.54%,,18.58%,R,0:45:24,,0:40:45,,1078/2578,,603/2578,
1340,,12.84%,,4.91%,,-0.72%,,-3.40%,,-29.80%,R,-18.81%,R,-16.28%,,-15.10%,,4.47,,4.47,,63.84%,G,53.44%,,2.33%,,2.53%,,20.00%,R,21.41%,R,0:55:26,,0:54:23,R,1420/2578,,1777/2578,
2475,,-1.83%,R,-3.02%,R,-17.80%,R,-20.13%,R,-18.32%,R,-6.02%,R,-31.17%,R,-36.88%,R,4.56,,4.56,,61.19%,G,52.13%,,0.00%,R,0.07%,R,52.02%,,32.66%,,0:54:49,,1:05:16,R,2370/2578,R,2502/2578,R
2584,,31.73%,G,30.79%,G,-10.00%,,8.17%,,-16.94%,R,13.26%,,19.12%,G,13.95%,G,5.00,G,5.00,G,46.05%,,48.43%,,5.97%,G,2.56%,G,22.11%,R,39.53%,,0:39:52,,0:35:02,,952/2578,,237/2578,G
Total,B,6.74%,,7.41%,,-4.39%,,-3.24%,,-10.61%,R,0.55%,,-13.36%,,-15.48%,,4.52,,4.52,,57.44%,G,52.60%,G,4.00%,G,1.95%,,30.91%,R,27.92%,R,0:49:52,,0:50:00,,275/394,,277/394,
