Store#,Headcount needed from Store,Weekly Hours needed,Duration of Project - Weeks,Start Date,Complete Date,40,,,,,,,
1441,12,480,2,6/1/2025,6/13/2025,,,,,,,,
3118,15,600,4,6/1/2025,6/27/2025,,,,,,,,
3502,14,560,2,6/1/2025,6/13/2025,,,,,,,,
5134,15,600,3,6/1/2025,6/20/2025,,,,,,,,
1784,15,600,5,6/8/2025,7/11/2025,,,,,,,,
628,15,600,5,6/8/2025,7/11/2025,,,,,,,,
5282,14,560,2,6/8/2025,6/20/2025,,,,,,,,
4503,15,600,3,6/22/2025,7/11/2025,,,,,,,,
3571,14,560,2,6/29/2025,7/11/2025,,,,,,,,
5390,5,200,1,7/13/2025,7/18/2025,,,,,,,,
1181,3,120,1,7/20/2025,7/25/2025,,,,,,,,
3794,12,480,4,8/17/2025,9/12/2025,,,,,,,,
850,12,480,2,8/24/2025,9/5/2025,,,,,,,,
1619,12,480,4,8/24/2025,9/19/2025,,,,,,,,
2787,14,560,2,8/24/2025,9/5/2025,,,,,,,,
1037,14,560,4,8/31/2025,9/26/2025,,,,,,,,
1574,15,600,5,8/31/2025,10/3/2025,,,,,,,,
1584,15,600,5,8/31/2025,10/3/2025,,,,,,,,
2482,15,600,5,8/31/2025,10/3/2025,,,,,,,,
2555,12,480,2,8/31/2025,9/12/2025,,,,,,,,
2950,15,600,5,8/31/2025,10/3/2025,,,,,,,,
3408,15,600,4,8/31/2025,9/26/2025,,,,,,,,
5150,14,560,3,8/31/2025,9/19/2025,,,,,,,,
5927,12,480,2,8/31/2025,9/12/2025,,,,,,,,
5965,15,600,5,8/31/2025,10/3/2025,,,,,,,,
640,12,480,4,9/7/2025,10/3/2025,,,,,,,,
1674,15,600,5,9/7/2025,10/10/2025,,,,,,,,
1747,14,560,4,9/7/2025,10/3/2025,,,,,,,,
1863,14,560,5,9/7/2025,10/10/2025,,,,,,,,
2152,14,560,2,9/7/2025,9/19/2025,,,,,,,,
2592,15,600,5,9/7/2025,10/10/2025,,,,,,,,
2886,12,480,4,9/7/2025,10/3/2025,,,,,,,,
3352,12,480,2,9/7/2025,9/19/2025,,,,,,,,
3352,12,480,3,9/7/2025,9/26/2025,,,,,,,,
3529,12,480,5,9/7/2025,10/10/2025,,,,,,,,
3741,12,480,2,9/7/2025,9/19/2025,,,,,,,,
3781,14,560,4,9/7/2025,10/3/2025,,,,,,,,
5201,12,480,4,9/7/2025,10/3/2025,,,,,,,,
5440,12,480,4,9/7/2025,10/3/2025,,,,,,,,
5443,12,480,2,9/7/2025,9/19/2025,,,,,,,,
5485,15,600,5,9/7/2025,10/10/2025,,,,,,,,
6998,12,480,2,9/7/2025,9/19/2025,,,,,,,,
912,15,600,5,9/14/2025,10/17/2025,,,,,,,,
1689,12,480,4,9/14/2025,10/10/2025,,,,,,,,
1860,14,560,4,9/14/2025,10/10/2025,,,,,,,,
2141,15,600,3,9/14/2025,10/3/2025,,,,,,,,
2435,14,560,2,9/14/2025,9/26/2025,,,,,,,,
2550,14,560,4,9/14/2025,10/10/2025,,,,,,,,
2830,14,560,4,9/14/2025,10/10/2025,,,,,,,,
2871,15,600,5,9/14/2025,10/17/2025,,,,,,,,
3469,15,600,5,9/14/2025,10/17/2025,,,,,,,,
4137,12,480,4,9/14/2025,10/10/2025,,,,,,,,
5402,15,600,5,9/14/2025,10/17/2025,,,,,,,,
1985,14,560,4,9/15/2025,10/11/2025,,,,,,,,
787,12,480,2,9/21/2025,10/3/2025,,,,,,,,
855,12,480,2,9/21/2025,10/3/2025,,,,,,,,
1914,15,600,5,9/21/2025,10/24/2025,,,,,,,,
2189,12,480,4,9/21/2025,10/17/2025,,,,,,,,
2457,12,480,4,9/21/2025,10/17/2025,,,,,,,,
3292,14,560,5,9/21/2025,10/24/2025,,,,,,,,
3473,15,600,5,9/21/2025,10/24/2025,,,,,,,,
3729,15,600,5,9/21/2025,10/24/2025,,,,,,,,
5436,14,560,4,9/21/2025,10/17/2025,,,,,,,,
5676,12,480,4,9/21/2025,10/17/2025,,,,,,,,
2598,12,480,4,9/22/2025,10/18/2025,,,,,,,,
1340,12,480,3,9/28/2025,10/17/2025,,,,,,,,
1459,14,560,4,9/28/2025,10/24/2025,,,,,,,,
1518,14,560,4,9/28/2025,10/24/2025,,,,,,,,
2070,15,600,4,9/28/2025,10/24/2025,,,,,,,,
2098,3,120,1,9/28/2025,10/3/2025,,,,,,,,
2537,12,480,4,9/28/2025,10/24/2025,,,,,,,,
2951,12,480,4,9/28/2025,10/24/2025,,,,,,,,
3401,0,0,1,9/28/2025,10/3/2025,,,,,,,,
3621,12,480,2,9/28/2025,10/10/2025,,,,,,,,
4557,12,480,2,9/28/2025,10/10/2025,,,,,,,,
631,3,120,1,10/5/2025,10/10/2025,,,,,,,,
1185,15,600,5,10/5/2025,11/7/2025,,,,,,,,
1443,12,480,2,10/5/2025,10/17/2025,,,,,,,,
2362,14,560,5,10/5/2025,11/7/2025,,,,,,,,
2774,0,0,1,10/5/2025,10/10/2025,,,,,,,,
2859,14,560,2,10/5/2025,10/17/2025,,,,,,,,
3061,12,480,2,10/5/2025,10/17/2025,,,,,,,,
3180,12,480,4,10/5/2025,10/31/2025,,,,,,,,
3280,12,480,6,10/5/2025,11/14/2025,,,,,,,,
3710,12,480,2,10/5/2025,10/17/2025,,,,,,,,
4239,15,600,4,10/5/2025,10/31/2025,,,,,,,,
5957,12,480,2,10/5/2025,10/17/2025,,,,,,,,
1586,12,480,1,10/12/2025,10/17/2025,,,,,,,,
5185,14,560,3,10/12/2025,10/31/2025,,,,,,,,
5192,12,480,2,10/12/2025,10/24/2025,,,,,,,,
5334,12,480,4,10/12/2025,11/7/2025,,,,,,,,
1557,14,560,2,10/19/2025,10/31/2025,,,,,,,,
2946,14,560,2,10/19/2025,10/31/2025,,,,,,,,
3367,14,560,5,10/19/2025,11/21/2025,,,,,,,,
5077,12,480,4,10/19/2025,11/14/2025,,,,,,,,
5281,14,560,4,10/19/2025,11/14/2025,,,,,,,,
5686,12,480,4,11/2/2025,11/28/2025,,,,,,,,
