Store Nbr,Store Name,Store Type Descr,,,,,,,,,,
1220,ORLANDO FL,BASE STR Supercenter,,,,,,,,,,
1822,FAJARDO PR,BASE STR Wal-Mart,,,,,,,,,,
1854,"HATILLO, PR",BASE STR Supercenter,,,,,,,,,,
2026,PONCE-PR,BASE STR Supercenter,,,,,,,,,,
2067,"MAYAGUEZ, PR",BASE STR Wal-Mart,,,,,,,,,,
2072,"GUAYAMA, PR",BASE STR Wal-Mart,,,,,,,,,,
2085,"ISABELA, PR",BASE STR Wal-Mart,,,,,,,,,,
2141,"PHILADELPHIA (S), PA",BASE STR Supercenter,,,,,,,,,,
2240,"HUMACAO, PR",BASE STR Supercenter,,,,,,,,,,
2302,SUPERCENTER BARCELONETA,BASE STR Supercenter,,,,,,,,,,
2346,SUPERCENTER TOA BAJA,BASE STR Supercenter,,,,,,,,,,
2423,CAROLINA (RACETRACK) PR,BASE STR Supercenter,,,,,,,,,,
2449,"CAGUAS, PR",BASE STR Supercenter,,,,,,,,,,
2501,"BAYAMON, PR",BASE STR Wal-Mart,,,,,,,,,,
2585,"STRATFORD, CT",BASE STR Wal-Mart,,,,,,,,,,
2650,"PHILADELPHIA (NE), PA",BASE STR Supercenter,,,,,,,,,,
2721,"CAYEY, PR",BASE STR Supercenter,,,,,,,,,,
3543,DANBURY CT,BASE STR Wal-Mart,,,,,,,,,,
3548,WATERBURY (REIDVILLE),BASE STR Wal-Mart,,,,,,,,,,
3693,"SANTA ISABEL,PR",BASE STR Supercenter,,,,,,,,,,
3716,MANATI PUERTO RICO,BASE STR Supercenter,,,,,,,,,,
4332,"ORLANDO (TURKEY LAKE), FL",BASE STR Supercenter,,,,,,,,,,
4588,"ORLANDO (PRINCETON), FL",BASE STR Supercenter,,,,,,,,,,
5439,"NEW HAVEN, CT",BASE STR Supercenter,,,,,,,,,,
5793,"PONCE (NORTH), PUERTO RIC",BASE STR Supercenter,,,,,,,,,,
5802,"CANOVANAS, PR",BASE STR Supercenter,,,,,,,,,,
5803,SAN JUAN PR,BASE STR Supercenter,,,,,,,,,,
5095,"HARTFORD, CT",BASE STR Supercenter,,,,,,,,,,
395,MISSION TX,BASE STR Supercenter,,,,,,,,,,
397,"MCALLEN, TX",BASE STR Supercenter,,,,,,,,,,
1747,PERRIS CA,BASE STR Supercenter,,,,,,,,,,
1862,"RIALTO, CA",BASE STR Supercenter,,,,,,,,,,
2001,"FRESNO, CA (SE)",BASE STR Supercenter,,,,,,,,,,
2110,"PARAMOUNT, CA",BASE STR Supercenter,,,,,,,,,,
2181,INDIO N CA,BASE STR Supercenter,,,,,,,,,,
2201,"EL PASO (C), TX",BASE STR Supercenter,,,,,,,,,,
2864,"SAN ANTONIO, TX",BASE STR Supercenter,,,,,,,,,,
2886,PICO RIVERA CA,BASE STR Supercenter,,,,,,,,,,
3058,SAN ANTONIO TX,BASE STR Supercenter,,,,,,,,,,
3106,SAN ANTONIO CITY SOUTH TX,BASE STR Supercenter,,,,,,,,,,
3500,HOUSTON TX,BASE STR Supercenter,,,,,,,,,,
3520,"SECAUCUS, NJ",BASE STR Supercenter,,,,,,,,,,
3886,"EDINBURG (S), TX",BASE STR Supercenter,,,,,,,,,,
4131,SAN ANTONIO CULEBRA TX,BASE STR Supercenter,,,,,,,,,,
4340,"HESPERIA, CA",BASE STR Supercenter,,,,,,,,,,
5394,DINUBA CA,BASE STR Supercenter,,,,,,,,,,
5612,HOUSTON I-45 AND WAYSIDE,BASE STR Supercenter,,,,,,,,,,
1,"ROGERS, AR",BASE STR Supercenter,,,,,,,,,,
54,SPRINGDALE AR,BASE STR Supercenter,,,,,,,,,,
77,TAYLOR TX,BASE STR Supercenter,,,,,,,,,,
131,MT PLEASANT TX,BASE STR Supercenter,,,,,,,,,,
165,HENDERSON TX,BASE STR Supercenter,,,,,,,,,,
180,JACKSONVILLE TX,BASE STR Supercenter,,,,,,,,,,
194,BAYTOWN TX,BASE STR Supercenter,,,,,,,,,,
206,MCKINNEY TX,BASE STR Supercenter,,,,,,,,,,
211,HILLSBORO TX,BASE STR Supercenter,,,,,,,,,,
217,LEWISVILLE TX,BASE STR Supercenter,,,,,,,,,,
220,BURLESON TX,BASE STR Supercenter,,,,,,,,,,
228,CLEBURNE TX.,BASE STR Supercenter,,,,,,,,,,
265,"TERRELL, TX",BASE STR Supercenter,,,,,,,,,,
266,"SOUTHLAKE, TX",BASE STR Supercenter,,,,,,,,,,
286,ENNIS TX,BASE STR Supercenter,,,,,,,,,,
290,GONZALES TX,BASE STR Supercenter,,,,,,,,,,
292,LOCKHART TX,BASE STR Supercenter,,,,,,,,,,
297,PORTER TX,BASE STR Supercenter,,,,,,,,,,
322,BRYAN TX,BASE STR Supercenter,,,,,,,,,,
330,VICTORIA TX,BASE STR Supercenter,,,,,,,,,,
344,EL CAMPO TX,BASE STR Supercenter,,,,,,,,,,
372,DODGE CITY KS,BASE STR Supercenter,,,,,,,,,,
385,CUERO TX,BASE STR Wal-Mart,,,,,,,,,,
400,CONROE TX,BASE STR Supercenter,,,,,,,,,,
404,SAN MARCOS TX,BASE STR Supercenter,,,,,,,,,,
413,PORT ISABEL TX,BASE STR Supercenter,,,,,,,,,,
426,THE COLONY TX,BASE STR Supercenter,,,,,,,,,,
429,EDINBURG TX,BASE STR Supercenter,,,,,,,,,,
437,SEALY TX,BASE STR Supercenter,,,,,,,,,,
442,KINGSVILLE TX,BASE STR Supercenter,,,,,,,,,,
443,HONDO TX,BASE STR Supercenter,,,,,,,,,,
447,DEL RIO TX,BASE STR Supercenter,,,,,,,,,,
449,GROVES TX,BASE STR Supercenter,,,,,,,,,,
452,MCALLEN TX,BASE STR Supercenter,,,,,,,,,,
456,BROWNSVILLE TX,BASE STR Supercenter,,,,,,,,,,
458,ARANSAS PASS TX,BASE STR Supercenter,,,,,,,,,,
461,EAGLE PASS TX,BASE STR Supercenter,,,,,,,,,,
462,ALVIN TX,BASE STR Supercenter,,,,,,,,,,
463,BEEVILLE TX,BASE STR Supercenter,,,,,,,,,,
464,CORPUS CHRISTI TX,BASE STR Supercenter,,,,,,,,,,
465,FLORESVILLE TX,BASE STR Supercenter,,,,,,,,,,
467,DENTON TX,BASE STR Supercenter,,,,,,,,,,
470,CORPUS CHRISTI TX,BASE STR Supercenter,,,,,,,,,,
471,"LANCASTER, TX",BASE STR Supercenter,,,,,,,,,,
473,GIDDINGS TX,BASE STR Wal-Mart,,,,,,,,,,
478,PEARSALL TX,BASE STR Wal-Mart,,,,,,,,,,
490,"CORPUS CHRISTI, TX",BASE STR Supercenter,,,,,,,,,,
500,EL PASO TX,BASE STR Supercenter,,,,,,,,,,
501,LAUREL MS,BASE STR Supercenter,,,,,,,,,,
503,COLUMBUS TX,BASE STR Wal-Mart,,,,,,,,,,
510,GAINESVILLE GA,BASE STR Supercenter,,,,,,,,,,
512,EL PASO TX,BASE STR Supercenter,,,,,,,,,,
513,BIG SPRINGS TX,BASE STR Supercenter,,,,,,,,,,
522,CROSBY TX,BASE STR Supercenter,,,,,,,,,,
524,KENEDY TX,BASE STR Supercenter,,,,,,,,,,
527,ANGLETON TX,BASE STR Supercenter,,,,,,,,,,
537,ODESSA TX,BASE STR Supercenter,,,,,,,,,,
546,"RICHMOND, TX",BASE STR Supercenter,,,,,,,,,,
549,HOBBS NM,BASE STR Supercenter,,,,,,,,,,
554,LAREDO TX,BASE STR Wal-Mart,,,,,,,,,,
563,ORANGE CITY FL,BASE STR Supercenter,,,,,,,,,,
565,CORSICANA TX,BASE STR Supercenter,,,,,,,,,,
576,TULSA OK,BASE STR Supercenter,,,,,,,,,,
595,HARLINGEN TX,BASE STR Supercenter,,,,,,,,,,
600,PAMPA TX,BASE STR Supercenter,,,,,,,,,,
601,SAN ANGELO TX,BASE STR Supercenter,,,,,,,,,,
608,MIDLAND TX,BASE STR Supercenter,,,,,,,,,,
611,ROSWELL NM,BASE STR Supercenter,,,,,,,,,,
626,SEMINOLE TX,BASE STR Wal-Mart,,,,,,,,,,
637,LEXINGTON NE,BASE STR Supercenter,,,,,,,,,,
652,GARDEN CITY KS,BASE STR Supercenter,,,,,,,,,,
669,DALTON GA,BASE STR Supercenter,,,,,,,,,,
688,"NASHVILLE (S), TN",BASE STR Supercenter,,,,,,,,,,
725,HAINES CITY FL,BASE STR Supercenter,,,,,,,,,,
743,OKLAHOMA CITY OK,BASE STR Supercenter,,,,,,,,,,
746,TEMPLE TX,BASE STR Supercenter,,,,,,,,,,
752,PASADENA TX,BASE STR Supercenter,,,,,,,,,,
757,PLEASANTON TX,BASE STR Supercenter,,,,,,,,,,
765,"SAN ANTONIO, TX",BASE STR Supercenter,,,,,,,,,,
768,KATY FRY RD AND I10 TX,BASE STR Supercenter,,,,,,,,,,
772,HOUSTON (ALIEF) TX,BASE STR Supercenter,,,,,,,,,,
774,COLUMBUS NE,BASE STR Supercenter,,,,,,,,,,
776,FREMONT NE,BASE STR Supercenter,,,,,,,,,,
782,UVALDE TX,BASE STR Supercenter,,,,,,,,,,
789,MESQUITE TX,BASE STR Supercenter,,,,,,,,,,
791,ALICE TX,BASE STR Supercenter,,,,,,,,,,
799,LIBERAL KS,BASE STR Supercenter,,,,,,,,,,
804,MINERAL WELLS TX,BASE STR Supercenter,,,,,,,,,,
806,"LAS CRUCES, NM",BASE STR Supercenter,,,,,,,,,,
807,"N RICHLAND HILLS, TX",BASE STR Supercenter,,,,,,,,,,
808,LAKE JACKSON TX,BASE STR Supercenter,,,,,,,,,,
812,DUMAS TX,BASE STR Supercenter,,,,,,,,,,
817,KISSIMMEE FL,BASE STR Supercenter,,,,,,,,,,
821,CLOVIS NM,BASE STR Supercenter,,,,,,,,,,
822,AMARILLO TX,BASE STR Supercenter,,,,,,,,,,
824,ALBUQUERQUE (N),BASE STR Supercenter,,,,,,,,,,
829,"SANTA FE,NM",BASE STR Wal-Mart,,,,,,,,,,
835,ALBUQUERQUE - JUAN TOBO,BASE STR Supercenter,,,,,,,,,,
842,"PUEBLO (N), CO",BASE STR Supercenter,,,,,,,,,,
