STORE,market_nbr,Region_nbr,Effective Week,D3 C70 Moving Ftg,D3 C231 Soho Ftg,D12 C72 Moving Ftg,D12 Flooring Ftg
176,4,11,37,0,8,16,0
177,146,11,37,0,20,16,0
178,344,44,37,0,20,20,0
179,357,40,37,0,20,8,0
180,46,13,37,0,20,16,8
181,47,44,37,0,20,24,0
182,136,11,37,0,20,8,0
183,138,11,37,0,20,24,0
184,361,40,37,0,20,32,0
185,350,44,37,0,20,20,0
186,409,44,37,0,20,20,0
188,335,40,37,0,20,8,0
189,359,40,37,0,12,12,0
190,329,11,37,0,20,8,0
192,151,12,37,28,0,0,0
194,60,6,37,0,20,28,0
195,360,40,37,0,20,8,0
196,271,41,37,0,20,20,0
197,278,25,37,0,12,24,0
198,272,40,37,0,20,16,0
199,278,25,37,0,20,24,0
200,275,25,37,0,12,24,0
201,341,40,37,0,0,8,0
202,51,5,37,0,20,20,0
203,359,40,37,24,0,0,0
204,253,41,37,0,20,12,0
205,138,11,37,0,12,8,0
206,52,5,37,0,20,12,0
207,345,44,37,0,12,20,0
209,321,42,37,16,0,0,0
210,351,44,37,0,12,8,0
211,76,5,37,0,12,20,0
212,353,44,37,0,20,32,0
213,272,40,37,0,20,32,0
214,503,13,37,0,20,24,0
216,271,41,37,0,20,12,0
217,53,5,37,0,20,20,0
218,147,11,37,0,8,12,0
219,336,40,37,0,20,8,0
220,48,5,37,0,20,32,0
221,344,44,37,0,20,8,0
222,271,41,37,0,20,8,0
224,272,40,37,0,20,12,0
225,350,44,37,0,12,8,0
226,47,44,37,0,20,20,0
227,344,44,37,0,12,12,0
228,48,5,37,0,20,24,0
229,329,11,37,0,12,16,8
230,321,42,37,8,0,0,0
231,351,44,37,0,20,24,0
232,350,44,37,0,8,8,0
233,271,41,37,0,12,12,0
234,360,40,37,0,20,32,0
236,503,13,37,0,12,8,0
237,271,41,37,0,12,20,0
238,147,11,37,0,12,8,0
239,138,11,37,0,12,20,8
240,47,44,37,0,20,16,0
241,323,42,37,0,0,0,0
242,410,44,37,0,12,20,0
243,339,40,37,0,20,24,0
244,135,42,37,0,12,12,0
245,44,5,37,0,0,0,0
246,345,44,37,0,20,16,0
247,351,44,37,16,0,0,0
248,76,5,37,28,0,0,0
249,503,13,37,0,20,20,0
250,357,40,37,0,20,24,0
251,45,5,37,0,20,16,0
252,271,41,37,0,12,16,0
253,341,40,37,0,20,32,0
254,273,25,37,0,12,20,0
256,341,40,37,0,20,32,0
257,254,41,37,0,12,8,0
258,4,11,37,24,0,0,0
259,583,5,37,0,20,28,0
260,55,5,37,0,20,20,0
261,325,42,37,0,20,20,0
262,271,41,37,0,20,16,0
264,149,12,37,0,20,24,0
265,45,5,37,0,20,8,0
266,50,5,37,0,12,24,0
267,334,42,37,0,20,32,0
268,147,11,37,0,12,28,8
269,349,44,37,0,20,20,0
271,349,44,37,0,20,8,0
272,153,12,37,0,20,28,0
273,4,11,37,0,20,20,0
274,4,11,37,12,0,0,0
275,503,13,37,0,12,16,0
276,351,44,37,0,12,8,0
277,353,44,37,0,20,24,0
278,127,42,37,0,20,16,0
279,321,42,37,0,12,20,0
280,83,7,37,0,12,8,0
281,328,42,37,0,12,8,0
282,253,41,37,0,12,8,0
283,66,13,37,12,0,0,0
284,49,5,37,0,20,28,0
285,503,13,37,0,20,32,0
286,55,5,37,0,20,16,0
287,11,11,37,0,12,24,0
288,503,13,37,0,12,8,0
289,327,42,37,12,0,0,0
290,77,7,37,0,20,16,0
292,87,7,37,0,20,12,0
293,85,6,37,0,12,8,0
294,253,41,37,0,12,20,0
295,340,40,37,0,20,20,0
296,325,42,37,16,0,0,0
297,59,6,37,0,20,20,0
298,3,14,37,0,20,20,0
299,254,41,37,0,20,16,0
300,3,14,37,0,12,8,0
301,3,14,37,0,20,16,0
302,271,41,37,0,12,16,0
303,4,11,37,0,20,20,0
304,149,12,37,0,12,20,0
305,138,11,37,0,20,8,0
306,5,12,37,28,0,0,0
307,135,42,37,0,12,24,0
308,152,12,37,24,0,0,0
309,132,13,37,0,20,20,0
310,132,13,37,0,12,8,0
311,129,13,37,0,12,12,0
312,134,13,37,0,20,12,0
313,340,40,37,0,20,20,0
314,5,12,37,0,20,8,0
315,3,14,37,0,20,8,0
316,3,14,37,0,20,24,0
317,272,40,37,0,20,16,0
318,325,42,37,0,20,8,0
319,361,40,37,0,12,24,0
320,76,5,37,0,8,8,0
321,85,6,37,36,0,0,0
322,85,6,37,0,20,32,0
323,127,42,37,0,12,16,0
324,356,44,37,0,20,16,0
325,360,40,37,0,20,20,8
326,361,40,37,8,0,0,0
328,341,40,37,0,20,16,0
329,10,14,37,0,12,0,0
330,84,6,37,0,20,24,0
331,66,13,37,0,20,20,0
332,5,12,37,0,20,8,0
333,254,41,37,0,12,20,0
334,275,25,37,0,12,12,0
335,146,11,37,0,20,20,0
336,325,42,37,0,12,8,0
337,335,40,37,0,20,8,0
338,334,42,37,0,12,20,0
339,327,42,37,12,0,0,0
340,351,44,37,0,20,16,0
341,407,47,37,0,12,20,0
342,411,47,37,0,12,8,0
343,275,25,37,0,20,20,0
344,65,6,37,0,8,12,0
345,46,13,37,0,0,12,0
346,409,44,37,0,20,20,0
347,136,11,37,0,12,20,0
348,327,42,37,24,0,0,0
350,433,47,37,0,20,12,0
351,68,13,37,0,20,8,0
352,271,41,37,16,0,0,0
353,48,5,37,0,20,12,0
354,336,40,37,0,12,12,0
355,10,14,37,0,20,8,0
356,10,14,37,0,20,32,0
357,336,40,37,16,0,0,0
358,321,42,37,0,12,12,0
359,322,42,37,0,20,28,0
360,352,44,37,0,20,12,0
361,341,40,37,0,20,24,0
362,11,11,37,20,0,0,0
363,359,40,37,0,12,12,0
364,503,13,37,0,12,16,0
365,140,11,37,0,12,16,0
366,121,12,37,0,12,8,0
368,410,44,37,0,20,16,8
369,406,47,37,0,12,20,0
370,406,47,37,0,12,20,0
371,48,5,37,0,20,32,0
372,406,47,37,0,12,24,0
373,322,42,37,24,0,0,0
374,347,44,37,0,20,24,0
375,5,12,37,0,20,12,0
376,127,42,37,32,0,0,0
378,411,47,37,0,8,8,0
379,333,40,37,0,20,20,0
381,81,7,37,0,20,20,8
382,410,44,37,0,20,20,0
383,66,13,37,0,20,24,0
384,66,13,37,0,20,24,0
385,84,6,37,12,0,0,0
386,132,13,37,0,20,12,8
387,352,44,37,0,20,20,0
388,321,42,37,0,20,8,0
389,352,44,37,0,20,32,0
390,149,12,37,0,12,16,0
391,4,11,37,0,20,20,0
392,344,44,37,0,20,28,8
393,147,11,37,0,20,20,0
394,137,11,37,0,20,16,0
395,80,6,37,0,20,16,0
396,39,4,37,0,20,16,0
397,80,6,37,0,20,8,0
398,46,13,37,0,12,12,0
399,46,13,37,0,20,24,8
400,68,13,37,0,12,20,0
401,131,13,37,0,12,12,0
402,132,13,37,0,12,0,0
403,137,11,37,0,12,16,0
404,87,7,37,24,0,0,0
405,134,13,37,0,20,8,0
406,151,12,37,0,20,20,0
407,81,7,37,0,20,28,0
408,66,13,37,0,20,16,0
409,137,11,37,0,12,12,0
410,146,11,37,0,20,16,0
411,138,11,37,0,8,8,0
412,45,5,37,0,20,12,0
413,569,6,37,0,12,20,0
414,349,44,37,0,20,32,0
415,132,13,37,0,20,20,0
416,151,12,37,0,20,12,0
417,47,44,37,0,20,16,0
418,407,47,37,0,12,16,0
419,406,47,37,0,12,16,0
420,349,44,37,0,20,12,0
421,479,5,37,0,20,24,0
422,273,25,37,0,12,24,0
423,13,14,37,0,20,20,0
424,8,14,37,0,12,12,0
425,11,11,37,0,12,20,0
426,53,5,37,0,20,32,0
427,47,44,37,0,20,20,0
428,130,13,37,0,20,16,0
429,80,6,37,0,20,20,0
430,253,41,37,0,20,8,0
431,253,41,37,0,20,24,0
432,10,14,37,0,20,20,0
433,5,12,37,0,20,20,0
434,5,12,37,0,20,12,0
435,272,40,37,0,20,8,0
436,272,40,37,20,0,0,0
437,84,6,37,0,20,20,0
438,74,7,37,0,8,16,8
440,78,6,37,0,12,24,0
442,78,6,37,0,12,16,0
443,88,7,37,0,20,8,0
444,333,40,37,0,20,20,0
445,256,41,37,0,20,16,0
446,85,6,37,12,0,0,0
447,88,7,37,0,12,32,0
448,127,42,37,0,20,20,0
449,66,13,37,0,20,20,0
450,127,42,37,0,20,20,0
451,359,40,37,0,20,28,0
452,80,6,37,0,20,32,0
453,329,11,37,8,0,0,0
454,272,40,37,0,12,20,0
456,569,6,37,0,20,20,0
457,66,13,37,0,20,24,8
458,78,6,37,0,12,8,0
459,25,2,37,0,20,20,0
461,88,7,37,32,0,0,0
462,61,6,37,0,20,12,0
463,84,6,37,0,12,16,0
464,78,6,37,0,20,24,0
465,77,7,37,0,12,20,0
466,147,11,37,0,12,12,0
467,52,5,37,0,20,8,0
468,47,44,37,0,20,16,0
469,66,13,37,0,20,28,8
470,78,6,37,0,20,20,0
471,49,5,37,0,20,32,0
472,356,44,37,0,20,28,0
473,85,6,37,0,12,8,0
475,83,7,37,0,20,28,0
476,81,7,37,0,20,24,0
477,119,12,37,0,20,8,0
478,77,7,37,8,0,0,0
479,349,44,37,0,20,12,0
480,275,25,37,12,0,0,0
481,273,25,37,0,20,24,0
482,61,6,37,0,8,8,0
483,8,14,37,0,20,24,8
484,411,47,37,0,20,12,0
485,129,13,37,0,12,8,0
486,362,40,37,0,20,20,0
488,97,14,37,0,8,16,0
489,128,13,37,0,20,12,0
