Store,3rd Shift Associate Count,Actual,Proportion (%)
525,17,15,88.24%
2632,14,11,78.57%
2944,20,18,90.00%
2979,13,13,100.00%
3135,17,17,100.00%
3314,14,14,100.00%
3315,15,15,100.00%
3341,19,16,84.21%
3359,14,13,92.86%
3392,15,13,86.67%
3419,18,13,72.22%
3504,17,15,88.24%
3594,16,14,87.50%
3604,37,29,78.38%
3606,18,16,88.89%
3629,18,15,83.33%
3653,14,14,100.00%
3844,12,8,66.67%
3845,14,13,92.86%
3846,11,8,72.73%
3862,19,14,73.68%
4148,35,30,85.71%
4218,12,11,91.67%
4233,14,11,78.57%
4275,11,10,90.91%
4432,17,14,82.35%
4561,15,13,86.67%
4848,22,16,72.73%
5005,16,16,100.00%
5257,14,12,85.71%
5332,12,9,75.00%
5349,12,10,83.33%
5613,15,14,93.33%
5614,15,15,100.00%
5624,15,10,66.67%
5816,17,14,82.35%
5817,16,15,93.75%
5818,13,11,84.62%
5819,13,12,92.31%
5820,10,10,100.00%
6398,40,39,97.50%
6578,16,13,81.25%
6962,21,16,76.19%
7004,19,17,89.47%
7062,14,13,92.86%
7146,18,18,100.00%
7180,15,13,86.67%
7251,21,18,85.71%
7296,29,19,65.52%
7304,27,26,96.30%
7315,38,33,86.84%
7320,17,14,82.35%
7347,15,15,100.00%
