Store Number,Raft Quantity
1,1
3,3
4,10
5,3
8,2
9,1
10,4
11,2
12,4
13,2
14,6
15,1
20,1
21,4
22,3
23,2
24,1
26,7
27,2
28,3
30,2
32,3
33,1
35,4
36,5
37,2
41,2
43,2
47,1
48,2
50,5
54,4
57,4
58,3
59,6
65,7
66,4
69,5
72,2
73,1
78,3
79,8
80,2
81,3
82,1
83,2
85,2
86,3
88,2
89,3
90,5
92,2
94,2
96,1
100,10
101,5
103,6
111,1
112,5
113,2
117,5
119,1
124,4
127,1
128,1
129,2
130,1
131,4
138,3
140,2
143,2
147,11
148,4
151,9
152,5
154,4
157,5
158,1
159,2
165,6
168,1
171,1
172,1
173,4
174,20
177,5
181,4
184,4
185,1
186,3
188,1
189,4
190,3
192,2
194,20
197,6
199,13
202,2
204,1
210,2
212,2
214,1
221,1
222,2
225,4
226,1
228,6
234,11
238,2
240,3
243,1
246,1
247,1
249,4
250,4
251,2
252,1
253,1
254,1
256,3
258,2
260,3
261,10
262,2
264,2
265,1
268,3
274,1
275,2
278,2
279,1
281,5
283,20
285,4
287,2
290,2
292,2
296,1
297,5
299,1
300,1
302,2
306,2
307,1
308,2
309,20
310,20
311,20
313,3
314,2
316,1
317,1
319,4
329,2
330,20
331,20
335,1
336,1
338,1
340,5
344,20
345,1
346,1
348,2
353,1
355,1
356,1
358,1
363,1
364,1
366,7
368,2
373,2
374,2
376,3
384,3
386,20
394,1
396,6
397,20
398,1
399,7
401,20
402,20
404,6
408,20
412,4
413,20
414,5
415,20
417,2
419,2
421,5
427,1
428,20
429,20
430,2
435,1
440,20
442,20
444,2
445,3
449,20
452,20
456,20
458,20
462,20
464,20
469,20
470,20
472,5
477,1
481,2
485,20
489,20
490,20
499,1
502,20
503,3
504,20
508,1
513,1
515,11
517,5
520,1
521,20
527,20
528,20
529,20
531,20
532,20
533,20
536,6
537,4
538,3
539,2
540,20
541,20
542,20
543,20
544,4
545,7
548,4
549,3
551,2
553,20
555,1
557,1
558,4
564,4
569,4
574,20
575,2
578,7
579,20
582,20
583,9
586,20
587,1
591,1
592,3
595,20
598,3
599,16
600,2
605,20
606,20
608,3
609,1
610,2
611,1
613,20
614,1
618,3
619,10
620,6
623,20
625,20
628,20
631,1
632,20
634,4
635,20
638,3
639,20
640,5
641,4
643,20
644,4
648,3
649,20
652,1
653,1
655,1
657,2
659,2
660,1
661,1
663,9
665,1
670,3
671,1
672,3
674,1
676,4
678,7
680,2
683,2
685,7
686,1
687,10
689,5
690,9
691,4
695,3
696,4
702,1
710,1
711,1
720,4
721,20
722,1
724,14
728,20
733,1
735,2
739,2
741,10
742,7
743,6
744,6
746,5
752,20
753,13
761,20
765,2
769,20
771,20
773,2
778,20
782,14
783,1
785,2
788,4
790,3
791,20
794,2
798,2
799,2
804,2
806,8
808,20
813,6
815,7
818,20
819,20
823,5
826,6
836,20
837,5
838,7
839,20
846,5
848,2
849,7
850,4
852,3
862,20
864,2
865,14
866,20
867,5
868,3
869,4
871,3
872,20
878,1
879,3
882,7
886,5
892,3
896,1
900,2
901,3
904,20
906,2
907,2
909,20
910,3
911,20
912,20
914,4
919,20
922,1
923,4
925,20
928,20
929,20
931,20
934,20
935,20
937,1
939,1
941,20
947,1
948,2
953,11
956,20
958,6
961,20
963,2
966,4
967,20
969,20
970,20
973,20
974,20
975,2
977,20
980,2
987,20
988,20
989,20
990,20
991,20
994,20
1000,20
1001,9
1003,1
1004,20
1008,4
1009,3
1014,6
1016,20
1019,4
1020,1
1023,3
1025,1
1026,1
1029,20
1030,3
1032,20
1035,1
1036,6
1037,20
1041,20
1042,7
1043,2
1048,5
1060,9
1062,20
1065,2
1066,20
1068,20
1070,12
1071,3
1073,1
1074,1
1075,5
1077,20
1079,20
1080,6
1082,20
1083,20
1085,20
1087,20
1088,20
1090,20
1091,3
1095,2
1096,3
1097,3
1098,20
1100,1
1103,2
1104,20
1110,1
1111,1
1113,7
1114,2
1116,4
1119,20
1122,9
1123,2
1130,4
1132,6
1133,5
1134,6
