Store,Display/Vehicle,ItemNumber,Item Description,FDC,Quantity Shipped,Full Quantity
2314,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
2314,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
2314,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
2314,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
2321,School List Holder,599123827,40PCMINI KIT,6029,0,1
2321,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
2321,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
2321,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
2321,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
2321,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
2321,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
2346,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
2423,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
2423,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
2449,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
2449,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
2473,School List Holder,599123827,40PCMINI KIT,6029,0,1
2473,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
2473,School List Holder,599123827,40PCMINI KIT,6029,0,1
2473,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
2473,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
2473,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
2473,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
2473,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
2473,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
2501,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
2671,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
2671,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
2671,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
2671,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
2671,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
2671,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
2671,Older Student Train,599123523,48PCEX UF AST 12C,6029,0,1
2671,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
2711,8-foot Train,599173375,48PCPM PF BLPNT 4CT,6029,0,2
2711,8-foot Train,573577801,12PC12CT COLORED PE,6029,0,20
2711,8-foot Train,573577798,6PC24CT PENCILS,6029,0,12
2711,School List Holder,599123827,40PCMINI KIT,6029,0,1
2711,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
2711,School List Holder,599123827,40PCMINI KIT,6029,0,1
2711,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
2711,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
2721,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
2721,School List Holder,587671524,32PCTOT STAPLER BLK,6014,0,1
2722,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
2722,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
2722,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
2722,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
2722,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
2722,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
2767,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
2767,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
2767,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
2767,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
2767,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
2767,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
2767,Older Student Train,599123523,48PCEX UF AST 12C,6029,0,1
2767,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
2778,8-foot Train,573577801,12PC12CT COLORED PE,6029,0,20
2778,8-foot Train,573577798,6PC24CT PENCILS,6029,0,12
2778,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
2778,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
3149,8-foot Train,573577801,12PC12CT COLORED PE,6029,0,20
3149,8-foot Train,573577798,6PC24CT PENCILS,6029,0,12
3149,8-foot Train,599173375,48PCPM PF BLPNT 4CT,6029,0,2
3149,School List Holder,599123827,40PCMINI KIT,6029,0,1
3149,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
3149,School List Holder,599123827,40PCMINI KIT,6029,0,1
3149,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
3149,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
3290,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
3290,School List Holder,599123827,40PCMINI KIT,6029,0,1
3290,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
3290,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
3290,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
3290,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
3290,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
3290,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
3290,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
3290,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
3360,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
3360,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
3360,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
3360,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
3360,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
3360,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
3360,Older Student Train,599123523,48PCEX UF AST 12C,6029,0,1
3360,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
3478,High-velocity Dump Bin,573577801,12PC12CT COLORED PE,6029,0,24
3478,School List Holder,599123827,40PCMINI KIT,6029,0,1
3478,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
3478,School List Holder,599123827,40PCMINI KIT,6029,0,1
3478,School List Holder,587671524,32PCTOT STAPLER BLK,6029,0,1
3478,16-foot Train,559400250,6PC24CT ERASABLE CL,6029,0,12
3478,16-foot Train,573577798,6PC24CT PENCILS,6029,0,24
3478,16-foot Train,573577801,12PC12CT COLORED PE,6029,0,24
3478,Older Student Train,599123351,96PCDELUXE SHARP BL,6029,0,1
