Store Nbr,Item Nbr,Item Desc 1,Net Ship Qty,POS Qty,Eligible to Donate
3,650818517,CUB-DASH SNOW PRNTD,8 ,0 ,8 
3,650818519,CUB-CATFACE PRINTED,8 ,0 ,8 
3,650818520,CUB-DOTS PRINTED,8 ,0 ,8 
3,650818523,CUB-CATWCANDY PRNTD,8 ,0 ,8 
3,650818525,CUB-CAT W GIFT PRNTD,8 ,0 ,8 
3,650818527,CUB-GREEN PRINTED,8 ,0 ,8 
4,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
4,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
4,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
4,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
4,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
4,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
5,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
5,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
5,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
5,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
5,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
5,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
7,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
7,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
7,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
7,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
7,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
7,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
10,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
10,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
10,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
10,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
10,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
10,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
12,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
12,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
12,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
12,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
12,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
12,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
14,650818517,CUB-DASH SNOW PRNTD,8 ,0 ,8 
14,650818519,CUB-CATFACE PRINTED,8 ,0 ,8 
14,650818520,CUB-DOTS PRINTED,8 ,0 ,8 
14,650818523,CUB-CATWCANDY PRNTD,8 ,0 ,8 
14,650818525,CUB-CAT W GIFT PRNTD,8 ,0 ,8 
14,650818527,CUB-GREEN PRINTED,8 ,0 ,8 
15,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
15,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
15,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
15,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
15,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
15,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
19,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
19,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
19,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
19,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
19,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
19,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
20,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
20,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
20,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
20,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
20,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
20,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
21,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
21,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
21,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
21,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
21,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
21,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
22,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
22,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
22,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
22,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
22,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
22,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
23,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
23,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
23,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
23,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
23,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
23,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
24,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
24,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
24,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
24,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
24,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
24,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
26,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
26,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
26,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
26,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
26,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
26,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
29,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
29,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
29,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
29,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
29,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
29,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
31,599951705,40IN PAWS STRIP WRAP,12 ,0 ,12 
31,599956015,30IN KRAFT DOG WRAP,24 ,0 ,24 
31,599973065,CUB-CAT W GIFT BAG,12 ,0 ,12 
31,599973066,CUB-CAT WFACE BAG,12 ,0 ,12 
31,599973067,CUB-DASHING SNOW BAG,12 ,0 ,12 
31,599973068,CUB-GREEN PRTND BAG,12 ,0 ,12 
31,599973069,CUB-CATFCE PRTND BAG,12 ,0 ,12 
31,599973070,LGSQ-CATFCE TREE BAG,12 ,0 ,12 
31,599973071,LGSQ HPY HOLIDAY BAG,12 ,0 ,12 
31,599973072,XLVG-PRNTDBUCKET BAG,12 ,0 ,12 
31,599974075,TREAT BAGS,12 ,0 ,12 
31,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
31,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
31,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
31,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
31,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
31,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
31,651304209,GIFT ACESORIES KIT,8 ,0 ,8 
32,599951705,40IN PAWS STRIP WRAP,24 ,0 ,24 
32,599956015,30IN KRAFT DOG WRAP,12 ,0 ,12 
32,599973065,CUB-CAT W GIFT BAG,12 ,0 ,12 
32,599973066,CUB-CAT WFACE BAG,12 ,0 ,12 
32,599973067,CUB-DASHING SNOW BAG,12 ,0 ,12 
32,599973068,CUB-GREEN PRTND BAG,12 ,0 ,12 
32,599973069,CUB-CATFCE PRTND BAG,12 ,0 ,12 
32,599973070,LGSQ-CATFCE TREE BAG,12 ,0 ,12 
32,599973071,LGSQ HPY HOLIDAY BAG,12 ,0 ,12 
32,599973072,XLVG-PRNTDBUCKET BAG,12 ,0 ,12 
32,599974075,TREAT BAGS,24 ,0 ,24 
32,651304209,GIFT ACESORIES KIT,8 ,0 ,8 
36,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
36,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
36,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
36,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
36,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
36,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
37,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
37,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
37,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
37,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
37,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
37,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
41,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
41,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
41,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
41,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
41,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
41,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
42,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
42,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
42,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
42,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
42,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
42,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
43,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
43,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
43,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
43,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
43,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
43,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
45,650818517,CUB-DASH SNOW PRNTD,4 ,0 ,4 
45,650818519,CUB-CATFACE PRINTED,4 ,0 ,4 
45,650818520,CUB-DOTS PRINTED,4 ,0 ,4 
45,650818523,CUB-CATWCANDY PRNTD,4 ,0 ,4 
45,650818525,CUB-CAT W GIFT PRNTD,4 ,0 ,4 
45,650818527,CUB-GREEN PRINTED,4 ,0 ,4 
55,599951705,40IN PAWS STRIP WRAP,24 ,0 ,24 
55,599956015,30IN KRAFT DOG WRAP,12 ,0 ,12 
55,599973065,CUB-CAT W GIFT BAG,12 ,0 ,12 
55,599973066,CUB-CAT WFACE BAG,12 ,0 ,12 
55,599973067,CUB-DASHING SNOW BAG,12 ,0 ,12 
55,599973068,CUB-GREEN PRTND BAG,12 ,0 ,12 
55,599973069,CUB-CATFCE PRTND BAG,12 ,0 ,12 
55,599973070,LGSQ-CATFCE TREE BAG,12 ,0 ,12 
55,599973071,LGSQ HPY HOLIDAY BAG,12 ,0 ,12 
55,599973072,XLVG-PRNTDBUCKET BAG,12 ,0 ,12 
55,599974075,TREAT BAGS,12 ,0 ,12 
55,651304209,GIFT ACESORIES KIT,8 ,0 ,8 
57,599951705,40IN PAWS STRIP WRAP,12 ,0 ,12 
57,599956015,30IN KRAFT DOG WRAP,12 ,0 ,12 
57,599973065,CUB-CAT W GIFT BAG,12 ,0 ,12 
57,599973066,CUB-CAT WFACE BAG,12 ,0 ,12 
57,599973067,CUB-DASHING SNOW BAG,12 ,0 ,12 
57,599973068,CUB-GREEN PRTND BAG,12 ,0 ,12 
57,599973069,CUB-CATFCE PRTND BAG,12 ,0 ,12 
57,599973070,LGSQ-CATFCE TREE BAG,12 ,0 ,12 
57,599973071,LGSQ HPY HOLIDAY BAG,12 ,0 ,12 
57,599973072,XLVG-PRNTDBUCKET BAG,12 ,0 ,12 
57,599974075,TREAT BAGS,24 ,0 ,24 
57,651304209,GIFT ACESORIES KIT,8 ,0 ,8 
58,599951705,40IN PAWS STRIP WRAP,36 ,0 ,36 
58,599956015,30IN KRAFT DOG WRAP,12 ,0 ,12 
58,599973065,CUB-CAT W GIFT BAG,48 ,0 ,48 
58,599973066,CUB-CAT WFACE BAG,48 ,0 ,48 
58,599973067,CUB-DASHING SNOW BAG,48 ,0 ,48 
58,599973068,CUB-GREEN PRTND BAG,48 ,0 ,48 
58,599973069,CUB-CATFCE PRTND BAG,48 ,0 ,48 
58,599973070,LGSQ-CATFCE TREE BAG,48 ,0 ,48 
58,599973071,LGSQ HPY HOLIDAY BAG,48 ,0 ,48 
58,599973072,XLVG-PRNTDBUCKET BAG,48 ,0 ,48 
